ID,英文詞彙,中文詞彙,更新日期
21343376,amount,金額；數量,
21343377,email,電子郵件,
21343378,challenge,挑戰；攻擊,
21343379,north,北,
21343380,application,申請；應用；申請書,
21343381,points,道岔,
21343382,officer,官員；軍官；課員；甲級船員,
21343383,join,結合；連結,
21343384,club,棒節,
21343385,staff,員工；職員；醫務人員；標桿,
21343386,travel,旅行；行程；旅遊頻道,
21343387,practice,實踐；實務,
21343388,meeting,會議；會車,
21343389,cut,切；切割；肉塊；挖方；結束拍攝,
21343390,art,技藝,
21343391,fund,基金,
21343392,park,公園；停車；停車場；停駐,
21343393,decide,決定,
21343394,patient,病患；病人,
21343395,air,空氣,
21343396,network,網；網路；網絡；網格；網狀結構,
21343397,college,學院,
21343398,energy,能；功能；能源；能量,
21343399,half,半；一半的,
21343400,fire,火；火災,
21343401,march,前進；進行曲；境界線,
21343402,detail,細節；零件；明細,
21343403,growth,成長；生長；成長量,
21343404,sound,音；聲音；海峽,
21343405,card,卡,
21343406,produce,產品；生產；農產品,
21343407,areas,面,
21343408,color,色；色彩；顏色；色度,
21343409,land,地；陸地,
21343410,trade,交易；信風,
21343411,kid,羔羊；小山羊,
21343412,fan,風扇；螺旋槳；尾羽,
21343413,mind,心靈；心智,
21343414,mark,標示；標誌；記號；測標,
21343415,click,點擊,
21343416,front,鋒；前面；鋒面；前文；潮境,
21343417,sport,畸形,
21343418,effort,努力；工作量；作用力,
21343419,stock,料；股票；存圖；存料,
21343420,minutes,分,
21343421,election,選擇,
21343422,impact,衝擊；撞擊；碰撞,
21343423,parent,母公司,
21343424,training,訓練,
21343425,credit,信用；學分,
21343426,cent,分；音分,
21343427,friends,圖書館之友,
21343428,walk,行走,
21343429,kill,壓制；退稿；斷線,
21343430,phone,電話；音素,
21343431,material,材料；物質；物料,
21343432,terms,條件；用語；保險條件,
21343433,investment,投資；投入,
21343434,works,工廠；工作場,
21343435,couple,聯結；偶合；力偶,
21343436,fight,戰鬥,
21343437,raise,上升,
21343438,figure,數；圖；數字,
21343439,die,模；晶片；模具；中模；壓模,
21343440,pick,鎬；摘取；緯紗,
21343441,carry,刊登；進位,
21343442,chance,機遇,
21343443,oil,油；石油,
21343444,answer,回答；答句,
21343445,device,方法；設備；裝置,
21343446,character,文字；特性；性質；記號；字符；字元,
21343447,match,匹配,
21343448,solution,方案；溶解；溶液；溶化,
21343449,approach,方法；接近；近海；取向；趨近,
21343450,council,會議；委員會,
21343451,campaign,戰役；運轉期,
21343452,agree,議定,
21343453,brand,品牌；牌號；烙痕,
21343454,size,大小；尺寸,
21343455,eye,眼；孔；眼睛,
21343456,league,里格,
21343457,hospital,醫院,
21343458,picture,圖；圖像,
21343459,heart,心臟；心索；翼網,
21343460,situation,情況,
21343461,purchase,購買；採購,
21343462,search,尋找；搜索；搜尋,
21343463,agency,機構；代理人；行動者,
21343464,region,區；區域,
21343465,target,目標；標的；靶,
21343466,changes,修正表,
21343467,china,瓷器；精瓷,
21343468,section,組；節；段；樂節；剖面；截面,
21343469,resource,資源,
21343470,explain,解釋,
21343471,career,職業；生涯,
21343472,rise,上升；上坡；褲襠；拱高,
21343473,june,小行星,
21343474,sit,坐下,
21343475,update,修正；更新,
21343476,version,說法；版本,
21343477,race,競賽；種族；急流；引水道,
21343478,launch,發射,
21343479,score,分數；配樂；摺痕,
21343480,town,城鎮；市鎮,
21343481,measure,小節；量度,
21343482,features,特徵,
21343483,moment,矩；片刻；動差；力矩,
21343484,west,西,
21343485,simple,簡單；簡單的；單純的,
21343486,operation,作業；動作；手術；操作,
21343487,bill,單；法案；帳單；喙；鴨嘴；地角,
21343488,seek,追蹤；搜尋,
21343489,demand,需求,
21343490,cookie,訊錄；重磅炸彈,
21343491,item,項；項目,
21343492,app,應用程式；應用軟體,
21343493,loss,損失；虧損；失落；損耗,
21343494,select,選擇,
21343495,vehicle,車輛；載具；賦形劑,
21343496,manager,課長；管理者,
21343497,unit,單位；單元,
21343498,tool,工具,
21343499,finish,修整；最後加工,
21343500,saw,鋸,
21343501,rights,權利,
21343502,response,回應；反應；應變；響應；感應,
21343503,relationship,關係；關聯,
21343504,wear,穿戴；磨損；磨耗,
21343505,skill,技能；熟練,
21343506,publish,公布；出版；發佈,
21343507,stage,期；節；站；級；階；齡；階段；階級；水位；分期,
21343508,drop,落下；滴劑；還書箱；落砂,
21343509,ability,能力,
21343510,piece,件；片；部分；塊；布匹,
21343511,track,大道；軌道；路徑；足跡；航跡；音軌；磁軌,
21343512,message,訊息；信文,
21343513,rest,休息；靜止；休止；休止符；靜止的,
21343514,shot,鏡頭；火箭發射；細粒；90呎,
21343515,choice,選擇；挑選,
21343516,sense,感覺；指向；旋向,
21343517,morning,早晨,
21343518,mother,母,
21343519,describe,描述；描繪,
21343520,ground,地；背景；地上的；擱淺；接地,
21343521,title,標題；礦權,
21343522,client,客戶；當事人；客戶端,
21343523,authority,機關；授權；權威；權限,
21343524,addition,加；添加；加成；相加；加法；加添；增建工程,
21343525,production,產品；生產；製造；產出；生產量,
21343526,location,位置；區位；井位,
21343527,contain,包含；涵容,
21343528,code,碼；程式；密碼；代碼；編碼；符碼；電碼,
21343529,environment,環境,
21343530,subject,主題；主體；受試者,
21343531,supply,供應,
21343532,coach,教練；經濟艙；運動教練,
21343533,treatment,處理；治療；加工；處置；療法,
21343534,plant,設備；工廠；植物；電廠,
21343535,capital,資本；國都；大寫；柱頭；大寫字母,
21343536,drug,藥；藥物；藥品,
21343537,compare,比較；對照,
21343538,request,要求；申請；請求；申請書,
21343539,limit,極限；限度,
21343540,science,科學,
21343541,foot,足；腳；呎,
21343542,summer,夏；夏季；夏令,
21343543,digital,指；鍵；數位；數字；指的；數位的；數位式的,
21343544,district,區；地區；區域,
21343545,host,主機；宿主；基質,
21343546,society,社會,
21343547,movie,電影,
21343548,display,顯示；展示；陳列；顯示器；誇示,
21343549,safety,安全；安全性,
21343550,accept,接受；允收,
21343551,protect,保護；防護,
21343552,executive,執行官,
21343553,difference,差異；差別,
21343554,economy,經濟,
21343555,committee,委員會,
21343556,maintain,維持；維護,
21343557,box,箱；包廂,
21343558,represent,表述,
21343559,e-mail,電子郵件,
21343560,affect,作用；情感,
21343561,fit,適；配合；符合；接合；突然發作；擬合,
21343562,round,回合；圓的；圓形的；圓角,
21343563,facebook,臉書,
21343564,church,教會,
21343565,draw,抽取；外縮,
21343566,perform,履行,
21343567,fail,失效,
21343568,centre,中心,
21343569,avoid,避免,
21343570,gain,利益；增量；增重；增益；輸入量,
21343571,style,風格；樣式；型式；式樣；花柱,
21343572,sector,扇形；扇區,
21343573,method,方法,
21343574,prepare,預備,
21343575,reading,讀數,
21343576,owner,業主；擁有者,
21343577,table,表；桌台,
21343578,screen,屏；篩；螢幕；銀幕；屏幕,
21343579,worth,值,
21343580,cup,杯子；罩杯,
21343581,teacher,教師,
21343582,degree,度；程度；角度；等級；音級,
21343583,paper,紙,
21343584,fine,罰款；精細,
21343585,recommend,建議；推薦,
21343586,levels,階層,
21343587,facility,設施,
21343588,strategy,策略；戰略,
21343589,letter,文字；字母；尺牘,
21343590,platform,平台；地台；平臺；展示台；地臺；觀測平台,
21343591,damage,傷害；損害；損壞；損傷,
21343592,resident,住院醫師,
21343593,disease,病；疾病,
21343594,door,門；入口；車門；風門,
21343595,attempt,試圖；未遂犯,
21343596,clean,清潔,
21343597,payment,支付；給付；付款,
21343598,groups,群,
21343599,function,功能；機能；函數,
21343600,costs,費用,
21343601,ball,球；鋼珠；滾珠；球狀體,
21343602,document,文件,
21343603,push,推；驅逐機,
21343604,driver,主動；螺絲起子；驅動器,
21343605,contract,合約；收縮；聘約,
21343606,factor,因素；因子；係數；因數,
21343607,purpose,目的,
21343608,pressure,壓力,
21343609,evidence,證據；憑證,
21343610,determine,決定；裁定,
21343611,east,東,
21343612,wall,牆；壁,
21343613,wish,願望,
21343614,resources,資源,
21343615,song,歌,
21343616,internet,網際網路,
21343617,culture,文化；培養,
21343618,station,局；站；車站；地位；站台；棲息地；電臺,
21343619,computer,電腦；計算機,
21343620,commission,委員會；佣金,
21343621,spot,點；斑；亮點；觀測；定點；斑點,
21343622,lack,不足；缺乏,
21343623,interview,訪談；面談；訪問法；訪談法,
21343624,language,語言,
21343625,fill,填土；填充；填料；緯紗,
21343626,shoot,發射；炸測,
21343627,consumer,消費者；用戶,
21343628,judge,判定；評審員,
21343629,bar,巴；棒；桿；沙灘；沙洲；條碼；小節；拉桿,
21343630,island,島；島嶼；艦島；分隔區,
21343631,parts,零件；配件,
21343632,conduct,傳導,
21343633,block,段；阻塞；阻斷；街廓；區組；地塊,
21343634,catch,捉；擷取；捕獲量,
21343635,sent,已發送,
21343636,justice,公平、正義,
21343637,express,表示；快遞；壓出,
21343638,conference,會議；研討會,
21343639,pull,拉,
21343640,speed,速度；速率,
21343641,animal,動物,
21343642,doctor,博士；刮刀,
21343643,association,結合；社團；聯想；關聯；結社；群系；星協,
21343644,leaders,引線；導點,
21343645,software,軟體；電腦軟體,
21343646,train,列；列車,
21343647,union,結合；工會；聯集；管接頭,
21343648,web,蹼；腹板,
21343649,agreement,協議；協定；一致性,
21343650,felt,毛毯；氈；毛氈,
21343651,sort,分類；排序,
21343652,marketing,行銷,
21343653,cell,格；胞；細胞；電池；油箱；網格,
21343654,connect,連接；接通；接合,
21343655,mobile,移動,
21343656,middle,中間的,
21343657,quarter,弦；四分之一；學季,
21343658,blue,藍；藍色；藍曬,
21343659,knowledge,資訊；知識,
21343660,deep,深的；深淵；海淵,
21343661,shop,現場；工場,
21343662,income,收益,
21343663,trust,信任；信託；信賴,
21343664,tour,旅程,
21343665,grant,獎助金,
21343666,decade,十年；十進位,
21343667,author,作者,
21343668,population,人口；族群；總體；母體；種群,
21343669,communication,溝通；通訊,
21343670,attention,注意；專注力,
21343671,expert,專家,
21343672,candidate,候選者,
21343673,throw,擲；落差,
21343674,collection,收集；採集；收現；服飾系列,
21343675,multiple,倍數；多發性,
21343676,window,窗；視窗,
21343677,prove,證明,
21343678,attend,出席,
21343679,camera,相機；攝影機；照相機,
21343680,requirement,要求；需要；需求；需要量,
21343681,gold,金；金色,
21343682,scene,場景；事故現場,
21343683,investor,投資人；投資者,
21343684,budget,預算；預算經費,
21343685,administration,管理；行政管理；施用藥物,
21343686,operate,動作；操作,
21343687,movement,運動；動作；移動；樂章；動程,
21343688,blood,血；血液；血斑,
21343689,weight,重；權；重量；權值；權重；權數；砝碼,
21343690,investigation,研究；調查；調整；檢查；偵查,
21343691,nature,本質,
21343692,locate,定位,
21343693,transfer,轉移；轉換；遷移；移轉；搬運；轉送；轉乘,
21343694,confirm,確認,
21343695,voice,聲音；語音,
21343696,opinion,意見,
21343697,arrest,拘提；拘留,
21343698,prime,接觸；質數；啟始；注油,
21343699,injury,傷害；損傷；創傷,
21343700,analysis,分析；解析,
21343701,trip,跳脫；旅次,
21343702,revenue,收入；營收；收益；歲入；電費收入,
21343703,seat,座；座位；座椅；底座,
21343704,encourage,鼓勵,
21343705,aim,瞄準,
21343706,tree,樹；樹木；喬木；樹形,
21343707,associate,組合,
21343708,planning,計畫；規劃；計畫作為,
21343709,touch,觸；觸感；觸覺,
21343710,schedule,排程；進度表；生產時程；作業計劃,
21343711,river,河流,
21343712,insurance,保險；保證,
21343713,fear,恐懼、害怕,
21343714,gas,氣；氣體,
21343715,exchange,交易；交換；互易,
21343716,guide,指南；導引；導板；導件,
21343717,artist,藝術家,
21343718,beat,拍；節奏；節拍；搏動,
21343719,loan,貸款；借貸；借閱,
21343720,skin,皮膚；表面；表皮,
21343721,reader,閱讀機；讀取器,
21343722,rates,稅率,
21343723,machine,機器；機械,
21343724,competition,競爭,
21343725,victim,受害者,
21343726,cancer,癌,
21343727,trial,嘗試；試驗；試用；試航,
21343728,met,符合,
21343729,connection,聯絡；連結；連接；連通,
21343730,discussion,論述,
21343731,variety,變化；種類；多樣性；變種；多變性；曲體,
21343732,dollar,錢符號,
21343733,exercise,演習；演練,
21343734,ship,船；飛機,
21343735,tip,端；尖；提示；頂端；尖端,
21343736,ideas,創意構想,
21343737,cash,現金,
21343738,session,會談；上課時間,
21343739,structure,組織；結構；構造,
21343740,opening,開；開口；對頁,
21343741,strike,拆除；走向；罷工；刮砂,
21343742,task,工作；作業；任務；工作任務,
21343743,respond,回應,
21343744,struggle,鬥爭,
21343745,handle,把手；環柄,
21343746,text,文字；歌詞；文本,
21343747,copy,文案；拷貝；複製品；複本,
21343748,operations,作業,
21343749,stick,駕駛桿,
21343750,install,安裝,
21343751,arm,臂；分路；軍械,
21343752,offering,提供,
21343753,asset,資產,
21343754,cool,冷卻,
21343755,balance,平衡；均衡；天平；結餘,
21343756,button,鈕；按鈕；鈕扣,
21343757,register,記錄；記錄器；登記簿；記錄儀,
21343758,band,帶；段；樂隊；波段；沙洲；頻段；譜帶,
21343759,commit,承諾,
21343760,rock,岩石；搖滾樂,
21343761,master,大師；主台；原件,
21343762,fair,晴,
21343763,construction,結構；建構；構造,
21343764,protection,保護；防護,
21343765,floor,地板；底部；下限；地面的；車廂地板,
21343766,generation,產生；世代；生殖,
21343767,pain,痛；疼痛,
21343768,responsibility,責任；職責；反應性,
21343769,spread,展開；擴散；價差；零散；展形；展布；離度,
21343770,basis,基；基礎；基準；基底；基差,
21343771,collect,收集,
21343772,blog,部落格,
21343773,mile,哩；英里；英哩,
21343774,element,元素；單元；元件,
21343775,spring,春；泉；春季；彈簧,
21343776,leadership,領導；領導力,
21343777,secure,保全,
21343778,audience,觀眾；閱聽人；閱聽眾；閱聽者,
21343779,feed,饋；飼料；進料；饋送,
21343780,indicate,指示,
21343781,conversation,交談,
21343782,submit,提交,
21343783,century,世紀,
21343784,count,計數；支數；紗支,
21343785,behavior,行為,
21343786,advantage,優點,
21343787,print,印；印像,
21343788,advice,建議；通告,
21343789,cross,交叉；雜交,
21343790,mix,混合；混合式,
21343791,listen,守聽,
21343792,adult,成人,
21343793,channel,管道；頻道；水道；通道；航道；波段；渠道,
21343794,engine,引擎；發動機,
21343795,feet,腳；字腳,
21343796,finance,財務,
21343797,memory,記憶；記憶體,
21343798,foundation,基礎；基座,
21343799,rating,評比；分級；評等；定額；分等；額定,
21343800,threat,威脅,
21343801,sale,銷售；買賣,
21343802,incident,事故；意外事件；突發事件；入射,
21343803,de,去,
21343804,shape,形；形狀；型鋼；型料,
21343805,reserve,準備；保留；儲備；存量；保留區；儲量；蘊藏量,
21343806,institution,機構,
21343807,parties,各方,
21343808,traffic,話務,
21343809,engage,接戰,
21343810,reflect,反映,
21343811,surface,面；表面；曲面；翼面,
21343812,primary,主要的；原生；原生的；主星；原發的,
21343813,maximum,最大；最大值,
21343814,citizen,市民,
21343815,beach,海灘,
21343816,bottom,底部,
21343817,appeal,訴求；申訴,
21343818,equipment,設備；裝置；裝備,
21343819,survey,調查；檢驗；測量；調查所；調查法,
21343820,direction,方向；方位,
21343821,earth,地；地球；地面；接地,
21343822,majority,多數；成年,
21343823,pair,對；副；配對；線對,
21343824,professor,教授,
21343825,flight,飛行；橫桿,
21343826,sea,海；浪,
21343827,heat,熱；熱能,
21343828,category,種類；類別；類目,
21343829,agent,劑；代理人；代理商；試劑；代理者,
21343830,standards,標準,
21343831,progress,進步；進度；進展,
21343832,reality,現實；真實,
21343833,trend,趨勢；傾向；指向；趨向,
21343834,champion,倡導者,
21343835,ticket,權證,
21343836,lines,線,
21343837,fly,飛；飛行；蠅,
21343838,favorite,最愛,
21343839,weather,天氣,
21343840,relation,關係,
21343841,mission,任務；使命,
21343842,gift,贈與；恩物,
21343843,load,負荷；載重；負載；重荷,
21343844,pandemic,大流行；大流行的,
21343845,map,地圖；映射,
21343846,holiday,假日；節日,
21343847,division,除；分裂；事業部；分劃；分度,
21343848,menu,手冊；菜單；目錄；選單,
21343849,net,網；網絡；純粹的,
21343850,status,情況；狀況；地位,
21343851,estimate,估計；判斷；推估；估計值；估計量,
21343852,crisis,危機；危症,
21343853,provider,提供者,
21343854,highlight,強調；亮點；強光,
21343855,youth,幼年期,
21343856,requirements,要求事項,
21343857,sleep,睡眠；休眠,
21343858,advertisement,廣告；廣告作品,
21343859,congress,會議,
21343860,hall,乘場,
21343861,edge,邊緣；稜,
21343862,topic,題目,
21343863,roll,搖擺；滾動；橫搖；滾轉；輥,
21343864,wind,風；卷；脹氣；旋緊,
21343865,graduate,畢業生；量筒；分度,
21343866,object,對象；用途；物件；客體,
21343867,delivery,輸送；交割；分娩；交船；演說技巧,
21343868,cold,感冒,
21343869,sun,日；太陽,
21343870,capacity,產能；容量,
21343871,relevant,相關,
21343872,materials,材料,
21343873,governor,調速器,
21343874,garden,園,
21343875,straight,直線,
21343876,assist,輔助,
21343877,emergency,緊急,
21343878,freedom,自由,
21343879,scheme,計畫；方法；方案,
21343880,server,伺服器,
21343881,temperature,溫度,
21343882,package,包裝；包裹；封裝；套裝軟體,
21343883,abuse,濫用,
21343884,applications,應用,
21343885,violence,暴力,
21343886,flow,流；流動,
21343887,switch,開關,
21343888,tie,連結；連串,
21343889,mine,礦；地雷；礦場；水雷,
21343890,camp,營地,
21343891,editor,編輯；編輯程式,
21343892,bed,台；層；床；地基；配樂；版台；床面；底床,
21343893,fuel,燃料；燃油,
21343894,strength,強力；強度,
21343895,complaint,抱怨,
21343896,truth,真,
21343897,exist,存在,
21343898,stress,壓力；威脅；緊迫；逆境；應力；重音,
21343899,debt,債務；負債,
21343900,labor,人工；分娩,
21343901,port,口；孔；開口；港口；埠；港埠；左舷；端口,
21343902,advance,預付款,
21343903,pack,獸群,
21343904,lake,湖；湖泊,
21343905,fix,固定；定位；固著,
21343906,panel,板；板面；儀表板；儀表盤,
21343907,implement,實施；實作；農具,
21343908,hearing,聽；聽證；聽覺；聽語,
21343909,measures,系；措施,
21343910,scale,比率；鱗；鱗片；刻度；音階；比例尺；水垢；鱗屑,
21343911,browser,瀏覽器,
21343912,housing,住宅；外殼；外罩,
21343913,climate,氣候,
21343914,profile,側面；剖面；側形；側面圖；縱斷面,
21343915,download,下載；卸載,
21343916,path,路徑；航道,
21343917,institute,研究所,
21343918,female,女性；女性的；雌性,
21343919,dry,乾；乾燥,
21343920,shift,移；移動；轉移；輪班；位移；移位；推移；偏移,
21343921,coronavirus,冠狀病毒,
21343922,combine,合併；聯合收穫機,
21343923,duty,能率,
21343924,village,村落,
21343925,brown,褐色；棕色,
21343926,mass,量；塊；大眾；質量；眾數,
21343927,spirit,酒精,
21343928,gun,槍,
21343929,partners,合夥人,
21343930,regulation,調整；管制；修正；法規；規則；調節,
21343931,core,中心；核心；堤心,
21343932,newspaper,報紙,
21343933,appropriate,適當；適當的；撥款,
21343934,monitor,監視器；顯示器；水槍；導生；監測器,
21343935,concept,概念；觀念,
21343936,generate,產生,
21343937,records,記錄,
21343938,corner,角；角落；界點；刀尖；隅角；書角,
21343939,operating,手術的,
21343940,correct,正確；矯正；補正,
21343941,debate,辯論,
21343942,reference,參考,
21343943,winter,冬,
21343944,hill,丘陵,
21343945,privacy,隱私；隱私權；隱私性,
21343946,volume,卷；容量；體積；音量,
21343947,border,邊界；邊框；圖框,
21343948,brain,腦,
