ID,英文名稱,中文名稱,圖片,中國大陸譯名,類別,更新日期
2915901,debt,債務,,债务,財務管理組,2017-03-23
2915902,debt ratio,負債比率,,,財務管理組,2017-03-23
2915903,debt securities,債務證券,,债权类金融产品,財務管理組,2017-03-23
2915904,debt swap,負債交換,,,財務管理組,2017-03-23
2915905,decision framing,決策框架,,决策框架,財務管理組,2017-03-23
2915906,declaration date,宣告日,,,財務管理組,2017-03-23
2915907,dedication,專項投資組合,,专项投资组合,財務管理組,2017-03-23
2915908,dedication strategy,專項策略,,奉献策略,財務管理組,2017-03-23
2915909,deductible,自付額,,免赔额,財務管理組,2017-03-23
2915910,default premium,違約溢價,,违约溢价,財務管理組,2017-03-23
2915911,default risk,違約風險,,,財務管理組,2017-03-23
2915912,default risk premium {=DRP},違約風險溢酬,,,財務管理組,2020-03-25
2915913,defensive merger,防禦性合併,,,財務管理組,2017-03-23
2915914,deferred annuity,遞延年金,,,財務管理組,2017-03-23
2915915,deferred strike option,延遲履約選擇權,,延迟约价期权,財務管理組,2017-03-23
2915916,defined benefit plan,確定給付制,,固定收益计划,財務管理組,2017-03-23
2915917,defined contribution plan,確定提撥制,,固定缴款计划,財務管理組,2017-03-23
2915918,"degree of financial leverage, DEL",財務槓桿程度,,,財務管理組,2017-03-23
2915919,"degree of operating leverage, DOL",營運槓桿程度,,,財務管理組,2017-03-23
2915920,"degree of total leverage, DTL",總槓桿程度,,,財務管理組,2017-03-23
2915921,delay option、option to postpone,延遲選擇權,,延迟期权,財務管理組,2017-03-23
2915922,delivery,交割,,交割,財務管理組,2017-03-23
2915923,delivery price,交割價格,,交割价格,財務管理組,2017-03-23
2915924,"DeLong-Shleifer-Summers-Waldmann model, DSSW",DSSW(DeLong-Shleifer-Summers-Waldmann)模型,,正反馈交易模型,財務管理組,2017-03-23
2915925,delta neutral,delta中性,,德尔塔中性,財務管理組,2017-03-23
2915926,deposit,存款,,存款,財務管理組,2017-03-23
2915927,deposit insurance system,存款保險制度,,存款保险制度,財務管理組,2017-03-23
2915928,deposit protection system,存款保護制度,,存款保护制度,財務管理組,2017-03-23
2915929,deposit reserve,存款準備金,,存款准备金,財務管理組,2017-03-23
2915930,deposit reserve rate,存款準備率,,存款准备金率,財務管理組,2017-03-23
2915931,depreciation,折舊,,,財務管理組,2017-03-23
2915932,derivative,衍生性金融商品,,衍生类金融产品,財務管理組,2017-03-23
2915933,derivative contract,衍生性契約,,,財務管理組,2017-03-23
2915934,detachable warrant,可分割的認股權證,,,財務管理組,2017-03-23
2915935,diffusion process,擴散過程,,,財務管理組,2017-03-23
2915936,digital option,定額選擇權,,,財務管理組,2017-03-23
2915937,direct credit control,直接信用管制,,直接信用控制,財務管理組,2017-03-23
2915938,direct issuing,直接發行,,直接发行,財務管理組,2017-03-23
2915939,direct quotation,直接報價,,,財務管理組,2017-03-23
2915940,discount,折現,,折现,財務管理組,2017-03-23
2915941,discount bond,折價債券,,折价债券,財務管理組,2017-03-23
2915942,discount point,折現點,,贴现点,財務管理組,2017-03-23
2915944,discount window,貼現窗口,,贴现窗口,財務管理組,2017-03-23
2915945,"discounted cash flow model, cash discount model",現金流量折現模型,,现金流折现模型,財務管理組,2017-03-23
2915946,discounted payback,折現回收期間法,,,財務管理組,2017-03-23
2915947,disposition effect,處份效應,,处置效应,財務管理組,2017-03-23
2915948,diversifiable risk,可分散風險,,可分散风险,財務管理組,2017-03-23
2915950,divestiture,撤資,,,財務管理組,2017-03-23
2915952,dividend clientele effect,股利顧客效果,,,財務管理組,2017-03-23
2915953,dividend discount model {=DDM},股利折現模型,,股利贴现模型,財務管理組,2020-03-31
2915954,dividend income,股利收益,,股利所得,財務管理組,2017-03-23
2915955,dividend irrelevance,股利政策無關論,,股利无关论,財務管理組,2017-03-23
2915956,dividend Payout Ratio,股利發放率,,股利支付率,財務管理組,2017-03-23
2915957,dividend policy,股利政策,,股利政策,財務管理組,2017-03-23
2915958,dividend reinvestment plans {=DRIPs},股利再投資計畫,,,財務管理組,2020-03-31
2915959,dividend tax,股利稅,,红利税,財務管理組,2017-03-23
2915960,dividend yield ratio,股利收益率,,股利收益率,財務管理組,2017-03-23
2915961,dividends puzzle,股利之謎,,红利之谜,財務管理組,2017-03-23
2915962,divisional commercial bank,分離型商業銀行,,分离型商业银行,財務管理組,2017-03-23
2915963,dollar duration,金額存續期間,,,財務管理組,2017-03-23
2915964,dollar volatility,絕對金額變異,,,財務管理組,2017-03-23
2915965,double auction,雙向競價,,双向公开竞价,財務管理組,2017-03-23
2915966,Dow Jones Indexe,道瓊指數,,道琼斯股价指数,財務管理組,2017-03-23
2915967,Dow Jones Wilshire global total market Index,道瓊威爾希爾全球整體市場指數,,道琼斯威尔希尔全球整体市场指数,財務管理組,2017-03-23
2915968,downside risk,下方風險,,下侧风险,財務管理組,2017-03-23
2915969,downward risk,下方風險,,,財務管理組,2017-03-23
2915970,Du Pont equation,杜邦方程式,,,財務管理組,2017-03-23
2915971,dual central bank system,二元式中央銀行制度,,二元式中央银行制度,財務管理組,2017-03-23
2915972,duration,存續期間,,久期,財務管理組,2017-03-23
2915973,dutch-auction tender offer,荷蘭式競標,,荷兰式拍卖招标,財務管理組,2017-03-23
2915974,dynamic hedge,動態避險,,动态对冲,財務管理組,2017-03-23
2915975,early warning system,預警系統,,早期预警系统,財務管理組,2017-03-23
2915976,"earning before interest and taxes, EBIT",息前稅前盈餘,,,財務管理組,2017-03-23
2915977,earning power ratio,獲利能力,,,財務管理組,2017-03-23
2915978,"earnings before interest, taxes, depreciation, and amortization, EBITDA",息稅折舊攤銷前盈餘,,,財務管理組,2017-03-23
2915979,"earnings per share, EPS",每股盈餘,,每股盈余,財務管理組,2017-03-23
2915980,earnings retention ratio,盈餘保留率,,收益留存率,財務管理組,2017-03-23
2915981,EBITDA coverage ratio,EBITDA覆蓋率,,,財務管理組,2017-03-23
2915983,"effective annual rate, EFF%",有效年利率,,,財務管理組,2017-03-23
2915984,effective spread,有效價差,,有效价差,財務管理組,2017-03-23
2915985,effective tax rates,有效稅率,,有效税率,財務管理組,2017-03-23
2915986,efficient frontier,效率前緣,,有效边界,財務管理組,2017-03-23
2915987,efficient market,效率市場,,,財務管理組,2017-03-23
2915988,efficient market hypothesis,效率市場假說,,有效市场假说,財務管理組,2017-03-23
2915989,efficient portfolio,效率投資組合,,,財務管理組,2017-03-23
2915990,efficient portfolio management,效率投資組合管理,,有效资产组合管理,財務管理組,2017-03-23
2915991,electronic quotation screen,電子報價螢幕,,,財務管理組,2017-03-23
2915992,electronic trading,電子交易,,,財務管理組,2017-03-23
2915993,embedded option,隱含選擇權,,隐含期权,財務管理組,2017-03-23
2915994,energy futures,能源期貨,,,財務管理組,2017-03-23
2915995,entrusted investment,委託投資,,委托投资,財務管理組,2017-03-23
2915996,EPS indifference analysis,每股盈餘無異分析,,,財務管理組,2017-03-23
2915997,EPS indifference point,每股盈餘無異點,,,財務管理組,2017-03-23
2915998,equal rate of return principal,報酬率均等原則,,,財務管理組,2017-03-23
2915999,equally weighted Index,等權指數,,等权重指数,財務管理組,2017-03-23
2916000,equilibrium,均衡,,,財務管理組,2017-03-23
2916001,equity,權益,,权益,財務管理組,2017-03-23
2916002,equity capital,權益資本,,权益资本,財務管理組,2017-03-23
2916003,equity carve-out,權益分割,,分拆上市,財務管理組,2017-03-23
2916004,equity leg,股權端,,,財務管理組,2017-03-23
2916005,equity multiplier,權益乘數,,,財務管理組,2017-03-23
2916006,equity premium,股權溢價、股權溢酬,,股权溢价,財務管理組,2017-03-23
2916007,equity residual method,權益剩餘法,,,財務管理組,2017-03-23
2916008,equity securities,權益證券,,股权类金融产品,財務管理組,2017-03-23
2916009,equity swap,權益交換,,股权互换,財務管理組,2017-03-23
2916010,equity-generating innovation,股權增加式創新,,股权-引致型创新,財務管理組,2017-03-23
2916011,equity-linked note,股價聯結票據,,,財務管理組,2017-03-23
2916012,equivalent annual annuity (EAA) approach,約當年金法,,,財務管理組,2017-03-23
2916013,"equivalent annual rate, EAR",約當年利率,,,財務管理組,2017-03-23
2916014,Euro currency market,歐洲貨幣市場,,欧洲货币市场,財務管理組,2017-03-23
2916016,Euroconvertible bond,海外可轉換公司債,,,財務管理組,2017-03-23
2916017,Eurocredits,歐洲信用,,,財務管理組,2017-03-23
2916018,Eurodollar,歐洲美元,,,財務管理組,2017-03-23
2916019,"Eurodollar deposit, ED",歐洲美元定期存款,,,財務管理組,2017-03-23
2916020,Eurodollar futures,歐洲美元期貨,,,財務管理組,2017-03-23
2916021,eurodollar futures contract,歐洲美元期貨契約,,欧洲美元期货合约,財務管理組,2017-03-23
2916022,European option,歐式選擇權,,欧式期权,財務管理組,2017-03-23
2916023,evolution,演化,,演化,財務管理組,2017-03-23
2916024,examination and approval system for issue of securities,證券發行審批制度,,证券发行审批制,財務管理組,2017-03-23
2916025,excess spread,超額利差、超額價差,,超额利差,財務管理組,2017-03-23
2916026,excess volatility,超額波動,,过度波动,財務管理組,2017-03-23
2916028,exchange rate risk,匯率風險,,,財務管理組,2017-03-23
2916029,"exchange traded fund, ETF",指數股票型基金,,交易所交易基金,財務管理組,2017-03-23
2916030,"exchangeable bond, EB",可交換公司債,,,財務管理組,2017-03-23
2916031,exchanges,交易所,,交易所,財務管理組,2017-03-23
2916032,ex-dividend date,除息日,,除息日,財務管理組,2017-03-23
2916033,executive stock option,員工認股權,,股票期权,財務管理組,2017-03-23
2916034,exemption clause,免責條款,,免责条款,財務管理組,2017-03-23
2916035,exercise price,履約價格,,执行价,財務管理組,2017-03-23
2916036,exercise value,履約價值,,,財務管理組,2017-03-23
2916037,exotic option,奇異選擇權,,奇异期权,財務管理組,2017-03-23
2916038,expanded or contracted option,擴張緊縮選擇權,,扩张紧缩期权,財務管理組,2017-03-23
2916039,expansion project,擴充型投資專案,,,財務管理組,2017-03-23
2916040,expectation theory,預期理論,,预期理论,財務管理組,2017-03-23
2916041,expected rate of return,期望報酬率,,,財務管理組,2017-03-23
2916042,expected shortfall,預期損失,,预期损失,財務管理組,2017-03-23
2916043,expected total return,預期總報酬率,,,財務管理組,2017-03-23
2916044,expected utility,期望效用,,期望效用,財務管理組,2017-03-23
2916045,expiration date,到期日,,,財務管理組,2017-03-23
2916046,exponential generalized autoregressive conditional heteroskedasticity model,指數一般化自我迴歸條件異質變異模型,,指数广义自回归条件异方差模型,財務管理組,2017-03-23
2916047,"exponentially weighted moving averages model, EWMA model",指數加權移動平均模型,,指数加权移动平均模型,財務管理組,2017-03-23
2916048,export-import bank,輸出入銀行,,进出口银行,財務管理組,2017-03-23
2916049,extendable swap,可展期交換,,延期互换,財務管理組,2017-03-23
2916051,extreme value theory,極值理論,,极值理论,財務管理組,2017-03-23
2916052,face value,面值,,,財務管理組,2017-03-23
2916053,factor beta,因素β,,因素贝塔,財務管理組,2017-03-23
2916054,factor model,因子模型,,因素模型,財務管理組,2017-03-23
2916055,factor portfolio,因素投資組合,,要素资产组合,財務管理組,2017-03-23
2916056,factor risk,因子風險,,因子风险,財務管理組,2017-03-23
2916057,factoring of accounts receivable,應收帳款讓售,,,財務管理組,2017-03-23
2916058,farm product futures,農產品期貨,,农产品期货,財務管理組,2017-03-23
2916059,fat tail、 heavy-tailed distributions,厚尾,,厚尾,財務管理組,2017-03-23
2916060,Federal Reserve Board,聯邦準備理事會,,,財務管理組,2017-03-23
2916061,fiduciary loan,信用貸款,,信用贷款,財務管理組,2017-03-23
2916062,fill rate,達成率,,成交率,財務管理組,2017-03-23
2916063,finance company,金融公司,,财务公司,財務管理組,2017-03-23
2916064,finance intermediary,金融中介,,金融中介,財務管理組,2017-03-23
2916065,finance intermediary organs theory,金融中介機構理論,,金融中介机构理论,財務管理組,2017-03-23
2916066,financial assets management company,金融資產管理公司,,金融资产管理公司,財務管理組,2017-03-23
2916067,financial bill market,金融票券市場,,金融票据市场,財務管理組,2017-03-23
2916068,financial bond,金融債券,,金融债券,財務管理組,2017-03-23
2916069,financial conglomerate,金融集團,,金融集团,財務管理組,2017-03-23
2916070,financial contagion,金融傳染,,金融传染,財務管理組,2017-03-23
2916072,financial crisis,金融危機,,金融危机,財務管理組,2017-03-23
2916073,financial distress,財務危機,,,財務管理組,2017-03-23
2916074,financial econometrics,財務計量經濟學,,金融计量经济学,財務管理組,2017-03-23
2916075,financial forecasting,財務預測,,,財務管理組,2017-03-23
2916076,financial fragility,金融脆弱性,,金融脆弱性,財務管理組,2017-03-23
2916077,financial futures,金融期貨,,,財務管理組,2017-03-23
2916078,financial futures contract,金融期貨契約,,金融期货合约,財務管理組,2017-03-23
2916079,financial futures market,金融期貨市場,,金融期货市场,財務管理組,2017-03-23
2916080,financial innovation,金融創新,,金融创新,財務管理組,2017-03-23
2916081,financial institution,金融機構,,金融机构,財務管理組,2017-03-23
2916082,financial intermediation,金融中介,,金融中介,財務管理組,2017-03-23
2916083,financial lease,財務租賃,,,財務管理組,2017-03-23
2916084,financial leverage,財務槓桿,,财务杠杆,財務管理組,2017-03-23
2916085,financial market,金融市場,,金融市场,財務管理組,2017-03-23
2916086,financial merger,財務合併,,,財務管理組,2017-03-23
2916087,financial option market,金融選擇權市場,,金融期权市场,財務管理組,2017-03-23
2916088,financial panic,金融恐慌,,金融恐慌,財務管理組,2017-03-23
2916089,financial regulation,金融監管,,金融监管,財務管理組,2017-03-23
2916090,financial risk,財務風險,,,財務管理組,2017-03-23
2916091,financial safety net,金融安全網,,金融安全网,財務管理組,2017-03-23
2916092,financial service,金融服務,,金融服务,財務管理組,2017-03-23
2916093,financial services corporation,金融服務公司,,,財務管理組,2017-03-23
2916094,financial services holding company,金融控股公司,,金融控股公司,財務管理組,2017-03-23
2916095,financial statement analysis,財務報表分析,,,財務管理組,2017-03-23
2916096,financial swap,金融交換,,,財務管理組,2017-03-23
2916097,financial trust and investment companies,金融信託投資公司,,金融信托投资公司,財務管理組,2017-03-23
2916098,financing,融資,,融资,財務管理組,2017-03-23
2916099,fire and casualty insurance company,火災與意外保險公司,,火灾和意外保险公司,財務管理組,2017-03-23
2916100,firm specific risk,公司特有風險,,,財務管理組,2017-03-23
2916101,first order stochastic dominance,一階隨機優勢,,一阶随机占优,財務管理組,2017-03-23
2916102,first tier capital,一級資本,,一级资本,財務管理組,2017-03-23
2916103,fixed asset turnover ratio,固定資產週轉率,,,財務管理組,2017-03-23
2916104,fixed charge ratio,固定費用涵蓋比率,,,財務管理組,2017-03-23
2916106,fixed income securities,固定收益證券,,,財務管理組,2017-03-23
2916107,fixed peg arrangement,盯住匯率制度,,,財務管理組,2017-03-23
2916108,fixed-price tender offer,固定價格招標,,固定价位招标,財務管理組,2017-03-23
2916109,flexibility option,彈性選擇權,,灵活期权,財務管理組,2017-03-23
2916110,flexible mortgage,彈性不動產擔保,,柔性按揭,財務管理組,2017-03-23
2916111,float,浮動差額,,,財務管理組,2017-03-23
2916113,floating leg,浮動端,,,財務管理組,2017-03-23
2916114,"floating rate note, FRN",浮動利率票據,,,財務管理組,2017-03-23
2916115,floating-rate bond,浮動利率債券,,,財務管理組,2017-03-23
2916117,floor committee,場內委員會,,,財務管理組,2017-03-23
2916118,floor trader,場內交易者,,,財務管理組,2017-03-23
2916119,flotation costs,發行成本,,发行成本,財務管理組,2017-03-23
2916120,forced redeem clause,強制贖回條款,,,財務管理組,2017-03-23
2916121,foreign bonds,外國債券,,,財務管理組,2017-03-23
2916122,foreign currency option,外匯選擇權,,外汇期权,財務管理組,2017-03-23
2916123,foreign exchange futures market,外匯期貨市場,,外汇期货市场,財務管理組,2017-03-23
2916124,foreign exchange market,外匯市場,,外汇市场,財務管理組,2017-03-23
2916125,foreign exchange option market,外匯選擇權市場,,外汇期权市场,財務管理組,2017-03-23
2916126,foreign exchange swap,外匯交換,,外汇互换,財務管理組,2017-03-23
2916127,foreign shares,外國股票,,外资股,財務管理組,2017-03-23
2916129,forward contract,遠期契約,,远期合同,財務管理組,2017-03-23
2916131,forward interest rate,遠期利率,,远期利率,財務管理組,2017-03-23
2916132,forward market,遠期市場,,远期市场,財務管理組,2017-03-23
2916133,forward rate agreement,遠期利率協議,,远期利率协议,財務管理組,2017-03-23
2916134,forward start option,遠期生效選擇權,,远期生效期权,財務管理組,2017-03-23
2916135,franchise factor,特許因素,,特许原因,財務管理組,2017-03-23
2916136,free cash flow,自由現金流量,,,財務管理組,2017-03-23
2916137,freely-floating regime,自由浮動區間,,,財務管理組,2017-03-23
2916138,friendly merger,善意合併,,,財務管理組,2017-03-23
2916139,front-end fee,前置費用,,,財務管理組,2017-03-23
2916140,FTSE Xinhua China A50 Index,新華富時中國A50指數,,新华富时中国A50指数,財務管理組,2017-03-23
2916141,fully diluted EPS,完全稀釋每股盈餘,,,財務管理組,2017-03-23
2916142,fully taxable equivalent yield {=FTEY},完全應稅等價收益率,,完全应税等价收益率,財務管理組,2020-04-10
2916143,fund,基金,,基金,財務管理組,2017-03-23
2916144,"fund of fund, FOF",組合基金,,基金中的基金,財務管理組,2017-03-23
2916145,fund split,基金分割,,基金拆分,財務管理組,2017-03-23
2916146,fund unit,基金單位,,基金单位,財務管理組,2017-03-23
2916147,fundamental analysis,基本分析,,,財務管理組,2017-03-23
2916148,fundamental volatility,基礎波動度,,基础波动性,財務管理組,2017-03-23
2916149,future value,終值,,,財務管理組,2017-03-23
2916150,futures commission merchants,期貨經紀商,,,財務管理組,2017-03-23
2916151,futures contract,期貨契約,,期货合同,財務管理組,2017-03-23
2916152,futures fund,期貨基金,,期货基金,財務管理組,2017-03-23
2916153,futures market,期貨市場,,期货市场,財務管理組,2017-03-23
2916154,"futures option, option on futures",期貨選擇權,,期货期权,財務管理組,2017-03-23
2916155,Futures Trading Act,期貨交易法案,,,財務管理組,2017-03-23
2916156,gearing,槓桿倍數,,,財務管理組,2017-03-23
2916157,general credit control,一般性信用管制,,一般性信用控制,財務管理組,2017-03-23
2916158,generalized autoregressive conditional heteroskedasticity-mean model,一般化自我迴歸條件異質變異均數模型,,广义自回归条件异方差均值模型,財務管理組,2017-03-23
2916159,generalized autoregressive conditionally heteroskedasticity model,一般化自我迴歸條件異質變異模型,,广义自回归条件异方差模型,財務管理組,2017-03-23
2916160,"generally accepted accounting principle, GAAP",一般公認會計原則,,,財務管理組,2017-03-23
2916161,going public,公開發行,,,財務管理組,2017-03-23
2916162,gold futures,黃金期貨,,黄金期货,財務管理組,2017-03-23
2916163,gold futures market,黃金期貨市場,,黄金期货市场,財務管理組,2017-03-23
2916164,gold market,黃金市場,,黄金市场,財務管理組,2017-03-23
2916165,golden parachute,黃金降落傘,,,財務管理組,2017-03-23
2916166,goodwill,商譽,,,財務管理組,2017-03-23
2916167,Gordon growth model,Gordon成長模型,,戈登增长模型,財務管理組,2017-03-23
2916168,Gordon's bird-in-the-hand model,Gordon一鳥在手模式,,,財務管理組,2017-03-23
2916170,Government National Mortgage Association {=GNMA},政府國家抵押協會,,,財務管理組,2020-04-09
2916171,Grain Futures Act,穀物期貨法案,,,財務管理組,2017-03-23
2916172,green shoes option,超額認購選擇權,,绿鞋期权,財務管理組,2017-03-23
2916173,greenmail,溢價回購,,,財務管理組,2017-03-23
2916174,growth option,成長選擇權,,增长期权,財務管理組,2017-03-23
2916175,growth rate,成長率,,,財務管理組,2017-03-23
2916176,guarantee,保證,,担保,財務管理組,2017-03-23
2916177,guaranteed fund,保本基金,,保本基金,財務管理組,2017-03-23
2916178,Heath-Jarrow-Morton model、 HJM model,HJM模型,,HJM模型,財務管理組,2017-03-23
2916179,hedge fund,避險基金；對沖基金,,对冲基金,財務管理組,2020-03-31
2916180,hedge、 hedging,避險,,对冲,財務管理組,2017-03-23
2916181,hedgers,避險者,,,財務管理組,2017-03-23
2916182,hedging ratio,避險比率,,对冲率,財務管理組,2017-03-23
2916183,herd behavior,從眾行為,,羊群行为,財務管理組,2017-03-23
2916184,heterogeneity,異質性,,异质性,財務管理組,2017-03-23
2916185,historical simulation method,歷史模擬法,,历史模拟法,財務管理組,2017-03-23
2916186,holder-of-record date,登記基準日,,,財務管理組,2017-03-23
2916187,holding period,持有期間,,持有期限,財務管理組,2017-03-23
2916188,holding period return,持有期間報酬率,,,財務管理組,2017-03-23
2916189,Ho-Lee model,Ho-Lee模型,,Ho-Lee模型,財務管理組,2017-03-23
2916190,homemade dividend policy,自製股利政策,,自制股利政策,財務管理組,2017-03-23
2916191,homogeneous expectation,同質預期,,同质预期,財務管理組,2017-03-23
2916192,Hongkong Hang Seng Index,香港恆生指數,,香港恒生指数,財務管理組,2017-03-23
2916193,Hong-Stein model,HS(Hong-Stein)模型,,HS模型,財務管理組,2017-03-23
2916194,horizon (terminal) value,終值,,,財務管理組,2017-03-23
2916195,horizon analysis,水平分析,,水平分析,財務管理組,2017-03-23
2916197,horizontal spread strategy,水平價差策略,,,財務管理組,2017-03-23
2916198,hostile merger,非善意合併,,,財務管理組,2017-03-23
2916199,hostile takeover,敵意接管,,,財務管理組,2017-03-23
2916200,humped yield curve,駝峰殖利率曲線,,,財務管理組,2017-03-23
2916201,hypothetical T-bond,假設性公債,,,財務管理組,2017-03-23
2916202,immediacy,即時性,,即时性,財務管理組,2017-03-23
2916203,immunization、 immunisation hypothesis,免疫,,免疫,財務管理組,2017-03-23
2916204,impairment of capital rule,資本減損規定,,,財務管理組,2017-03-23
2916205,implicit contracts,隱性契約,,默认契约,財務管理組,2017-03-23
2916206,implied volatility,隱含波動度,,隐含波动率,財務管理組,2017-03-23
2916207,importance sampling,重要性抽樣法,,重要性抽样技术,財務管理組,2017-03-23
2916208,imputation tax system,兩稅合一,,转税制,財務管理組,2017-03-23
2916209,incentives agency,激勵代理,,激励代理,財務管理組,2017-03-23
2916210,income beneficiary,收益受益人,,收入受益人,財務管理組,2017-03-23
2916211,income bond,收益公司債,,,財務管理組,2017-03-23
2916212,income statement,損益表,,,財務管理組,2017-03-23
2916213,incomplete contracts,不完全契約,,不完全契约,財務管理組,2017-03-23
2916214,incompleteness market hypothesis,不完全市場假說,,不完全市场假说,財務管理組,2017-03-23
2916215,incremental cash flow,增量現金流量,,,財務管理組,2017-03-23
2916216,"index amortizing swap, IAS",指數攤銷利率交換,,,財務管理組,2017-03-23
2916217,index arbitrage,指數套利,,指数套利,財務管理組,2017-03-23
2916218,index fund,指數基金,,指数基金,財務管理組,2017-03-23
2916219,index futures,指數期貨,,指数期货,財務管理組,2017-03-23
2916220,index option,指數選擇權,,指数期权,財務管理組,2017-03-23
