ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3540592,"Ellis, David",艾利斯,,埃利斯,英國,作曲,1933-,2018-05-30
3540593,"Elman, Mischa",艾爾曼,,埃尔曼,俄國,小提琴,1891-1967,2018-05-30
3540594,"Elmendorff, Karl",艾門朵夫,,埃尔门多夫,德國,指揮,1891-1962,2018-05-30
3540595,"Elsner, Joseph",艾爾斯納,,埃尔斯纳,波蘭,作曲,1769-1854,2018-05-30
3540596,"Emborg, Jens Laurson",恩博,,恩博格,丹麥,作曲,1876-1957,2018-05-30
3540597,"Emmanuel, Maurice",埃瑪紐耶爾,,埃玛纽埃尔,法國,作曲,1862-1938,2018-05-30
3540598,"Enescu, George（Enesco, Georges）",艾內斯科,,埃内斯库,羅馬尼亞,小提琴；作曲,1881-1955,2018-05-30
3540599,"Engel, Carl",恩格爾,,恩格尔,德國,鋼琴,1818-1882,2018-05-30
3540600,"Englund, Einar Sven",恩格倫德,,恩格隆德,芬蘭,作曲,1916-1999,2018-05-30
3540601,"Entremont, Philippe",恩特蒙,,昂特勒蒙,法國,鋼琴,1934-,2018-05-30
3540602,"Eötvös, Peter",艾厄特沃斯,,埃厄特沃什,匈牙利,作曲,1944-,2018-05-30
3540603,"Epstein, Julius",艾布斯坦,,爱泼斯坦,奧地利,鋼琴,1832-1926,2018-05-30
3540604,"Erede, Alberto",艾雷德,,埃瑞德,義大利,指揮,1909-2001,2018-05-30
3540605,"Erickson, Robert",艾瑞克森,,埃里克森,美國,作曲,1917-1997,2018-05-30
3540606,"Ernst, Heinrich Wilhelm",恩斯特,,恩斯特,捷克,小提琴；作曲,1814-1865,2018-05-30
3540607,"Eschenbach, Christoph",艾森巴赫,,埃申巴赫,德國,鋼琴；指揮,1940-,2018-05-30
3540608,"Escobar, Luis Antonio",艾斯哥巴爾,,埃斯科巴尔,哥倫比亞,作曲,1925-1993,2018-05-30
3540609,"Escudero, Francisco",艾斯庫德羅,,埃斯库德罗,西班牙,作曲,1912-2002,2018-05-30
3540610,"Eshpay, Andrey",艾希拜,,埃什巴伊,俄國,作曲,1925-2015,2018-05-30
3540611,"Essipoff, Annette",艾西波芙,,耶西波夫,俄國,鋼琴,1851-1914,2018-05-30
3540612,"Estrada, Carlos",艾斯特拉達,,埃斯特拉达,烏拉圭,作曲；指揮,1909-1970,2018-05-30
3540613,"Etkin, Mariano",艾特金,,埃特金,阿根廷,作曲,1943-,2018-05-30
3540614,"Evans, David",伊文斯，大衛,,伊文斯，大卫,英國,作曲,1874-1948,2018-05-30
3540615,"Evans, Edwin (i)",伊文斯一世，艾德文,,伊文斯一世，艾德文,英國,管風琴；著作,1844-1923,2018-05-30
3540616,"Evans, Edwin (ii)",伊文斯二世，艾德文,,伊文斯二世，艾德文,英國,音樂著作,1874-1945,2018-05-30
3540617,"Eysler, Edmund",艾斯勒,,艾斯勒,奧地利,作曲,1874-1949,2018-05-30
3540618,"Faccio, Franco",法丘,,法乔,義大利,指揮；作曲,1840-1891,2018-05-30
3540619,"Fachiri, Adila",法琪莉,,法希里,匈牙利,小提琴,1886-1962,2018-05-30
3540620,"Fagan, Gideon",費根,,法甘,南非,指揮；作曲,1904-1980,2018-05-30
3540621,"Fakhradov, Zaur",法克拉朵夫,,法赫拉朵夫,阿塞拜疆,作曲,1965-,2018-05-30
3540622,"Falla, Manuelde",法雅,,法雅,西班牙,作曲；鋼琴,1876-1946,2018-05-30
3540623,"Farinelli, (Carlo Broschi)",法里內利,,法里内利,義大利,,1705-1782,2018-05-30
3540624,"Farkas, Ferenc",法卡斯，費倫次,,福考什，费伦茨,匈牙利,作曲,1905-2000,2018-05-30
3540625,"Farkas, Ödön",法卡斯，厄登,,福尔考什，厄顿,匈牙利,作曲,1952-1912,2018-05-30
3540626,"Fauré, Gabriel",佛瑞,,福雷，加布里埃尔,法國,作曲；管風琴,1845-1924,2018-05-30
3540627,"Faure, Jean-Baptiste",佛爾,,富尔，让-巴布蒂斯特,法國,作曲；男中音,1830-1914,2018-05-30
3540628,"Feinberg, Samuel",芬伯格,,法因贝格,俄國,鋼琴,1890-1962,2018-05-30
3540629,"Feldman, Morton",費德曼,,费尔德曼,美國,作曲,1926-1987,2018-05-30
3540630,"Fenby, Eric",芬畢,,芬比,英國,作曲,1906-1997,2018-05-30
3540631,"Ferencsik, János",費倫契克,,费伦契克,匈牙利,指揮,1907-1984,2018-05-30
3540632,"Ferguson, Howard",費格森,,弗格森,愛爾蘭,作曲,1908-1999,2018-05-30
3540633,"Fernandez, Maria Antonia",費南德斯,,费尔南德斯,西班牙,,1751-1787,2018-05-30
3540634,"Ferras, Christian",費拉斯,,费拉斯,法國,小提琴,1933-1982,2018-05-30
3540635,"Ferrero, Willy",費雷洛,,费雷罗,義大利,指揮；作曲,1906-1954,2018-05-30
3540636,"Ferrier, Kathleen",費里爾,,费里尔,英國,女低音,1912-1953,2018-05-30
3540637,"Fesch, Willemde",費許,,费什,荷蘭,作曲,1687-1757,2018-05-30
3540638,"Feuermann, Emmanuel",佛耶曼,,佛厄曼,奧地利,大提琴,1902-1942,2018-05-30
3540639,"Février, Henri",費弗里耶,,费夫里耶,法國,作曲,1875-1957,2018-05-30
3540640,"Fibich, Zdenek",費畢希,,菲比赫,捷克,作曲,1850-1900,2018-05-30
3540641,"Fiedler, Arthur",費德勒，阿瑟,,菲德勒，阿瑟,美國,指揮,1894-1979,2018-05-30
3540642,"Fiedler, Max",費德勒，馬克斯,,菲德勒，马克斯,德國,指揮；作曲,1859-1939,2018-05-30
3540643,"Field, John",費爾德,,菲尔德,愛爾蘭,鋼琴；作曲,1782-1837,2018-05-30
3540644,"Finch, Steven",芬奇,,芬奇,美國,作曲,1959-,2018-05-30
3540645,"Finck, Heinrich",芬克，海因利希,,芬克,德國,作曲,1445-1527,2018-05-30
3540646,"Fine, Irving",范因，厄文,,法恩,美國,作曲,1914-1962,2018-05-30
3540647,"Finzi, Gerald",芬濟,,芬齐,英國,作曲,1901-1956,2018-05-30
3540648,"Fischer, Annie",費雪，安妮,,菲舍尔，安妮,匈牙利,鋼琴,1914-1995,2018-05-30
3540649,"Fischer, Carl",費雪，卡爾,,菲舍尔，卡尔,美國,音樂出版,1849-1923,2018-05-30
3540650,"Fischer, Edwin",費雪，艾德溫,,菲舍尔，埃德温,瑞士,鋼琴；指揮,1886-1960,2018-05-30
3540651,"Fischer, Johann Kaspar Ferdinand",費雪，約翰,,菲舍尔，约翰,德國,作曲,ca.1670-1746,2018-05-30
3540652,"Fischer-Dieskau, Dietrich",費雪－迪斯考,,菲舍尔-迪斯考,德國,指揮；男中音,1925-2012,2018-05-30
3540653,"Fišer, Luboš",費舍,,菲舍尔，卢博什,捷克,作曲,1935-1999,2018-05-30
3540654,"Fistoulari, Anatole",費斯圖拉瑞,,菲斯图拉里,英國,指揮,1907-1995,2018-05-30
3540655,"Fitelberg, Grzegorz",費泰貝格，葛格瑞戈茲,,菲特尔贝格，格热戈日,波蘭,指揮,1879-1953,2018-05-30
3540656,"Fitelberg, Jerzy",費泰貝格，耶濟,,菲特尔贝格，耶济,波蘭,作曲,1903-1951,2018-05-30
3540657,"Fjeldstad, Oivin",費耶爾斯塔,,费耶尔斯塔特，厄伊温,挪威,指揮,1903-1983,2018-05-30
3540658,"Flagstad, Kirsten",弗拉格斯塔,,弗拉格斯塔，希尔斯滕,挪威,女高音,1895-1962,2018-05-30
3540659,"Fleisher, Leon",弗萊雪,,弗莱舍，利昂,美國,鋼琴；指揮,1928-,2018-05-30
3540660,"Flesch, Carl",弗雷許,,弗莱施,匈牙利,小提琴,1873-1944,2018-05-30
3540661,"Flothuis, Marius",弗洛徒伊斯,,弗洛特伊斯,荷蘭,作曲；音樂學,1914-2001,2018-05-30
3540662,"Flotow, Friedrich von",弗洛妥,,弗洛托,德國,歌劇作曲,1812-1883,2018-05-30
3540663,"Foldes, Andor",佛德斯,,福尔代什,美國,鋼琴,1913-1992,2018-05-30
3540664,"Fontana, Julian (Jules)",馮塔納，朱利安,,冯塔纳，朱利安,波蘭,作曲,1810-1869,2018-05-30
3540665,"Forester, Josef Bohuslav",佛爾斯特,,福雷斯特,捷克,作曲；管風琴,1859-1951,2018-05-30
3540666,"Forestier, Mathurin",佛瑞斯提耶,,福雷斯捷,法國,作曲,1470?-1540?,2018-05-30
3540667,"Formichi, Cesare",佛爾米基,,福尔米基,義大利,男中音,1887-1949,2018-05-30
3540668,"Förster, Emanuel Aloys",弗爾斯特,,弗尔斯特,奧地利,作曲；音樂理論,1748-1823,2018-05-30
3540669,"Foss, Lukas",佛斯,,福斯,美國,作曲；鋼琴,1922-2009,2018-05-30
3540670,"Foster, Lawrence",佛斯特，勞倫斯,,福斯特，劳伦斯,美國,指揮,1941-,2018-05-30
3540671,"Foster, Stephen Collins",佛斯特，史提芬,,"福斯特,斯蒂芬",美國,歌謠作曲,1826-1864,2018-05-30
3540672,"Fournet, Jean",傅爾內,,富尔内，让,法國,指揮,1913-2008,2018-05-30
3540673,"Fournier, Pierre",傅尼葉,,富尼耶，皮埃尔,法國,大提琴,1906-1986,2018-05-30
3540674,"Frager, Malcolm",弗雷格,,弗雷格,美國,鋼琴,1935-1991,2018-05-30
3540675,"Françaix, Jean",弗朗謝,,弗朗赛,法國,作曲；鋼琴,1912-1997,2018-05-30
3540676,"Francescatti, Zino",弗朗切斯卡第,,弗朗切斯卡蒂,法國,小提琴,1902-1991,2018-05-30
3540677,"Franchetti, Alberto",弗朗凱第,,弗兰凱蒂,義大利,作曲,1860-1942,2018-05-30
3540678,"Franchomme, Auguste",弗朗科姆,,弗朗肖姆,法國,大提琴,1808-1884,2018-05-30
3540679,"Franck, César",法朗克，賽札爾,,法朗克，塞萨尔,比利時,管風琴；作曲,1822-1890,2018-05-30
3540680,"François, Samson",弗朗索瓦,,弗朗索瓦,法國,鋼琴,1924-1970,2018-05-30
3540681,"Frankel, Benjamin",弗朗可,,弗兰克尔·本杰明,英國,作曲；指揮,1906-1973,2018-05-30
3540682,"Frankl, Peter",弗朗科,,弗兰克尔·彼得,匈牙利,鋼琴,1935-,2018-05-30
3540683,"Frémaux, Louis",弗雷莫,,弗雷莫,法國,指揮,1921-,2018-05-30
3540684,"Freni, Mirella",弗蕾妮,,弗雷妮,義大利,女高音,1935-,2018-05-30
3540685,"Frescobaldi, Girolamo",弗雷斯科巴第,,弗雷斯科巴尔迪,義大利,管風琴；作曲,1583-1643,2018-05-30
3540686,"Frick, Gottlob",弗利克,,弗里克,德國,男低音,1906-1994,2018-05-30
3540687,"Fricsay, Ferenc",弗利卻,,弗里乔伊,匈牙利,指揮,1914-1963,2018-05-30
3540688,"Fried, Oskar",弗利德,,费里德,德國,指揮；作曲,1871-1941,2018-05-30
3540689,"Friedheim, Arthur",弗利德海姆,,弗里德海姆,德國,鋼琴,1859-1932,2018-05-30
3540690,"Friedman, Ignaz",弗利德曼,,弗里德曼,波蘭,鋼琴,1882-1948,2018-05-30
3540691,"Friedrich II, der Grosse (the Great)",弗里德里希二世,,弗里德里希二世,德國,作曲；長笛,1712-1786,2018-05-30
3540692,"Friml, Rudolf",弗里摩爾,,弗里姆尔,美國,鋼琴；作曲,1879-1972,2018-05-30
3540693,"Froberger, Johann Jocub",弗羅貝格爾,,弗罗贝格尔,德國,作曲；管風琴,1616-1667,2018-05-30
3540694,"Frühbeck de Burgos, Rafael",弗呂貝克 德 布果斯,,福吕贝克 德 布果斯,西班牙,指揮,1933-2014,2018-05-30
3540695,"Fuchs, Carl",傅克斯，卡爾,,富克斯；卡尔,德國,音樂學,1838-1922,2018-05-30
3540696,"Fuchs, Johann Nepomuk",傅克斯，約翰,,富克斯，约翰,奧地利,作曲；指揮,1842-1899,2018-05-30
3540697,"Fuchs, Joseph",傅克斯，約瑟夫,,富克斯，约瑟夫,美國,小提琴,1900-1997,2018-05-30
3540698,"Furrer, Beat",傅雷爾,,富雷尔,瑞士,作曲,1954-,2018-05-30
3540699,"Furtwängler, Wilhelm",福特溫格勒,,富特文格勒,德國,指揮,1886-1954,2018-05-30
3540700,"Gabrieli, Giovanni",加布里耶利，喬望尼,,加布里埃利，乔凡尼,義大利,管風琴；作曲,ca.1557-1612,2018-05-30
3540701,"Gabrielli, Domenico",加布里耶利，多門尼可,,加布里埃利，多门尼科,義大利,作曲；大提琴,1651-1690,2018-05-30
3540702,Gabrilowitsch Ossip,加布里洛維奇,,加布里洛维奇,俄國,鋼琴；作曲；指揮,1878-1936,2018-05-30
3540703,"Gade, Niels Vilhelm",加德,,加岱,丹麥,作曲；管風琴；小提琴,1817-1890,2018-05-30
3540704,"Gál, Hans",加爾,,加尔,奧地利,音樂學；作曲,1890-1987,2018-05-30
3540705,"Galindo Dimas, Blas",加林多,,加林多,墨西哥,作曲,1910-1993,2018-05-30
3540706,"Galliard, John Ernest",加利亞德,,加利亚特,德國,作曲,1680-1749,2018-05-30
3540707,"Galli-Curci, Amelita",加利－庫契,,加利-库尔奇,義大利,女高音,1882-1963,2018-05-30
3540708,"Galliera, Alceo",加利耶拉,,加利耶拉,義大利,指揮；作曲,1910-1996,2018-05-30
3540709,"Galuppi, Baldassare",加魯比,,加卢比,義大利,作曲,1706-1785,2018-05-30
3540710,"Galway, James",高威,,高尔韦,愛爾蘭,長笛,1939-,2018-05-30
3540711,"Ganebin, Henri",加內班,,加内班,瑞士,作曲,1886-1977,2018-05-30
3540712,"Ganz, Rudolf",甘茲，魯道夫,,甘茨，鲁道夫,瑞士,鋼琴；作曲；指揮,1877-1972,2018-05-30
3540713,"Ganz, Wilhelm",甘茲，威廉,,甘茨，威廉,德國,鋼琴；指揮,1833-1914,2018-05-30
3540714,"Garaguly, Carl",加拉古利,,加拉古利,瑞典,小提琴；指揮,1900-1984,2018-05-30
3540715,"García Acevedo, Mario",加西亞·阿謝維多,,加西亚·阿塞韦多,阿根廷,作曲,1926-,2018-05-30
3540716,"Gardelli, Lamberto",加爾代利,,加尔代利,義大利,指揮；作曲,1915-1998,2018-05-30
3540717,"Gardiner, John Eliot",加迪納，約翰,,加迪纳,英國,指揮,1943-,2018-05-30
3540718,"Gaubert, Philippe",戈貝爾,,戈贝尔,法國,指揮；作曲,1879-1941,2018-05-30
3540719,"Gaveaux, Pierre",加沃,,加沃,法國,作曲；男高音,1760-1825,2018-05-30
3540720,"Gaviniès, Pierre",加維尼葉斯,,加维涅斯,法國,小提琴；作曲,1728-1800,2018-05-30
3540721,"Gay, John",蓋伊,,盖伊,英國,劇作,1685-1732,2018-05-30
3540722,"Gedda, Nicolai",蓋達,,耶达,瑞典,男高音,1925-2017,2018-05-30
3540723,"Gedike, Alexander",基代克,,格季克,俄國,作曲,1877-1957,2018-05-30
3540724,"Geiringer, Karl",蓋林格,,盖林格,美國,音樂學,1899-1989,2018-05-30
3540725,"Geminiani, Francesco",傑米尼亞尼,,杰米尼亚尼,義大利,小提琴；作曲,1687-1762,2018-05-30
3540726,"Gendron, Maurice",冉德隆,,让德龙,法國,大提琴,1920-1990,2018-05-30
3540727,"Genin, Paul Agricole",杰南,,热南,法國,作曲,1832-1903,2018-05-30
3540728,"Gerhardt, Elena",蓋哈特,,格哈特,德國,女高音,1883-1961,2018-05-30
3540729,"Gershwin, George",蓋希文,,格什温,美國,作曲；鋼琴,1898-1937,2018-05-30
3540730,"Gerster, Etelka",蓋絲特,,格斯特,匈牙利,女高音,1855-1920,2018-05-30
3540731,"Gertler, Andre",蓋特勒,,格特勒,匈牙利,小提琴,1907-1998,2018-05-30
3540732,"Gervaise, Claude",傑爾維茲,,热尔韦斯,法國,作曲,1525-1560,2018-05-30
3540733,"Gesualdo, Carlo",傑蘇阿爾多,,杰苏阿尔多,義大利,作曲；魯特琴,ca.1560-1613,2018-05-30
3540734,"Ghiaurov, Nicolai",紀奧羅夫,,基亚乌罗夫,保加利亞,男低音,1929-2004,2018-05-30
3540735,"Giacomelli, Germiniano",賈可梅利,,贾科梅利,義大利,作曲,ca.1692-1740,2018-05-30
3540736,"Gibbons, Christopher",吉本斯，克利斯朵夫,,吉本斯，克里斯托弗,英國,作曲；管風琴,1615-1676,2018-05-30
3540737,"Gibbons, Orlando",吉本斯，奧蘭多,,吉本斯，奥兰多,英國,作曲；風琴,1583-1625,2018-05-30
3540738,"Gibson, Alexander",吉布森，亞力山大,,吉布森,英國,指揮,1926-1995,2018-05-30
3540739,"Gielen, Michael",紀倫,,吉伦,奧地利,作曲；指揮；鋼琴,1927-,2018-05-30
3540740,"Gieseking, Walter",紀瑟金,,吉塞金,德國,鋼琴,1895-1956,2018-05-30
3540741,"Gigli, Beniamino",吉利，貝尼亞米諾,,吉利,義大利,男高音,1890-1957,2018-05-30
3540742,"Gilardi, Gilardo",希拉迪,,希拉尔迪,阿根廷,作曲,1889-1963,2018-05-30
3540743,"Gilbert, Henry F.",紀伯特,,吉尔伯特,美國,作曲,1868-1928,2018-05-30
3540744,"Gilels, Emil",吉利爾斯,,吉列尔斯,俄國,鋼琴,1916-1985,2018-05-30
3540745,"Gimpel, Bronislav",吉姆佩爾,,金佩尔,美國,作曲,1911-1979,2018-05-30
3540746,"Ginastera, Alberto",希納斯特拉,,希纳斯特拉,阿根廷,作曲,1916-1983,2018-05-30
3540747,"Giordani, Giuseppe",喬大尼,,乔尔达尼,義大利,作曲,1743-1798,2018-05-30
3540748,"Giordano, Umberto",喬大諾,,乔尔达诺,義大利,作曲,1867-1948,2018-05-30
3540749,"Giovannelli, Ruggiero",喬瓦內利,,焦万内利,義大利,作曲,ca.1560-1625,2018-05-30
3540750,"Giuliani, Mauro",朱利亞尼,,朱利亚尼,義大利,作曲；吉他,1781-1829,2018-05-30
3540751,"Giulini, Carlo Maria",朱利尼,,朱利尼,義大利,指揮,1914-2005,2018-05-30
3540752,"Glass, Philip",葛拉斯，菲利普,,格拉斯,美國,作曲,1937-,2018-05-30
3540753,"Glasser, Stanley",葛拉瑟,,格拉瑟,南非,作曲,1926-,2018-05-30
3540754,"Glazunov, Alexander",葛拉祖諾夫,,格拉祖诺夫,俄國,作曲,1865-1936,2018-05-30
3540755,"Glenn, Carroll",格倫,,格伦,美國,小提琴,1924-,2018-05-30
3540756,"Glière, Reinhold (Moritzovich)",葛里耶爾,,格利埃尔,俄國,作曲,1875-1956,2018-05-30
3540757,"Glinka, Mikhail (Ivanovich)",葛令卡,,格林卡,俄國,作曲,1804-1857,2018-05-30
3540758,"Glover, Jane",葛洛芙,,格洛弗,英國,指揮；音樂學,1949-,2018-05-30
3540759,"Gluck, Christoph Willibald von",葛路克,,格鲁克,德國,作曲,1714-1787,2018-05-30
3540760,"Gnesin, Mikhail",葛內辛,,格湼辛,俄國,作曲；音樂學,1883-1957,2018-05-30
3540761,"Gobbi, Tito",哥比,,戈比,義大利,男中音,1913-1984,2018-05-30
3540762,"Godard, Benjamin",郭大爾,,戈达尔,法國,作曲；中提琴,1849-1895,2018-05-30
3540763,"Godowsky, Leopold",郭多夫斯基,,戈多夫斯基,美國,鋼琴；作曲,1870-1938,2018-05-30
3540764,"Goehr, Alexander",哥爾，亞力山大,,戈尔，亚力山大,英國,作曲,1932-,2018-05-30
3540765,"Goehr, Walter",哥爾，華爾特,,戈尔，瓦尔特,英國,指揮；作曲,1903-1960,2018-05-30
3540766,"Goetschius, Percy",蓋丘斯,,盖丘斯,美國,音樂理論,1853-1943,2018-05-30
3540767,"Goetz, Hermann",哥茲,,戈茨,德國,作曲,1840-1876,2018-05-30
3540768,"Goeyvaerts, Karel",貴華爾茲,,戈伊威尔兹,比利時,作曲,1923-1993,2018-05-30
3540769,"Goldberg, Johann Gottlieb",郭德堡，約翰,,戈德堡，约翰,德國,管風琴；作曲,1727-1756,2018-05-30
3540770,"Goldberg, Szymon",郭德堡，西蒙,,戈德堡，西蒙,美國,小提琴；指揮,1909-1993,2018-05-30
3540771,"Goldmark, Karl",郭德馬克，卡爾,,戈德马克，卡尔,匈牙利,作曲,1830-1915,2018-05-30
3540772,"Goldmark, Rubin",郭德馬克，魯賓,,戈德马克，鲁宾,美國,作曲,1872-1936,2018-05-30
3540773,"Goldschmidt, Berthold",郭德希米特，貝陶德,,戈尔德施米特，伯特霍尔德,美國,作曲；指揮,1903-1996,2018-05-30
3540774,"Goldsmith, Jerry",郭德史密斯,,戈德史密斯,美國,作曲,1929-2004,2018-05-30
3540775,"Golijov, Osvaldo",戈利霍夫,,戈利霍夫,阿根廷,作曲,1960-,2018-05-30
3540776,"Golschmann, Vladimir",戈希曼,,戈尔什曼,美國,指揮,1893-1972,2018-05-30
3540777,"Gombert, Nicolas",龔貝爾,,贡贝尔,法國,作曲,ca.1495-1560,2018-05-30
3540778,"Gomes, Antonio Carlos",戈梅斯,,戈梅斯,巴西,作曲,1836-1896,2018-05-30
3540779,"Goodall, Reginald",顧達爾,,古达尔,英國,指揮,1905-1990,2018-05-30
3540780,"Goode,Richard",顧德,,古德，理查德,美國,鋼琴,1943-,2018-05-30
3540781,"Goodman, Benny",顧德曼,,古德曼，本尼,美國,單簧管,1909-1986,2018-05-30
3540782,"Goossens, Eugene",顧森斯,,古森斯,英國,作曲；指揮,1893-1962,2018-05-30
3540783,"Górecki, Henryk",戈雷茨基,,戈雷茨基,波蘭,作曲,1933-2010,2018-05-30
3540784,"Gossec, François-Joseph",郭賽克,,戈塞克,法國,作曲,1734-1829,2018-05-30
3540785,"Gottschalk, Louis Moreau",戈特夏克,,戈特沙尔克,美國,鋼琴；指揮；作曲,1829-1869,2018-05-30
3540786,"Gould, Glenn",顧爾德，葛倫,,古尔德，格伦,加拿大,鋼琴,1932-1982,2018-05-30
3540787,"Gould, Morton",顧爾德，莫爾頓,,古尔德，莫顿,美國,鋼琴；指揮,1913-1996,2018-05-30
3540788,"Gounod, Charles",古諾,,古诺,法國,作曲,1818-1893,2018-05-30
3540789,"Graffman, Gary",葛拉夫曼,,格拉夫曼,美國,鋼琴,1928-,2018-05-30
3540790,"Grainger, Percy",葛林傑,,格兰杰,美國,鋼琴；作曲,1882-1961,2018-05-30
3540791,"Granados, Enrique",葛拉納多斯,,格拉纳多斯,西班牙,作曲；鋼琴,1867-1916,2018-05-30
3540792,"Grandjany, Marcel",葛朗賈尼,,格朗贾尼,美國,豎琴,1891-1975,2018-05-30
3540793,"Greef, Arthur de",葛雷夫,,格雷夫,比利時,鋼琴；作曲,1862-1940,2018-05-30
3540794,"Greindl, Josef",葛萊因德,,格赖因德尔,德國,男低音,1912-1993,2018-05-30
3540795,"Gretchaninov, Alexander",葛雷查尼諾夫,,格雷查尼诺夫,俄國,作曲；指揮,1864-1956,2018-05-30
3540796,"Grétry, André Ernest Modeste",葛雷特利,,格雷特里,比利時,作曲,1741-1813,2018-05-30
3540797,"Grieg, Edvard",葛利格,,格里格,挪威,作曲,1843-1907,2018-05-30
3540798,"Griffes, Charles Tomlinson",葛利菲斯,,格里菲斯,美國,鋼琴；作曲,1884-1920,2018-05-30
3540799,"Grofé, Ferde",葛羅菲,,格罗菲,美國,作曲；鋼琴,1892-1972,2018-05-30
3540800,"Grondahl, Launy",葛隆達,,格龙达尔,丹麥,作曲,1886-1960,2018-05-30
3540801,"Groot, Corde",葛路特，格爾,,格罗特，科尔,荷蘭,作曲；鋼琴,1914-1993,2018-05-30
3540802,"Groot, Jan Rokusde",葛路特，楊 洛庫斯,,格罗特，扬 洛库斯,荷蘭,作曲,1960-2005,2018-05-30
3540803,"Grout, Donald Jay",葛勞特,,格劳特,美國,音樂學,1902-1987,2018-05-30
3540804,"Grove, George",葛洛夫，喬治,,格罗夫，乔治,英國,音樂學,1820-1900,2018-05-30
3540805,"Groves, Charles",葛洛夫斯,,格罗夫斯,英國,指揮,1915-1992,2018-05-30
3540806,"Gruber, Heinz Karl",葛魯柏,,格鲁贝尔,奧地利,作曲,1943-,2018-05-30
3540807,"Gruenberg, Erich",葛倫貝格,,格伦伯格,英國,小提琴；指揮,1924-,2018-05-30
3540808,"Grumiaux, Arthur",葛魯米歐,,格鲁米约,比利時,小提琴,1921-1986,2018-05-30
3540809,"Grümmer, Elisabeth",葛呂梅,,格吕默尔,德國,女高音,1911-1986,2018-05-30
3540810,"Grüner-Hegge, Odd",葛呂納－黑格,,格吕纳-黑格,挪威,指揮；作曲,1899-1973,2018-05-30
3540811,"Guarneri, Giuseppe Antonio",瓜內里,,瓜尔内里,義大利,小提琴製造,1698-1744,2018-05-30
3540812,"Guarnieri, Camarco",瓜涅里,,瓜尔涅里，加马科,巴西,作曲；指揮,1907-1993,2018-05-30
3540813,"Guastavino, Carlos",瓜斯塔維諾,,瓜斯塔维诺,阿根廷,作曲；鋼琴,1912-2000,2018-05-30
3540814,"Gubaidulina, Sofia",古拜杜莉娜,,古拜杜丽娜,阿塞拜疆,作曲,1931-,2018-05-30
3540815,"Gueden, Hilde",桂登,,居登,奧地利,女高音,1917-1988,2018-05-30
3540816,"Gui, Vittorio",古伊,,古伊,義大利,指揮；作曲,1885-1975,2018-05-30
3540817,Guido d'Arezzo,桂多－達雷左,,圭多-达雷佐,義大利,音樂理論,ca.997-1050,2018-05-30
3540818,"Guiraud, Ernest",吉羅,,吉罗,法國,作曲,1837-1892,2018-05-30
3540819,"Gulda, Friedrich",顧爾達,,古尔达,奧地利,鋼琴,1930-2000,2018-05-30
3540820,"Gurlitt, Cornelius",顧利特，柯內流斯,,古利特，科尔内留斯,德國,作曲,1820-1901,2018-05-30
3540821,"Gurlitt, Manfred",顧利特，曼福瑞,,古利特，曼弗雷德,德國,指揮；作曲,1890-1973,2018-05-30
3540822,"Gurlitt, Wilibald",顧利特，威利巴德,,古利特，维利巴德,德國,音樂學,1889-1963,2018-05-30
3540823,"Haas, Monique",阿絲,,阿斯,法國,鋼琴,1909-1987,2018-05-30
3540824,"Haas, Pavel",哈斯，帕維爾,,哈斯，帕维尔,捷克,作曲,1899-1944,2018-05-30
3540825,"Haas, Robert",哈斯，羅伯,,哈斯，罗伯特,捷克,音樂學,1886-1960,2018-05-30
3540826,"Haba, Alois",哈巴，阿洛伊斯,,哈巴，阿洛伊斯,捷克,作曲,1893-1973,2018-05-30
3540827,"Haba, Karel",哈巴，卡瑞爾,,哈巴，卡雷尔,捷克,；小提琴,1898-1972,2018-05-30
3540828,"Hachimura, Yoshio",八村義夫,,八村义夫,日本,作曲,1938-1985,2018-05-30
3540829,"Hadley, Henry",哈德利，亨利,,哈德利,奧地利,作曲；指揮,1871-1937,2018-05-30
3540830,"Haebler, Ingrid",黑布勒,,黑布勒,奧地利,鋼琴,1929-,2018-05-30
3540831,"Haendel, Ida",亨德爾，伊達,,亨德尔，伊达,英國,小提琴,1928-,2018-05-30
3540832,"Haitink, Bernard",海汀克,,海丁克,荷蘭,指揮,1929-,2018-05-30
3540833,"Hajibeyov, Uzeyir",哈吉貝祐夫,,哈吉贝约夫,阿塞拜疆,作曲,1885-1948,2018-05-30
3540834,"Halévy, Jacques-François",阿列維,,阿列维,法國,作曲,1799-1862,2018-05-30
3540835,"Halffter, Cristobal",阿福特，克利斯多巴,,阿尔夫特，克里斯多巴尔,西班牙,作曲；指揮,1930-,2018-05-30
3540836,"Halffter, Ernesto",阿福特，艾爾內斯多,,阿尔夫特，埃内斯多,西班牙,指揮；作曲,1905-1989,2018-05-30
3540837,"Halffter, Rodolfo",阿福特，羅多佛,,阿尔夫特，鲁道夫,西班牙,作曲,1900-1987,2018-05-30
3540838,"Halvorsen, Johan",哈沃森,,哈尔沃森,挪威,小提琴；作曲,1864-1935,2018-05-30
3540839,"Hambourg, Mark",漢堡，馬克,,汉伯格,俄國,鋼琴,1879-1960,2018-05-30
3540840,"Handel George Friedrich (Händel, Georg Friedrich)",韓德爾,,亨德尔,德國,作曲,1685-1759,2018-05-30
