ID,英文名稱,中文名稱,圖片,中國大陸譯名,公告日期,更新日期
3177714,anaerobic respiration,無氧呼吸,,无氧呼吸,104.11.09,2017-07-24
3177715,anaerobiosis,無氧生活,,无氧生活,104.11.09,2017-07-24
3177716,anaholomorph,無性全型,,无性全型,104.11.09,2017-07-24
3177717,analogous organ,同功器官,,同功器官,104.11.09,2017-07-24
3177718,anamorph,無性型,,无性型,104.11.09,2017-07-24
3177719,anaphase,後期{細胞周期},,[分裂]后期,104.11.09,2017-07-24
3177720,anaphysis,絲狀孢梗,,丝状孢梗,104.11.09,2017-07-24
3177721,anastomosis,網結[現象],,网结[现象]；联结[现象],104.11.09,2017-07-24
3177722,anatomy,解剖學,,解剖学,104.11.09,2017-07-24
3177723,anatropous ovule,倒生胚珠,,倒生胚珠,104.11.09,2017-07-24
3177724,anchoring root,固著根；顧著根,,固着根,104.11.09,2017-07-24
3177725,androchore,人佈植物,,人布植物,104.11.09,2017-07-24
3177726,androconidium,雄分生孢子,,雄分生孢子,104.11.09,2017-07-24
3177727,androcyte,精原細胞,,雄细胞,104.11.09,2017-07-24
3177728,androecium,雄花器；雄蕊群,,雄蕊群,104.11.09,2017-07-24
3177729,androgenesis,孤雄生殖,,单雄生殖；雄核发育,104.11.09,2017-07-24
3177730,androgynophore,雌雄蕊柄,,雌雄蕊柄,104.11.09,2017-07-24
3177731,androphile,伴人植物,,伴人植物,104.11.09,2017-07-24
3177732,androphore,雄蕊柄,,雄蕊柄,104.11.09,2017-07-24
3177733,androspore,小孢子；雄孢子,,小孢子,104.11.09,2017-07-24
3177734,anemochore,風布植物,,风布植物,104.11.09,2017-07-24
3177735,anemoentomophily,風蟲媒,,风虫媒,104.11.09,2017-07-24
3177736,anemophilous flower,風媒花,,风媒花,104.11.09,2017-07-24
3177737,anemophilous plant,風媒植物,,风媒植物,104.11.09,2017-07-24
3177738,anemophilous pollination,風媒授粉,,风媒传粉,104.11.09,2017-07-24
3177739,anemophily,風媒,,风媒,104.11.09,2017-07-24
3177740,anemosporae,風布植物,,风布植物,104.11.09,2017-07-24
3177741,aneuploid,非整倍體,,非整倍体,104.11.09,2017-07-24
3177742,Angara flora,安加拉植物相,,安加拉植物区系,104.11.09,2017-07-24
3177743,angiosperm,被子植物,,被子植物,104.11.09,2017-07-24
3177744,angulaperturate,頂角萌發孔的,,角萌发孔[的],104.11.09,2017-07-24
3177745,anion exchange,陰離子交換,,阴离子交换,104.11.09,2017-07-24
3177746,anion respiration,陰離子呼吸,,阴离子呼吸,104.11.09,2017-07-24
3177747,anisogamete,異形配子,,异形配子,104.11.09,2017-07-24
3177748,anisogamy,異配結合；異配生殖,,异配生殖,104.11.09,2017-07-24
3177749,anisospore,異型孢子,,异形孢子,104.11.09,2017-07-24
3177750,annellide,還痕梗,,环痕梗,104.11.09,2017-07-24
3177751,annellophore,還痕梗,,环痕梗,104.11.09,2017-07-24
3177752,annellospore,還痕孢子,,环痕孢子,104.11.09,2017-07-24
3177753,annual,一年生植物,,一年生植物,104.11.09,2017-07-24
3177754,annual plant,一年生植物,,一年生植物,104.11.09,2017-07-24
3177755,annual ring,年輪,,年轮,104.11.09,2017-07-24
3177756,annular thickening,環狀增厚,,环状加厚,104.11.09,2017-07-24
3177757,annulus,環帶{植物}；孔環{植物}；菌環{蕈菌},,菌环,104.11.09,2017-07-24
3177758,anomalous structure,異常構造,,异常结构,104.11.09,2017-07-24
3177759,anomotreme,不規則萌發孔,,不规则萌发孔,104.11.09,2017-07-24
3177760,anoxia,無氧的,,缺氧,104.11.09,2017-07-24
3177761,anoxygenic photosynthesis,不生氧光合作用,,不生氧光合作用,104.11.09,2017-07-24
3177762,antagonism,拮抗作用,,拮抗作用,104.11.09,2017-07-24
3177763,antagonist,拮抗物,,拮抗物,104.11.09,2017-07-24
3177764,antagonistic action,拮抗作用,,拮抗作用,104.11.09,2017-07-24
3177765,antarctic realm,南極界,,南极界,104.11.09,2017-07-24
3177766,antenna pigment,天線色素,,天线色素,104.11.09,2017-07-24
3177767,anthecology,花生態學,,花生态学,104.11.09,2017-07-24
3177768,anther,花葯,,花药,104.11.09,2017-07-24
3177769,anther cell,药室,,药室,104.11.09,2017-07-24
3177770,anther culture,花葯培養,,花药培养,104.11.09,2017-07-24
3177771,antheridial cell,藏精器細胞,,精子器细胞,104.11.09,2017-07-24
3177772,antheridial initial,藏精器原始細胞,,精子器原始细胞,104.11.09,2017-07-24
3177773,antheridial receptacle,藏精器托,,藏[器]托,104.11.09,2017-07-24
3177774,antheridiophore,藏精器枝,,藏[器]枝,104.11.09,2017-07-24
3177775,antheridium,藏精器,,精子器；藏精器,104.11.09,2017-07-24
3177776,anthesis,開花,,开花,104.11.09,2017-07-24
3177777,anthocarp,摻花果,,掺花果,104.11.09,2017-07-24
3177778,anthocarpous fruit,摻花果,,掺花果,104.11.09,2017-07-24
3177779,anthocyanidin,花色素,,花色素；花青素,104.11.09,2017-07-24
3177780,anthocyanin,花青素,,花色素苷；花青素苷,104.11.09,2017-07-24
3177781,anthophore,花冠柄,,花冠柄,104.11.09,2017-07-24
3177782,anthophytes,有花植物；生花植物,,有花植物；生花植物,104.11.09,2017-07-24
3177783,anti-auxin,抗生長素,,抗生长素,104.11.09,2017-07-24
3177784,antical lobe,背瓣,,背瓣,104.11.09,2017-07-24
3177785,anticlinal division,垂周分裂,,垂周分裂,104.11.09,2017-07-24
3177786,anticlinal wall,垂周壁,,垂周壁,104.11.09,2017-07-24
3177787,antipodal cell,反足細胞,,反足细胞,104.11.09,2017-07-24
3177788,antipodal embryo,反足[細胞]胚,,反足[细胞]胚,104.11.09,2017-07-24
3177789,antipodal haustorium,反足吸器,,反足吸器,104.11.09,2017-07-24
3177790,antipodal nucleus,反足核,,反足核,104.11.09,2017-07-24
3177791,antiport,反向運輸,,反向转运,104.11.09,2017-07-24
3177792,antiporter,反向運輸蛋白,,反向转运体,104.11.09,2017-07-24
3177793,antitranspirant,抗蒸騰劑,,抗蒸腾剂,104.11.09,2017-07-24
3177794,AP,木本植物花粉,,木本植物花粉,104.11.09,2017-07-24
3177795,aperture,萌發孔,,萌发孔,104.11.09,2017-07-24
3177796,aperturoid,擬萌發孔,,拟萌发孔,104.11.09,2017-07-24
3177797,tremoid,擬萌發孔,,拟萌发孔,104.11.09,2017-07-24
3177798,apical cell,頂端細胞,,顶端细胞,104.11.09,2017-07-24
3177799,apical dominance,頂端優勢,,顶端优势,104.11.09,2017-07-24
3177800,apical growth,頂端生長,,顶端生长,104.11.09,2017-07-24
3177801,apical initial,頂端原始細胞,,顶端原始细胞,104.11.09,2017-07-24
3177802,apical meristem,頂端分生組織,,顶端分生组织,104.11.09,2017-07-24
3177803,apical paraphysis,頂側絲,,顶侧丝,104.11.09,2017-07-24
3177804,apical placentation,頂生胎座型,,顶生胎座式,104.11.09,2017-07-24
3177805,apical teeth,角齒,,角齿,104.11.09,2017-07-24
3177806,apical tier,頂端層,,顶端层,104.11.09,2017-07-24
3177807,apicifixed anther,頂著[花]葯,,顶着药,104.11.09,2017-07-24
3177808,aplanosporangium,不動孢子囊,,不动孢子囊,104.11.09,2017-07-24
3177809,aplanospore,不動孢子,,不动孢子,104.11.09,2017-07-24
3177810,apocarp,離[生]心皮果,,离心皮果,104.11.09,2017-07-24
3177811,apocarpous gynoecium,離心皮雌蕊,,离心皮雌蕊,104.11.09,2017-07-24
3177812,apocarpous pistil,離心皮雌蕊,,离心皮雌蕊,104.11.09,2017-07-24
3177813,apocolpium,溝界極區,,沟界极区,104.11.09,2017-07-24
3177814,apogamy,無配[子]生殖,,无配子生殖,104.11.09,2017-07-24
3177815,apogamety,無配[子]生殖,,无配子生殖,104.11.09,2017-07-24
3177816,apomixis,無融合生殖,,无融合生殖,104.11.09,2017-07-24
3177817,apophysis,蒴台{苔蘚}；蒴托{苔蘚}；鱗盾{裸子植物}；囊托{真菌},,蒴台(苔藓)；蒴托(苔藓)；鳞盾(裸子植物)；囊托(真菌),104.11.09,2017-07-24
3177818,apoplast,質外體,,质外体,104.11.09,2017-07-24
3177819,apoplastic translocation,質外體運輸,,质外体运输,104.11.09,2017-07-24
3177820,apoporium,孔界極區,,孔界极区,104.11.09,2017-07-24
3177821,apoptosis,細胞凋亡,,细胞凋亡,104.11.09,2017-07-24
3177822,aposepalous flower,離生萼片的花,,离萼花,104.11.09,2017-07-24
3177823,apospory,無孢子生殖,,无孢子生殖,104.11.09,2017-07-24
3177824,apothecium,子囊盤,,子囊盘,104.11.09,2017-07-24
3177825,apotracheal parenchyma,離管薄壁組織,,离管薄壁组织,104.11.09,2017-07-24
3177826,apparent photosynthesis,淨光合作用,,表观光合作用,104.11.09,2017-07-24
3177827,apposition growth,添附生長,,敷着生长,104.11.09,2017-07-24
3177828,appressorium,附著器,,附着器,104.11.09,2017-07-24
3177829,aquatic plant,水生植物,,水生植物,104.11.09,2017-07-24
3177830,aquatic root,水生根,,水生根,104.11.09,2017-07-24
3177831,aqueous tissue,儲水組織,,贮水组织,104.11.09,2017-07-24
3177832,arbor,喬木,,乔木,104.11.09,2017-07-24
3177833,arboreal pollen,木本植物花粉,,木本植物花粉,104.11.09,2017-07-24
3177835,Archaea,古[細]菌,,古[细]菌,104.11.09,2017-07-24
3177836,archegonial chamber,藏卵器室,,颈卵器室,104.11.09,2017-07-24
3177837,archegonial initial,藏卵器原始細胞,,颈卵器原始细胞,104.11.09,2017-07-24
3177838,archegonial receptacle,藏卵器托,,颈卵器托,104.11.09,2017-07-24
3177839,archegoniatae,藏卵器植物,,颈卵器植物,104.11.09,2017-07-24
3177840,archegoniophore,藏卵器枝,,藏卵器枝,104.11.09,2017-07-24
3177841,archegonium,藏卵器,,颈卵器(复),104.11.09,2017-07-24
3177842,archeobacteria,古細菌,,古细菌,104.11.09,2017-07-24
3177843,archeopterid,古羊齒型,,古羊齿型,104.11.09,2017-07-24
3177844,archesporium,孢原,,孢原,104.11.09,2017-07-24
3177845,archetelome,原始頂枝,,原始顶枝,104.11.09,2017-07-24
3177846,archicarp,產囊體,,子囊果原,104.11.09,2017-07-24
3177847,archontosome,傍核體,,傍核体,104.11.09,2017-07-24
3177848,Arctic alpine flora,北極高山植物區系,,北极高山植物区系,104.11.09,2017-07-24
3177849,Arctic realm,北極界,,北极界,104.11.09,2017-07-24
3177850,Arcto-Tertiary flora,北極第三紀植物區系,,北极第三纪植物区系,104.11.09,2017-07-24
3177851,Arcto-Tertiary forest,北極第三紀森林,,北极第三纪森林,104.11.09,2017-07-24
3177852,arcus,環帶{植物}；孔環{植物},,弧形带,104.11.09,2017-07-24
3177853,ardella,座狀子囊盤,,星斑盘,104.11.09,2017-07-24
3177854,areal,分布區[的],,分布区,104.11.09,2017-07-24
3177855,areal disjunction,間斷分佈,,间断分布,104.11.09,2017-07-24
3177856,areal type,分布區型,,分布区型,104.11.09,2017-07-24
3177857,areola,著生面；網眼,,着生面；网眼,104.11.09,2017-07-24
3177858,areolate,凹網狀[的],,凹网状[的],104.11.09,2017-07-24
3177859,areole,網眼,,网眼；网隙,104.11.09,2017-07-24
3177860,aril,假種皮,,假种皮,104.11.09,2017-07-24
3177861,aromatic compound,芳香化合物,,芳香化合物,104.11.09,2017-07-24
3177862,arrhenokaryon,精核；雄核,,精核；雄核,104.11.09,2017-07-24
3177863,arrhenoplasm,雄質,,雄质,104.11.09,2017-07-24
3177864,arthrospore,節孢子,,节孢子,104.11.09,2017-07-24
3177865,article,關節,,关节,104.11.09,2017-07-24
3177866,articulate laticifer,有節乳汁器,,有节乳汁器,104.11.09,2017-07-24
3177867,articulation,關節,,关节,104.11.09,2017-07-24
3177868,artificial pollination,人工授粉,,人工授粉,104.11.09,2017-07-24
3177869,artificial ripening,人工催熟,,人工催熟,104.11.09,2017-07-24
3177870,artificial selection,人擇,,人工选择,104.11.09,2017-07-24
3177871,asci,子囊{複數},,子囊(复数),104.11.09,2017-07-24
3177872,ascocarp,子囊果,,子囊果,104.11.09,2017-07-24
3177873,ascoconidiophore,子囊分生孢子梗,,子囊分生孢子梗,104.11.09,2017-07-24
3177874,ascoconidium,子囊分生孢子,,子囊分生孢子,104.11.09,2017-07-24
3177875,ascogenous hypha,產囊絲,,产囊丝,104.11.09,2017-07-24
3177876,ascogenous hyphae,產囊絲{複數},,产囊丝(复数),104.11.09,2017-07-24
3177877,ascogone,產囊體,,产囊体,104.11.09,2017-07-24
3177878,ascogonium,產囊體,,产囊体,104.11.09,2017-07-24
3177879,ascolichen,子囊地衣,,子囊地衣,104.11.09,2017-07-24
3177880,ascolocular lichen,囊腔地衣,,囊腔地衣,104.11.09,2017-07-24
3177881,ascophore,產囊枝,,产囊枝,104.11.09,2017-07-24
3177882,ascoplasm,子囊質,,子囊质,104.11.09,2017-07-24
3177883,ascospore,子囊孢子,,子囊孢子,104.11.09,2017-07-24
3177884,ascostroma,子囊座,,子囊座,104.11.09,2017-07-24
3177885,ascus,子囊,,子囊,104.11.09,2017-07-24
3177886,ascus crown,子囊冠,,子囊冠,104.11.09,2017-07-24
3177887,ascus mother cell,子囊母細胞,,子囊母细胞,104.11.09,2017-07-24
3177888,ascus plug,子囊塞,,子囊塞,104.11.09,2017-07-24
3177889,asexual flower,無性花,,无性花,104.11.09,2017-07-24
3177890,asexual generation,無性世代,,无性世代；孢子体世代,104.11.09,2017-07-24
3177891,asexual reproduction,無性生殖,,无性生殖,104.11.09,2017-07-24
3177892,ash,灰分,,灰分,104.11.09,2017-07-24
3177893,aspection,季相,,季相,104.11.09,2017-07-24
3177894,aspides,盾狀區{複數},,盾状区(复数),104.11.09,2017-07-24
3177895,aspidiaria,中皮相{古植物學},,中皮相,104.11.09,2017-07-24
3177896,aspis,盾狀區{單數},,盾状区(单数),104.11.09,2017-07-24
3177897,assemblage,集聚,,集聚,104.11.09,2017-07-24
3177898,assimilate,同化[產]物,,同化[产]物,104.11.09,2017-07-24
3177899,assimilating tissue,同化組織,,同化组织,104.11.09,2017-07-24
3177900,assimilation,同化[作用],,同化[作用],104.11.09,2017-07-24
3177901,assimilatory coefficient,同化係數,,同化系数,104.11.09,2017-07-24
3177902,assimilatory power,同化力,,同化力,104.11.09,2017-07-24
3177903,assimilatory quotient,同化商,,同化商,104.11.09,2017-07-24
3177904,association,群叢,,群丛,104.11.09,2017-07-24
3177905,astaxanthin,變胞藻黃素,,变胞藻黄素,104.11.09,2017-07-24
3177906,astigmatic,無柱頭的,,无柱头的,104.11.09,2017-07-24
3177907,asymbiotic nitrogen fixation,非共生固氮作用,,非共生固氮作用,104.11.09,2017-07-24
3177908,asymbiotic nitrogen fixer,非共生固氮生物,,非共生固氮生物,104.11.09,2017-07-24
3177909,asynapsis,不聯會[現象],,不联会,104.11.09,2017-07-24
3177910,atactostele,散生中柱,,散生中柱,104.11.09,2017-07-24
3177911,athrosterigma,有節梗,,有节梗,104.11.09,2017-07-24
3177912,ATP,三磷酸腺核苷,,腺苷三磷酸,104.11.09,2017-07-24
3177913,ATP synthase,ATP合[成]酶,,ATP合酶,104.11.09,2017-07-24
3177914,atrium,腔,,腔,104.11.09,2017-07-24
3177915,auricle,葉耳,,叶耳,104.11.09,2017-07-24
3177916,aurone,橙酮,,橙酮,104.11.09,2017-07-24
3177917,auteu-form,單主全孢型,,单主全孢型,104.11.09,2017-07-24
3177918,autocolony,似親群體,,似亲群体,104.11.09,2017-07-24
3177919,autoecism,單主寄生,,单主寄生,104.11.09,2017-07-24
3177920,autogamy,自配生殖,,自配生殖,104.11.09,2017-07-24
3177921,autogenic succession,自發性演替,,自发演替,104.11.09,2017-07-24
3177922,automatic self pollination,自動自花授粉,,自动自花授粉,104.11.09,2017-07-24
3177923,automixis,自融合,,自融合,104.11.09,2017-07-24
