ID,英文名稱,中文名稱,圖片,場所標示類別,備註,更新日期
1502536,Social Services Office,社會服務室,,行政作業,,2012-11-26
1502537,Air Conditioning Office,空調辦公室,,行政作業,,2012-11-26
1502538,Safeguard Property Room,保管室,,行政作業,,2012-11-26
1502539,Quality Inspection Office,品檢辦公室,,行政作業,,2012-11-26
1502540,Arts Studio,美術工作室,,行政作業,,2012-11-26
1502541,Duty Officer,值班,,值勤及駐衛警,,2012-11-26
1502542,Duty Room,值班室/值日室 ,,值勤及駐衛警,,2012-11-26
1502543,Sentry Box,哨亭；崗亭,,值勤及駐衛警,,2012-11-26
1502544,Away on Business,差假,,行政作業,,2012-11-26
1502545,Nuclear Technical Information Center,核能技術資料室,,行政作業,,2012-11-26
1502546,Teachers’ Office,班群辦公室,,行政作業,,2012-11-26
1502547,Emeritus Professors’ Office,退休教授辦公室,,行政作業,,2012-11-26
1502548,District Administration Center,區行政中心,,行政作業,,2012-11-26
1502549,Duty Room,執勤室/待勤室,,值勤及駐衛警,,2012-11-26
1502550,Watch Duty Booth ,崗,,值勤及駐衛警,,2012-11-26
1502551,Extension Center,推廣中心,,行政作業,,2012-11-26
1502552,Procurement Documents Storeroom,採購文件保存室,,行政作業,,2012-11-26
1502553,Janitor's Room,清潔員工作室,,行政作業,,2012-11-26
1502554,Land Registration and Information Room,產籍資訊室,,值勤及駐衛警,,2012-11-26
1502555,Communication Room,通訊室,,值勤及駐衛警,,2012-11-26
1502556,Standby Room,備勤室,,值勤及駐衛警,,2012-11-26
1502557,Office of Labor Director of the Board,勞工董事工作聯絡室,,行政作業,,2012-11-26
1502558,Media Intelligence Center,媒體情報系統中心,,行政作業,,2012-11-26
1502559,Substitute Civilian Servicemen,替代役男室,,值勤及駐衛警,,2012-11-26
1502560,Data Entry Room,登錄室,,行政作業,,2012-11-26
1502561,Waiting room,等標室,,行政作業,,2012-11-26
1502562,Audiovisual Room,視聽室,,行政作業,,2012-11-26
1502563,Editing Room,視聽編輯室,,行政作業,,2012-11-26
1502564,Evaluation Room,評估室,,行政作業,,2012-11-26
1502565,Fax Room,傳真室,,行政作業,,2012-11-26
1502566,Invoice Room,傳票室,,行政作業,,2012-11-26
1502567,Duty Command Center,勤務指揮中心,,值勤及駐衛警,,2012-11-26
1502568,Information Office,新聞室,,行政作業,,2012-11-26
1502569,Press Room,新聞聯絡室,,行政作業,,2012-11-26
1502570,Administration Office,業務室,,行政作業,,2012-11-26
1502571,Volunteer Firemen Office,義消辦公室,,行政作業,,2012-11-26
