ID,英文名稱,中文名稱,圖片,學門,更新時間,更新日期
5453569,abiotic factor,非生物[性]因子,,高中生物,,2022-07-15
5453570,abiotrophy,代謝性神經萎縮,,食品科技,,2022-07-15
5453571,ablactation,離乳 {動物}；停止泌乳 {生理}；靠接 {園藝},,植物,,2022-07-15
5453572,ablastin,抑原蟲抗體,,內分泌學,,2022-07-15
5453573,ablation,摘除,,內分泌學,,2022-07-15
5453574,abnormality,異常,,藥學,,2022-07-15
5453575,abomasum,皺胃,,高中生物,,2022-07-15
5453576,aboriginal,原生[的],,生態學,,2022-07-15
5453577,aborticide; abortient; abortifacient,墮胎藥,,內分泌學,,2022-07-15
5453578,abortient; aborticide; abortifacient,墮胎藥,,內分泌學,,2022-07-15
5453579,abortifacient; abortient; aborticide,墮胎藥,,內分泌學,,2022-07-15
5453580,abortion,流產 {動物}；敗育 {植物},,大一普生,,2022-07-15
5453581,abortive egg,敗育卵,,細胞生物,,2022-07-15
5453582,abortive lysogeny,失敗性潛溶,,遺傳分生,,2022-07-15
5453583,abortive transduction,失敗性轉導[作用],,遺傳分生,,2022-07-15
5453584,abortus,流產胎,,內分泌學,,2022-07-15
5453585,abrasion,磨蝕[作用]；海蝕[作用],,生態學,,2022-07-15
5453586,abrasion platform,海蝕平台,,生態學,,2022-07-15
5453587,abrin,相思子素；雞母珠毒蛋白,,植物,,2022-07-15
5453588,abrosus,剝去的,,植物,,2022-07-15
5453589,abrupt ecospecies,突發生態種,,生態學,,2022-07-15
5453590,abrupt leaf; abruptus leaf; truncate leaf,截形葉；鈍形葉,,生態學,,2022-07-15
5453591,abrupt succession,急轉演替；急轉消長,,生態學,,2022-07-15
5453592,abruptio placenta,胎盤早期剝離,,內分泌學,,2022-07-15
5453593,abruptus leaf; abrupt leaf; truncate leaf,截形葉；鈍形葉,,生態學,,2022-07-15
5453594,ABS resin {acrylonitrile-butadiene-styrene resin},ABS樹脂；丙烯腈-丁二烯-苯乙烯樹脂,,食品科技,,2022-07-15
5453595,abscess,膿瘍；膿腫,,內分泌學,,2022-07-15
5453596,abscisic acid; abscisin {= ABA},離層酸；離[層]素,,高中生物,,2022-07-15
5453597,abscisin; abscisic acid {= ABA},離層酸；離[層]素,,高中生物,,2022-07-15
5453598,abscission,脫離；脫落,,高中生物,,2022-07-15
5453599,abscission layer,離層,,高中生物,,2022-07-15
5453600,absolute density,絕對密度,,生態學,,2022-07-15
5453601,absolute fitness,絕對適[存] 度；絕對適[存]性,,<p>細胞生物</p>,,2022-07-15
5453602,absolute humidity,絕對濕度,,生態學,,2022-07-15
5453603,absolute parasite,絕對寄生物,,高中生物,,2022-07-15
5453604,absolute recruitment,絕對補充量,,生態學,,2022-07-15
5453605,absolute refractory period,絕對不應期,,細胞生物,,2022-07-15
5453606,absolute scale,絕對量尺,,生物資訊,,2022-07-15
5453607,absolute synonym,絕對同物異名,,昆蟲學,,2022-07-15
5453608,absolute temperature,絕對溫度,,生態學,,2022-07-15
5453609,absorber; absorbent,吸收劑,,藥學,,2022-07-15
5453610,absorber {absorbent},吸收劑,,藥學,,2019-10-31
5453611,absorbing root,吸收根,,生態學,,2022-07-15
5453612,absorptiometry,吸光測定法,,生態學,,2022-07-15
5453613,absorption,吸收[作用],,生命科學,,2022-07-15
5453614,absorption band,吸收[光譜]帶,,生態學,,2022-07-15
5453615,absorption cell,比色管,,生化分生,,2022-07-15
5453616,absorption coefficient,吸收係數,,生態學,,2022-07-15
5453617,absorption loss,吸收損耗,,生態學,,2022-07-15
5453618,absorption spectrum,吸收光譜,,高中生物,,2022-07-15
5453619,abstinence,禁慾,,,20231012,2022-07-15
5453620,abstinence reaction,戒斷反應；禁斷反應,,藥學,,2022-07-15
5453621,abstinence syndrome,戒斷症；禁斷症,,藥學,,2022-07-15
5453622,abundance,豐度,,高中生物,,2022-07-15
5453623,abundance/frequency ratio {= A/F ratio},豐度/頻度比,,生態學,,2022-07-15
5453624,abundance-biomass curve,豐度-生物量曲線,,生態學,,2022-07-15
5453625,abyssal,深淵[的],,生態學,,2022-07-15
5453626,abyssal benthos,深淵底棲生物,,生態學,,2022-07-15
5453627,abyssal community,深淵群聚,,生態學,,2022-07-15
5453628,abyssal fauna,深淵動物相,,生態學,,2022-07-15
5453629,abyssal hill,深淵山丘,,生態學,,2022-07-15
5453630,abyssal plain,深淵平原,,生態學,,2022-07-15
5453631,abyssal zone,深淵區,,生態學,,2022-07-15
5453632,abyssobenthic zone,深淵底區,,生態學,,2022-07-15
5453633,abyssopelagic,深淵水層[的],,生態學,,2022-07-15
5453634,abyssopelagic zone,深淵水層區,,生態學,,2022-07-15
5453635,abzyme,抗體酶,,免疫學,,2022-07-15
5453636,acacatechin,黑兒茶素,,植物,,2022-07-15
5453637,acanaceous; acanthophorous; acanthous,有刺的；刺狀的；有棘的,,植物,,2022-07-15
5453638,acantha; acanthus,棘；刺；脊椎骨突,,植物,,2022-07-15
5453639,Acanthaceae; Acanthus family,爵床科,,植物,,2022-07-15
5453640,acanthaceous,有棘的；爵床科的 {植物},,醫學,,2022-07-15
5453641,acanthocarp,刺果,,植物,,2022-07-15
5453642,Acanthocephala,鉤頭動物門；棘頭動物門,,動物分類,,2022-07-15
5453643,acanthocephalan,鉤頭蟲；棘頭蟲,,動物分類,,2022-07-15
5453644,acanthophorous; acanaceous; acanthous,有刺的；刺狀的；有棘的,,植物,,2022-07-15
5453645,acanthosis nigricans,黑色棘皮症,,內分泌學,,2022-07-15
5453646,acanthous; acanaceous; acanthophorous,有刺的；刺狀的；有棘的,,植物,,2022-07-15
5453647,acanthus; acantha,棘；刺；脊椎骨突,,植物,,2022-07-15
5453648,Acanthus family; Acanthaceae,爵床科,,植物,,2022-07-15
5453649,acarine disease,蜂蟎病,,昆蟲學,,2022-07-15
5453650,acarophily; acarophytium,蟎植共生,,生態學,,2022-07-15
5453651,acarophytium; acarophily,蟎植共生,,生態學,,2022-07-15
5453652,acarpellous; acarpous,無心皮[的],,植物,,2022-07-15
5453653,acarpic,無果實[的],,植物,,2022-07-15
5453654,acarpotropic,不落果[的],,植物,,2022-07-15
5453655,acarpous; acarpellous,無心皮[的],,植物,,2022-07-15
5453656,acatalasemia,缺過氧化氫酶血症,,遺傳分生,,2022-07-15
5453657,acaulescent; acaulose,無莖[的],,植物,,2022-07-15
5453658,acaulose; acaulescent,無莖[的],,植物,,2022-07-15
5453659,accelerated rejection,加速排斥[反應],,免疫學,,2022-07-15
5453660,accelerated stability test,安定性加速試驗,,藥學,,2022-07-15
5453661,acceptable daily intake,每日容許攝取量,,生態學,,2022-07-15
5453662,acceptor,接受者,,高中生物,,2022-07-15
5453663,acceptor site,接受位,,遺傳分生,,2022-07-15
5453665,access and benefit sharing of genetic resources,遺傳資源的獲取與共享,,生態學,,2022-07-15
5453666,accessible forest,可及森林,,生態學,,2022-07-15
5453667,accessory,副[的]；附屬[的],,內分泌學,,2022-07-15
5453668,accessory adrenal,副屬腎上腺,,內分泌學,,2022-07-15
5453669,accessory antennal nerve,副觸角神經,,昆蟲學,,2022-07-15
5453670,accessory burrow,副穴,,昆蟲學,,2022-07-15
5453671,accessory cell,輔助細胞,,細胞生物,,2022-07-15
5453672,accessory chromosome,副染色體,,細胞生物,,2022-07-15
5453673,accessory fruit; anthocarpous fruit; pseudocarp,副果；假果,,高中生物,,2022-07-15
5453674,accessory nerve,副神經,,高中生物,,2022-07-15
5453675,accessory nucleus,副核,,遺傳分生,,2022-07-15
5453676,accessory pigment,輔助色素,,高中生物,,2022-07-15
5453677,accessory pouch,副囊袋,,普通動物學,,2022-07-15
5453678,accessory sesamoid bone,副子骨；副種子骨,,脊椎動物,,2022-07-15
5453679,accessory species,次要種,,生態學,,2022-07-15
5453680,accessory urinary duct,副尿管,,脊椎動物,,2022-07-15
5453681,accident variation,偶然變異,,遺傳分生,,2022-07-15
5453682,accidental host,偶見寄主；偶見宿主,,生態學,,2022-07-15
5453683,accidental parasite,偶見寄生物,,生態學,,2022-07-15
5453684,accidental species; incidental species; casual species,偶見種,,生態學,,2022-07-15
5453685,acclimation,[人為]馴化,,生命科學,,2022-07-15
5453686,acclimatization,[自然]馴化,,生命科學,,2022-07-15
5453687,accommodation,調適[作用],,高中生物,,2022-07-15
5453688,accompanying species,伴生種,,生態學,,2022-07-15
5453689,accrescent,花後增大[的],,植物,,2022-07-15
5453690,accretion thinning,促進生長疏伐,,生態學,,2022-07-15
5453691,accumbent,側倚的,,植物,,2022-07-15
5453692,accumulated temperature,積溫,,生態學,,2022-07-15
5453693,accumulation horizon,積聚土層,,生態學,,2022-07-15
5453694,accustomization,適應；順應,,生態學,,2022-07-15
5453695,acellular vaccine,非細胞性疫苗,,免疫學,,2022-07-15
5453696,acenaphthene,乙烷合萘,,植物,,2022-07-15
5453697,acentric,無中節的,,植物,,2022-07-15
5453698,acentric chromosome,無中節染色體,,細胞生物,,2022-07-15
5453699,acentric fragment,無中節片段,,遺傳分生,,2022-07-15
5453700,acentric ring,無中節環,,遺傳分生,,2022-07-15
5453701,acentric-dicentric translocation,無中節-雙中節易位,,遺傳分生,,2022-07-15
5453702,acephalous,無頭殼的 {動物}；不結球的 {植物},,植物,,2022-07-15
5453703,acephalous larva,無頭殼幼蟲；無頭型幼蟲,,昆蟲學,,2022-07-15
5453704,Aceraceae; Maple Family,槭樹科,,植物,,2022-07-15
5453705,acerate {acerose},針狀的,,植物,,2022-07-15
5453706,Aceria tulipae,鬰金香節蟎,,Life,,2022-07-15
5453707,acerose {acerate},針狀的,,植物,,2022-07-15
5453708,acervulus,分生孢子堆,,植物,,2022-07-15
5453709,Acetabularia,笠藻屬,,Life,,2022-07-15
5453710,Acetabulariaceae,笠藻科,,植物,,2022-07-15
5453711,acetabuliform,碟形；皿形,,植物,,2022-07-15
5453712,acetabulum,髖臼,,脊椎動物,,2022-07-15
5453713,acetal phosphatide; plasmalogen,縮醛磷脂,,生化分生,,2022-07-15
5453714,acetaldehyde dehydrogenase,乙醛去氫酶,,食品科技,,2022-07-15
5453715,acetaldehyde mutase,乙醛變位酶,,食品科技,,2022-07-15
5453716,acetaldehyde; ethanal,乙醛,,食品科技,,2022-07-15
5453717,acetamidase,乙醯胺酶,,生化分生,,2022-07-15
5453718,acetate,醋酸鹽；醋酸酯；乙酸鹽；乙酸酯,,食品科技,,2022-07-15
5453719,acetate malonate pathway,乙酸丙二酸路徑,,藥學,,2022-07-15
5453720,acetate mevalonate pathway,乙酸甲羥戊酸路徑,,藥學,,2022-07-15
5453721,acetate thiokinase,乙酸硫激酶,,生化索引,,2022-07-15
5453722,acetic acid; ethanoic acid,乙酸；醋酸,,生物學,,2022-07-15
5453723,acetic anhydride,乙酸酐；醋酸酐,,食品科技,,2022-07-15
5453724,acetic ester,乙酸酯,,食品科技,,2022-07-15
5453725,acetic ether; ethyl acetate,乙酸乙酯,,食品科技,,2022-07-15
5453726,acetification,醋化[作用],,食品科技,,2022-07-15
5453727,acetoacetate,乙醯乙酸酯；乙醯乙酸鹽,,食品科技,,2022-07-15
5453728,acetoacetate decarboxylase,乙醯乙酸去羧酶,,食品科技,,2022-07-15
5453729,acetoacetic acid,乙醯乙酸,,生化分生,,2022-07-15
5453730,acetoacetyl-coA,乙醯乙醯輔酶A,,食品科技,,2022-07-15
5453731,Acetobacter,醋酸桿菌屬,,植物,,2022-07-15
5453732,acetohexamide,乙醯苯磺醯環己脲,,內分泌學,,2022-07-15
5453733,acetoin; acetylmethylcarbinol,乙醯乙醇,,食品科技,,2022-07-15
5453734,acetokinase,乙酸激酶；醋酸激酶,,食品科技,,2022-07-15
5453735,acetolactate decarboxylase,乙醯乳酸去羧酶,,食品科技,,2022-07-15
5453736,acetonaemia; acetonemia,[丙]酮血症,,食品科技,,2022-07-15
5453737,acetone,丙酮,,生化分生,,2022-07-15
5453738,acetone body {ketone body},[丙]酮體,,食品科技,,2022-07-15
5453739,acetone-butanol fermentation,丙酮丁醇發酵,,食品科技,,2022-07-15
5453740,acetonemia; acetonaemia,[丙]酮血症,,食品科技,,2022-07-15
5453741,acetonuria,[丙]酮尿症,,食品科技,,2022-07-15
5453742,acetophenone,乙醯苯；苯乙酮,,食品科技,,2022-07-15
5453743,acetyl cellulose; cellulose acetate,乙酸纖維素；醋酸纖維素,,食品科技,,2022-07-15
5453744,acetyl CoA {acetyl coenzyme A},乙醯輔酶A,,高中生物,,2022-07-15
5453745,acetyl CoA carboxylase,乙醯輔酶A羧化酶,,分子檢驗,,2022-07-15
5453746,acetyl coenzyme A {= acetyl CoA},乙醯輔酶A,,生命科學,,2022-07-15
5453747,acetylation,乙醯化[作用],,生化分生,,2022-07-15
5453748,acetylcholine,乙醯膽鹼,,高中生物,,2022-07-15
5453749,acetylcholinesterase {= AChE},乙醯膽鹼酯酶,,內分泌學,,2022-07-15
5453750,acetylene; ethyne,乙炔,,食品科技,,2022-07-15
5453751,acetylglucosamine,乙醯葡萄糖胺,,食品科技,,2022-07-15
5453752,acetylglucosaminidase,乙醯葡萄糖胺苷酶,,生化分生,,2022-07-15
5453753,acetylglutamate synthetase,乙醯麩胺酸合成酶,,生化分生,,2022-07-15
5453754,acetylmethylcarbinol; acetoin,乙醯乙醇,,食品科技,,2022-07-15
5453755,acetylphosphatase,乙醯磷酸酯酶,,食品科技,,2022-07-15
5453756,acetylphosphate,乙醯磷酸酯；乙醯磷酸鹽,,食品科技,,2022-07-15
5453757,acetylsalicylic acid,乙醯水楊酸 {商品名為aspirin},,生化索引,,2022-07-15
5453758,achaenocarp; achenocarp,不裂乾果；閉果,,植物,,2022-07-15
5453759,AChE {acetylcholinesterase},乙醯膽鹼酯酶,,內分泌學,,2022-07-15
5453760,acheb,短暫型植被,,生態學,,2022-07-15
5453761,achene; akene,瘦果,,植物學,,2022-07-15
5453762,achenocarp; achaenocarp,不裂乾果；閉果,,植物,,2022-07-15
5453763,achenodium,雙瘦果,,植物,,2022-07-15
5453764,achiasmate meiosis,無交叉減數分裂,,植物,,2022-07-15
5453765,achilary,無唇瓣的 {蘭科},,植物,,2022-07-15
5453766,achillein,蓍草素,,植物,,2022-07-15
5453767,Achilles reflex time,跟腱反射時間,,內分泌學,,2022-07-15
5453768,Achilles tendon,跟腱,,食品科技,,2022-07-15
5453769,achiral,非手性[的],,藥學,,2022-07-15
5453770,achlamydeous,無花被[的],,植物,,2022-07-15
5453771,achlamydeous flower,無被花,,植物,,2022-07-15
5453772,achlorhydria,無胃酸症,,內分泌學,,2022-07-15
5453773,achnanthium,小穗花,,植物,,2022-07-15
5453774,achondroplasia; chondrodystrophy,軟骨發育不全[症],,高中生物,,2022-07-15
5453775,achromatic,無色[的],,植物,,2022-07-15
5453776,achromatin,非染色質,,遺傳分生,,2022-07-15
5453777,achromatism,無色；消色差性,,植物,,2022-07-15
5453778,achromatoplasm,非染色原生質,,植物,,2022-07-15
5453779,achromatopsia,全色盲,,遺傳分生,,2022-07-15
5453780,achromogenic,不產色素[的],,生態學,,2022-07-15
5453781,achromophilous,不易染色的,,植物,,2022-07-15
5453782,achromosomal,無染色體的,,植物,,2022-07-15
5453783,achrooamyloid,無色類澱粉蛋白,,食品科技,,2022-07-15
5453784,achrous,無色的,,植物,,2022-07-15
5453785,acianthus,針狀花的,,植物,,2022-07-15
5453786,acicula {pl. aciculae},針；刺,,植物,,2022-07-15
5453787,aciculae {sing. acicula},針；刺,,植物,,2022-07-15
5453788,acicular crystal; raphide,針晶[束],,植物學,,2022-07-15
5453789,acicular tree; conifer; needle-leaved tree,松柏類；針葉樹,,植物,,2022-07-15
5453790,acicular {needle-shaped},針狀的,,植物,,2022-07-15
5453791,aciculifruticeta,針葉灌木群落,,植物,,2022-07-15
5453792,aciculilignosa {conilignosa},針葉樹群落,,植物,,2022-07-15
5453793,aciculin,針形蛋白,,生化分生,,2022-07-15
5453794,aciculisilvae,針葉喬木群落,,生態學,,2022-07-15
5453795,acid,酸,,藥學,,2022-07-15
5453796,acid agglutination,酸凝集,,細菌免疫,,2022-07-15
5453797,acid deposition; acid precipitation,酸[性]沈降,,生態學,,2022-07-15
5453798,acid fuchsin; acid magenta,酸性洋紅；酸性品紅,,細胞生物,,2022-07-15
5453799,acid growth hypothesis,酸生長假說,,高中生物,,2022-07-15
5453800,acid hydrolase,酸水解酶,,細胞生物,,2022-07-15
5453801,acid hydrolysis,酸水解,,食品科技,,2022-07-15
5453802,acid lipase deficiency; Wolman's disease,酸性脂酶缺乏症,,遺傳分生,,2022-07-15
5453803,acid magenta; acid fuchsin,酸性洋紅；酸性品紅,,細胞生物,,2022-07-15
5453804,acid neutralizing capacity,酸中和能力,,藥學,,2022-07-15
5453805,acid number; acid value,酸值；酸價,,食品科技,,2022-07-15
5453806,acid phosphatase,酸性磷酸酯酶,,生化分生,,2022-07-15
5453807,acid precipitation; acid deposition,酸[性]沈降,,生態學,,2022-07-15
5453808,acid rain,酸雨,,高中生物,,2022-07-15
5453809,acid saccharification,酸糖化,,食品科技,,2022-07-15
5453810,acid splitting,酸裂解,,食品科技,,2022-07-15
5453811,acid sulfitation,酸性亞硫酸化,,食品科技,,2022-07-15
5453812,acid value; acid number,酸值；酸價,,食品科技,,2022-07-15
5453813,acidaminuria; aminoaciduria,胺[基]酸尿症,,食品科技,,2022-07-15
5453814,acid-coagulation end point,酸凝終點,,食品科技,,2022-07-15
5453815,acid-converted syrup,酸轉化糖漿,,食品科技,,2022-07-15
5453816,acidemia,酸血症,,高中生物,,2022-07-15
5453817,acid-fast bacteria,抗酸[細]菌,,食品科技,,2022-07-15
5453818,acid-fast stain,耐酸染色,,微生物學,,2022-07-15
5453819,acid-forming bacteria,產酸[細]菌,,食品科技,,2022-07-15
5453820,acidic mucopolysaccharide,酸性黏多醣,,藥學,,2022-07-15
5453821,acidic rock,酸性岩,,生態學,,2022-07-15
5453822,acidification,酸化,,食品科技,,2022-07-15
5453823,acidimeter; acidometer,酸度計；酸量計,,食品科技,,2022-07-15
5453824,acidimetric titration; acidometric titration,酸[度]滴定；酸量滴定,,食品科技,,2022-07-15
5453825,acidimetry,酸[度]滴定法；酸量滴定法,,食品科技,,2022-07-15
5453826,acidity,酸度；酸性,,生態學,,2022-07-15
5453827,acidity indicator plant; acidophilous indicator plant,嗜酸指標植物,,生態學,,2022-07-15
5453828,acidoglycoprotein,酸性醣蛋白,,食品科技,,2022-07-15
5453829,acidolysis,酸解,,食品科技,,2022-07-15
5453830,acidometer; acidimeter,酸度計；酸量計,,食品科技,,2022-07-15
5453831,acidometric titration; acidimetric titration,酸[度]滴定；酸量滴定,,食品科技,,2022-07-15
5453832,acidophil,嗜酸性[白血]球,,細胞生物,,2022-07-15
5453833,acidophile,嗜酸性生物,,細胞生物,,2022-07-15
5453834,acidophilia; eosinophilia,嗜酸性,,食品科技,,2022-07-15
5453835,acidophilic adenoma,嗜酸腺瘤,,內分泌學,,2022-07-15
5453836,acidophilic bacteria,嗜酸[細]菌,,食品科技,,2022-07-15
5453837,acidophilic; acidophilous,嗜酸[的],,植物,,2022-07-15
5453838,acidophilous indicator plant; acidity indicator plant,嗜酸指標植物,,生態學,,2022-07-15
5453839,acidophilous vegetation,嗜酸植被,,生態學,,2022-07-15
5453840,acidophilous; acidophilic,嗜酸[的],,植物,,2022-07-15
5453841,acidophobic,厭酸[的],,生態學,,2022-07-15
5453842,acidophyte,嗜酸植物；耐酸植物,,生態學,,2022-07-15
5453843,acidosis,酸中毒,,高中生物,,2022-07-15
5453844,acidotrophic; acidotropic,酸食性[的]；酸性營養[的],,生態學,,2022-07-15
5453845,acidotropic; acidotrophic,酸食性[的]；酸性營養[的],,生態學,,2022-07-15
5453846,acid-tolerant; aciduric,耐酸的,,生態學,,2022-07-15
5453847,acidulant; acidulating agent,酸化劑,,食品科技,,2022-07-15
5453848,acidulating agent; acidulant,酸化劑,,食品科技,,2022-07-15
5453849,acidulation,酸化；加酸,,食品科技,,2022-07-15
5453850,aciduric bacteria,耐酸[細]菌,,食品科技,,2022-07-15
5453851,aciduric; acid-tolerant,耐酸的,,生態學,,2022-07-15
5453852,acinose; acinous,葡萄狀；腺泡狀；多核的,,植物,,2022-07-15
5453853,acinous; acinose,葡萄狀；腺泡狀；多核的,,植物,,2022-07-15
5453854,acinum; acinus,聚果；腺泡,,植物,,2022-07-15
5453855,acinus; acinum,聚果；腺泡,,植物,,2022-07-15
5453856,acme,頂點；極盛期,,生態學,,2022-07-15
5453857,acne,痤瘡；粉刺,,內分泌學,,2022-07-15
5453858,acoelomate,無體腔動物,,高中生物,,2022-07-15
5453859,acone eye,無晶錐眼,,昆蟲學,,2022-07-15
5453860,aconitase,烏頭酸酶,,生化,,2022-07-15
5453861,aconite,烏頭 {植物},,植物,,2022-07-15
5453862,aconitic acid,烏頭酸,,植物,,2022-07-15
5453863,aconitine,烏頭鹼,,食品科技,,2022-07-15
5453864,Aconitum,烏頭屬,,植物,,2022-07-15
5453865,acorn,橡實；殼斗,,植物學,,2022-07-15
5453866,acorn cup,彀斗,,植物,,2022-07-15
5453867,acotyledon,無子葉植物,,植物,,2022-07-15
5453868,acoustic orientation,聽覺定向；聲波定向,,,,2022-07-15
5453869,acquired C1 inhibitor deficiency,後天性C1抑制因子缺失,,免疫學,,2022-07-15
5453870,acquired character,後天性性狀,,普通動物學,,2022-07-15
5453871,acquired immune deficiency syndrome; acquired immunodeficiency syndrome {= AIDS},後天性免疫缺失症[候群]；後天性免疫不全症[候群]；愛滋病,,高中生物,,2022-07-15
5453872,acquired immunity; adaptive immunity,適應性免疫；後天性免疫,,細胞生物,,2022-07-15
5453873,acquired immunodeficiency syndrome; acquired immune deficiency syndrome {= AIDS},後天性免疫缺失症[候群]；後天性免疫不全症[候群]；愛滋病,,高中生物,,2022-07-15
5453874,acquired resistance,後天抗性,,生態學,,2022-07-15
5453875,acramphibrya,頂側芽兼長植物,,植物,,2022-07-15
5453876,acraniate,無頭類,,脊椎動物,,2022-07-15
5453877,acridine alkaloid,吖啶生物鹼,,藥學,,2022-07-15
5453878,acridine orange,吖啶橙,,細胞生物,,2022-07-15
5453879,acridine yellow,吖啶黄,,細胞生物,,2022-07-15
5453880,acridiommatin,蝗眼色素,,昆蟲學,,2022-07-15
5453881,acridioxanthin,蝗黄嘌呤,,昆蟲學,,2022-07-15
5453882,acridity; acrimony,辛辣,,食品科技,,2022-07-15
5453883,acriflavin,吖啶黃素,,食品科技,,2022-07-15
5453884,acrimony; acridity,辛辣,,食品科技,,2022-07-15
5453885,acrinia,分泌缺乏,,食品科技,,2022-07-15
5453886,acris,胚莖,,植物,,2022-07-15
5453887,acritarch,不明微化石,,生態學,,2022-07-15
5453888,acroblast; acrosomic granule,原頂體；中胚葉外層；尖形母體,,細胞生物,,2022-07-15
5453889,acrobrya,惟頂生植物,,植物,,2022-07-15
5453890,acrocarpic,頂蒴的 {苔蘚植物},,植物,,2022-07-15
5453891,acrocentric chromosome,近端著絲點染色體,,遺傳分生,,2022-07-15
5453892,acrocephalopolysyndactyly; Carpenter's syndrome,尖頭多指併指畸形；尖頭多指併趾畸形,,遺傳分生,,2022-07-15
5453893,acrocephalosyndactyly; Apert's syndrome,尖頭併指畸形；尖頭併趾畸形,,遺傳分生,,2022-07-15
5453894,acrodendrophily,嗜樹梢性,,昆蟲學,,2022-07-15
5453895,acrodont,端生齒；頂生齒,,脊椎動物,,2022-07-15
5453896,acrogamy; porogamy,頂端受精；珠孔受精,,植物,,2022-07-15
5453897,acrogynous,頂上造卵器的,,植物,,2022-07-15
5453898,acromegaly,肢端肥大症,,高中生物,,2022-07-15
5453899,acromelanism,端部黑化,,動物學,,2022-07-15
5453900,acromioclavicular joint,肩鎖關節；肩峰鎖骨關節,,脊椎動物,,2022-07-15
5453901,acromion,肩峰；肩峰突,,脊椎動物,,2022-07-15
5453902,acro-osteolysis syndrome,肢端骨質溶解症,,內分泌學,,2022-07-15
5453903,acropathy,肢端病變；杵狀指,,內分泌學,,2022-07-15
5453904,acropetal,向頂的,,植物,,2022-07-15
5453905,acrophilous,嗜高[的],,植物,,2022-07-15
