ID,英文名稱,中文名稱,圖片,中國大陸譯名,公告日期,更新日期
2696439,acclimatization,[自然]馴化,,[风土]驯化；气候驯化,104.11.09,2016-09-13
2696440,accommodation,順應,,顺应；习服,104.11.09,2016-09-13
2696441,accompanying species,伴生種,,伴生种,104.11.09,2016-09-13
2696442,accumulated temperature,積溫,,积温,104.11.09,2016-09-13
2696443,accumulation culture,富集培養,,富集培养,104.11.09,2016-09-13
2696444,accustomization,適應；順應,,适应，顺应,104.11.09,2016-09-13
2696445,acheb,短暫型植被,,短暂型植被,104.11.09,2016-09-13
2696446,acid deposition,酸性沈降,,酸性沉降,104.11.09,2016-09-13
2696447,acid plant; oxylophytes,適酸植物,,喜酸植物,104.11.09,2016-09-13
2696448,acid rain,酸雨,,酸雨,104.11.09,2016-09-13
2696449,acidic precipitation,酸沉降,,酸沉降,104.11.09,2016-09-13
2696450,acidic rock,酸性岩,,酸性岩,104.11.09,2016-09-13
2696451,acidity,酸度；酸性,,酸度,104.11.09,2016-09-13
2696452,acidity indicator plant,酸性指標植物,,酸性指示植物,104.11.09,2016-09-13
2696453,acidophilous indicator plant,酸性地指標植物,,酸性生境指示植物,104.11.09,2016-09-13
2696454,acidophilous vegetation,嗜酸性植被,,"嗜酸性植被,喜酸植被",104.11.09,2016-09-13
2696455,acidophobic,厭酸性,,厌酸性,104.11.09,2016-09-13
2696456,acid-tolerant,耐酸的,,耐酸的,104.11.09,2016-09-13
2696457,acme,頂點；極盛期,,顶点；极盛期,104.11.09,2016-09-13
2696458,acquired resistance,後天抗性,,获得抗性,104.11.09,2016-09-13
2696459,acrophyta,高山植物,,高山植物,104.11.09,2016-09-13
2696460,acrophytia,高山植物群落,,高山植物群落,104.11.09,2016-09-13
2696461,actinometer,感光計,,光能测定计,104.11.09,2016-09-13
2696462,actinometry,感光測定,,光能测定,104.11.09,2016-09-13
2696463,action threshold; control threshold,防治閾值,,防治阈值,104.11.09,2022-07-19
2696464,actium,海岩群落,,海岩群落,104.11.09,2016-09-13
2696465,activated sludge,活性污泥,,活性污泥,104.11.09,2016-09-13
2696466,activated sludge method; activated sludge process,活性污泥法,,活性污泥法,104.11.09,2016-09-13
2696467,active absorption,主動吸收,,主动吸收,104.11.09,2016-09-13
2696468,active acidity,活性酸度,,活性酸度; 有效酸度,104.11.09,2016-09-13
2696469,active adaptation,主動適應,,主动适应,104.11.09,2016-09-13
2696470,active depression,主動衰退,,主动衰退,104.11.09,2016-09-13
2696471,active humus,活性腐植質,,活性腐殖质,104.11.09,2016-09-13
2696472,active nutritive period,活躍營養期；有效營養期,,积极营养期,104.11.09,2016-09-13
2696473,active transport,主動運輸,,主动运输,104.11.09,2016-09-13
2696474,activity radius,活動半徑,,活动半径,104.11.09,2016-09-13
2696475,actual density,實測密度,,实测密度; 现存密度,104.11.09,2016-09-13
2696476,actual evaportranspiration{=AET},實際蒸散；實際蒸發散量,,实际蒸散,104.11.09,2016-09-13
2696477,acute dose; acute dosage,急性劑量,,急性致毒剂量,104.11.09,2016-09-13
2696478,acute intoxication,急性中毒,,急性中毒,104.11.09,2016-09-13
2696479,acute toxicity,急性毒性；急性毒作用,,急性毒性；急性毒作用,104.11.09,2016-09-13
2696480,acute toxicity test,急性毒性試驗,,急性毒性试验,104.11.09,2016-09-13
2696481,adaptability,適應力,,适应性,104.11.09,2016-09-13
2696482,adaptation,適應；調適{氣候變遷},,适应,104.11.09,2016-09-13
2696483,adaptation to darkness,暗適應,,暗适应,104.11.09,2016-09-13
2696484,adaptation to light,光適應,,光适应,104.11.09,2016-09-13
2696485,adaptation tolerance,適應耐性,,适应耐性,104.11.09,2016-09-13
2696486,adaptative regression,適應退化,,适应退化,104.11.09,2016-09-13
2696487,adaptedness,適應程度,,适应程度,104.11.09,2016-09-13
2696488,adaptive capacity,適應能力,,适应量,104.11.09,2016-09-13
2696489,adaptive character,適應特性,,适应特性,104.11.09,2016-09-13
2696490,adaptive coloration,適應色,,适应色,104.11.09,2016-09-13
2696491,adaptive compensation,適應補償,,适应补偿,104.11.09,2016-09-13
2696492,adaptive convergence,適應趨同,,适应趋同,104.11.09,2016-09-13
2696493,adaptive ecosystem management{=AEM},適應性生態系管理,,可适应的生态系统管理,104.11.09,2016-09-13
2696494,adaptive enzyme,適應酵素,,适应酶,104.11.09,2016-09-13
2696495,adaptive radiation,適應輻射,,适应辐射,104.11.09,2016-09-13
2696496,adaptive selection,適應選擇,,适应性选择,104.11.09,2016-09-13
2696497,adhesive egg,黏著卵,,黏性卵,104.11.09,2016-09-13
2696498,adiabatic bomb calorimeter,絕熱式熱量計,,绝热热量计,104.11.09,2016-09-13
2696499,adsere,附加演替系列；附加消長系列,,附加演替系列,104.11.09,2016-09-13
2696500,adsorption,吸附[作用],,吸附,104.11.09,2016-09-13
2696501,adsorption process,吸附過程,,吸附作用过程,104.11.09,2016-09-13
2696502,adsorption water,吸附水,,吸附水,104.11.09,2016-09-13
2696503,adsorptive manure,吸附性廐肥,,吸附性廐肥,104.11.09,2016-09-13
2696504,adult,成體；成蟲,,成虫,104.11.09,2016-09-13
2696505,adult emergence,[成蟲]羽化,,成虫羽化,104.11.09,2016-09-13
2696506,adult emergence rhythm,成蟲羽化節律,,成虫羽化节律,104.11.09,2016-09-13
2696507,adventive flora,外來植物相,,外来植物区系,104.11.09,2016-09-13
2696508,advertising color,宣告色,,警戒色,104.11.09,2016-09-13
2696509,aeolian deposit,風成沉積；風積物；風成層；風蝕沈積物,,风积土,104.11.09,2016-09-13
2696510,aeolian landform,風蝕地形,,风成地貌,104.11.09,2016-09-13
2696511,aeration,通氣；氣曝,,通气; 曝气,104.11.09,2016-09-13
2696512,aerenchyma,通氣組織,,通气组织,104.11.09,2016-09-13
2696513,aerial photography,航空攝影術,,航空摄影,104.11.09,2016-09-13
2696514,aerial population,空中族群,,空中种群；气生种群,104.11.09,2016-09-13
2696515,aerial root,氣生根；氣根,,气生根,104.11.09,2016-09-13
2696516,aerobe,需氧性生物,,好氧生物,104.11.09,2016-09-13
2696517,aerobic,好氧[的]；好氧性；嗜氧性；有氧的；需氣性的,,需气性的,104.11.09,2016-09-13
2696518,aerobic bacteria,好氧菌；需氧菌；需氧性細菌,,好氧细菌,104.11.09,2016-09-13
2696519,aerobic biological treatment,好氧生物處理,,好氧生物处理,104.11.09,2016-09-13
2696520,aerobic metabolism,有氧代謝,,有氧代谢,104.11.09,2016-09-13
2696521,aerobic respiration,有氧呼吸；有氧呼吸[作用],,需氧呼吸，有氧呼吸,104.11.09,2016-09-13
2696522,aerobic treatment,好氧處理；氧化處理,,好氧处理,104.11.09,2016-09-13
2696523,aerobiology,大氣生物學,,大气生物学,104.11.09,2016-09-13
2696524,aerobiosis,需氧生活,,需氧生活,104.11.09,2016-09-13
2696525,aerodynamic method,大氣動力法,,大气动力学法,104.11.09,2016-09-13
2696526,aerophyte,氣生植物,,气生植物,104.11.09,2016-09-13
2696527,aerophytobiont,好氧性植物,,需氧土壤微生物，需气土壤生物,104.11.09,2016-09-13
2696528,aeroplankton,空中漂浮生物,,空中漂浮生物,104.11.09,2016-09-13
2696529,aeroplanktophyte,空中浮游植物,,空中浮游植物,104.11.09,2016-09-13
2696530,aerosol,氣溶膠；氣膠,,气溶胶,104.11.09,2016-09-13
2696531,aerotaxis,趨氣性,,趋氧性,104.11.09,2016-09-13
2696532,aerotolerant,耐氣性,,耐氧性,104.11.09,2016-09-13
2696533,aestatifruticeta,夏綠灌叢,,夏绿灌木群落,104.11.09,2016-09-13
2696534,aestatilignosa,夏綠林,,夏绿林,104.11.09,2016-09-13
2696535,aestatisilvae,夏綠喬木林,,夏绿乔木(群落),104.11.09,2016-09-13
2696536,aesthetic forest,風景林,,风景林,104.11.09,2016-09-13
2696537,aesthetic injury level{=AIL},美學受損水準,,美学受损水平,104.11.09,2016-09-13
2696538,aestidurilignosa,夏綠硬葉林,,落叶常绿混交硬木群落; 夏绿硬木木本群落,104.11.09,2016-09-13
2696539,aestivation,夏眠,,夏眠,104.11.09,2016-09-13
2696540,afforestation,無林地造林,,造林,104.11.09,2016-09-13
2696541,aftermath,刈後再生草,,再生草,104.11.09,2016-09-13
2696542,after-ripening,後熟,,后熟,104.11.09,2016-09-13
2696543,aftershock,餘震,,余震,104.11.09,2016-09-13
2696544,agamospecies,無性種；無配種,,无性种,104.11.09,2016-09-13
2696545,age,年齡,,年龄,104.11.09,2016-09-13
2696546,age and area hypothesis,年代面積假說,,年龄面积假说,104.11.09,2016-09-13
2696547,age at first capture{=tρ'},首次漁獲年齡,,首次渔获年龄,104.11.09,2016-09-13
2696548,age class,齡級,,年龄组,104.11.09,2016-09-13
2696549,age composition,年齡組成,,年龄组成,104.11.09,2016-09-13
2696550,age determination characters,年齡鑑定形質,,年龄鉴定特征,104.11.09,2016-09-13
2696551,age distribution,年齡分佈；齡期分佈,,年龄分布；年龄结构(age structure),104.11.09,2016-09-13
2696552,age group,年齡組,,年龄组,104.11.09,2016-09-13
2696553,age interval,齡期間隔,,龄期间隔,104.11.09,2016-09-13
2696554,age pyramid,年齡塔；年齡金字塔,,年龄锥体；年龄金字塔,104.11.09,2016-09-13
2696555,age ratio,年齡比,,年龄比,104.11.09,2016-09-13
2696556,age structure,年齡結構；齡級結構,,年龄结构,104.11.09,2016-09-13
2696557,age-grouping,按齡分群,,年龄分组,104.11.09,2016-09-13
2696558,age-length key,年齡-體長換算表,,年龄体长换算表,104.11.09,2016-09-13
2696559,age-specific fecundity,年齡別孕卵數；年齡別生殖力；齡別繁殖力,,"特定年龄出生率, 特定年龄生殖力",104.11.09,2016-09-13
2696560,age-specific fertility,年齡別繁殖力,,特定年龄繁殖力,104.11.09,2016-09-13
2696561,age-specific life table,年齡別生命表,,特定年龄生命表,104.11.09,2016-09-13
2696562,age-specific mortality,年齡別死亡率,,特定年龄死亡率,104.11.09,2016-09-13
2696563,age-specific natality,年齡別出生率,,"特定年龄出生率, 特定年龄生殖力",104.11.09,2016-09-13
2696564,age-specific survival rate,年齡別存活率,,特定年龄存活率,104.11.09,2016-09-13
2696565,age-structured model,年齡結構模式,,年龄结构模型,104.11.09,2016-09-13
2696566,agglomerative method,聚合法,,聚合法,104.11.09,2016-09-13
2696567,aggregated distribution; clumped distribution,聚集分佈,,聚集分布；负二项分布(negative binomial distribution),104.11.09,2016-09-13
2696568,aggregation,聚集；聚合,,聚集,104.11.09,2016-09-13
2696569,aggregation and attachment pheromone,聚附信息素,,聚附信息素,104.11.09,2016-09-13
2696570,aggregation index,聚集指數,,聚群指数；聚集指数,104.11.09,2016-09-13
2696571,aggregation pheromone,聚集費洛蒙,,聚集信息素,104.11.09,2016-09-13
2696572,aggregative response,聚集反應,,聚群反应,104.11.09,2016-09-13
2696573,aggressive behavio[u]r,攻擊行為,,攻击行为；侵犯行为,104.11.09,2016-09-13
2696574,aggressive interaction,攻擊互動,,攻击互动,104.11.09,2016-09-13
2696575,aggressive mimicry,攻擊[性]擬態,,攻击[性]拟态,104.11.09,2016-09-13
2696576,agonistic behavio[u]r,敵對行為,,对抗行为,104.11.09,2016-09-13
2696577,agonistic display,敵對展示,,对抗展示,104.11.09,2016-09-13
2696578,agricultural indicator,農地指標生物,,农地指示生物,104.11.09,2016-09-13
2696579,agroforestry,混農林業,,农林复合系统；农林复合经营,104.11.09,2016-09-13
2696580,agrostological index,禾草類指數,,禾草类指数,104.11.09,2016-09-13
2696581,agrostology,禾草學,,草本学；禾草学,104.11.09,2016-09-13
2696582,ahermatypic coral; nonhermatypic coral,非造礁珊瑚,,非造礁珊瑚,104.11.09,2016-09-13
2696583,air capacity,空氣容量,,空气容量,104.11.09,2016-09-13
2696584,air dry weight,氣乾重,,风干重,104.11.09,2016-09-13
2696585,air permeability,透氣性,,透气性,104.11.09,2016-09-13
2696586,air plankton,空中浮游生物,,大气浮游生物,104.11.09,2016-09-13
2696587,air pollution,空氣污染；大氣污染,,空气污染,104.11.09,2016-09-13
2696588,air quality classification,空氣質量分級,,空气质量分级,104.11.09,2016-09-13
2696589,air root,氣根,,气根,104.11.09,2016-09-13
2696590,air-borne pollen,空中傳播,,空中传播,104.11.09,2016-09-13
2696591,akashio,赤潮[日],,赤潮(日),104.11.09,2016-09-13
2696592,akineton,非運動性浮游生物,,无力浮游生物,104.11.09,2016-09-13
2696593,alarm call,警戒聲,,报警鸣叫,104.11.09,2016-09-13
2696594,alarm pheromone,警戒費洛蒙；警戒傳訊素,,警戒信息素；告警信息素；警报外激素,104.11.09,2016-09-13
2696595,albedo,反照率,,反照率,104.11.09,2016-09-13
2696596,albinism,白化症；白化[現象],,白化[现象],104.11.09,2016-09-13
2696597,albino,白化體；白化種,,白化体,104.11.09,2016-09-13
2696598,algal mat ecosystem,藻被生態系,,藻被生态系,104.11.09,2016-09-13
2696599,algivore,藻食性動物,,食藻动物,104.11.09,2016-09-13
2696600,algology,藻類學,,藻类学,104.11.09,2016-09-13
2696601,alien invasive species; invasive species,外來入侵種；入侵種,,外来侵入种,104.11.09,2016-09-13
2696602,alien plant,外來植物,,外来植物,104.11.09,2016-09-13
2696603,alien species,外來種,,外来种,104.11.09,2016-09-13
2696604,alignment,排比；比對,,比对；排比,104.11.09,2016-09-13
2696605,alkali soil,鹼土,,碱土,104.11.09,2016-09-13
2696606,alkalinity,鹼度,,碱度,104.11.09,2016-09-13
2696607,alkaliotropism,趨鹼性,,向碱性,104.11.09,2016-09-13
2696608,alkaliplant,耐鹼植物,,碱性植物,104.11.09,2016-09-13
2696609,alkaloid,生物鹼,,生物碱,104.11.09,2016-09-13
2696610,all or none law,全或無律,,全或无定律,104.11.09,2016-09-13
2696611,Allee's effect,阿利效應,,阿利效应,104.11.09,2016-09-13
2696612,Allee's law,阿利定律,,阿利律,104.11.09,2016-09-13
2696613,allele,等位基因；對偶基因,,等位基因,104.11.09,2016-09-13
2696614,allelochemical[s],種間化學交感物質,,外源浮游生物,104.11.09,2016-09-13
2696615,allelochemics; allelochemicals,種間交感物質,,他感化学物质；他感素,104.11.09,2016-09-13
2696616,allelomimetic behavio[u]r,個體間模仿行為,,多体拟态行为,104.11.09,2016-09-13
2696617,allelopathy,[植物]相剋作用,,他感作用；化感作用,104.11.09,2016-09-13
2696618,Allen's curve,艾倫曲線,,艾伦曲线,104.11.09,2016-09-13
2696619,Allen's rule,艾倫率,,艾伦率,104.11.09,2016-09-13
2696620,allergen,過敏原,,过敏原,104.11.09,2016-09-13
2696621,allergy,過敏；過敏性,,过敏性,104.11.09,2016-09-13
2696622,alliance,群團,,群属,104.11.09,2016-09-13
2696623,allobiocenosis,生物集團,,杂组[生物]群落,104.11.09,2016-09-13
2696624,allochronic species,異時種,,异时种,104.11.09,2016-09-13
2696625,allochthonous species,異源種,,外来种,104.11.09,2016-09-13
2696626,allogamy,異花受粉；異體受精,,异花受粉；异体受精,104.11.09,2016-09-13
2696627,allogen[et]ic,異發性,,异源的,104.11.09,2016-09-13
2696628,allogenous flora,殘存植物相,,异源植物区系,104.11.09,2016-09-13
2696629,allometry; allometric growth,異速生長,,异速生长,104.11.09,2016-09-13
2696630,allomone,利己傳訊素,,利己素,104.11.09,2016-09-13
2696631,alloparents,非親扶養,,异双亲,104.11.09,2016-09-13
2696632,allopatric,異域的,,异域的,104.11.09,2016-09-13
2696633,allopatric speciation,異域種化,,异域物种形成；异地物种形成,104.11.09,2016-09-13
2696634,allopatric species,異域種,,异域种,104.11.09,2016-09-13
2696635,allopatry,異域性,,异域分布,104.11.09,2016-09-13
2696636,allopolyploid,異源多倍體,,异源多倍体,104.11.09,2016-09-13
2696637,allotrophic lake,異養湖,,异养湖,104.11.09,2016-09-13
2696638,allozyme,異位酶,,等位酶,104.11.09,2016-09-13
2696639,alluvium,沖積層,,冲积层；淤积层,104.11.09,2016-09-13
2696640,alpha diversity,α-多樣性,,α多样性；α丰富度(alpha richness),104.11.09,2016-09-13
2696641,alpha richness,α豐富度,,α丰富度,104.11.09,2016-09-13
2696642,alternate host,交替寄主,,专主寄主；交替寄主,104.11.09,2016-09-13
2696643,alternate[year]bearing,隔年結實,,交替结实；交替生育,104.11.09,2016-09-13
2696644,alternation of generations,世代交替,,世代交替,104.11.09,2016-09-13
2696645,alternative agriculture,替代農業,,替代农业,104.11.09,2016-09-13
2696646,alternative host,替代寄主,,轮换寄主,104.11.09,2016-09-13
2696647,altherbosa,高莖草本植被,,高草群落,104.11.09,2016-09-13
2696648,altimeter,高度計；測高儀；海拔計,,高度计,104.11.09,2016-09-13
2696649,altitudinal vicariad,垂直分佈替代種,,垂直分布替代种；海拔高度替代种,104.11.09,2016-09-13
2696650,altitudinal zone; altitudinal belt,垂直帶,,垂直带,104.11.09,2016-09-13
2696651,altruism,利他性；利他[主義]；利他現象,,利他主义；利他行为,104.11.09,2016-09-13
2696652,altruistic behavior,利他行為,,利他行为,104.11.09,2016-09-13
2696653,amensalism,片害共生；片害共棲；片害交感作用,,偏害共生,104.11.09,2016-09-13
2696654,ament,柔荑花序,,柔夷花序,104.11.09,2016-09-13
2696655,ammonification,成銨作用；銨化作用,,氨化作用,104.11.09,2016-09-13
2696656,ammophilous,喜沙的,,喜沙的,104.11.09,2016-09-13
2696657,amphibious,兩棲的；兩生類的,,两栖的,104.11.09,2016-09-13
2696658,amphi-boreal distribution,北方兩洋分佈,,北方两洋分布,104.11.09,2016-09-13
2696659,amphiecious,雙寄主的,,广生境的,104.11.09,2016-09-13
2696660,amphi-Pacific distribution,太平洋兩岸分佈,,太平洋两岸分布,104.11.09,2016-09-13
2696661,amphiphyte,兩棲植物,,"假水生植物,两栖植物",104.11.09,2016-09-13
2696662,amphitoky,產雙性孤雌生殖,,产两性单性生殖,104.11.09,2016-09-13
2696663,amplified fragment length polymorphism{=AFLP},擴增片段長度多型性,,扩增片段长度多态性,104.11.09,2016-09-13
2696664,anabolism,同化代謝；合成代謝,,合成代谢,104.11.09,2016-09-13
2696665,anadromous migration; anadromy,溯河洄游；溯河繁殖,,溯河洄游；溯河繁殖,104.11.09,2016-09-13
2696666,anaerobe,厭氧生物,,厌氧生物,104.11.09,2016-09-13
2696667,anaerobic,厭氧[的]；無氧[的],,厌氧的,104.11.09,2016-09-13
2696668,anaerobic bacteria,厭氧菌,,厌氧菌,104.11.09,2016-09-13
2696669,anagenesis,前進演化,,前进进化，前进演化,104.11.09,2016-09-13
2696670,analogy,同功性,,同功器官,104.11.09,2016-09-13
2696671,analysis of covariance,變積分析,,方差分析,104.11.09,2016-09-13
2696672,analysis of variance{=ANOVA},變方分析,,方差分析,104.11.09,2016-09-13
2696673,andropara,產雄胎生{蚜蟲},,产雄胎生(蚜虫),104.11.09,2016-09-13
2696674,anemochore,風媒植物,,风媒植物,104.11.09,2016-09-13
2696675,anemometer,風速計,,风速计；风力计,104.11.09,2016-09-13
2696676,anemophilous flower; wind-pollinated flower,風媒花,,风媒花,104.11.09,2016-09-13
2696677,anemophily,風媒,,风媒传粉,104.11.09,2016-09-13
2696678,anemotaxis,趨風性,,趋风性,104.11.09,2016-09-13
2696679,angeosere,新生代植物消長系列；新生代植物演替系列,,新生代植物演替系列,104.11.09,2016-09-13
2696680,angiosperm,被子植物,,被子植物,104.11.09,2016-09-13
2696681,angle method,分角法,,分角法,104.11.09,2016-09-13
2696682,annual budget,年收支,,年收支,104.11.09,2016-09-13
2696683,annual heat budget,年熱收支,,年热能收支,104.11.09,2016-09-13
2696684,annual ring,年輪,,年轮,104.11.09,2016-09-13
2696685,annuation,年週期變動,,周年变化,104.11.09,2016-09-13
2696686,annulus,年輪,,年轮,104.11.09,2016-09-13
2696687,anoxybiont,無氧生物,,无氧生物,104.11.09,2016-09-13
2696688,antagonism,拮抗作用；拮抗現象,,拮抗作用,104.11.09,2016-09-13
2696689,anthophyta,顯花植物,,显花植物,104.11.09,2016-09-13
2696690,anthropochore,人媒；人為散佈,,人布植物,104.11.09,2016-09-13
2696691,anthropoecology,人類生態學,,人类生态学,104.11.09,2016-09-13
2696692,anthropogenic,人為的,,人为的,104.11.09,2016-09-13
2696693,anthropomorphism,擬人主義；擬人觀,,拟人主义,104.11.09,2016-09-13
2696694,anthropophyte,人為引進植物,,无意人为引入植物,104.11.09,2016-09-13
2696695,antibiosis,抗生；抗生作用；抗生現象,,抗生性,104.11.09,2016-09-13
2696696,antibody,抗體,,抗体,104.11.09,2016-09-13
2696697,anticline,背斜面,,背斜,104.11.09,2016-09-13
2696698,anti-feedant,抗食物質,,拒食剂,104.11.09,2016-09-13
2696699,antigen,抗原,,抗原,104.11.09,2016-09-13
2696700,antimetabolites,抗代謝物質,,抗代谢物,104.11.09,2016-09-13
2696701,anting,蟻浴,,蚁浴,104.11.09,2016-09-13
2696702,aperiodicity,非週期性,,不定期,104.11.09,2016-09-13
2696703,aphotic zone,無光帶,,无光带；无光层,104.11.09,2016-09-13
2696704,apical dominance,頂芽優勢,,[植]顶端优势,104.11.09,2016-09-13
2696705,apneumone,腐物激素,,偏利素,104.11.09,2016-09-13
2696706,apomixis,無融合生殖,,单性生殖；孤雌生殖,104.11.09,2016-09-13
2696707,apomorphy,衍徵,,衍征；离征,104.11.09,2016-09-13
2696708,apophyte,{分佈到人為環境的原生植物},,固有栽培植物,104.11.09,2016-09-13
2696709,apoplast,質外體,,质外体,104.11.09,2016-09-13
2696710,aposematic colo[u]ration,警戒色,,警戒色,104.11.09,2016-09-13
2696711,aposematism,警戒作用,,警戒作用,104.11.09,2016-09-13
2696712,apostatic behavior,[選多]避少行為,,避稀行为,104.11.09,2016-09-13
2696713,apparent competition,表觀競爭；外顯競爭,,似然竞争；表观竞争,104.11.09,2016-09-13
2696714,apparent density,表觀密度,,视密度，表观密度,104.11.09,2016-09-13
2696715,apparent photosynthesis,表觀光合作用,,表观光合作用；净光合,104.11.09,2016-09-13
2696716,apparent specific gravity,表觀比重,,表观比重,104.11.09,2016-09-13
2696717,appeasement,妥協行為；讓步行為,,妥协行为；让步行为,104.11.09,2016-09-13
2696718,appeasement substance,緩和物質,,缓和物质,104.11.09,2016-09-13
2696719,appetitive behavio[u]r,欲求行為,,欲求行为,104.11.09,2016-09-13
2696720,applied ecology,應用生態學,,应用生态学,104.11.09,2016-09-13
2696721,aptera[e],無翅型,,无翅型,104.11.09,2016-09-13
2696722,apterous,無翅的,,无翅的；无翼的,104.11.09,2016-09-13
2696723,aquaculture,水產養殖,,水产养殖,104.11.09,2016-09-13
2696724,aquatic,水生[的]；水域[的],,水生的；水域的；水栖的,104.11.09,2016-09-13
2696725,aquiclude,含水土層,,隔水层，滞水层,104.11.09,2016-09-13
2696726,aquiculture,水產養殖,,水产养殖,104.11.09,2016-09-13
2696727,aquifer,含水層,,含水层,104.11.09,2016-09-13
2696728,aquifuge,非透水層；不透水層,,不透水层,104.11.09,2016-09-13
2696729,aquiherbosa,水生草本群落,,水生草本群落,104.11.09,2016-09-13
2696730,aquiprata,水生草本群落,,水生草本群落；水草甸,104.11.09,2016-09-13
2696731,arable,可耕的,,可耕的；适于耕种的,104.11.09,2016-09-13
2696732,arbor; woody plant,喬木,,乔木,104.11.09,2016-09-13
2696733,arboreal,樹棲的；林棲的,,树的；乔木的；树栖的,104.11.09,2016-09-13
2696734,arctoalpine,極地高原,,极地高原,104.11.09,2016-09-13
2696735,Arctogaea,北陸界,,北界,104.11.09,2016-09-13
2696736,Arcto-tertiary flora,北極地第三紀植物相,,北极第三纪植物区系,104.11.09,2016-09-13
2696737,area effect,面積效應,,面积效应,104.11.09,2016-09-13
2696738,arid zone,乾旱帶,,干旱带,104.11.09,2016-09-13
2696739,aromorphosis,形態演化,,形态演进；演进变形,104.11.09,2016-09-13
2696740,arrestant sex pheromone,阻礙性費洛蒙,,滞留性信息素,104.11.09,2016-09-13
