ID,英文名稱,中文名稱,圖片,審譯日期,來源,更新日期
5449211,chemotaxonomy,化學分類,,101.11.14,中華無菌製劑協會,2019-10-31
5449212,chemotherapeutic agents,化學療法藥,,,,2019-10-31
5449213,chemotherapy,化學療法,,,國編館,2019-10-31
5449214,chenopodium oil,香藜油；土荊芥油,,107.01.18,國立編譯館,2019-10-31
5449215,cherry bark,櫻皮,,104.09.10,Remington,2019-10-31
5449216,chewable gels,咀嚼膠,,107.01.18,,2019-10-31
5449217,chewable tablets,咀嚼錠,,104.09.10,Remington,2019-10-31
5449218,chewing gum,口香糖；橡皮糖,,104.09.10,Remington,2019-10-31
5449219,chimeric antibody,嵌合抗體,,105.10.20,,2019-10-31
5449220,china clay {kaolin},高嶺土,,107.01.18,Remington,2019-10-31
5449221,chinaberry bark {Meliae Cortex},苦楝皮,,103.07.17,中醫藥,2019-10-31
5449222,Chinese angelica root {Angelicae Sinensis Radix},當歸,,103.08.14,中醫藥,2019-10-31
5449223,Chinese gall,五倍子,,,國編館,2019-10-31
5449224,Chinese magnolia vine fruit {Schisandrae Fructus},五味子,,103.09.11,,2019-10-31
5449225,Chinese mosla herb {Moslae Herba},香薷,,103.08.14,中醫藥,2019-10-31
5449226,Chinese olive {Canarii Fructus},青果；中國橄欖,,103.06.19,中醫藥,2019-10-31
5449227,Chinese rose flower {Rosae Chinensis Flos},月季花,,103.08.14,中醫藥,2019-10-31
5449228,chiral,手性；掌性,,108.04.25,Remington,2019-10-31
5449229,chiral chromatography,手性層析法,,104.09.10,Remington,2019-10-31
5449230,chiral ligand,掌性配體,,108.04.25,,2019-10-31
5449231,chirality,手性；掌性,,107.03.22,藥化,2019-10-31
5449232,chiral-recognition protein,掌性識別蛋白,,108.04.25,,2019-10-31
5449233,chi-square test {x2 test},卡方檢定,,104.09.10,Remington,2019-10-31
5449234,chitin,幾丁質,,,,2019-10-31
5449235,chloral hydrate,水合三氯乙醛,,,國編館,2019-10-31
5449236,chloramine-T,氯磺胺T,,2020.06.16,,2019-10-31
5449237,chlordiazepoxide,氯二氮平,,,化學藥品,2019-10-31
5449238,chlorine,氯(氣),,107.01.18,Remington,2019-10-31
5449239,chlorine dioxide sterilization,二氧化氯滅菌法,,104.09.10,Remington,2019-10-31
5449240,chlorofluorocarbon propellants,氟氯化碳推進劑,,104.09.10,Remington,2019-10-31
5449241,chloroform,氯仿,,104.09.10,Remington,2019-10-31
5449243,cholecalciferol,維生素D3,,,,2019-10-31
5449244,cholecystokinin,膽囊收縮素,,,,2019-10-31
5449245,cholelithiasis,膽石病,,104.09.10,Remington,2019-10-31
5449246,cholera,霍亂,,104.09.10,Remington,2019-10-31
5449247,choleretics,利膽劑(藥),,107.01.18,,2019-10-31
5449248,cholesterol,膽固醇,,,,2019-10-31
5449249,cholesteryl group,膽固醇基團,,108.04.25,,2019-10-31
5449250,cholic acid,膽酸,,,國編館,2019-10-31
5449251,choline,膽鹼,,104.09.10,Remington,2019-10-31
5449252,choline chloride,膽鹼氯鹽,,2020.07.14,,2019-10-31
5449253,cholinergics,類膽鹼藥,,,,2019-10-31
5449254,cholinesterase reactivator,膽鹼酯酶活化藥,,102.03.14,中華無菌製劑協會,2019-10-31
5449255,cholinomimetics,擬副交感神經藥物,,104.10.12,Remington,2019-10-31
5449256,chondroitin,軟骨素,,103.09.11,健康食品,2019-10-31
5449257,Chondrus,角叉菜屬,,107.01.18,Remington,2019-10-31
5449258,chorionic gonadotropin,絨毛膜促性腺激素,,108.10.22,生物藥品,2019-10-31
5449259,chromatogram,層析圖,,,,2019-10-31
5449260,chromatographic system,層析系統,,106.11.09,中華藥典,2019-10-31
5449261,chromatography,層析法,,,,2019-10-31
5449262,chromium,鉻 {三價},,103.10.30,健康食品,2019-10-31
5449263,chromones,色酮類,,,,2019-10-31
5449264,chromophore,發色團,,,,2019-10-31
5449265,chromotropic acid,變色酸,,,,2019-10-31
5449266,chronic,慢性,,104.10.12,Remington,2019-10-31
5449267,chronic toxicity,慢性毒性,,,,2019-10-31
5449268,chrysanthemum {Chrysanthemi Flos},菊花,,103.07.17,中醫藥,2019-10-31
5449269,chrysophanic acid,大黃酸；大黃酚,,107.01.18,國編館,2019-10-31
5449270,chrysophanol,大黃酚；大黃酸,,107.01.18,,2019-10-31
5449271,chuanxiong rhizome {Ligustici Chuanxiong Rhizoma},川芎,,103.07.17,中醫藥,2019-10-31
5449272,cicada molting {Cicadae Periostracum},蟬蛻,,103.07.17,中醫藥,2019-10-31
5449274,cinchona,金雞納,,104.10.12,Remington,2019-10-31
5449275,cinchona alkaloids,金雞納生物鹼,,104.10.12,Remington,2019-10-31
5449276,cinchona bark,金雞納樹皮,,,國編館,2019-10-31
5449277,cinchonism,金雞納中毒症,,107.01.18,,2019-10-31
5449278,cinchophen,辛可芬,,101.12.12,國立編譯館,2019-10-31
5449279,cineole,桉葉素,,107.11.22,Remington,2019-10-31
5449280,cinnabar,硫化汞；硃砂；辰砂,,101.07.12,,2019-10-31
5449281,cinnabar {Cinnabaris},朱砂,,103.07.17,中醫藥,2019-10-31
5449282,cinnamic acid,肉桂酸；桂皮酸,,,國編館,2019-10-31
5449283,cinnamon,肉桂,,104.10.12,Remington,2019-10-31
5449284,cinnamon {Cinnamomi Cortex},肉桂,,103.07.17,中醫藥,2019-10-31
5449285,cinnamon bark,桂皮,,,,2019-10-31
5449286,cinnamon oil,桂皮油,,,,2019-10-31
5449288,circular dichroism,圓偏光二色性,,104.12.18,Remington,2019-10-31
5449289,cirrhose fritillary bulb {Fritillariae Cirrhosae Bulbus},川貝母,,103.07.17,中醫藥,2019-10-31
5449290,cirrhosis,硬化,,104.10.12,Remington,2019-10-31
5449291,cis,順式,,107.01.18,Remington,2019-10-31
5449292,cisatracurium besylate,苯磺酸順式阿曲庫銨,,107.10.18,,2019-10-31
5449293,cistanche {Cistanches Herba},肉蓯蓉,,103.07.17,中醫藥,2019-10-31
5449294,citral,檸檬醛,,104.10.12,Remington,2019-10-31
5449295,Citri Sarcodactylis Fructus,佛手柑,,103.08.14,,2019-10-31
5449296,citric acid,檸檬酸,,,國編館,2019-10-31
5449297,citron {Citri Fructus},香櫞,,103.07.17,中醫藥,2019-10-31
5449298,citronella oil,香茅油,,101.09.06,國立編譯館,2019-10-31
5449299,citronellal,香茅醛,,104.10.12,Remington,2019-10-31
5449301,clarity,澄明度,,104.10.12,Remington,2019-10-31
5449302,classification,分類法,,104.10.12,Remington,2019-10-31
5449303,clathrates,包合物,,,,2019-10-31
5449304,clays,黏土,,105.10.20,Remington,2019-10-31
5449305,clean area,潔淨區,,,,2019-10-31
5449306,clean in place {=CIP},就地清潔,,107.01.18,,2019-10-31
5449307,clean room,潔淨室,,103.03.13,,2019-10-31
5449308,cleaning validation,清潔確效,,104.05.14,GMP,2019-10-31
5449309,cleanness,潔淨度,,,,2019-10-31
5449310,cleansing preparations,清潔製劑,,104.10.12,Remington,2019-10-31
5449311,clearance,清除率；廓清率,,,,2019-10-31
5449312,clemastine fumarate,延胡索酸可利汀,,,化學藥品,2019-10-31
5449313,clinical,臨床的,,104.10.12,Remington,2019-10-31
5449314,clinical pharmacology,臨床藥理學,,,,2019-10-31
5449315,clinical toxicology,臨床毒理學,,,,2019-10-31
5449316,clinical trial,臨床試驗,,104.10.12,Remington,2019-10-31
5449317,clioquinol,氯碘羥喹啉,,,化學藥品,2019-10-31
5449318,clobetasol propionate,丙酸氯貝皮質醇,,,化學藥品,2019-10-31
5449319,clobetasone,可洛貝他松,,,,2019-10-31
5449320,clone,轉殖,,,,2019-10-31
5449321,clonidine hydrochloride,鹽酸克氯尼定,,,化學藥品,2019-10-31
5449322,cloning,轉殖,,,,2019-10-31
5449323,closures,封蓋,,104.10.12,Remington,2019-10-31
5449325,clove,丁香,,,國編館,2019-10-31
5449326,clove oil,丁香油,,101.09.06,國立編譯館,2019-10-31
5449327,cloxacillin sodium,氯噻青黴素鈉,,,化學藥品,2019-10-31
5449328,clustered crystal,簇晶,,102.04.18,中華無菌製劑協會,2019-10-31
5449329,CNS stimulants,中樞神經興奮劑,,104.09.10,Remington,2019-10-31
5449330,coacervation,共聚,,,,2019-10-31
5449331,coagulants,凝血劑,,,,2019-10-31
5449332,coagulation factor IX,第九凝血因子,,105.02.19,Remington,2019-10-31
5449333,coal tar,煤焦油,,103.02.13,,2019-10-31
5449334,coalescence,聚結,,104.10.12,Remington,2019-10-31
5449335,coarse dispersions,粗分散劑,,104.10.12,Remington,2019-10-31
5449336,coated tablet,包衣錠,,,,2019-10-31
5449337,coating,包衣,,104.10.12,Remington,2019-10-31
5449338,coating pan,包衣機,,,,2019-10-31
5449339,cobalt,鈷,,104.10.12,Remington,2019-10-31
5449340,cobaltous acetate,乙酸亞鈷,,,,2019-10-31
5449341,coca leaves,古柯葉,,,國編館,2019-10-31
5449342,cocaine,古柯鹼,,,國編館,2019-10-31
5449343,cochineal insect,臙脂蟲,,,國編館,2019-10-31
5449344,cockscomb,雞冠花,,,,
5449345,cocoa butter,可可脂,,,國編館,2019-10-31
5449346,coconut oil,椰子油,,104.10.12,Remington,2019-10-31
5449347,cod liver oil,鱈魚肝油,,,,2019-10-31
5449348,code,代碼；法典；法規,,104.10.12,Remington,2019-10-31
5449349,codeine,可待因,,,國編館,2019-10-31
5449350,codonopsis,黨參,,,,
5449351,coefficient,係數,,104.10.12,Remington,2019-10-31
5449352,cogon grass rhizome {Imperatae Rhizoma},白茅根,,103.07.17,,2019-10-31
5449353,cohesional force,內聚力,,104.07.09,Remington,2019-10-31
5449354,cohesional forces,內聚力,,104.10.12,Remington,2019-10-31
5449355,cohesiveness,黏著性,,,,2019-10-31
5449356,cohort,群組,,104.10.12,Remington,2019-10-31
5449357,cohort study,分群研究,,,,2019-10-31
5449358,coix,薏苡,,,,
5449359,colchicine,秋水仙素；秋水仙鹼,,,國編館,2019-10-31
5449360,colchicum,秋水仙,,101.05.17,國編館,2019-10-31
5449361,cold chain logistics,冷鏈物流,,104.05.14,GMP,2019-10-31
5449362,cold cream,冷霜,,,國編館,2019-10-31
5449363,colitis,結腸炎,,104.10.12,Remington,2019-10-31
5449364,collagen,膠原,,,,2019-10-31
5449365,collagenase,膠原蛋白酶,,104.10.12,Remington,2019-10-31
5449366,collation,核對,,104.10.12,Remington,2019-10-31
5449367,colligative properties,依數性,,104.10.12,Remington,2019-10-31
5449368,collodion,火棉膠,,,國編館,2019-10-31
5449369,colloid mills,膠體研磨器,,104.10.12,Remington,2019-10-31
5449370,colloid solutions,膠體溶液,,104.10.12,Remington,2019-10-31
5449371,colloidal dispersion system,膠體分散系統,,107.01.18,,2019-10-31
5449372,colloidal dispersions,膠體分散劑,,104.10.12,Remington,2019-10-31
5449373,colloidal particles,膠體粒子,,107.01.18,,2019-10-31
5449374,colloids,膠體,,104.10.12,Remington,2019-10-31
5449375,collyria,洗眼劑；洗眼液,,,國編館,2019-10-31
5449376,colon,大腸,,104.10.12,Remington,2019-10-31
5449377,colon cancer,大腸癌,,104.10.12,Remington,2019-10-31
5449378,colonization,群落化；菌落化,,107.01.18,,2019-10-31
5449379,colony,菌落；群落,,107.01.18,,2019-10-31
5449380,colony forming unit {=CFU},菌落形成單元,,107.01.18,GMP,2019-10-31
5449381,colony stimulating factor {=CSF},群落刺激因子,,107.01.18,Remington,2019-10-31
5449382,colophony,松香；樹脂,,104.10.12,Remington,2019-10-31
5449383,color developing reagents,顯色劑,,104.10.12,Remington,2019-10-31
5449384,colorants,著色劑,,104.10.12,Remington,2019-10-31
5449385,colorimetric method,比色法,,,,2019-10-31
5449386,colorimetric solutions {=CS},比色液,,107.01.18,,2019-10-31
5449387,colorimetry,比色法,,,,2019-10-31
5449388,coloring agents,呈色劑,,,,2019-10-31
5449389,coltsfoot,款冬,,107.01.18,健康食品,2019-10-31
5449390,column,管柱,,104.10.12,Remington,2019-10-31
5449391,column chromatography,管柱層析法,,104.10.12,Remington,2019-10-31
5449392,combinatorial chemistry,組合化學,,104.10.12,Remington,2019-10-31
5449393,comfrey,康復力,,103.09.11,健康食品,2019-10-31
5449394,commercial,商用的；商業的,,104.10.12,Remington,2019-10-31
5449395,comminution,粉碎,,104.10.12,Remington,2019-10-31
5449396,commitment batches,承諾批次,,106.11.09,ICH Q1A,2019-10-31
5449397,common logarithm,常用對數,,104.08.13,Remington,2019-10-31
5449398,common name,通用名；俗名,,104.10.12,Remington,2019-10-31
5449399,communicable disease control,傳染病管制,,104.10.12,Remington,2019-10-31
5449400,community pharmacy,社區藥局；社區藥學,,,,2019-10-31
5449401,comparator product,比對產品,,105.10.20,GCP,2019-10-31
5449402,compartment,室；隔室,,106.08.15,,2019-10-31
5449403,compartment model,隔室模式,,,,2019-10-31
5449404,compatibility,相容性,,,,2019-10-31
5449405,compatibility testing,相容性測試,,104.10.12,Remington,2019-10-31
5449406,compendia,藥典,,104.10.12,Remington,2019-10-31
5449407,competitive antagonism,競爭性拮抗,,,,2019-10-31
5449408,complement,補體,,,,2019-10-31
5449409,complement factors,補體因子,,104.10.12,Remington,2019-10-31
5449410,complementarity,互補性,,,,2019-10-31
5449411,complex,複合物,,,,2019-10-31
5449412,complex stability,複合物安定性,,104.10.12,Remington,2019-10-31
5449413,complexation,複合作用,,104.10.12,Remington,2019-10-31
5449414,complexation reactions,複合反應,,104.10.12,Remington,2019-10-31
5449415,complexes,複合物,,104.10.12,Remington,2019-10-31
5449416,complexing agents,複合劑,,104.10.12,Remington,2019-10-31
5449417,compliance,順從性,,,,2019-10-31
5449418,complimentary and alternative therapy,輔助及另類療法,,104.10.12,Remington,2019-10-31
5449419,complimentary medicine,輔助藥,,104.10.12,Remington,2019-10-31
5449420,components,成分,,104.10.12,Remington,2019-10-31
5449421,composition,組成,,104.10.12,Remington,2019-10-31
5449422,compound mixture of glycyrrhiza,複方甘草合劑,,,,2019-10-31
5449423,compounded preparations,調製製劑,,104.10.12,Remington,2019-10-31
5449424,compounding,調配,,105.10.20,GMP,2019-10-31
5449425,compressed,壓縮的,,104.10.12,Remington,2019-10-31
5449426,compressed coated tablet,包衣壓製錠,,,,2019-10-31
5449427,compressed gas,壓縮氣體,,104.05.14,GMP,2019-10-31
5449428,compressed tablet,壓製錠,,,,2019-10-31
5449429,compressibility,可壓性,,,,2019-10-31
5449430,compression,加壓 {製錠},,104.10.12,Remington,2019-10-31
5449431,compression granulation,壓製粒法,,101.11.14,中華無菌製劑協會,2019-10-31
5449432,computation,計算,,104.10.12,Remington,2019-10-31
5449433,computer validation,電腦確效,,104.05.14,GMP,2019-10-31
5449434,computer-aided drug design,電腦輔助藥物設計,,,,2019-10-31
5449435,computer-aided pharmaceutical analysis,電腦輔助藥物分析,,,,2019-10-31
5449436,computer-assisted drug design {=CADD},電腦輔助藥物設計,,107.01.18,Remington,2019-10-31
5449437,concentrate,濃縮物,,104.05.14,GMP,2019-10-31
5449438,concentrated,濃縮的,,104.10.12,Remington,2019-10-31
5449439,concentrates,濃縮物,,,,2019-10-31
5449440,concentration,濃度,,104.10.12,Remington,2019-10-31
5449441,concept,概念；觀念,,104.10.12,Remington,2019-10-31
5449442,concurrent production,併行生產,,104.05.14,GMP,2019-10-31
5449443,concurrent release,併行放行,,104.05.14,GMP,2019-10-31
5449444,concurrent validation,併行性確效,,103.03.13,中華無菌製劑協會,2019-10-31
5449445,condensation,縮合,,102.03.14,中華無菌製劑協會,2019-10-31
5449446,condensed tannins,縮合鞣質,,,,2019-10-31
5449447,condenser,冷凝管,,105.06.20,,2019-10-31
5449448,conductance,傳導,,104.10.12,Remington,2019-10-31
5449449,conductivity,導電度,,104.10.12,Remington,2019-10-31
5449450,confidence interval,信賴區間；信賴度,,104.10.12,Remington,2019-10-31
5449451,confidence limits,信賴限度,,104.10.12,Remington,2019-10-31
5449452,configuration,組態,,,,2019-10-31
5449453,confirmatory studies,確認研究,,104.05.14,GMP,2019-10-31
5449454,conformation,構型,,,,2019-10-31
5449455,conformational analysis,構型分析,,,,2019-10-31
5449456,conformational isomerism,構型異構,,,,2019-10-31
5449457,conformers,構型異構物,,,,2019-10-31
5449458,conformity,符合性,,104.02.26,,2019-10-31
5449459,congealing point,凝結點,,,,2019-10-31
5449460,congener,同源藥,,,,2019-10-31
5449461,congo red,剛果紅,,,,2019-10-31
5449462,coniine,毒芹鹼,,,國編館,2019-10-31
5449463,conjugate,共軛,,104.10.12,Remington,2019-10-31
5449464,conjugated drugs,共軛藥品,,107.01.18,GMP,2019-10-31
5449465,conjugation,共軛；結合,,,,2019-10-31
5449466,consistency assessment,一致性評估,,104.11.20,Remington,2019-10-31
5449467,constipation,便秘,,104.11.20,Remington,2019-10-31
5449468,constituents,成分,,,,2019-10-31
5449469,contact angle,接觸角,,,,2019-10-31
5449470,contact lens,隱形眼鏡,,104.11.20,Remington,2019-10-31
5449471,contained area,圍堵區,,104.05.14,GMP,2019-10-31
5449472,container,容器,,,,2019-10-31
5449473,container closure system,容器封塞系統；容器封蓋系統,,104.05.14,GMP,2019-10-31
5449474,container compatibility,容器相容性,,104.11.20,Remington,2019-10-31
5449475,containment,圍堵,,104.02.26,GMP,2019-10-31
5449476,contaminants,汙染物,,104.05.14,GMP,2019-10-31
5449477,contamination,污染,,104.11.20,Remington,2019-10-31
5449478,continued process verification {=CPV},後續製程確認,,107.01.18,GMP,2019-10-31
5449479,continuous cell line,連續細胞系,,104.05.14,GMP,2019-10-31
5449480,continuous culture,連續培養,,104.05.14,GMP,2019-10-31
5449481,continuous process verification,連續製程確認,,104.05.14,GMP,2019-10-31
5449482,contraceptives,避孕藥,,,,2019-10-31
5449483,contract manufacturer,委託製造廠；受託製造廠,,104.05.14,GMP,2019-10-31
5449484,contract research organisation {=CRO},受託研究機構,,107.01.18,,2019-10-31
5449485,contractor,簽約者,,104.05.14,GMP,2019-10-31
5449486,contraindication,禁忌,,,國編館,2019-10-31
5449487,contrast medium,造影劑,,101.10.11,,2019-10-31
5449488,control release,控釋,,,,2019-10-31
5449489,controlled drugs,管制藥品,,107.01.18,GMP,2019-10-31
5449490,Controlled Drugs Act,管制藥品管理條例,,107.07.26,,2019-10-31
5449491,controlled release,控釋；控制釋放,,107.08.17,,2019-10-31
5449492,controlled substances,管制物質；管制藥品,,107.01.18,,2019-10-31
5449493,controlled surface porosity,既定表面孔隙率,,108.03.14,,2019-10-31
5449494,conventional-release；immedicate-release,一般性釋放；直接釋出,,107.08.17,GMP,2019-10-31
5449495,conversion factors,轉換係數,,,,2019-10-31
5449496,convulsive disorders,痙攣性障礙,,104.11.20,Remington,2019-10-31
5449497,copolymers,共聚物；共聚合體,,104.11.20,Remington,2019-10-31
5449498,coptis {Coptidis Rhizoma},黃連,,103.07.17,中醫藥,2019-10-31
5449499,cordyceps,冬蟲夏草,,103.07.17,中醫藥,2019-10-31
5449500,coriander,胡荽,,104.11.20,Remington,2019-10-31
5449501,coriander oil,胡荽子油；芫荽子油,,101.09.06,國立編譯館,2019-10-31
5449502,corn oil,玉米油,,104.11.20,Remington,2019-10-31
5449503,corn starch,玉米澱粉,,104.11.20,Remington,2019-10-31
5449504,corn syrup,玉米糖漿,,104.11.20,Remington,2019-10-31
5449505,corneal absorption,眼角膜吸收,,104.11.20,Remington,2019-10-31
5449506,cornus,山茱萸,,,,
5449507,coronary artery disease,冠狀動脈疾病,,104.11.20,Remington,2019-10-31
5449508,coronary vasodilators,冠狀血管擴張劑,,103.03.13,中華無菌製劑協會,2019-10-31
5449509,corrective and preventive action {=CAPA},矯正預防措施,,107.01.18,GMP,2019-10-31
5449510,correlation coefficient,相關係數,,,,2019-10-31
5449511,correlation test,相關性檢驗,,,,2019-10-31
5449512,corticosteroids,皮質類固醇,,,,2019-10-31
5449513,corticotropins,促皮質素；皮質促素,,,,2019-10-31
5449514,cortisone acetate,乙酸皮質酮,,,化學藥品,2019-10-31
5449515,corydalis,延胡索,,,,
5449516,cosmetics,化妝品,,104.11.20,Remington,2019-10-31
5449517,cosolvents,共溶劑,,104.11.20,Remington,2019-10-31
5449518,cost-benefit analysis,成本利益分析,,104.11.20,Remington,2019-10-31
5449519,cost-effectiveness analysis,成本效力分析,,104.11.20,Remington,2019-10-31
5449520,costus root,木香,,103.07.17,中醫藥,2019-10-31
5449521,costus root {Aucklandiae Radix},木香,,103.06.19,中醫藥,2019-10-31
5449522,cosurfactant,助界面活性劑,,104.11.20,Remington,2019-10-31
5449523,cottonseed oil,棉子油,,,,2019-10-31
5449524,cough-remedies,止咳藥,,,國編館,2019-10-31
5449525,coumarin,香豆素,,,,2019-10-31
5449526,counseling tips,用藥輔導技巧,,104.11.20,Remington,2019-10-31
5449527,counter-current,逆流,,,,2019-10-31
5449528,countercurrent distribution,逆流分配,,104.11.20,Remington,2019-10-31
5449529,counter-current extraction,逆流抽取,,,,2019-10-31
5449530,counterfeit drugs,偽藥,,104.07.09,GMP,2019-10-31
5449531,counterfeit pharmaceutical product,仿冒藥；假冒藥,,104.06.11,GMP,2019-10-31
5449532,counters,計數器,,104.11.20,Remington,2019-10-31
5449533,coupon,試片；試件,,104.06.11,GMP,2019-10-31
5449534,covalent bonds,共價鍵,,104.11.20,Remington,2019-10-31
5449535,COX-2 {cyclooxygenase-2} inhibitors,環氧化酶-2抑制劑,,107.01.18,Remington,2019-10-31
5449536,cranberry,蔓越莓,,103.09.11,健康食品,2019-10-31
5449537,cream,乳膏劑；霜劑,,,,2019-10-31
5449538,creosote,木餾油,,,國編館,2019-10-31
5449539,cresol,煤餾油酚,,,國編館,2019-10-31
5449540,criteria,標準,,104.11.20,Remington,2019-10-31
5449541,critical area,關鍵區,,104.06.11,GMP,2019-10-31
5449542,critical control point {=CCP},關鍵管制點,,107.01.18,GMP,2019-10-31
5449543,critical micelle concentration {=CMC},臨界微胞濃度,,107.01.18,,2019-10-31
5449544,critical point,臨界點,,104.11.20,Remington,2019-10-31
5449545,critical process parameter {=CPP},關鍵製程參數,,107.01.18,GMP,2019-10-31
5449546,critical quality attribute {=CQA},關鍵品質屬性,,107.01.18,GMP,2019-10-31
5449547,Crohn's disease,克隆氏症,,104.11.20,Remington,2019-10-31
5449548,cross contamination,交叉汙染,,104.06.11,GMP,2019-10-31
5449549,cross section,橫切面；橫剖面,,104.11.20,Remington,2019-10-31
5449550,crosslinked,交連的,,104.11.20,Remington,2019-10-31
5449551,crossover design,交叉設計,,104.11.20,Remington,2019-10-31
5449552,cross-validation,交互確效,,103.03.13,中華無菌製劑協會,2019-10-31
5449553,croton fruit {Crotonis Fructus},巴豆,,103.07.17,中醫藥,2019-10-31
5449554,croton oil,巴豆油,,,國編館,2019-10-31
5449555,crown ether,冠醚,,108.04.25,,2019-10-31
5449556,crude drug {materia medica},藥材,,103.08.14,,2019-10-31
5449557,crude drugs,生藥,,,,2019-10-31
5449558,crushing strength,抗碎強度,,,,2019-10-31
5449559,cryo,超冷,,104.11.20,,2019-10-31
5449560,cryogenic,低溫的,,104.06.11,GMP,2019-10-31
5449561,cryoprotectants,超冷保護劑,,104.11.20,Remington,2019-10-31
5449562,crystal,結晶；晶體,,104.11.20,Remington,2019-10-31
5449563,crystal fiber,結晶房纖維,,,,2019-10-31
5449564,crystal violet,結晶紫；龍膽紫,,,,2019-10-31
5449565,crystalline,結晶狀；晶狀的,,104.11.20,Remington,2019-10-31
5449566,crystallinity,結晶性,,,,2019-10-31
5449567,crystallization,結晶；結晶化,,104.11.20,Remington,2019-10-31
5449568,crystallography,結晶學；晶體繞射法,,104.11.20,Remington,2019-10-31
5449569,culture medium,培養基,,,,2019-10-31
5449570,cumulative intake,累積攝取量,,106.11.09,ICH M7,2019-10-31
5449571,curarine,箭毒素,,,國編館,2019-10-31
5449572,current Good Manufacturing Practice {=cGMP},現行藥品優良製造規範,,107.01.18,Remington,2019-10-31
5449573,cutaneous biotransformation,皮膚藥物生物轉換,,104.11.20,Remington,2019-10-31
5449574,cutch,兒茶；黑兒茶,,103.07.17,中醫藥,2019-10-31
5449575,cyanides,氰化物,,,,2019-10-31
5449576,cyanocobalamin,氰鈷胺；維生素B12,,,,2019-10-31
5449577,cyanogen bromide,溴化氰,,102.03.14,中華無菌製劑協會,2019-10-31
5449578,cyanogenic glycosides,氰苷,,,,2019-10-31
5449579,cyathula root {Cyathulae Radix},川牛膝,,103.07.17,中醫藥,2019-10-31
5449580,cycle development,週期開發,,104.06.11,GMP,2019-10-31
5449581,cyclizine hydrochloride,鹽酸苯吡[口井],,,化學藥品,2019-10-31
5449582,cyclobenzaprine hydrochloride,鹽酸環芐普林,,,化學藥品,2019-10-31
5449583,cyclodextrin inclusion compounds,環糊精包合物,,,,2019-10-31
5449584,cyclohexane,環己烷,,107.05.14,通則試藥與溶液,2019-10-31
5449585,cyclotron,迴旋加速器,,104.11.20,Remington,2019-10-31
5449586,cylinder plate method,圓筒平板法,,104.11.20,Remington,2019-10-31
5449587,cyperus,香附,,,,
5449588,cystic fibrosis,囊腫纖維化；囊腫纖化症,,104.11.20,Remington,2019-10-31
5449589,cytochrome P450 enzymes {=CYP450},細胞色素酶P450,,107.01.18,Remington,2019-10-31
5449590,cytochromes,細胞色素,,,,2019-10-31
5449591,cytokines,細胞活素,,,,2019-10-31
5449592,cytokinins,細胞激肽,,,,2019-10-31
5449593,cytostatics,細胞增殖抑制劑,,,,2019-10-31
5449594,cytotoxicity,細胞毒性,,,,2019-10-31
5449595,cytotoxics,細胞毒性劑,,,,2019-10-31
5449596,cytotoxins,細胞毒素,,,,2019-10-31
5449597,Dahurian angelica root {Angelicae Dahuricae Radix},白芷,,107.03.22,中醫藥,2019-10-31
5449598,Dalton's atomic theory,道爾頓原子說,,104.11.20,Remington,2019-10-31
5449599,dandelion {Taraxaci Herba},蒲公英,,107.03.22,中醫藥,2019-10-31
5449600,databases,資料庫；數據庫,,104.11.20,Remington,2019-10-31
5449601,dead leg,盲管,,104.06.11,GMP,2019-10-31
5449602,deaggregation,去凝集；去聚集,,104.11.20,Remington,2019-10-31
5449603,debriding ointments,清創軟膏,,104.11.20,Remington,2019-10-31
5449604,decision tree analysis,決策樹狀分析,,104.11.20,Remington,2019-10-31
5449605,decoctions,湯劑；煎劑,,107.03.22,國編館,2019-10-31
5449606,decoding,解碼,,107.03.22,,2019-10-31
5449607,decontamination,去汙染,,104.06.11,GMP,2019-10-31
5449608,dedicated equipment,專用設備,,104.06.11,GMP,2019-10-31
5449609,Deerhorn glue {Cervi Cornus Gelatinum},鹿角膠,,107.03.22,中醫藥,2019-10-31
5449610,default limit,預設限值,,104.06.11,GMP,2019-10-31
5449611,deflocculation,去絮凝；消絮凝,,104.11.20,Remington,2019-10-31
5449612,defoliants,落葉劑,,104.11.20,Remington,2019-10-31
5449613,degas,脫氣；除氣,,,,2019-10-31
5449614,degenerative joint disease,退化性關節症,,104.11.20,Remington,2019-10-31
5449615,degradation,降解,,,,2019-10-31
5449616,degradation product,降解產物,,104.06.11,GMP,2019-10-31
5449617,degradation profile,降解描繪；降解示意圖,,104.06.11,GMP,2019-10-31
5449618,degree of homogeneity,均勻度,,104.11.20,Remington,2019-10-31
5449619,dehydrated,脫水的；去水的,,104.11.20,Remington,2019-10-31
5449620,dehydrated alcohol,無水乙醇；絕對酒精,,2019.07.09,,2019-10-31
5449621,deionized water,去離子水,,,,2019-10-31
5449622,delayed release preparation,遲釋製劑,,,,2019-10-31
5449623,deliquescent substances,易潮解性物質,,104.11.20,Remington,2019-10-31
5449624,demelanizing agent,去色斑劑；除色斑劑,,,,2019-10-31
5449625,dementia,失智症,,104.11.20,Remington,2019-10-31
5449626,demulcents,緩和藥,,,國編館,2019-10-31
5449627,denaturant,變性劑,,,,2019-10-31
5449628,denatured alcohol,變性酒精,,,國編館,2019-10-31
5449629,dendrobium {Dendrobii Herba},石斛,,103.07.17,中醫藥,2019-10-31
