ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3246728,voce spiccata {It.},清楚分明的聲音,,義,,2017-08-08
3246729,voce spinto {It.},強聲,,義,,2017-08-08
3246730,voce {It.},人聲；聲部；聲音,,義,,2017-08-08
3246731,voci miste {It.},混聲,,義,,2017-08-08
3246732,voci pari {It.},同聲,,義,,2017-08-08
3246733,voci {It.},人聲；聲部；聲音,,義,,2017-08-08
3246734,voice,人聲；聲部；聲音,,英,,2017-08-08
3246735,voice production,發聲法,,英,,2017-08-08
3246736,voice-exchange,聲部交換,,英,,2017-08-08
3246737,voice-leading,聲部進行,,英,,2017-08-08
3246738,voice-part,人聲部,,英,,2017-08-08
3246739,voix blanche {Fr.},白聲,,法,,2017-08-08
3246740,voix céleste {Fr.},笛音閉管音栓,,法,,2017-08-08
3246741,voix de poitrine {Fr.},胸聲,,法,,2017-08-08
3246742,voix de Tête {Fr.},頭聲,,法,,2017-08-08
3246743,voix égales {Fr.},同聲,,法,,2017-08-08
3246744,voix mixtes {Fr.},混聲,,法,,2017-08-08
3246745,voix {Fr.},人聲；聲部；聲音,,法,,2017-08-08
3246746,vokal Septett {Ger.},七重唱,,德,,2017-08-08
3246747,Vokal {Ger.},母音,,德,,2017-08-08
3246748,vokal-Oktett {Ger.},八重唱,,德,,2017-08-08
3246749,Vokal-Quartett {Ger.},四重唱；四重唱曲,,德,,2017-08-08
3246750,Vokalcharakter {Ger.},母音性,,德,,2017-08-08
3246751,Vokalis {Ger.},發聲法；聲樂練習曲；無詞歌,,德,,2017-08-08
3246752,Vokalität {Ger.},母音性,,德,,2017-08-08
3246753,Vokalmusik {Ger.},聲樂；聲樂曲,,德,,2017-08-08
3246754,Vokalregister {Ger.},聲區,,德,,2017-08-08
3246755,volante {It.},飛快的,,義,,2017-08-08
3246756,Volksgesang {Ger.},民歌；民謠,,德,,2017-08-08
3246757,Volkslied {Ger.},民歌；民謠,,德,,2017-08-08
3246758,Volksmusik {Ger.},民間音樂,,德,,2017-08-08
3246759,Volkstumliches Lied {Ger.},民風藝術歌｛德｝,,德,,2017-08-08
3246760,volkstümliches Lied {Ger.},大眾化歌曲,,德,,2017-08-08
3246761,volles werk {Ger.},音栓全拉,,德,,2017-08-08
3246762,vollkommene Konsonanz {Ger.},完全協和,,德,,2017-08-08
3246763,vollkommener Akkord {Ger.},完全和弦,,德,,2017-08-08
3246764,vollkommener Ganzschluss {Ger.},完全終止,,德,,2017-08-08
3246765,vollkommener Schluss {Ger.},完全終止,,德,,2017-08-08
3246766,volonté {Fr.},意願,,法,,2017-08-08
3246767,volta {It.},遍｛歌曲｝；沃爾塔舞曲,,義,,2017-08-08
3246768,volte {It.},遍｛歌曲｝；沃爾塔舞曲,,義,,2017-08-08
3246769,volteggiando {It.},兩手交叉｛鋼琴｝；靈巧的,,義,,2017-08-08
3246770,volti subito {It.},立即翻頁,,義,,2017-08-08
3246771,volti {It.},翻頁；轉向,,義,,2017-08-08
3246772,volubile {It.},流暢的,,義,,2017-08-08
3246773,volume,音量,,英,,2017-08-08
3246774,volume sonore {Fr.},音寬度；音粗度,,法,,2017-08-08
3246775,Volumen des Hörens {Ger.},音寬度；音粗度,,德,,2017-08-08
3246776,voluntary,即興風琴曲,,英,,2017-08-08
3246777,vom Blatt {Ger.},視奏；視唱,,德,,2017-08-08
3246778,vom Blatte {Ger.},視奏；視唱,,德,,2017-08-08
3246779,Vorausnahme {Ger.},先現音,,德,,2017-08-08
3246780,vorbereiten {Ger.},預備音,,德,,2017-08-08
3246781,Vorbereitung {Ger.},預備音,,德,,2017-08-08
3246782,Vordergrund {Ger.},前景,,德,,2017-08-08
3246783,Vordersatz {Ger.},前樂節,,德,,2017-08-08
3246784,Vorhalt ohne Vorbereitung{Ger.},無預備掛留,,德,,2017-08-08
3246785,Vorhalt {Ger.},掛留音；上行挂留音；长倚音；切分音,,德,,2017-08-08
3246786,Vorhaltakkord {Ger.},掛留和弦,,德,,2017-08-08
3246787,Vorimitation {Ger.},先現模仿,,德,,2017-08-08
3246788,vorklassik {Ger.},前古典的,,德,,2017-08-08
3246789,Vorschlag {Ger.},倚音,,德,,2017-08-08
3246790,Vorspiel {Ger.},前奏曲；序曲,,德,,2017-08-08
3246791,Vortrag {Ger.},演奏｛唱｝；演出,,德,,2017-08-08
3246792,Vortragsbezeichnung {Ger.},演奏記號,,德,,2017-08-08
3246793,Vortragszeichen {Ger.},演奏記號,,德,,2017-08-08
3246794,Vorzeichen {Ger.},記號｛見dal segno; al segno｝,,德,,2017-08-08
3246795,Vorzeichnung {Ger.},記號｛見dal segno; al segno｝,,德,,2017-08-08
3246796,vowel,母音,,英,,2017-08-08
3246797,vox {Lat.},人聲；聲部；聲音,,拉,,2017-08-08
3246798,voyelle {Fr.},母音,,法,,2017-08-08
3246799,vuota {It.},空的；空弦演奏,,義,,2017-08-08
3246800,vuoto {It.},空的,,義,,2017-08-08
3246801,Wachtelpfeife {Ger.},鶉笛,,德,,2017-08-08
3246802,Wagner tuba,華格納號,,英,,2017-08-08
3246803,Wagnertuba {Ger.},華格納號,,德,,2017-08-08
3246804,Waldhorn {Ger.},獵號,,德,,2017-08-08
3246805,Waldteufel {Ger.},弦鼓,,德,,2017-08-08
3246806,waltz,華爾茲舞曲；圓舞曲,,英,,2017-08-08
3246807,waltz time,華爾茲舞曲節拍；圓舞曲節拍,,英,,2017-08-08
3246808,Walzer {Ger.},華爾茲舞曲；圓舞曲,,德,,2017-08-08
3246809,Wandelkonzert {Ger.},漫步音樂會｛18、19世紀｝；逍遙音樂會,,德,,2017-08-08
3246810,Wasserorgel {Ger.},水壓風琴,,德,,2017-08-08
3246811,Wasserzeichen {Ger.},浮水印,,德,,2017-08-08
3246812,Water organ,水壓風琴,,英,,2017-08-08
3246813,watermark,浮水印,,英,,2017-08-08
3246814,weak beat,弱拍,,英,,2017-08-08
3246815,Weber-Fechner's law,韋伯－費希納定律,,英,,2017-08-08
3246816,Weber-fechnersches Gesetz {Ger.},韋伯－費希納定律,,德,,2017-08-08
3246817,Wechseldominante {Ger.},倍屬音,,德,,2017-08-08
3246818,Wechselgesang {Ger.},對唱,,德,,2017-08-08
3246819,Wechselnote {Ger.},倚音,,德,,2017-08-08
3246820,wedding march,婚禮進行曲,,英,,2017-08-08
3246821,wehmütig {Ger.},憂鬱的；悲哀的,,德,,2017-08-08
3246822,Weiblicher Schluss {Ger.},陰性終止式；弱終止式,,德,,2017-08-08
3246823,Weihnachtslied {Ger.},聖誕頌歌；卡洛爾舞歌,,德,,2017-08-08
3246824,weisse Mensuralnotenschrift {Ger.},白符有量記譜法,,德,,2017-08-08
3246825,weite Harmonie {Ger.},開離和聲,,德,,2017-08-08
3246826,weite Lage {Ger.},開離位置,,德,,2017-08-08
3246827,welsh harp,威爾斯豎琴,,英,,2017-08-08
3246828,Welte-Mignon Reproducing Piano,維爾特―米農鋼琴（自動）,,英,,2017-08-08
3246829,weltliche Musik {Ger.},俗樂,,德,,2017-08-08
3246830,west coast jazz,西海岸爵士,,英,,2017-08-08
3246831,wha-wha mute,哇哇弱音器,,英,,2017-08-08
3246832,whip,樂鞭,,,,2017-08-08
3246833,whistle,口哨；哨笛,,英,,2017-08-08
3246834,whistle flute,哨笛,,英,,2017-08-08
3246835,white key,白鍵,,英,,2017-08-08
3246836,white mensural notation,白符定量記譜法,,英,,2017-08-08
3246837,white noise,白色雜音,,英,,2017-08-08
3246838,white spirituals,白人靈歌,,英,,2017-08-08
3246839,whole consort,同家族樂器合奏團,,英,,2017-08-08
3246840,Whole note {Amer.},全音符,,美,,2017-08-08
3246841,whole tone,全音,,英,,2017-08-08
3246842,whole-note rest {Amer.},全休止符,,美,,2017-08-08
3246843,whole-step,全音級,,英,,2017-08-08
3246844,whole-tone scale,全音音階,,英,,2017-08-08
3246845,whole-tube instrument,全管樂器,,英,,2017-08-08
3246846,wide leap,大跳,,英,,2017-08-08
3246847,Widerhall {Ger.},迴音,,德,,2017-08-08
3246848,Wiederholung {Ger.},反復；再現部,,德,,2017-08-08
3246849,Wiegenlied {Ger.},搖籃曲,,德,,2017-08-08
3246850,Wiener Klassiker,維也納古典樂派,,德,,2017-08-08
3246851,Wiener Schule,維也納樂派,,德,,2017-08-08
3246852,Wiener Vorklassik {Ger.},前維也納樂派,,德,,2017-08-08
3246853,Winchester Troper,溫徹斯特聖歌集,,英,,2017-08-08
3246854,wind band,管樂隊,,英,,2017-08-08
3246855,wind cap,簧罩，調音罩｛長笛｝,,英,,2017-08-08
3246856,wind chest,風室；風肺｛管風琴｝,,英,,2017-08-08
3246857,wind ensemble,管樂團｛小型｝,,英,,2017-08-08
3246858,wind gauge,風壓計｛管風琴｝,,英,,2017-08-08
3246859,wind instrument(s),管樂器,,英,,2017-08-08
3246860,wind machine,風機,,英,,2017-08-08
3246861,wind orchestra,管樂團｛大型｝,,英,,2017-08-08
3246862,wind quintet,管樂五重奏；木管五重奏,,英,,2017-08-08
3246863,wind-chest,風室；風肺｛管風琴｝,,英,,2017-08-08
3246864,Windharfe {Ger.},風鳴琴,,德,,2017-08-08
3246865,Windlade {Ger.},風室｛管風琴｝,,德,,2017-08-08
3246866,Windmaschine {Ger.},風機,,德,,2017-08-08
3246867,windpipe,氣管,,英,,2017-08-08
3246868,Wirbel {Ger.},滾奏,,德,,2017-08-08
3246869,Wirbelkasten {Ger.},弦軫斗（弦庫）,,德,,2017-08-08
3246870,Wirbeltrommel {Ger.},次中音鼓,,德,,2017-08-08
3246871,wire brush,刷子｛擊樂｝,,英,,2017-08-08
3246872,with mute,加弱音器,,英,,2017-08-08
3246873,wogend {Ger.},波浪起伏的,,德,,2017-08-08
3246874,wolf note,狼音,,英,,2017-08-08
3246875,Wolfenbüttel Codex,沃芬布特抄本,,德,,2017-08-08
3246876,Wolfston {Ger.},狼音,,德,,2017-08-08
3246877,wood block,木魚,,英,,2017-08-08
3246878,woodwind,木管樂器,,英,,2017-08-08
3246879,woodwind instrument,木管樂器,,英,,2017-08-08
3246880,Worcester Fragments,烏斯特抄本,,英,,2017-08-08
3246881,Worcester School,烏斯特樂派,,英,,2017-08-08
3246882,"Worcester, Repertory of",烏斯特樂派,,英,,2017-08-08
3246883,word painting,歌詞描繪；繪詞法,,英,,2017-08-08
3246884,Wortlaut {Ger.},歌詞,,德,,2017-08-08
3246885,wrist touch,腕力觸鍵法,,英,,2017-08-08
3246886,wuchtig {Ger.},沉重的,,德,,2017-08-08
3246887,"Wunderhorn, Des {Fr.}",少許,,法,,2017-08-08
3246888,würdig {Ger.},威嚴的；尊貴的；莊重的,,德,,2017-08-08
3246889,wurlitzer organ,華利札風琴,,英,,2017-08-08
3246890,wütend {Ger.},狂怒的；狂暴的,,德,,2017-08-08
3246891,xangó {Por.},靈樂｛巴西｝,,葡,,2017-08-08
3246892,Xylophon {Ger.},木琴,,德,,2017-08-08
3246893,xylophone {Fr.},木琴,,英˙法,,2017-08-08
3246894,xylorimba,小型馬林巴琴,,英,,2017-08-08
3246895,yaraví {Sp.},雅拉未歌曲,,西,,2017-08-08
3246896,yodel,真假聲互換唱法；悠得爾唱法,,英,,2017-08-08
3246897,young France,青年法國四人團,,英,,2017-08-08
3246898,yuanqu,元曲,,英,,2017-08-08
3246899,zamba {Sp.},桑巴舞；桑巴舞曲,,西,,2017-08-08
3246900,zambra {Sp.},桑布拉舞曲,,西,,2017-08-08
3246901,zampogna {It.},贊波尼亞風笛,,義,,2017-08-08
3246902,zanfonía {Sp.},搖弦琴,,西,,2017-08-08
3246903,zapateado {Sp.},薩帕提阿多舞；薩帕提阿多舞曲,,西,,2017-08-08
3246904,Zapateo {Sp.},察帕提歐舞曲,,西,,2017-08-08
3246905,Zapfenstreich {Ger.},歸營號；熄燈號,,德,,2017-08-08
3246906,zarabanda {Sp.},薩拉邦德舞曲,,西,,2017-08-08
3246907,Zargen {Ger.},側面板,,德,,2017-08-08
3246908,zärtlich {Ger.},溫柔的；嬌柔的,,德,,2017-08-08
3246909,zarzuela {Sp.},西班牙輕歌劇,,西,,2017-08-08
3246910,Zauberoper {Ger.},魔幻歌劇,,德,,2017-08-08
3246911,Zeitfehler {Ger.},時間誤差,,德,,2017-08-08
3246912,Zeitkunst {Ger.},時間藝術,,德,,2017-08-08
3246913,Zeitwahrnehmung {Ger.},時間知覺,,德,,2017-08-08
3246914,zeloso {It.},熱誠的,,義,,2017-08-08
3246915,Zhaleika {Rus.},單簧笛,,俄,,2017-08-08
3246916,Zhaleyka {Rus.},單簧笛,,俄,,2017-08-08
3246917,Ziehharmonika {Ger.},手風琴,,德,,2017-08-08
3246918,Ziemlich {Ger.},相當的,,德,,2017-08-08
3246919,zierlich {Ger.},纖細的,,德,,2017-08-08
3246920,Ziffern( ton ) schrift {Ger.},數字記譜法,,德,,2017-08-08
3246921,Ziffernnotierung {Ger.},數字記譜法,,德,,2017-08-08
3246922,zimbalon,揚琴（東歐）,,英,,2017-08-08
3246923,Zirkelkanon {Ger.},迴旋卡農,,德,,2017-08-08
3246924,zither,齊特琴,,,,2017-08-08
3246925,Zither {Ger.},齊特琴,,德,,2017-08-08
3246926,Zither-banjo,齊特班究琴,,英,,2017-08-08
3246927,Zitol {Ger.},西托爾琴(中世紀魯特琴),,德,,2017-08-08
3246928,zitternd {Ger.},顫慄的,,德,,2017-08-08
3246929,znamennïy chant,茲那曼尼聖歌,,英,,2017-08-08
3246930,znamennïy raspev {Rus.},茲那曼尼聖歌,,俄,,2017-08-08
3246931,zögernd {Ger.},遲疑的,,德,,2017-08-08
3246932,Zopf {Ger.},迂腐,,德,,2017-08-08
3246933,zornig {Ger.},憤怒的,,德,,2017-08-08
3246934,zortziko {Sp.},索爾奇果舞曲,,西,,2017-08-08
3246935,Zu vier Händen {Ger.},四手聯彈,,德,,2017-08-08
3246936,Zug {Ger.},滑管,,德,,2017-08-08
3246937,Zugposaune {Ger.},伸縮小號,,德,,2017-08-08
3246938,Zungenpfeife {Ger.},簧管,,德,,2017-08-08
3246939,Zungenschlag {Ger.},運舌法,,德,,2017-08-08
3246940,Zungenstimme {Ger.},簧管音栓,,德,,2017-08-08
3246941,Zungenstoss {Ger.},運舌法,,德,,2017-08-08
3246942,zurück {Ger.},回去,,德,,2017-08-08
3246943,Zurückhaltend {Ger.},抑制；拖延；轉慢,,德,,2017-08-08
3246944,Zurückschlag {Ger.},回拍顫音,,德,,2017-08-08
3246945,Zusammengesetzte dreiteilige Form {Ger.},複三段式,,德,,2017-08-08
3246946,Zusammengesetzte zweiteilige Form {Ger.},複二段曲式,,德,,2017-08-08
3246947,zusammengesetztes Intervall {Ger.},複音程,,德,,2017-08-08
3246948,Zusammenklang {Ger.},合音,,德,,2017-08-08
3246949,Zusammenstreichung {Ger.},符尾連接,,德,,2017-08-08
3246950,zutraulich {Ger.},信賴的,,德,,2017-08-08
3246951,zwei Stimmen {Ger.},二聲部,,德,,2017-08-08
3246952,zweigestrichene Oktave {Ger.},二點八度｛音域｝,,德,,2017-08-08
3246953,zweite Umkehrung {Ger.},第二轉位,,德,,2017-08-08
3246954,zweiteilige Form {Ger.},二段體,,德,,2017-08-08
3246955,zweites Thema {Ger.},第二主題,,德,,2017-08-08
3246956,Zweiunddreissigstelnote {Ger.},三十二分音符,,德,,2017-08-08
3246957,Zweiunddreissigstelpause {Ger.},三十二分休止符,,德,,2017-08-08
3246958,Zweivierteltakt {Ger.},二四拍子,,德,,2017-08-08
3246959,zweizähliger Takt {Ger.},二拍子,,德,,2017-08-08
3246960,Zweizweiteltakt {Ger.},二二拍子,,德,,2017-08-08
3246961,Zwerchfell {Ger.},橫隔膜,,德,,2017-08-08
3246962,Zwischendominante {Ger.},副屬和弦,,德,,2017-08-08
3246963,Zwischenmodulation {Ger.},中間轉調,,德,,2017-08-08
3246964,Zwischenraum{Ger.},間｛五線譜｝,,德,,2017-08-08
3246965,Zwischensatz {Ger.},插句；插入段,,德,,2017-08-08
3246966,Zwischenspiel {Ger.},間奏曲,,德,,2017-08-08
3246967,Zwischenteil {Ger.},中間部,,德,,2017-08-08
3246968,Zwischenton {Ger.},中間音,,德,,2017-08-08
3246969,Zwischentonart {Ger.},中間調,,德,,2017-08-08
3246970,Zwölfton-technik {Ger.},十二音技巧,,德,,2017-08-08
3246971,zwölftöne Skala {Ger.},十二音音階,,德,,2017-08-08
3246972,Zwölftonmusik {Ger.},十二音音樂,,德,,2017-08-08
3246973,Zwölftonreihe {Ger.},十二音列,,德,,2017-08-08
