ID,英文名稱,中文名稱,圖片,業務標示類別,備註,更新日期
1507127,Atmospheric Physics and Chemistry Observation Room,大氣物理觀測室,,氣象業務,,2012-11-26
1507128,Pyranograph,全天輻射儀,,氣象業務,,2012-11-26
1507129,Thermometer Shelter,百葉箱,,氣象業務,,2012-11-26
1507130,Rain Droplet Collector,雨水收集器,,氣象業務,,2012-11-26
1507131,Rain Gauge,雨量器,,氣象業務,,2012-11-26
1507132,Wind Power Room,風力室,,氣象業務,,2012-11-26
1507133,Pressure Room,氣壓室,,氣象業務,,2012-11-26
1507134,Ozone Observation Room,臭氧觀測室,,氣象業務,,2012-11-26
1507135,Strong Motion Observation Station,強地動觀測站,,氣象業務,,2012-11-26
1507136,Transmitter Room,發射機室,,氣象業務,,2012-11-26
1507137,Dewpoint Sensor,溫度露點感應器,,氣象業務,,2012-11-26
1507138,Surface Observation Area,觀測坪,,氣象業務,,2012-11-26
1507139,WSR-74 Radar Operation Room,WSR-74雷達作業室,,氣象業務,,2012-11-26
1507140,Astronomy and Weather Room,天文氣象室,,氣象業務,,2012-11-26
1507141,L-Tube Thermometer,曲管地中溫度計,,氣象業務,,2012-11-26
1507142,Systems Control Room,系統管制課工作室,,氣象業務,,2012-11-26
1507143,Rain Fall Intensity Recorder,雨強感應器,,氣象業務,,2012-11-26
1507144,Siphon Pluviograph,虹吸式雨量儀,,氣象業務,,2012-11-26
1507145,Wind Tower,風力塔,,氣象業務,,2012-11-26
1507146,Marine Forecasting Room,海象測報作業室,,氣象業務,,2012-11-26
1507147,Campbells-Stokes Sunshine Recorder,康氏日照計,,氣象業務,,2012-11-26
1507148,Hydrogen Room,氫氣房,,氣象業務,,2012-11-26
1507149,Tipping Bucket Rain Gauge,傾斗式雨量儀,,氣象業務,,2012-11-26
1507150,Data Applications,資料申購處,,氣象業務,,2012-11-26
1507151,Building Layout Plan,建築物配置平面簡圖,,地政業務,,2012-11-26
1507152,Land Registration Transcript,土地登記簿謄本,,地政業務,,2012-11-26
1507153,House Tax Statement,房屋稅單,,地政業務,,2012-11-26
1507154,Lease,租貸契約,,地政業務,,2012-11-26
1507155,Address Assignment and Plate Installation,門牌編釘,,地政業務,,2012-11-26
1507156,Address Plate Certification,門牌證明,,地政業務,,2012-11-26
1507157,Agricultural Land,農業用地,,地政業務,,2012-11-26
1507158,Registration Applications,土地登記收件處,,地政業務,,2012-11-26
1507159,Land and Building Survey Application,土地複丈與建物測量收件處,,地政業務,,2012-11-26
1507160,Land Value Certificate,地價證明,,地政業務,,2012-11-26
1507161,Cadastral Map Storage,地籍資料庫,,地政業務,,2012-11-26
1507162,Cadastral Map and Building Plan Applications and Issuing,地籍圖、建物平面圖收件核發,,地政業務,,2012-11-26
1507163,Cadastral Map Reading Room,地籍圖閱覽,,地政業務,,2012-11-26
1507164,Transcription Applications and Issuing,地籍謄本收件核發,,地政業務,,2012-11-26
1507165,Application and Identification,收件及核對身份處,,地政業務,,2012-11-26
1507166,Drive-through Cadaster Transcription Service,免下車申領謄本窗口,,地政業務,,2012-11-26
1507167,Copying Machine,投幣式影印機,,地政業務,,2012-11-26
1507168,Building Number Adjustment,門牌整編登記,,地政業務,,2012-11-26
1507169,Buildings Surveying,建物測量,,地政業務,,2012-11-26
1507170,Certificate of Title Re-issue,書狀換給登記,,地政業務,,2012-11-26
1507171,Survey Data Storage,測量資料庫,,地政業務,,2012-11-26
1507172,Electronic Cadaster Transcription ,電子地籍謄本單一窗口,,地政業務,,2012-11-26
1507173,Review,審查,,地政業務,,2012-11-26
1507174,Land Resurveying Room,數值複丈作業室,,地政業務,,2012-11-26
1507175,Cadaster Transcription Service ,謄本服務中心,,地政業務,,2012-11-26
1507176,Simple Cases,簡易登記案件,,地政業務,,2012-11-26
1507177,Building Area Plan,建築物面積計算表,,地政業務,,2012-11-26
1507178,Land Use Zoning Certificate,土地使用分區證明,,地政業務,,2012-11-26
1507179,Notarized Rental Contract,公證之租賃契約書,,地政業務,,2012-11-26
1507180,Building Use Permit,建物使用執照,,地政業務,,2012-11-26
1507181,Triangulation Point,三角點,,地政業務,,2012-11-26
1507182,Primary Residential Land,自用住宅用地,,地政業務,,2012-11-26
1507183,Land and Building Registration Transcriptions,土地建物登記謄本,,地政業務,,2012-11-26
1507184,Land Resurveying,土地複丈,,地政業務,,2012-11-26
1507185,Land Value Data,地價資料庫,,地政業務,,2012-11-26
1507186,Cadaster Storage,地籍倉庫,,地政業務,,2012-11-26
1507187,Cadastral Computer Room,地籍電腦室,,地政業務,,2012-11-26
1507188,Cadastral Map Storage,地籍圖庫,,地政業務,,2012-11-26
1507189,Cadastral Map Transcription,地籍圖謄本,,地政業務,,2012-11-26
1507190,I am:,在職狀況,,地政業務,,2012-11-26
1507191,Address Changes,住址變更登記,,地政業務,,2012-11-26
1507192,Lien Cancellations ,抵押權塗銷登記,,地政業務,,2012-11-26
1507193,Corrections,更正登記,,地政業務,,2012-11-26
1507194,Building Plan,建物平面圖,,地政業務,,2012-11-26
1507195,Fees Calculation,計費處,,地政業務,,2012-11-26
1507196,Fees Collection,核計及繳納規費處,,地政業務,,2012-11-26
1507197,Registration and Surveying Applications,登記測量案件收件單一窗口,,地政業務,,2012-11-26
1507198,Pick-up,領件處,,地政業務,,2012-11-26
1507199,Review Area (Room),審查區(室),,地政業務,,2012-11-26
1507200,Resurveying Computer Room,複丈電腦室,,地政業務,,2012-11-26
1507201,Simple Cases,簡易案件,,地政業務,,2012-11-26
1507202,Fees Collection,繳納規費,,地政業務,,2012-11-26
1507203,Restoration of Domicile ,恢復戶籍,,戶政業務,,2012-11-26
1507204,Divorce Registration,離婚登記,,戶政業務,,2012-11-26
1507205,Registration of Legal Guardianship,監護登記,,戶政業務,,2012-11-26
1507206,Direct Blood Relative,直系血親,,戶政業務,,2012-11-26
1507207,Letter of Proxy,委託書,,戶政業務,,2012-11-26
1507208,Registration of Parentage,認領登記,,戶政業務,,2012-11-26
1507209,Biological Father’s Acknowledgement of Paternity,生父認領同意書,,戶政業務,,2012-11-26
1507210,Court's Final Verdict,判決確定證明書,,戶政業務,,2012-11-26
1507211,Adoption Termination Registration,終止收養登記,,戶政業務,,2012-11-26
1507212,District Courthouse,地方法院,,戶政業務,,2012-11-26
1507213,Registration of Death and Presumption of Death,死亡（死亡宣告）登記,,戶政業務,,2012-11-26
1507214,Household Certificate Transcription,戶籍謄本,,戶政業務,,2012-11-26
1507215,Household Registration Corrections,戶籍登記錯誤更正,,戶政業務,,2012-11-26
1507216,Monthly Demographic Statistics,每月人口動態統計表,,戶政業務,,2012-11-26
1507217,Building Number Certificate,門牌證明,,戶政業務,,2012-11-26
1507218,Household Registration,戶籍,,戶政業務,,2012-11-26
1507219,Marriage Certificate,結婚證書,,戶政業務,,2012-11-26
1507220,Required Documentation for Establishment of a New Household,單獨立戶證明文件,,戶政業務,,2012-11-26
1507221,Relation by Marriage,姻親,,戶政業務,,2012-11-26
1507222,Coroner’s Report,相驗書,,戶政業務,,2012-11-26
1507223,Marriage Registration,結婚登記,,戶政業務,,2012-11-26
1507224,Court's Judgment,法院判決書,,戶政業務,,2012-11-26
1507225,Adoption Registration,收養登記,,戶政業務,,2012-11-26
1507226,Asset and Property Management,財產管理及廳舍管理,,戶政業務,,2012-11-26
1507227,The Deceased,死亡者,,戶政業務,,2012-11-26
1507228,Household Certificate,戶口名簿,,戶政業務,,2012-11-26
1507229,Legal Consultation,戶政法規諮詢,,戶政業務,,2012-11-26
1507230,Japanese Colonial Household Registration Transcription,日治時期調查簿謄本,,戶政業務,,2021-06-15
1507231,Building Number Adjustment,門牌編訂,,戶政業務,,2012-11-26
1507232,Statement in Writing,書面陳情,,法律業務,,2012-11-26
1507233,Statement in Person,親自陳情,,法律業務,,2012-11-26
1507234,Preliminary Review,初審,,法律業務,,2012-11-26
1507235,Interrogation Room,檢察官偵訊室,,法律業務,,2012-11-26
1507236,Representatives Room,代理人室,,法律業務,,2012-11-26
1507237,Physiological Assessment Room,生理衡鑑室,,法律業務,,2012-11-26
1507238,Oral Accusations,刑事報到言詞申告,,法律業務,,2012-11-26
1507239,Miscellaneous,各項查詢,,法律業務,,2012-11-26
1507240,Miscellaneous Case Enforcement,其他案件處理中心,,法律業務,,2012-11-26
1507241,Detention Room,拘留室,,法律業務,,2012-11-26
1507242,Identity Parade Room,指認室,,法律業務,,2012-11-26
1507243,Victims’ Appeals(Serious Crimes) ,重大犯罪被害人申訴處,,法律業務,,2012-11-26
1507244,Special Investigation Room,特別偵查庭,,法律業務,,2012-11-26
1507245,National Tax Enforcement Center,國稅案件處理中心,,法律業務,,2012-11-26
1507246,Labor Insurance Enforcement Center,勞保案件處理中心,,法律業務,,2012-11-26
1507247,Bail Refunds,發還保證金,,法律業務,,2012-11-26
1507248,Appeals Hearing Room,訴願法庭,,法律業務,,2012-11-26
1507249,Interrogation Waiting Room,羈押被告候訊室,,法律業務,,2012-11-26
1507250,Statement by Telephone,電話陳情,,法律業務,,2012-11-26
1507251,Statement by Email,電子郵件陳情,,法律業務,,2012-11-26
1507252,Secondary Review,複審,,法律業務,,2012-11-26
1507253,Statement of Settlement,訴訟和解書,,法律業務,,2012-11-26
1507254,Municipal Tax Enforcement Center,市稅案件處理中心,,法律業務,,2012-11-26
1507255,Bail Notice,刑事被告具保須知,,法律業務,,2012-11-26
1507256,Registration,刑事報到處,,法律業務,,2012-11-26
1507257,Guarantors,具保責付,,法律業務,,2012-11-26
1507258,Liquidation Room,拍賣室,,法律業務,,2012-11-26
1507259,Compulsory Labor Area,易服勞役場,,法律業務,,2012-11-26
1507260,Money Laundering Prevention Center,洗錢防制中心,,法律業務,,2012-11-26
1507261,Holding Room,候保室,,法律業務,,2012-11-26
1507262,National Health Insurance Enforcement Center,健保案件處理中心,,法律業務,,2012-11-26
1507263,"If recording equipment is off, you have the right not to answer any questions. ",被詢問人於「錄音中」顯示器未顯示前得不回答各詢問,,法律業務,,2012-11-26
1507264,Bail Refunds,發還刑事保證金單一窗口,,法律業務,,2012-11-26
1507265,Litigation Assistance,訴訟輔導,,法律業務,,2012-11-26
1507266,Documents Assistance,繕撰書狀,,法律業務,,2012-11-26
1507267,Distribution Center,配銷處,,工商建築業務,,2012-11-26
1507268,Registration Certificate,登記證,,工商建築業務,,2012-11-26
1507269,Factory Registration ,工廠登記,,工商建築業務,,2012-11-26
1507270,Outsourcing,委託經營 / 委託外包,,工商建築業務,,2012-11-26
1507271,Prison Affairs Committee,監務委員會,,工商建築業務,,2012-11-26
1507272,Parole Board,假釋諮詢委員會,,工商建築業務,,2012-11-26
1507273,General Complaints,一般案件陳情,,工商建築業務,,2012-11-26
1507274,Company Registration Review,工商登記複審,,工商建築業務,,2012-11-26
1507275,Violations Information,工商違規罰鍰查詢,,工商建築業務,,2012-11-26
1507276,Factory Registration Application,工廠登記收文,,工商建築業務,,2012-11-26
1507277,Pump Station,加壓站,,工商建築業務,,2012-11-26
1507278,BOT Project Office ,BOT專案工作室,,工商建築業務,,2012-11-26
1507279,Land and Building Documents Review,(使用管理課)審核土地建築物部份,,工商建築業務,,2012-11-26
1507280,Building Permit and Design Modification Applications,建照、變更設計掛號,,工商建築業務,,2012-11-26
1507281,Inspections,建築工地巡查,,工商建築業務,,2012-11-26
1507282,Construction Waste Management,建築剩餘土石方管理,,工商建築業務,,2012-11-26
1507283,Construction Management,施工管理,,工商建築業務,,2012-11-26
1507284,Department of Industrial and Business Management ,商業管理,,工商建築業務,,2012-11-26
1507285,Tickets Administration Room,票證管理室,,工商建築業務,,2012-11-26
1507286,Leftover Land Consolidation,畸零地合併,,工商建築業務,,2012-11-26
1507287,Factory Registration Law Review,審查工廠登記法令,,工商建築業務,,2012-11-26
1507288,Commercial Law Registration Review ,審查商業登記法令,,工商建築業務,,2012-11-26
1507289,Tax Law Review ,審查稅務法令,,工商建築業務,,2012-11-26
1507290,Tax Documents Review,審核稅務部份,,工商建築業務,,2012-11-26
1507291,Joint Business Permits Issuing Center,營利事業統一發證聯合作業中心,,工商建築業務,,2012-11-26
1507292,Construction Fee Collection,營建收費,,工商建築業務,,2012-11-26
1507293,Construction Permit,建築執照,,工商建築業務,,2012-11-26
1507294,Electrical Systems Business,電器承裝業,,工商建築業務,,2012-11-26
1507295,Establishment Permit,許可設置核准函,,工商建築業務,,2012-11-26
1507296,Business Registration Certificate,營利事業登記證,,工商建築業務,,2012-11-26
1507297,Plumbing Business,自來水承裝業,,工商建築業務,,2012-11-26
1507298,Company Registration Application,工商登記收文,,工商建築業務,,2012-11-26
1507299,General Information Search,工商資料查尋,,工商建築業務,,2012-11-26
1507300,Industrial Land Management,工業用地管理,,工商建築業務,,2012-11-26
1507301,Registered Companies Information,公示資料查詢,,工商建築業務,,2012-11-26
1507302,Sewage System Improvement,污水下水道系統擴建及建設計畫,,工商建築業務,,2012-11-26
1507303,Company Name Inquiries,行號名稱查詢,,工商建築業務,,2012-11-26
1507304,Building Permit Review Applications,建照會審(勘)案件收文處,,工商建築業務,,2012-11-26
1507305,License Review,建照審查,,工商建築業務,,2012-11-26
1507306,Architect’s License Review Room,建築師審照室,,工商建築業務,,2012-11-26
1507307,Construction Inspection Applications,施工勘驗掛號,,工商建築業務,,2012-11-26
1507308,Documents Checking,書件審查,,工商建築業務,,2012-11-26
1507309,Ticketing,票房,,工商建築業務,,2012-11-26
1507310,Completion Date Extension,竣工展期,,工商建築業務,,2012-11-26
1507311,Violations Management and Guidance,違規商號管理與輔導,,工商建築業務,,2012-11-26
1507312,Building Law Review ,審查建築法令,,工商建築業務,,2012-11-26
1507313,Urban Planning Law Review,審查都市計畫法令,,工商建築業務,,2012-11-26
1507314,Environmental Protection Law Review,審查環保法令,,工商建築業務,,2012-11-26
1507315,Rubber Dam,橡皮壩站,,工商建築業務,,2012-11-26
1507316,Business Information,營利事業電腦查詢,,工商建築業務,,2012-11-26
1507317,Business Category Codes,營業項目代碼查詢,,工商建築業務,,2012-11-26
1507318,Statement and Reading Room,人民陳述閱卷室,,都市發展業務,,2012-11-26
1507319,Public Housing Sales,國宅配售,,都市發展業務,,2012-11-26
1507320,Introduction to Military Villages,眷村介紹區,,都市發展業務,,2012-11-26
1507321,Land-use Map Sales,都市計畫圖發售處,,都市發展業務,,2012-11-26
1507322,Loan Certificates Issuing,核發貸款證明書,,都市發展業務,,2012-11-26
1507323,Property Registration,產權登記,,都市發展業務,,2012-11-26
1507324,Planning Room,規劃室,,都市發展業務,,2012-11-26
1507325,Payment Notices,領取繳款通知書,,都市發展業務,,2012-11-26
1507326,Military Shrine,軍人忠靈祠,,勞工業務,,2012-11-26
1507327,Transfer and Notification,移案並履知申請人,,勞工業務,,2012-11-26
1507328,Today’s Events,場地使用情形一覽表,,勞工業務,,2012-11-26
1507329,Registration,登記申請案件紀錄表,,勞工業務,,2012-11-26
1507330,Discussion,會商,,勞工業務,,2012-11-26
1507331,Unit-in-Charge Processing,業務單位答覆,,勞工業務,,2012-11-26
1507332,Park Adoption Map,公園維護認養範圍圖,,勞工業務,,2012-11-26
1507333,Employers,求才企業廠商,,勞工業務,,2012-11-26
1507334,Job Applicants,求職者,,勞工業務,,2012-11-26
1507335,Assignment of Staff,派員,,勞工業務,,2012-11-26
1507336,Written,書面,,勞工業務,,2012-11-26
1507337,Application Processing Flow Chart,勞工服務中心受理申請案件作業流程圖,,勞工業務,,2012-11-26
1507338,Employment Information,提供就業資訊,,勞工業務,,2012-11-26
1507339,Case Closed,結案,,勞工業務,,2012-11-26
1507340,Unit-in-Charge Processing,業務單位派人處理,,勞工業務,,2012-11-26
1507341,Park Adoption Map,公園維護認養範圍圖,,勞工業務,,2012-11-26
1507342,Employers,求才企業廠商,,勞工業務,,2012-11-26
1507343,Job Applicants,求職者,,勞工業務,,2012-11-26
1507344,Assignment of Staff,派員,,勞工業務,,2012-11-26
1507345,Written,書面,,勞工業務,,2012-11-26
1507346,Application Processing Flow Chart,勞工服務中心受理申請案件作業流程圖,,勞工業務,,2012-11-26
1507347,Employment Information,提供就業資訊,,勞工業務,,2012-11-26
1507348,Case Closed,結案,,勞工業務,,2012-11-26
1507349,Unit-in-Charge Processing,業務單位派人處理,,勞工業務,,2012-11-26
1507350,Holiday Benefits,三節慰問,,退輔業務,,2012-11-26
1507351,Funeral Arrangements,亡故榮民善後處理,,退輔業務,,2012-11-26
1507352,Assistance for Dependents from the P.R.C,大陸來台親屬協助,,退輔業務,,2012-11-26
1507353,Interregional Coordination,地區協調,,退輔業務,,2012-11-26
1507354,Funeral Affairs,喪葬,,退輔業務,,2012-11-26
1507355,Home Care,就養,,退輔業務,,2012-11-26
1507356,Educational Assistance,就學,,退輔業務,,2012-11-26
1507357,Marriages with P.R.C. Nationals,榮民取大陸配偶專案,,退輔業務,,2012-11-26
1507358,Fushou Villa,福壽山莊,,退輔業務,,2012-11-26
1507359,Orphans Care,遺孤照顧,,退輔業務,,2012-11-26
1507360,Inheritance Affairs,遺產繼承,,退輔業務,,2012-11-26
1507361,Occupational Treatment Resource Center,職能治療資源中心,,退輔業務,,2012-11-26
1507362,Real Estate,亡故榮民不動產管理,,退輔業務,,2012-11-26
1507363,Deceased Veterans Inheritance,亡故榮民遺產繼承,,退輔業務,,2012-11-26
1507364,Educational Assistances for Dependent Children,子女獎助學金申辦,,退輔業務,,2012-11-26
1507365,Veterans Memorial Shrine,忠(榮)靈祠,,退輔業務,,2012-11-26
1507366,Employment Assistance,就業,,退輔業務,,2012-11-26
1507367,Home Care Allowance,就養給與,,退輔業務,,2012-11-26
1507368,Medical Care,就醫,,退輔業務,,2012-11-26
1507369,ID Applications,榮民證、遺眷證申換發,,退輔業務,,2012-11-26
1507370,Military Service Discharge Orders,退伍令,,退輔業務,,2012-11-26
1507371,Webpage Design Examination Room,網路設計檢定場,,退輔業務,,2012-11-26
1507372,Orphans Adoption of Veterans,遺孤認養,,退輔業務,,2012-11-26
1507373,Survivor Care,遺眷照顧,,退輔業務,,2012-11-26
1507374,Resident Certificate,居留證 / 定留證,,僑務業務,,2012-11-26
1507375,Visa Extensions and Military Service Hotline,僑居加簽、僑民兵役服務電話,,僑務業務,,2012-11-26
1507376,Identification Services Hotline,華僑身分證明服務電話,,僑務業務,,2012-11-26
1507377,Identification Services,華僑身分證明,,僑務業務,,2012-11-26
1507378,Residency Services (Burma),華僑居留(緬甸地區),,僑務業務,,2012-11-26
1507379,Students Information,僑生資料查註,,僑務業務,,2012-11-26
1507380,Self-sponsored Student Services,自行回國升學,,僑務業務,,2012-11-26
1507381,Residency Services Hotline,僑民居留服務電話,,僑務業務,,2012-11-26
1507382,Certification Services Bulletin,華僑證照服務室公佈欄,,僑務業務,,2012-11-26
1507383,Military Services and Visa Extensions,華僑身分證明(役政)、僑居加簽,,僑務業務,,2012-11-26
1507384,Overseas Compatriot Student Counseling Office Bulletin,僑生輔導室公佈欄,,僑務業務,,2012-11-26
1507385,Students Visa and Identifications,僑生出入境、僑生身分證明,,僑務業務,,2012-11-26
1507386,Application Forms for Household Registration ,戶籍登記申請書,,,,2012-11-26
1507387,Application Form for Confirmation of Indigenous Status and Registration of Tribal Group,原住民身分認定及民族別登記申請書,,,,2012-11-26
1507388,Indigenous Status Agreement,原住民身分約定書,,,,2012-11-26
1507389,Letter of Intent for Adoption of Surname and Indigenous Status,自願從姓並取得原住民身分意願書,,,,2012-11-26
1507390,Application Form for Traditional Indigenous Name  ,台灣原住民回復傳統姓名申請書,,,,2012-11-26
1507391,Application Form for Cases of Household Head Refusal to Provide Household Certificate,戶長拒提戶口名簿申請書,,,,2012-11-26
1507392,Application Form for Correction or Change of Household Registration,更正、變更申請書,,,,2012-11-26
1507393,Application Form for Change of Household Head ,戶長變更申請書,,,,2012-11-26
1507394,Consent Form for Inquiry Without Certificate or Transcript,免書證免謄本系統查詢同意書,,,,2012-11-26
1507395,Application Form for Household Registration Transcript,戶籍謄本申請書,,,,2012-11-26
1507396,Divorce Consent Form for Foreign Spouse ,外籍配偶離婚同意書,,,,2012-11-26
1507397,Consent Form for Foreigner Adoption of Chinese Name,外國人取用中文姓名同意書,,,,2012-11-26
1507398,Application Form for Home Owner to Cancel Household Registration of Ex-Tenant ,逕為遷出申請書,,,,2012-11-26
1507399,Letter of Proxy,委託書,,,,2012-11-26
1507400,Application Form for Name Change ,改名申請書,,,,2012-11-26
1507401,Parental Consent Form,同意書（父母單方申辦未成年子女各項戶籍登記時須檢附）,,,,2012-11-26
1507402,Acknowledgement of Paternity Form,認領申請書,,,,2012-11-26
1507403,Application Form to Acknowledge Paternity for Post-marital Legitimization,準正申請書,,,,2012-11-26
1507404,Child's Surname Agreement,子女姓氏約定書,,,,2012-11-26
1507405,Divorce Agreement,離婚協議書,,,,2012-11-26
1507406,Parental Agreement on Exercising the Rights and Obligations of Minors,未成年子女權利義務行使負擔登記約定書,,,,2012-11-26
1507407,Letter of Authorization for Use of Seal ,印鑑委任書,,,,2012-11-26
1507408,Marriage Agreement,結婚書約,,,,2012-11-26
1507409,Affidavit Affirming Non-use of Same Name as Direct Blood Relative or Sibling,未使用與直系親屬或兄弟姊妹同姓名切結書,,,,2012-11-26
1507410,Application Form for Home Services ,派員實地查證申請書,,,,2012-11-26
1507411,Application Form for  Appointment of Guardianship Proxy ,委託監護申請書,,,,2012-11-26
1507412,Survey Project on Hakka Village Cultural Resources,客庄文化資源普查計畫,,,,2012-11-26
1507413,General Survey on Cultural Properties,各類文化資產普查,,,,2012-11-26
1507414,Dismantlement Investigation,解體調查,,,,2012-11-26
1507415,Public Legal Person,公法人,,,,2012-11-26
1507416,Private Legal Person,私法人,,,,2012-11-26
1507417,Health Checkup (Over 40s) ,成人健檢,,,,2012-11-26
1507418,Registration Fee,掛號費,,,,2012-11-26
1507419,Co-payment,部分負擔,,,,2012-11-26
1507420,Sample Form,書寫範例,,,,2012-11-26
1507421,Vaccination Process,預防接種服務流程,,,,2012-11-26
1507422,Fill out information,資料填寫,,,,2012-11-26
1507423,Enter Vaccination Record,預注登錄,,,,2012-11-26
1507424,Registration,掛號,,,,2012-11-26
1507425,Growth and Development Measurement,生長發育測量,,,,2012-11-26
1507426,Doctor Consultation,醫師評估,,,,2012-11-26
1507427,Vaccination,預防接種,,,,2012-11-26
1507428,Clinic and Vaccination Hours,門診及預防注射時間,,,,2012-11-26
1507429,Our Services,服務項目,,,,2012-11-26
1507430,General Medical Clinic,醫療門診,,,,2012-11-26
1507431,Well Baby Clinic,健兒門診,,,,2012-11-26
1507432,Pap Smear Test,子宮頸抹片檢查,,,,2012-11-26
1507433,General Physical Examination,ㄧ般體檢服務,,,,2012-11-26
1507434,Family Planning,家庭計畫,,,,2012-11-26
1507435,Vaccination Certificate Application,預防接種證明申請,,,,2012-11-26
1507436,STD Check,性病檢查,,,,2012-11-26
1507437,Medical and Pharmaceutical Practice Permit Application,醫藥證照登記申請,,,,2012-11-26
1507438,Death Certificate,行政相驗,,,,2012-11-26
1507439,Lockers for Archive Users,檔案應用申請人專用置物櫃,,,,2012-11-26
1507440,Legal Counseling: ,律師諮詢時間：,,,,2012-11-26
1507441,2:00-4:00 PM Friday,每週五下午二時至四時,,,,2012-11-26
1507442,Free bus tickets for senior citizens,老人免費公車票,,,,2012-11-26
1507443,Home reporting by reservist,後備軍人退伍歸鄉報到,,,,2012-11-26
1507444,Typhoon Center Location on Tracking Charts/ Maps,颱風動態圖中心位置圖,,,,2012-11-26
1507445,Time of Announcement: YYYY-MM-DD HH:MM (Local Time),發佈時間：  年   月   日   時   分(本地時間),,,,2012-11-26
1507446,Legend,圖例,,,,2012-11-26
1507447,Typhoon Center Location at Time of Data Collection,資料時間中心位置,,,,2012-11-26
1507448,Past Hourly Path of Typhoon ,過去每小時之路徑,,,,2012-11-26
1507449,Forecast Typhoon Center Location in 24 Hours,預測未來24小時後之中心位置,,,,2012-11-26
1507450, Household Registration Archives Access,閱覽戶籍資料,,,,2012-11-26
1507451,Photocopies of Household Registration Documents,戶籍檔案原始資料影本,,,,2012-11-26
1507452,Loan Collection and Accrued Interest Calculation,授信管理,,,,2012-11-26
1507453,1.Household move-in registration with entry permit copy2.Household registration based on the copy of entry permit,憑入境證副本辦理遷入登記,,,,2012-11-26
1507454,"No running on deck. To prevent capsizing, avoid gathering on a single side of the vessel.",船上請勿追逐嬉鬧。請勿集中坐在船的一側，造成船身不平衡。 ,,,,2012-11-26
1507455,"'No running on deck. To prevent capsizing, avoid gathering on a single side of the vessel.'",船上請勿追逐嬉鬧。請勿集中坐在船的一側，造成船身不平衡。 ,,,,2012-11-26
1507456,"'No running on deck. To prevent capsizing, avoid gathering on a single side of the vessel.'",船上請勿追逐嬉鬧。請勿集中坐在船的一側，造成船身不平衡。 ,,,,2012-11-26
1507457,"'No running on deck. To prevent capsizing, avoid gathering on a single side of the vessel.'",船上請勿追逐嬉鬧。請勿集中坐在船的一側，造成船身不平衡。 ,,,,2012-11-26
1507458,Swimming is prohibited at the waterway or dock areas.,禁止在航道、碼頭邊游泳。,,,,2012-11-26
1507459,Please embark/disembark orderly to prevent accidents.,請依序登、下船，以免發生落水意外。,,,,2012-11-26
1507460,"Qing Dynasty Arsenal,Qing Dynasty Arsenal","清代機器局,清代機器局",,",",",",2012-11-26
1507461,Complaints and Petitions Flow Chart,人民陳情案件作業流程,,,,2012-11-26
1507462,Petitioner,陳情人,,,,2012-11-26
1507463,Supervising Agency,上級機關,,,,2012-11-26
1507464,Research and Evaluation Unit,研考單位,,,,2012-11-26
1507465,Registration and Monitoring,登記列管,,,,2012-11-26
1507466,Case Handling Unit,承辦單位,,,,2012-11-26
1507467,Case Reminder,未結催辦,,,,2012-11-26
1507468,Investigation of Overdue Cases,逾期分析,,,,2012-11-26
1507469,Cc to the Monitoring Unit,副知上級列管單位,,,,2012-11-26
1507470,Statistical Abstract of Taipei City's Zhongshan District,臺北市中山區區務統計要覽,,,,2012-11-26
1507471,Food Industry Administration,食品業管理,,,,2012-11-26
1507472,Food Standards Inspection,食品抽驗檢驗,,,,2012-11-26
1507473,Food Standards Violation Inspection,違規食品查緝,,,,2012-11-26
1507474,Health Food Administration,健康食品管理,,,,2012-11-26
1507475,Meat Sanitation Administration,肉品衛生管理,,,,2012-11-26
1507476,Traditional Chinese Medicine Pharmaceutical Affairs,中藥藥政,,,,2012-11-26
1507477,Establishment of Civil Organizations,人民團體籌組,,,,2012-11-26
1507478,Administration of Civil Organization Meetings,人民團體會務管理,,,,2012-11-26
1507479,Community Development,社區發展業務,,,,2012-11-26
1507480,Cooperatives,合作社業務,,,,2012-11-26
1507481,Social Activities,社會活動,,,,2012-11-26
1507482,Administration of Charity Fundraising,公益勸募管理,,,,2012-11-26
1507483,Foreign Worker Affairs,外勞管理業務,,,,2012-11-26
1507484,Green Belt Improvement Project,隔離綠帶加強工程,,,,2012-11-26
