ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3250816,"Durand, Joël-François","迪朗,弗朗索瓦",,1954-,法國,作曲,,2017-08-08
3250817,"Durand, Marie Auguste","迪朗,奧古斯特",,1830-1909,法國,作曲,,2017-08-08
3250818,"Durante, Francesco",杜朗特,,1684-1755,義大利,作曲,,2017-08-08
3250819,"Durey, Louis",迪瑞,,1888-1979,法國,作曲,,2017-08-08
3250820,"Durón, Sebastián",杜弄,,1660-1716,西班牙,作曲,,2017-08-08
3250821,"Durufle, Maurice",杜呂弗勒,,1902-1986,法國,作曲；管風琴,,2017-08-08
3250822,"Dušek, František",杜賽克，弗蘭蒂謝克,,1731-1799,捷克,鋼琴；作曲,,2017-08-08
3250824,"Dushkin, Samuel",杜希金,,1891-1976,美國,小提琴,波裔,2017-08-08
3250825,"Dussek, Jan Ladislav",杜賽克,,1760-1812,捷克,作曲,,2017-08-08
3250826,"Dutilleux, Henri",迪悌耶,,1916-2013,法國,作曲,,2017-08-08
3250827,"Dutoit, Charles",迪托瓦,,1936-,瑞士,中提琴；指揮,,2017-08-08
3250828,"Duval, Denise",迪瓦,,1921-,法國,聲樂,女高音,2017-08-08
3250829,"Dvarionas, Balys",迪瓦利歐納斯,,1904-1972,拉托維亞,作曲,,2017-08-08
3250830,"Dvořák, Antonín",德沃札克,,1841-1904,捷克,作曲,,2017-08-08
3250831,"Dyens, Roland",迪恩斯,,1955-,突尼西亞,吉他；作曲,,2017-08-08
3250832,"Dyson, George",戴森,,1883-1964,英國,作曲,,2017-08-08
3250833,"Dzerzhinsky, Ivan",翟金斯基,,1909-1978,俄國,作曲,,2017-08-08
3250834,"Dzubay, David",迪祖貝,,1964-,美國,作曲,,2017-08-08
3250835,"Eadie, Noël",伊迪,,1901-1956,英國（蘇格蘭）,聲樂,女高音,2017-08-08
3250836,"Eames, Emma",伊姆絲,,1865-1952,美國,聲樂,女高音,2017-08-08
3250837,"Easdale, Brian",伊斯代爾,,1909-1995,英國,小提琴；作曲,,2017-08-08
3250838,"Eastman, George",伊士曼,,1854-1932,美國,音樂教育贊助人,,2017-08-08
3250839,"Easton, Florence",伊絲頓,,1882-1955,英國,聲樂,女高音,2017-08-08
3250840,"Eastwood, Thomas",伊士伍德,,1922-1999,英國,作曲,,2017-08-08
3250841,"Eatock, Colin",伊托克,,1958-,加拿大,作曲,,2017-08-08
3250842,"Eben, Petr",艾本,,1929-2007,捷克,作曲；鋼琴,,2017-08-08
3250843,"Eberl, Anton",艾貝爾,,1765-1807,奧地利,作曲；鋼琴,,2017-08-08
3250844,"Eberlin, Johann Ernst",艾貝林,,1702-1762,德國,作曲,,2017-08-08
3250845,"Eccard, Johannes","艾卡特,約翰尼斯",,1553-1611,德國,作曲,,2017-08-08
3250846,"Eccles, Henry","艾可斯,亨利",,1670-1742,英國,作曲,,2017-08-08
3250847,"Eccles, John","艾可斯,約翰",,1668-1735,英國,小提琴；作曲,,2017-08-08
3250848,"Eccles, Solomon","艾可斯,所羅門",,1618-1683,英國,作曲,,2017-08-08
3250849,"Eckard, Johann Gottfried","艾卡特,約翰哥特弗利德",,1735-1809,德國,作曲,,2017-08-08
3250850,"Eckerberg, Sixten",艾克堡,,1909-1991,瑞典,指揮；鋼琴；作曲,,2017-08-08
3250851,"Eckhardt-Gramatté, Sophie-Carmen",艾卡特－葛蘭瑪特,,1899-1974,加拿大,作曲,俄裔,2017-08-08
3250852,"Eddy, Nelson",艾迪,,1901-1967,美國,聲樂,男中音,2017-08-08
3250853,"Edelmann, Jean-Frédéric (Johan-Fredreric)","艾德曼,尚－弗列德利克",,1749-1794,法國,作曲,,2017-08-08
3250854,"Edelmann, Otto","艾德曼,歐托",,1917-2003,奧地利,聲樂,男低音,2017-08-08
3250855,"Edgerton, Mike",艾格頓,,1961-,美國,作曲,,2017-08-08
3250856,"Edlin, Paul Max",艾德林,,1963-,英國,作曲,,2017-08-08
3250857,"Edmunds, John",艾德蒙茲,,1913-1986,美國,作曲；音樂學,,2017-08-08
3250858,"Edo, Kyoko",江戶京子,,1937-,日本,鋼琴；音樂教育,,2017-08-08
3250859,"Edvina, Marie-Louise",艾薇娜,,1878-1948,加拿大,聲樂,女高音,2017-08-08
3250860,"Edwards, Michael","艾德華,麥可",,1968-,英國,作曲,,2017-08-08
3250861,"Edwards, Richard","艾德華,理查",,1523-1566,英國,作曲,,2017-08-08
3250862,"Edwards, Ross","艾德華,羅斯",,1943-,澳大利亞,作曲,,2017-08-08
3250863,"Egge, Klaus",艾格,,1906-1979,挪威,作曲,,2017-08-08
3250864,"Eggen, Arne",艾根,,1881-1955,挪威,作曲；管風琴,,2017-08-08
3250865,"Eggert, Joachim Nikolas","艾格特,姚阿幸尼可拉斯",,1779-1813,瑞典,作曲,,2017-08-08
3250866,"Eggert, Moritz","艾格特,摩利茲",,1965-,德國,作曲,,2017-08-08
3250867,"Egk, Werner",艾格科,,1901-1983,德國,作曲,,2017-08-08
3250868,"Ehlers, Alice",艾萊絲,,1887-1981,美國,大鍵琴,奧裔,2017-08-08
3250869,"Ehrling, Sixten",艾爾林,,1918-2005,瑞典,指揮,,2017-08-08
3250870,"Eichberg, Søren Nils",艾希貝爾格,,1973-,德國,作曲、指揮,,2017-08-08
3250871,"Eichheim, Henry",艾希海姆,,1870-1942,美國,作曲；小提琴,,2017-08-08
3250872,"Eichner, Ernst",艾希納,,1740-1777,德國,作曲；低音管,,2017-08-08
3250873,"Eicker, Edward",艾可,,1975-,美國,作曲,,2017-08-08
3250874,"Eijsackers, Hans",艾加克斯,,1967-,荷蘭,作曲,,2017-08-08
3250875,"Eilenberg, Richard",艾連堡,,1848-1927,奧地利,作曲,,2017-08-08
3250876,"Eimert, Herbert",艾麥特,,1897-1972,德國,作曲；音樂理論,,2017-08-08
3250877,"Einem, Gottfried von",艾能,,1918-1996,奧地利,作曲,,2017-08-08
3250878,"Einstein, Alfred",艾因斯坦,,1880-1952,美國,音樂學,德裔,2017-08-08
3250879,"Eisenberg, Maurice",艾森堡,,1900-1972,美國,大提琴,德裔,2017-08-08
3250880,"Eisler, Hanns",艾斯勒,,1898-1962,德國,作曲,,2017-08-08
3250881,"Eitner, Robert",艾特納,,1832-1905,德國,音樂學,,2017-08-08
3250882,"Ek, Gunnar",艾克,,1900-1981,瑞典,作曲；大提琴,,2017-08-08
3250883,"Elder, Mark",艾爾德,,1947-,英國,指揮；低音管,,2017-08-08
3250884,"Eldering, Klaas",艾德令,,1951-,荷蘭,作曲,,2017-08-08
3250885,"Element, Ernest",艾勒門特,,1909-,英國,小提琴,,2017-08-08
3250886,"Elfman, Danny",艾夫曼,,1953-,美國,作曲,,2017-08-08
3250887,"Elgar, Edward",艾爾加,,1857-1934,英國,作曲,,2017-08-08
3250888,"Elia, Marios Joannou",艾利亞,,1978-,塞普勒斯,作曲,,2017-08-08
3250889,"Elinson, Iso",艾林森,,1907-1964,英國,鋼琴,俄裔,2017-08-08
3250890,"Elizalde, Federico",艾利薩德,,1907-1979,西班牙,作曲；指揮,,2017-08-08
3250891,"Elkana, Amos",艾卡納,,1967-,美國,作曲,,2017-08-08
3250892,"Elleguard, France Marguerite",艾萊瓜,,1913-1999,瑞典,鋼琴,,2017-08-08
3250893,"Ellen, Jane",艾倫,,1956-,美國,作曲,,2017-08-08
3250894,"Eller, Heino",艾勒,,1887-1970,愛沙尼亞,作曲,,2017-08-08
3250895,"Elling, Catharinus",艾林,,1858-1942,挪威,作曲,,2017-08-08
3250896,"Ellinger, Desiree",艾琳潔,,1894-1951,英國,聲樂,女高音,2017-08-08
3250897,"Ellington, Edward K.""Duke""",艾靈頓,,1899-1974,美國,作曲；鋼琴；爵士樂,,2017-08-08
3250898,"Elliott, Jonathan",艾略特,,1962-,美國,作曲,,2017-08-08
3250899,"Ellis, David",艾利斯,,1933-,英國,作曲,,2017-08-08
3250900,"Ellmenreich, Alvert",艾爾門來希,,1816-1905,德國,作曲,,2017-08-08
3250901,"Elman, Mischa",艾爾曼,,1891-1967,俄國,小提琴,,2017-08-08
3250902,"Elmendorff, Karl",艾門朵夫,,1891-1962,德國,指揮,,2017-08-08
3250903,"Eloy, Jean-Claude",艾洛瓦,,1938-,法國,作曲,,2017-08-08
3250904,"Elsner, Joseph",艾爾斯納,,1769-1854,波蘭,作曲,,2017-08-08
3250905,"Elson, Louis",艾爾森,,1848-1920,美國,音樂著作,,2017-08-08
3250906,"Elwell, Herbert",艾威爾,,1898-1974,美國,作曲；樂評,,2017-08-08
3250907,"Elwes, Gervase",艾威斯,,1866-1921,英國,聲樂,男高音,2017-08-08
3250908,"Emborg, Jens Laurson",恩博,,1876-1957,丹麥,作曲,,2017-08-08
3250909,"Emmanuel, Maurice",埃瑪紐耶爾,,1862-1938,法國,作曲；音樂學,,2017-08-08
3250910,"Emmett, Daniel Decatur",艾梅特,,1815-1904,美國,作曲,,2017-08-08
3250911,"Enesco, Georges[ Enescu, Geoge ]",艾內斯科,,1881-1955,羅馬尼亞,小提琴；作曲,,2017-08-08
3250912,"Engel, Carl",恩格爾,,1818-1882,德國,鋼琴,,2017-08-08
3250913,"Engel, Claude",恩傑爾,,1948-,法國,作曲,,2017-08-08
3250914,"Englefield, Richard",恩格費爾德,,1937-,美國,作曲,,2017-08-08
3250915,"Englund, Einar Sven",恩格倫德,,1916-1999,芬蘭,作曲,,2017-08-08
3250916,"Enkoji, Masahiko",圓光寺雅彥,,1954-,日本,指揮,,2017-08-08
3250917,"Enna, August",恩納,,1859-1939,丹麥,小提琴,,2017-08-08
3250918,"Ennemond, Gaultier le Vieux",恩納蒙,,1575-80-1651,法國,作曲,,2017-08-08
3250919,"Entremont, Philippe",恩特蒙,,1934-,法國,鋼琴,,2017-08-08
3250920,"Eötvös, Peter",艾厄特沃斯,,1944-,匈牙利,作曲,,2017-08-08
3250921,"Eppert, Carl",伊普特,,1882-1961,美國,指揮；作曲,,2017-08-08
3250922,"Epstein, Julius",艾布斯坦,,1832-1926,奧地利,鋼琴,,2017-08-08
3250923,"Erb, Donald James","艾爾布,唐納‧詹姆士",,1927-2008,美國,作曲,,2017-08-08
3250924,"Erb, Karl","艾爾布,卡爾",,1877-1958,德國,聲樂,男高音,2017-08-08
3250925,"Erbse, Heimo",艾爾布瑟,,1924-2005,德國,作曲,,2017-08-08
3250926,"Erede, Alberto",艾雷德,,1909-2001,義大利,指揮,,2017-08-08
3250927,"Erickson, Robert",艾瑞克森,,1917-1997,美國,作曲,,2017-08-08
3250928,"Erkelt, Ferenc",艾爾凱,,1810-1893,匈牙利,作曲；指揮,,2017-08-08
3250929,"Erlanger, Camille",艾朗傑,,1863-1919,法國,作曲,,2017-08-08
3250930,"Erlebach, Philipp Heinrich",艾勒巴赫,,1657-1714,德國,作曲,,2017-08-08
3250931,"Erlih, Devy",艾利希,,1928-2012,法國,小提琴,,2017-08-08
3250932,"Ernst, Heinrich Wilhelm",恩斯特,,1814-1865,捷克,小提琴；作曲,,2017-08-08
3250933,"Eschenbach, Christoph",艾森巴赫,,1940-,德國,鋼琴；指揮,,2017-08-08
3250934,"Escher, Rudolf",艾舍,,1912-1980,荷蘭,作曲,,2017-08-08
3250935,"Escobar, Luis Antonio",艾斯哥巴爾,,1925-1993,哥倫比亞,作曲,,2017-08-08
3250936,"Escudero, Francisco",艾斯庫德羅,,1912-2002,西班牙,作曲,,2017-08-08
3250937,"Eshpay, Andrey",艾希拜,,1925-,俄國,作曲,,2017-08-08
3250938,"Esnaola, Juan Pedro",艾斯瑙拉,,1808-1878,阿根廷,作曲,,2017-08-08
3250939,"Esplá, Oscar",艾斯普拉,,1886-1976,西班牙,作曲,,2017-08-08
3250940,"Espoile, Raúl",艾斯珀伊列,,1889-1958,阿根廷,作曲,,2017-08-08
3250941,"Esposito, Michele",艾斯波西托,,1855-1929,義大利,鋼琴；指揮,,2017-08-08
3250942,"Esquivel, Juan Barahona de",艾斯奇維爾,,1560-after 1623,西班牙,作曲,,2017-08-08
3250943,"Essipoff, Annette",艾西波芙,,1851-1914,俄國,鋼琴,,2017-08-08
3250944,"Essl, Karlheinz",艾瑟,,1960-,奧地利,作曲,,2017-08-08
3250945,"Estrada, Carlos",艾斯特拉達,,1909-1970,烏拉圭,作曲；指揮,,2017-08-08
3250946,"Etkin, Mariano",艾特金,,1943-,阿根廷,作曲,,2017-08-08
3250947,"Etler, Alvin",艾特勒,,1913-1973,美國,作曲；雙簧管,,2017-08-08
3250948,"Evangelisti, Franco",艾宛傑利斯提,,1926-1980,義大利,作曲,,2017-08-08
3250949,"Evans, David","伊文斯,大衛",,1874-1948,英國,作曲,,2017-08-08
3250950,"Evans, David Emlyn","伊文斯,恩林",,1843-1913,英國,音樂著作；作曲,,2017-08-08
3250951,"Evans, Edwin (i)","伊文斯一世,艾德文",,1844-1923,英國,管風琴；著作,,2017-08-08
3250952,"Evans, Edwin (ii)","伊文斯二世,艾德文",,1874-1945,英國,音樂著作,,2017-08-08
3250953,"Evans, Francois","伊文斯,法郎索瓦",,1965-,英國,作曲,,2017-08-08
3250954,"Evans, Geraint","伊文斯,傑倫特",,1922-1992,英國,聲樂,男中音,2017-08-08
3250955,"Even, Pierre",艾文,,1946-,德國,作曲,,2017-08-08
3250956,"Everhartz, Jury",艾維爾哈茲,,1971-,德國,作曲,,2017-08-08
3250957,"Ewald, Victor",艾瓦德,,1860-1935,俄國,作曲,,2017-08-08
3250958,"Ewers, Tim",艾威爾斯,,1958-,英國,作曲,,2017-08-08
3250959,"Expert, Henry",艾克斯培,,1863-1952,法國,音樂學,,2017-08-08
3250960,"Eybler, Joseph Edler von",艾布勒,,1765-1846,奧地利,作曲,,2017-08-08
3250961,"Eysler, Edmund",艾斯勒,,1874-1949,奧地利,作曲,,2017-08-08
3250962,"Ezaki, Masako",江崎昌子,,1970-,日本,鋼琴,,2017-08-08
3250963,"Faccio, Franco",法丘,,1840-1891,義大利,指揮；作曲,,2017-08-08
3250964,"Fachiri, Adila",法琪莉,,1886-1962,匈牙利,小提琴,,2017-08-08
3250965,"Fagan, Gideon",費根,,1904-1980,南非,指揮；作曲,,2017-08-08
3250966,"Fakhradov, Zaur",法克拉朵夫,,1965-,亞塞拜然,作曲,,2017-08-08
3250967,"Falconieri, Andrea",法可涅里,,1585/6-1656,義大利,作曲,,2017-08-08
3250968,"Falkner, Keith",佛克納,,1900-1994,英國,聲樂,男低音,2017-08-08
3250969,"Fall, Leo",法爾,,1873-1925,奧地利,作曲,,2017-08-08
3250970,"Falla, Manuel de",法雅,,1876-1946,西班牙,作曲,,2017-08-08
3250971,"Fampas, Dimitri",范帕斯,,1921-1996,希臘,作曲；吉他,,2017-08-08
3250972,"Fanshawe, David",范曉,,1942-,英國,作曲,,2017-08-08
3250973,"Fantini, Girolamo",范悌尼,,1600-1675,義大利,作曲,,2017-08-08
3250974,"Faraday, Philip Michael",法拉代,,1876-1944,英國,作曲,,2017-08-08
3250975,"Farina, Carlo",法利納,,1600-1640,義大利,小提琴；作曲,,2017-08-08
3250976,"Farinelli, (Carlo Broschi)",法里內利,,1705-1782,義大利,聲樂,,2017-08-08
3250977,"Farjeon, Harry",法爾炯,,1878-1948,英國,作曲；著作,,2017-08-08
3250978,"Farkas, Ferenc","法卡斯,費倫次",,1905-2000,匈牙利,作曲,,2017-08-08
3250979,"Farkas, Ödön","法卡斯,厄登",,1952-1912,匈牙利,作曲,,2017-08-08
3250980,"Farmer, Henry George","法默,亨利喬治",,1882-1965,愛爾蘭,音樂著作,,2017-08-08
3250981,"Farmer, John","法默,約翰",,1570-between 1591-1601,英國,作曲,,2017-08-08
3250982,"Farnaby, Giles","法納比,吉爾斯",,1563-1640,英國,作曲,,2017-08-08
3250983,"Farnaby, Richard","法納比,理查",,1594-?,英國,作曲,,2017-08-08
3250984,"Farnam, W.Lynnwood",法爾南,,1885-1930,加拿大,管風琴,,2017-08-08
3250985,"Farncombe, Charles",法恩康,,1919-2006,英國,指揮,,2017-08-08
3250986,"Farnon, Robert",法農,,1917-2005,加拿大,作曲；指揮,,2017-08-08
3250987,"Farrar, Geraldine",法拉,,1882-1967,美國,聲樂,女高音,2017-08-08
3250988,"Farrenc-Dumont, Jeanne-Louise",法蓮克－迪蒙,,1804-1875,法國,作曲,,2017-08-08
3250989,"Farwell, Arthur",法維爾,,1872-1952,美國,作曲,,2017-08-08
3250990,"Fasano, Renato",法撒諾,,1902-1979,義大利,指揮；鋼琴；作曲,,2017-08-08
3250991,"Fasch, Carl Friedrich Christian","法許,卡爾",,1736-1800,德國,作曲,,2017-08-08
3250992,"Fasch, Johann Friedrich","法許,約翰",,1688-1758,德國,作曲,,2017-08-08
3250993,"Fauré, Gabriel",佛瑞,,1845-1924,法國,作曲；管風琴,,2017-08-08
3250994,"Faure, Jean-Baptiste",佛爾,,1830-1914,法國,作曲；聲樂,男中音,2017-08-08
3250995,"Faverman, John",法沃曼,,1957-,美國,作曲,,2017-08-08
3250996,"Fear, Arthur Edward",費爾,,1902-1973,英國,聲樂,男中音,2017-08-08
3250997,"FeBland, Jonathan",費布藍,,1960-,英國,作曲,,2017-08-08
3250998,"Feinberg, Samuel",芬伯格,,1890-1962,俄國,鋼琴,,2017-08-08
3250999,"Feldman, Morton",費德曼,,1926-1987,美國,作曲,,2017-08-08
3251000,"Fellows, Edmund Horace",費洛斯,,1870-1951,英國,音樂學,,2017-08-08
3251001,"Feltkamp, Johannes",費特坎,,1896-1962,荷蘭,長笛；指揮,,2017-08-08
3251002,"Felton, William",費爾頓,,1715-1769,英國,管風琴；作曲,,2017-08-08
3251003,"Felzer, Oleg",費爾澤,,1939-1998,亞塞拜然,作曲,,2017-08-08
3251004,"Fenby, Eric",芬畢,,1906-1997,英國,作曲,,2017-08-08
3251005,"Fennelly, Brian",芬內利,,1937-,美國,作曲,,2017-08-08
3251006,"Feo, Francesco",費歐,,1691-1761,義大利,作曲,,2017-08-08
3251007,"Ferencsik, János",費倫契克,,1907-1984,匈牙利,指揮,,2017-08-08
3251008,"Ferguson, Howard",費格森,,1908-1999,愛爾蘭,作曲,,2017-08-08
3251009,"Ferko, Frank",費可,,1950-,美國,作曲,,2017-08-08
3251010,"Fernandez, Gaspar","費南德茲,加斯帕",,1570-1629,葡萄牙,作曲,,2017-08-08
3251011,"Fernandez, Maria Antonia",費南黛絲,,1751-1787,西班牙,聲樂,,2017-08-08
3251012,"Fernandez, Oscar",費南德斯,,1897-1948,巴西,作曲,,2017-08-08
3251013,"Ferneyhough, Brian",費尼豪,,1943-,英國,作曲,,2017-08-08
3251014,"Fernström, John",費恩史壯,,1897-1961,瑞典,作曲,,2017-08-08
3251015,"Ferrabosco, Alfonso I",費拉伯斯可一世,,1543-1588,義大利,作曲,,2017-08-08
3251016,"Ferrabosco, Alfonso II",費拉伯斯可二世,,1575-1628,義大利,作曲,,2017-08-08
3251017,"Ferrara, Franco",費拉拉,,1911-1985,義大利,作曲,,2017-08-08
3251018,"Ferrari, Fabrizio",費拉利，法布利吉歐,,1971-,義大利,作曲,,2017-08-08
3251019,"Ferrari, Gustave","費拉利,古斯塔夫",,1872-1948,瑞士,作曲,,2017-08-08
3251020,"Ferrari, Luc","費拉利,呂克",,1929-2005,法國,作曲,,2017-08-08
3251021,"Ferras, Christian",費拉,,1933-1982,法國,小提琴,,2017-08-08
3251022,"Ferrero, Willy",費雷洛,,1906-1954,義大利,指揮；作曲,,2017-08-08
3251023,"Ferrier, Kathleen",費里爾,,1912-1953,英國,聲樂,女低音,2017-08-08
3251024,"Ferroud, Pierre-Octave",費魯,,1900-1936,法國,作曲,,2017-08-08
3251025,"Fesca, Friedrich Ernst",費斯卡,,1789-1826,德國,作曲,,2017-08-08
3251026,"Fesch, Willem de",費許,,1687-1757,荷蘭,作曲,,2017-08-08
3251027,"Festetics, Leó",費斯特悌克斯,,1800-1884,匈牙利,作曲,,2017-08-08
3251028,"Festing, Michael",費斯汀,,1680-1752,英國,小提琴；作曲,,2017-08-08
3251029,"Fétis, Francçois-Joseph",費悌斯,,1784-1871,比利時,音樂學；作曲；管風琴,,2017-08-08
3251030,"Feuermann, Emmanuel",佛耶曼,,1902-1942,奧地利,大提琴,,2017-08-08
3251031,"Février, Henri",費弗里耶,,1875-1957,法國,作曲,,2017-08-08
3251032,"Fibich, Zdenek",費畢希,,1850-1900,捷克,作曲,,2017-08-08
3251033,"Ficher, Jacobo",費舍爾,,1896-1978,俄國,作曲；小提琴,,2017-08-08
3251034,"Fickenscher, Arthur",費肯雪,,1871-1954,美國,鋼琴；作曲,,2017-08-08
3251035,"Ficker, Rudolf von",費克爾,,1886-1954,奧地利,音樂學,,2017-08-08
3251036,"Fidemraizer, Sergio",費登雷策,,1958-,阿根廷,作曲,,2017-08-08
3251037,"Fiedler, Arthur","費德勒,阿瑟",,1894-1979,美國,指揮,,2017-08-08
3251038,"Fiedler, Max","費德勒,馬克斯",,1859-1939,德國,指揮；作曲,,2017-08-08
3251039,"Field, John",費爾德,,1782-1837,愛爾蘭,鋼琴；作曲,,2017-08-08
3251040,"Field-Hyde, Margaret",費爾德－海德,,1905-1995,英國,小提琴；聲樂,女高音,2017-08-08
3251041,"Fields, Matthew",費爾茲,,1961-,美國,作曲,,2017-08-08
3251042,"Fila, Jan",費拉,,1982-,捷克,作曲,,2017-08-08
3251043,"Fillunger, Marie",費隆格,,1850-1930,奧地利,聲樂,女高音,2017-08-08
3251044,"Filtz, Anton",費爾次,,1733-1760,德國,作曲；大提琴,,2017-08-08
3251045,"Finch, Steven",芬奇,,1959-,美國,作曲,,2017-08-08
3251046,"Finck, Heinrich","芬克,海因利希",,1445-1527,德國,作曲,,2017-08-08
3251047,"Finck, Herman","芬克,赫曼",,1872-1939,英國,作曲；指揮,,2017-08-08
3251048,"Fine, Irving","范因,厄文",,1914-1962,美國,作曲,,2017-08-08
3251049,"Fine, Vivian","范因,薇薇安",,1913-2000,美國,作曲,,2017-08-08
3251050,"Finger, Gottfried",芬格,,1660-1730,捷克,作曲,,2017-08-08
3251051,"Finney, Ross Lee",芬尼,,1906-1997,美國,作曲,,2017-08-08
3251052,"Finnissy, Michael",芬尼西,,1946-,英國,作曲,,2017-08-08
3251053,"Finsterer, Mary",芬斯特爾,,1962-,澳大利亞,作曲,,2017-08-08
3251054,"Finzi, Gerald",芬濟,,1901-1956,英國,作曲,,2017-08-08
3251055,"Fiocco, Gioseffo Hectore","費歐寇,喬瑟夫",,1703-1741,比利時,作曲,,2017-08-08
3251056,"Fiocco, Pietro Antonio","費歐寇,皮耶特羅",,1650-1714,義大利,指揮；作曲,,2017-08-08
3251057,"Fiorillo, Dante","費奧利洛,丹提",,1905-1970,美國,作曲,,2017-08-08
3251058,"Fiorillo, Federigo","費奧利洛,費德利果",,1755-1823,義大利,小提琴；作曲,,2017-08-08
3251059,"Fiorillo, Ignazio","費奧利洛,伊尼亞契歐",,1715-1787,義大利,作曲,,2017-08-08
3251060,"Fischer, Annie","費雪,安妮",,1914-1995,匈牙利,鋼琴,,2017-08-08
3251061,"Fischer, Carl","費雪,卡爾",,1849-1923,美國,音樂出版,,2017-08-08
3251062,"Fischer, Edwin","費雪,艾德溫",,1886-1960,瑞士,鋼琴；指揮,,2017-08-08
3251063,"Fischer, Johann Kaspar Ferdinand","費雪,約翰",,1670-1746,德國,作曲,,2017-08-08
3251064,"Fischer-Dieskau, Dietrich",費雪－迪斯考,,1925-2012,德國,指揮；聲樂,男中音,2017-08-08
3251065,"Fischer-Münster, Gerhard",費雪－明斯特,,1952-,德國,作曲,,2017-08-08
3251066,"Fišer, Luboš",費舍,,1935-1999,捷克,作曲,,2017-08-08
3251067,"Fisher, Sylvia","費雪,希薇亞",,1910-1996,澳大利亞,聲樂,女高音,2017-08-08
3251068,"Fisher, William Arms","費雪,威廉",,1861-1948,美國,音樂著作,,2017-08-08
3251069,"Fistoulari, Anatole",費斯圖拉瑞,,1907-1995,英國,指揮,俄裔,2017-08-08
3251070,"Fitelberg, Grzegorz","費泰貝格,葛瑞戈茲",,1879-1953,波蘭,指揮,,2017-08-08
3251071,"Fitelberg, Jerzy","費泰貝格,耶濟",,1903-1951,波蘭,作曲,,2017-08-08
3251072,"Fitkin, Graham",費特金,,1963-,英國,作曲,,2017-08-08
3251073,"Fjeldstad, Oivin",費耶爾斯塔,,1903-1983,挪威,指揮,,2017-08-08
3251074,"Flagstad, Kirsten",弗拉格斯塔,,1895-1962,挪威,聲樂,女高音,2017-08-08
3251075,"Flanagan, William",弗拉納根,,1923-1969,美國,作曲；著作,,2017-08-08
3251076,"Flecha, Mateo",弗列恰,,1530-1604,西班牙,作曲,,2017-08-08
3251077,"Fleisher, Leon",弗萊雪,,1928-,美國,鋼琴；指揮,,2017-08-08
3251078,"Fleming-Baird, Alan",弗雷明貝爾德,,1972-,蘇格蘭,作曲,,2017-08-08
3251079,"Flesch, Carl",弗雷許,,1873-1944,匈牙利,小提琴,,2017-08-08
3251080,"Fleta, Miguel",弗列塔,,1893-1938,西班牙,聲樂,男高音,2017-08-08
3251081,"Fleury, André","弗勒利,安德烈",,1903-1995,法國,管風琴；作曲,,2017-08-08
3251082,"Fleury, Louis","弗勒利,路易",,1878-1926,法國,長笛,,2017-08-08
3251083,"Florence, Evangeline",弗羅倫斯,,1873-1928,美國,聲樂,女高音,2017-08-08
3251084,"Flothuis, Marius",弗洛徒伊斯,,1914-2001,荷蘭,作曲；音樂學,,2017-08-08
3251085,"Flotow, Friedrich von",弗洛妥,,1812-1883,德國,歌劇作曲,,2017-08-08
3251086,"Flower, Newman",弗勞爾,,1879-1964,英國,音樂著作；出版,,2017-08-08
3251087,"Floyd, Carlisle",弗洛依德,,1926-,美國,作曲,,2017-08-08
3251088,"Fodor, Carolus Antonius (Antoine)",佛多,,1768-1846,荷蘭,作曲,,2017-08-08
3251089,"Foggin, Myers",佛京,,1908-1986,英國,鋼琴；指揮,,2017-08-08
3251090,"Foldes, Andor",佛德斯,,1913-1992,美國,鋼琴,匈裔,2017-08-08
3251091,"Földvári, Gergely",弗德瓦利,,1970-,匈牙利,作曲,,2017-08-08
3251092,"Foli, Allen James",佛利,,1835-1899,愛爾蘭,聲樂,男低音,2017-08-08
3251093,"Fomin, Evstigney Ipatovich",佛明,,1761-1800,俄國,作曲,,2017-08-08
3251094,"Fontana, Bill","馮塔納,比爾",,1947-,美國,作曲,,2017-08-08
3251095,"Fontana, Giovanni Battista","馮塔納,喬望尼",,1571-1631,義大利,作曲,,2017-08-08
3251096,"Fontana, Julian (Jules)","馮塔納,朱利安",,1810-1869,波蘭,作曲,,2017-08-08
3251097,"Fontyn, Jacqueline",馮坦,,1930-,比利時,作曲,,2017-08-08
3251098,"Foote, Arthur",富特,,1853-1937,美國,作曲；鋼琴,,2017-08-08
3251099,"Forbes, Robert","富比士,羅伯特",,1878-1958,英國,鋼琴；指揮,,2017-08-08
3251100,"Forbes, Sebastian","富比士,瑟巴斯坦",,1941-,英國,作曲；管風琴,,2017-08-08
3251101,"Forbes, Watson","富比士,瓦森",,1909-1997,英國,中提琴,,2017-08-08
3251102,"Ford, Thomas",福特,,1580-1648,英國,作曲,,2017-08-08
3251103,"Forester, Josef Bohuslav",佛爾斯特,,1859-1951,捷克,作曲；管風琴,,2017-08-08
3251104,"Forestier, Mathurin",佛雷斯提耶,,1470?-1540?,法國,作曲,,2017-08-08
3251105,"Forlivesi, Carlo",佛利威希,,1971-,義大利,作曲,,2017-08-08
3251106,"Formichi, Cesare",佛爾米基,,1887-1949,義大利,聲樂,男中音,2017-08-08
3251107,"Forqueray, Antoine",佛格雷,,1671 or 1672-1745,法國,作曲,,2017-08-08
3251108,"Förster, Emanuel Aloys",弗爾斯特,,1748-1823,奧地利,作曲；音樂理論,,2017-08-08
