ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
19441786,absolute flying height,絕對飛行高度,,,,2022-07-15
19441787,absolute humidity,絕對濕度,,環工組,,2022-07-15
19441788,absolute maximum bending moment,絕對最大彎矩,,,,2022-07-15
19441789,absolute monthly range,絕對月變幅,,環工組,,2022-07-15
19441790,absolute monthly temperature range,絕對月溫差,,,,2022-07-15
19441791,absolute motion,絕對運動,,,,2022-07-15
19441792,absolute orientation,絕對方位,,,,2022-07-15
19441793,absolute position,絕對位置,,測量組,,2022-07-15
19441794,absolute range,絕對範圍,,環工組,,2022-07-15
19441795,absolute rent,絕對地租,,都計組,,2022-07-15
19441796,absolute signal,絕對號誌,,,,2022-07-15
19441797,absolute specific gravity,絕對比重,,,,2022-07-15
19441798,absolute speed,絕對速率,,,,2022-07-15
19441799,absolute stiffness,絕對勁度,,,,2022-07-15
19441800,absolute stop signal,絕對停止號誌,,,,2022-07-15
19441801,absolute temperature,絕對溫度,,環工組,,2022-07-15
19441802,absolute temperature range,絕對溫差,,,,2022-07-15
19441803,absolute viscosity,絕對黏度,,,,2022-07-15
19441804,absolute volume,絕對體積,,,,2022-07-15
19441805,absolute zero,絕對零度,,環工組,,2022-07-15
19441806,absorbance,吸收；吸光度,,環工組,,2022-07-15
19441807,absorbed moisture,吸收水氣,,,,2022-07-15
19441808,absorbed water,吸收水,,,,2022-07-15
19441809,absorbent dose,吸收劑量,,環工組,,2022-07-15
19441810,absorber,吸收器；吸收[放射線]器,,,,2022-07-15
19441811,absorptiometric analysis,吸光分析,,環工組,,2022-07-15
19441812,absorption,吸收；吸水[率]；吸收[作用],,,,2022-07-15
19441813,absorption capacity,吸收容量,,環工組,,2022-07-15
19441814,absorption chiller,冷凝器,,建築_環控,,2022-07-15
19441815,absorption coefficient,吸收係數,,環工組,,2022-07-15
19441816,absorption device,吸收設備,,環工組,,2022-07-15
19441817,absorption of aggregate,粒料之吸水性,,,,2022-07-15
19441818,absorption rate,吸水率；吸收率,,,,2022-07-15
19441819,absorption spectrometry,吸收光譜法,,環工組,,2022-07-15
19441820,absorption spectrum,吸收光譜,,環工組,,2022-07-15
19441821,absorption tower,吸收塔,,環工組,,2022-07-15
19441822,absorption water,吸收水,,,,2022-07-15
19441823,absorptive material,吸音材料,,環工組,,2022-07-15
19441824,absorptivity,吸收率,,建築_環控,,2022-07-15
19441825,abstract art,抽象藝術,,,,2022-07-15
19441826,abstractionism,抽象派；抽象主義,,,,2022-07-15
19441827,abutment,橋台,,,,2022-07-15
19441828,abutment segment,橋台節塊,,,,2022-07-15
19441829,abutment-segment diaphragm,橋台節塊端橫膈梁；橋台節塊端橫膈版,,,,2022-07-15
19441830,abyssal rock,深海岩,,,,2022-07-15
19441831,academism,學院派,,,,2022-07-15
19441832,accelerated exposure test,加速曝露試驗,,材料_FRP,,2022-07-15
19441833,accelerating admixture,速凝劑；早強劑,,,,2022-07-15
19441834,accelerating admixture for concrete,混凝土速凝劑；混凝土早強劑,,,,2022-07-15
19441835,accelerating force curve,加速力曲線,,,,2022-07-15
19441836,acceleration,加速[度]；趕工{營建},,,,2022-07-15
19441837,acceleration distance,加速距離,,,,2022-07-15
19441838,acceleration force,加速力,,,,2022-07-15
19441839,acceleration force curve,加速力曲線,,,,2022-07-15
19441840,acceleration lane,加速車道,,,,2022-07-15
19441841,acceleration noise,加速噪音,,環工組,,2022-07-15
19441842,acceleration resistance,加速阻力；加速度阻力,,,,2022-07-15
19441843,acceleration spectrum,加速度振動譜,,,,2022-07-15
19441844,accelerator,加速劑；速凝劑；早強劑,,,,2022-07-15
19441845,accelerometer,加速度計,,,,2022-07-15
19441846,acceptable daily intake (ADI),可接受之日攝取量,,環工組,,2022-07-15
19441847,acceptable risk,可接受風險,,都計組,,2022-07-15
19441848,acceptance criteria,驗收準則；驗收基準；允收準則；允收基準,,,,2022-07-15
19441849,acceptance of work,工程驗收,,,,2022-07-15
19441850,acceptance with price-deduction,減價收受,,,,2022-07-15
19441851,access control,出入口管制,,,,2022-07-15
19441852,access door,出入門；檢修門,,營管組,,2022-07-15
19441853,access flooring,高架地板,,營管組,,2022-07-15
19441854,access for firefighter,消防[員]通路；消防[員]通道,,,,2022-07-15
19441855,access ramp,出入口坡道；出入引道{水利}；進出匝道{交通},,,,2022-07-15
19441856,access right,存取權{資訊},,,,2022-07-15
19441857,access road,出入道路,,,,2022-07-15
19441858,access time,存取時間{資訊},,,,2022-07-15
19441859,accessibility,可及性,,都計組,,2022-07-15
19441860,accessible ramp,無障礙坡道,,,,2022-07-15
19441861,accessioning,點收,,,,2022-07-15
19441862,accident,事故,,,,2022-07-15
19441863,accident blackspot,經常肇事地點,,,,2022-07-15
19441864,accident location file,肇事位置檔案,,,,2022-07-15
19441865,accident prevention,事故預防,,,,2022-07-15
19441866,accident reconstruction,事故現場重建,,測量組,,2022-07-15
19441867,accident scene,事故現場,,,,2022-07-15
19441868,accident spot map,肇事地點圖,,,,2022-07-15
19441869,accidental air,陷入空氣,,,,2022-07-15
19441870,accidental error,偶然誤差,,,,2022-07-15
19441871,accidents involving damage to vehicle or property,車輛或財物受損之事故,,,,2022-07-15
19441872,accidents involving death or personal injury,死傷事故,,,,2022-07-15
19441873,acclimatization,環境適應性,,建築_環控,,2022-07-15
19441874,acclimatory response,馴化反應；適應反應,,環工組,,2022-07-15
19441875,accommodation berth,包租船席,,,,2022-07-15
19441876,accommodation ladder,舷梯,,,,2022-07-15
19441877,accreditation,認證,,,,2022-07-15
19441878,accretion beach,堆積海灘,,,,2022-07-15
19441879,accumulative rain gauge,累積雨量計,,,,2022-07-15
19441880,accuracy,精確度；準確度,,測量組,,2022-07-15
19441881,acetone,丙酮,,材料_FRP,,2022-07-15
19441882,acetylation,乙醯化,,環工組,,2022-07-15
19441883,acetylcholinesterase (ACHE),乙醯基膽鹼酯酶,,環工組,,2022-07-15
19441884,acetylene fusion installment,乙炔熔接裝置,,,,2022-07-15
19441885,acid deposition,酸沉降,,環工組,,2022-07-15
19441886,acid dew point,酸露點,,環工組,,2022-07-15
19441887,acid dye,酸性染料,,環工組,,2022-07-15
19441888,acid etching,酸蝕刻,,,,2022-07-15
19441889,acid fog,酸霧,,環工組,,2022-07-15
19441890,acid formation,酸生成,,環工組,,2022-07-15
19441891,acid gas,酸性氣體,,環工組,,2022-07-15
19441892,acid mine drainage,酸礦排水,,環工組,,2022-07-15
19441893,acid mist,酸薄霧；酸液滴,,環工組,,2022-07-15
19441894,acid number,酸值；酸價,,材料_FRP,,2022-07-15
19441895,acid plume,酸性煙柱,,環工組,,2022-07-15
19441896,acid precipitation,酸性降水,,環工組,,2022-07-15
19441897,acid rain,酸雨,,建築_環控,,2022-07-15
19441898,acid recovery,酸回收,,環工組,,2022-07-15
19441899,acid red 114,酸性紅114染料,,環工組,,2022-07-15
19441900,acid rock,酸性岩,,,,2022-07-15
19441901,acid steel,矽爐鋼,,,,2022-07-15
19441902,acid value,酸價,,材料_FRP,,2022-07-15
19441903,acid waste,酸性廢污,,環工組,,2022-07-15
19441904,acid-base catalysis,酸鹼催化,,環工組,,2022-07-15
19441905,acid-base indicator,酸鹼指示劑,,環工組,,2022-07-15
19441906,acid-base titration,酸鹼滴定,,環工組,,2022-07-15
19441907,acid-forming bacteria,酸生成菌,,環工組,,2022-07-15
19441908,acidic extractant,酸性萃取劑,,環工組,,2022-07-15
19441909,acidic rock,酸性岩,,,,2022-07-15
19441910,acidification,酸化[作用],,環工組,,2022-07-15
19441911,acidity,酸度,,環工組,,2022-07-15
19441912,acidophilic microorganism,嗜酸微生物,,環工組,,2022-07-15
19441913,acoustic emission,聲射；音洩；聲洩；音射,,,,2022-07-15
19441914,acoustic fatigue,聲疲勞,,材料_FRP,,2022-07-15
19441915,acoustic flooring,隔音地板,,營管組,,2022-07-15
19441916,acoustic insulation material,隔音材料,,環工組,,2022-07-15
19441917,acoustic power,音響功率,,環工組,,2022-07-15
19441918,acoustic privacy,聲響私密性,,建築_環控,,2022-07-15
19441919,acoustic resonance,音響共振,,環工組,,2022-07-15
19441920,acoustic signal,音響號誌,,,,2022-07-15
19441921,acoustic surveying,音響測距法；聲波測距法,,,,2022-07-15
19441922,acoustic velocity meter,聲學流速計,,環工組,,2022-07-15
19441923,acoustic wall board,吸音牆板,,營管組,,2022-07-15
19441924,acoustical barrier,音響阻隔,,營管組,,2022-07-15
19441925,acoustical can noise barrier,吸音筒類隔音設施,,營管組,,2022-07-15
19441926,acoustical ceiling,吸音天花板,,營管組,,2022-07-15
19441927,acoustical insulation sealant,隔音材；隔音層,,營管組,,2022-07-15
19441928,acoustical metal deck,消音金屬承板,,營管組,,2022-07-15
19441929,acoustical suspension,懸吊音效板,,營管組,,2022-07-15
19441930,acoustical treatment,音效處理,,營管組,,2022-07-15
19441931,acoustical wall finish,吸音牆面裝修,,營管組,,2022-07-15
19441932,acquisition of right of way,路權徵購；路權徵收,,,,2022-07-15
19441933,acre-foot,英畝-英呎{體積},,測量組,,2022-07-15
19441934,acropolis,衛城{希臘},,,,2022-07-15
19441935,acroterion,屋頂雕像 {古典神廟},,,,2022-07-15
19441936,acrylic fiber,聚丙烯腈系纖維；壓克力纖維,,材料_FRP,,2022-07-15
19441937,acrylic resin,丙烯酸樹脂；壓克力樹脂,,,,2022-07-15
19441938,acrylonitrile,丙烯腈,,環工組,,2022-07-15
19441939,act of God,天災；不可抗力,,營管組,,2022-07-15
19441940,act of government,政府作為,,營管組,,2022-07-15
19441941,actinomycetes,放線菌；放射菌,,環工組,,2022-07-15
19441942,action architecture,行動建築,,,,2022-07-15
19441943,action painting,行動繪畫,,,,2022-07-15
19441944,action plan,行動計畫,,,,2022-07-15
19441945,activated bio-filtration process (ABF),活性生物濾床法;活性生物濾床程序,,環工組,,2022-07-15
19441946,activated carbon,活性碳,,環工組,,2022-07-15
19441947,activated carbon adsorption,活性碳吸附,,環工組,,2022-07-15
19441948,activated carbon fiber,活性碳纖維,,環工組,,2022-07-15
19441949,activated carbon treatment,活性碳處理,,環工組,,2022-07-15
19441950,activated charcoal,活性木炭,,環工組,,2022-07-15
19441951,activated silica,活性矽土,,環工組,,2022-07-15
19441952,activated sludge,活性污泥,,,,2022-07-15
19441953,activated sludge process,活性污泥程序；活性污泥法,,,,2022-07-15
19441954,activated sludge system,活性污泥系統,,環工組,,2022-07-15
19441955,activation,活化[作用],,材料_FRP,,2022-07-15
19441956,activation energy,活化能,,環工組,,2022-07-15
19441957,activation product,活化產物,,環工組,,2022-07-15
19441958,activator,活化劑；激發劑,,材料_FRP,,2022-07-15
19441959,active contour model,主動輪廓模式；動態輪廓模式,,測量組,,2022-07-15
19441960,active data collection,主動式資料蒐集,,測量組,,2022-07-15
19441961,active earth pressure,主動土壓力,,,,2022-07-15
19441962,active fault,活動斷層,,,,2022-07-15
19441963,active force,作用力,,,,2022-07-15
19441964,active oxygen percent,活性氧含量,,材料_FRP,,2022-07-15
19441965,active recreation,動態遊憩,,,,2022-07-15
19441966,active sensor,主動式感測器,,測量組,,2022-07-15
19441967,active solar energy system,主動式太陽能系統,,環工組,,2022-07-15
19441968,active system,主動式系統,,測量組,,2022-07-15
19441969,active tilting train,主動式傾斜列車,,,,2022-07-15
19441970,active ventilation,主動式通風,,,,2022-07-15
19441971,activism,行動主義,,,,2022-07-15
19441972,activity,活性；活動；作業,,,,2022-07-15
19441973,activity code,作業碼,,,,2022-07-15
19441974,activity coefficient,活性係數,,環工組,,2022-07-15
19441975,activity constant,活性常數,,環工組,,2022-07-15
19441976,activity duration estimating,作業工期估算,,營管組,,2022-07-15
19441977,activity on node (AON),節點法；節點圖,,,,2022-07-15
19441978,activity-based costing (ABC),作業基礎成本法；ABC成本法,,營管組,,2022-07-15
19441979,activity-on-arrow (AOA),箭線法{要徑法中以箭線代表作業},,營管組,,2022-07-15
19441980,activity-on-node (AON),節點法{要徑法中以節點代表作業},,營管組,,2022-07-15
19441981,actual cost (AC),實際成本,,營管組,,2022-07-15
19441982,actual cost of work performed (ACWP),完成工作實際成本,,營管組,,2022-07-15
19441983,actual displacement,實際排水量{船舶用},,,,2022-07-15
19441984,actual duration,實際工期,,營管組,,2022-07-15
19441985,actual finish date (AF),實際完成日,,營管組,,2022-07-15
19441986,actual group refractive index,實際群折射率,,測量組,,2022-07-15
19441987,actual image point,實際成像點,,測量組,,2022-07-15
19441988,actual oxygen requirement,實際氧需量,,環工組,,2022-07-15
19441989,actual point of frog,實際岔尖；岔心實際交點,,,,2022-07-15
19441990,actual quantity work performed,實作數量,,,,2022-07-15
19441991,actual risk,實際風險,,環工組,,2022-07-15
19441992,actual start date (AS),實際開始日,,營管組,,2022-07-15
19441993,acute exposure,急性暴露,,建築_環控,,2022-07-15
19441994,acute radiation injury,急性輻射傷害,,環工組,,2022-07-15
19441995,acute radiation syndrome (ARS),急性輻射症候群,,環工組,,2022-07-15
19441996,acute toxicity,急毒性；急性毒性,,環工組,,2022-07-15
19441997,adaptability,調適能力,,環工組,,2022-07-15
19441998,adaptation,調適,,,,2022-07-15
19441999,adaptive architecture,適應性建築,,建築_環控,,2022-07-15
19442000,adaptive enzyme,適應酵素,,環工組,,2022-07-15
19442001,adaptive radiation,適應擴張；適應演變,,環工組,,2022-07-15
19442002,adaptive reuse,適應性再利用,,建築_環控,,2022-07-15
19442003,adaptive strategy,調適策略,,環工組,,2022-07-15
19442004,adaptive zone,調適區,,環工組,,2022-07-15
19442005,add tape,加式刻劃捲尺,,測量組,,2022-07-15
19442006,addenda,附加條款,,營管組,,2022-07-15
19442007,addendum,補充規定；補充文件,,,,2022-07-15
19442008,addition,[水泥]添加物,,,,2022-07-15
19442009,addition polymerization,加成聚合反應,,材料_FRP,,2022-07-15
19442010,addition work,增建工程,,,,2022-07-15
19442011,additional panel,標誌附牌,,,,2022-07-15
19442012,additional service,額外服務,,營管組,,2022-07-15
19442013,additive,添加物；添加劑,,,,2022-07-15
19442014,additive constant,附加常數,,,,2022-07-15
19442015,additive for bituminous mixtures,瀝青混合料添加劑,,,,2022-07-15
19442016,additive reaction,加成反應,,環工組,,2022-07-15
19442017,additivity,加成性,,環工組,,2022-07-15
19442018,adenine,腺嘌呤,,環工組,,2022-07-15
19442019,adenosine diphosphate (ADP),二磷酸腺苷,,環工組,,2022-07-15
19442020,adenosine triphosphate (ATP),三磷酸腺苷,,環工組,,2022-07-15
19442021,adherend,黏合體；黏著體,,,,2022-07-15
19442022,adhesion,黏合；黏著,,,,2022-07-15
19442023,adhesion coefficient,黏著係數,,,,2022-07-15
19442024,adhesion loss,黏著力損失,,,,2022-07-15
19442025,adhesion railway,黏著式鐵路,,,,2022-07-15
19442026,adhesion tractive force,黏著牽引力,,,,2022-07-15
19442027,adhesive,黏合劑；黏著劑,,,,2022-07-15
19442028,adhesive anchor,黏結式錨栓,,,,2022-07-15
19442029,adhesive bonding strength,黏著接合強度,,材料_FRP,,2022-07-15
19442030,adhesive film,黏著膜,,材料_FRP,,2022-07-15
19442031,adhesive joint,黏著接頭；黏著縫,,材料_FRP,,2022-07-15
19442032,adhesiveness,黏著性,,材料_FRP,,2022-07-15
19442033,adiabatic,絕熱狀態,,,,2022-07-15
19442034,adiabatic cooling,絕熱冷卻,,,,2022-07-15
19442035,adiabatic curing,絕熱養護,,,,2022-07-15
19442036,adiabatic flame temperature,絕熱火焰溫度,,環工組,,2022-07-15
19442037,adiabatic lapse rate,絕熱傾率；絕熱遞減率,,,,2022-07-15
19442038,adiabatic process,絕熱過程,,,,2022-07-15
19442039,adiabatic temperature rise,絕熱溫升｛環境｝；絕熱升溫｛材料｝,,,,2022-07-15
19442040,adion,吸附離子,,環工組,,2022-07-15
19442041,adjust,平差,,測量組,,2022-07-15
19442042,adjusting screw,調整螺絲,,,,2022-07-15
19442043,adjustment,平差；調整；校正,,,,2022-07-15
19442044,adjustment of simple level circuit,簡易環水準平差,,測量組,,2022-07-15
19442045,adjustment screw,調整夾；調整螺釘；調節螺栓,,,,2022-07-15
19442046,administrative center,行政中心,,,,2022-07-15
19442047,administrative closure,行政結案,,營管組,,2022-07-15
19442048,administrative district,行政區,,,,2022-07-15
19442049,admixture,摻料,,,,2022-07-15
19442050,admixture for concrete,混凝土摻料；混凝土摻劑,,,,2022-07-15
19442051,adobe,日曬磚；土埆磚,,建築_環控,,2022-07-15
19442052,adobe brick,土磚,,營管組,,2022-07-15
19442053,adsorbate,吸附質,,環工組,,2022-07-15
19442054,adsorbed water,吸著水；附著水,,,,2022-07-15
19442055,adsorbent,吸附劑；吸附材,,環工組,,2022-07-15
19442056,adsorption,吸附；吸著,,,,2022-07-15
19442057,adsorption column,吸附柱,,環工組,,2022-07-15
19442058,adsorption isobar,等壓吸附線,,環工組,,2022-07-15
19442059,adsorption isotherm,等溫吸附線,,環工組,,2022-07-15
19442060,adsorption water,吸附水,,,,2022-07-15
19442061,advance direction sign,前置方向標誌,,,,2022-07-15
19442062,advance payment,預付款,,,,2022-07-15
19442063,advance payment certificate,預付款保證書,,營管組,,2022-07-15
19442064,advanced composite,先進複合材料,,材料_FRP,,2022-07-15
19442065,advanced oxidation processes (AOPs),髙級氧化程序,,環工組,,2022-07-15
19442066,advanced payment guarantee,預付款保證,,營管組,,2022-07-15
19442067,advanced shoring method,支撐先進工法{橋梁},,,,2022-07-15
19442068,advanced treatment,高級處理,,,,2022-07-15
19442069,advanced wastewater treatment,廢水髙級處理,,環工組,,2022-07-15
19442070,advancing-slope grouting,推進傾斜式灌漿,,,,2022-07-15
19442071,advancing-slope method,推進傾斜式工法,,,,2022-07-15
19442072,advection,對流,,環工組,,2022-07-15
19442073,adverse possession,時效取得,,測量組,,2022-07-15
19442074,advertisement and sign control,廣告及招牌管制,,,,2022-07-15
19442075,advertising tower,廣告塔,,,,2022-07-15
19442076,advisory speed zone,勸導速率區,,,,2022-07-15
19442077,adyton,內廟；至聖室；至聖所{古典神廟},,,,2022-07-15
19442078,adytum,內廟；至聖室；至聖所{古典神廟},,,,2022-07-15
19442079,aedicula,小神龕{拉丁文},,,,2022-07-15
19442080,aedicule,壁龕,,,,2022-07-15
19442081,aeolian,風積,,,,2022-07-15
19442082,aeolian deposit,風積層；風積土,,,,2022-07-15
19442083,aerated aerobic lagoon,曝氣氧化塘,,環工組,,2022-07-15
19442084,aerated concrete,氣泡混凝土,,,,2022-07-15
19442085,aerated contact bed,曝氣接觸床,,,,2022-07-15
19442086,aerated grit chamber,曝氣沈砂池,,環工組,,2022-07-15
19442087,aerated lagoon,曝氣氧化塘,,,,2022-07-15
19442088,aerated pond,曝氣塘,,環工組,,2022-07-15
19442089,aeration,曝氣,,環工組,,2022-07-15
19442090,aeration basin,曝氣池,,環工組,,2022-07-15
19442091,aeration equipment,曝氣設備,,營管組,,2022-07-15
19442092,aeration fraction (AF),好氧分率,,環工組,,2022-07-15
19442093,aeration period,曝氣時間,,,,2022-07-15
19442094,aeration sedimentation tank,曝氣沉砂池,,營管組,,2022-07-15
19442095,aeration tank,曝氣槽,,環工組,,2022-07-15
19442096,aeration zone,通氣層,,,,2022-07-15
19442097,aerator,曝氣機,,環工組,,2022-07-15
19442098,aerial cableway,空中索道,,,,2022-07-15
19442099,aerial camera,航空相機；航空攝影機,,測量組,,2022-07-15
19442100,aerial digital camera,航空數位相機；航空數位攝影機,,測量組,,2022-07-15
19442101,aerial levelling,航空水準測量,,,,2022-07-15
19442102,aerial mapping camera,航空製圖相機；航空製圖攝影機,,測量組,,2022-07-15
19442103,aerial photo,航空像片,,測量組,,2022-07-15
19442104,aerial photogrammetry,航空攝影測量,,,,2022-07-15
19442105,aerial photograph,航空像片；空照圖,,,,2022-07-15
19442106,aerial photograph interpretation,航照判讀,,都計組,,2022-07-15
19442107,aerial photographic surveying,航空攝影測量,,,,2022-07-15
19442108,aerial photography,航空攝影,,,,2022-07-15
19442109,aerial port of entry,航空進口站,,,,2022-07-15
19442110,aerial ropeway,架空纜車,,,,2022-07-15
19442111,aerial survey,航空測量,,,,2022-07-15
19442112,aerial tramway,架空索道{美式}；架空軌道{英式},,營管組,,2022-07-15
19442113,aerial triangulation,空中三角測量,,測量組,,2022-07-15
19442114,aerial work,空中作業,,,,2022-07-15
19442115,aero information display system,飛航資訊顯示系統,,營管組,,2022-07-15
19442116,Aerobacter aerogenes,產氣桿菌,,環工組,,2022-07-15
19442117,aerobe,好氧菌；需氧菌,,,,2022-07-15
19442118,aerobic bacteria,好氧性細菌；需氧性細菌,,,,2022-07-15
19442119,aerobic digestion,好氧消化,,,,2022-07-15
19442120,aerobic lagoon,好氧塘,,環工組,,2022-07-15
19442121,aerobic landfill,好氧性掩埋,,環工組,,2022-07-15
19442122,aerobic sludge digestion,好氧污泥消化,,,,2022-07-15
19442123,aerobic waste treatment,好氧性廢污處理,,環工組,,2022-07-15
19442124,aerodrome,飛機場,,,,2022-07-15
19442125,aerodrome control service,機場管制業務,,,,2022-07-15
19442126,aerodrome control tower,機場管制塔臺,,,,2022-07-15
19442127,aerodrome reference point,航空站標點,,,,2022-07-15
19442128,aerodrome traffic circuit,進離場航線,,,,2022-07-15
19442129,aerodrome traffic pattern,進離場航線,,,,2022-07-15
19442130,aerodrome-beacon,機場信標燈,,,,2022-07-15
19442131,aerodynamic diameter,氣動直徑；氣動粒徑,,環工組,,2022-07-15
19442132,aerodynamic instability,空氣動力不穩定,,,,2022-07-15
19442133,aerodynamic roughness,空氣動力粗糙度,,建築_環控,,2022-07-15
19442134,aeromechanics,空氣力學,,,,2022-07-15
19442135,aeronautical chart,航空圖,,,,2022-07-15
19442136,aeronautical ground beacon,航空地面標燈,,,,2022-07-15
19442137,aeronautical ground light,航空地面燈光,,,,2022-07-15
19442138,Aeronautical Information Publication (AIP),飛航指南,,,,2022-07-15
19442139,aeronautical radio navigation service,航空無線電助航服務,,,,2022-07-15
19442140,aeronautical route chart,航路圖表,,,,2022-07-15
19442141,aeroplane flight manual,飛機飛航手冊,,,,2022-07-15
19442142,aerosil,矽搖變劑,,材料_FRP,,2022-07-15
19442143,aerosol,氣膠；氣霧劑,,環工組,,2022-07-15
19442144,aesthetic district,景觀區,,,,2022-07-15
19442145,aestheticism,美學主義；唯美主義,,,,2022-07-15
19442146,affine transformation,仿射轉換,,測量組,,2022-07-15
19442147,affinity,親和力,,環工組,,2022-07-15
19442148,affluent,支流,,環工組,,2022-07-15
19442149,afforestation,造林,,,,2022-07-15
19442150,aflatoxin,黃麴毒素,,環工組,,2022-07-15
19442151,afloat,漂浮,,,,2022-07-15
19442152,after burner system,後燃系統,,環工組,,2022-07-15
19442153,after cure,硬化後,,材料_FRP,,2022-07-15
19442154,afterbody,艉部,,,,2022-07-15
19442155,aftercooler,後冷卻器,,,,2022-07-15
19442156,aftershock,餘震,,,,2022-07-15
19442157,afwillite,C-S-H膠體,,,,2022-07-15
19442158,agar,洋菜,,環工組,,2022-07-15
19442159,age and sex composition,年齡及性別組成,,,,2022-07-15
19442160,age and sex structure,年齡及性別結構,,,,2022-07-15
19442161,age limit for driver,駕駛人[最低]年齡限制,,,,2022-07-15
19442162,age of stream,溪齡；溪年,,,,2022-07-15
19442163,agency construction management (ACM),營建管理顧問,,營管組,,2022-07-15
19442164,agenda item,議程項目,,營管組,,2022-07-15
19442165,agent,摻[劑],,,,2022-07-15
19442166,age-specific death rate,特定年齡死亡率,,環工組,,2022-07-15
19442167,age-specific fertility rate,特定年齡繁殖力,,環工組,,2022-07-15
19442168,agglomeration,結球；結塊；凝聚,,,,2022-07-15
19442169,agglutination,膠結；凝集,,環工組,,2022-07-15
19442170,aggregate,粒料；骨材；凝聚,,,,2022-07-15
19442171,aggregate batcher,粒料配料器,,,,2022-07-15
19442172,aggregate blending,粒料混和,,,,2022-07-15
19442173,aggregate crusher,碎石機,,,,2022-07-15
19442174,aggregate excavation equipment,粒料開挖設備,,,,2022-07-15
19442175,aggregate gradation,粒料級配,,,,2022-07-15
19442176,aggregate interlock,粒料互鎖,,,,2022-07-15
19442177,aggregate processing equipment,粒料處理設備,,,,2022-07-15
19442178,aggregate screen,粒料篩分,,,,2022-07-15
19442179,aggregate spreader,粒料攤鋪機,,,,2022-07-15
19442180,aggregate stockpile,粒料堆置,,營管組,,2022-07-15
19442181,aggregate storage bin,粒料儲存槽,,,,2022-07-15
19442182,aggregate surfacing,碎石料表層鋪築,,營管組,,2022-07-15
19442183,aggregate transparency,粒料透影,,,,2022-07-15
19442184,aggregate truck,粒料車,,,,2022-07-15
19442185,aggregate-cement ratio,粒料水泥比,,,,2022-07-15
19442186,aggregated structure,團聚結構,,,,2022-07-15
19442187,aggressive carbon dioxide,腐蝕性二氧化碳,,環工組,,2022-07-15
19442188,aging,老化,,材料_FRP,,2022-07-15
19442189,agitating lorry,預拌混凝土運送車,,,,2022-07-15
