ID,英文名稱,中文名稱,圖片,界,門,綱,目,科,屬,種,資料來源,更新日期
3598853,Pertusaria velata,包被雞皮衣,,Fungi真菌界,Ascomycota子囊菌門,Ascomycetes子囊菌綱,Pertusariales雞皮衣目,Pertusariaceae雞皮衣科,Pertusaria雞皮衣屬,velata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598854,Rhagastis velata,隱紋白肩天蛾;維拉達白肩天蛾;白心點天蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Sphingidae天蛾科,Rhagastis白肩天蛾屬,velata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598855,Trachyneis velata,帆狀粗紋藻,,Chromista原藻界,Bacillariophyta矽藻門,Bacillariophyceae矽藻綱,Naviculales舟形藻目,Naviculaceae舟形藻科,Trachyneis粗紋藻屬,velata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598856,Trachyneis velata oblonga,帆狀粗紋藻,,Chromista原藻界,Bacillariophyta矽藻門,Bacillariophyceae矽藻綱,Naviculales舟形藻目,Naviculaceae舟形藻科,Trachyneis粗紋藻屬,velata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598857,Trachyneis velatoides,似帆狀粗紋藻,,Chromista原藻界,Bacillariophyta矽藻門,Bacillariophyceae矽藻綱,Naviculales舟形藻目,Naviculaceae舟形藻科,Trachyneis粗紋藻屬,velatoides,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598858,Pelekium velatum,鶴嘴苔,,Plantae植物界,Bryophyta苔類植物門,Bryopsida苔綱,Hypnales灰苔目,Thuidiaceae羽苔科,Pelekium鶴嘴苔屬,velatum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598859,Nassarius velatus,彈頭織紋螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Neogastropoda新腹足目,Nassariidae織紋螺科,Nassarius織紋螺屬,velatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598860,Rhachomyces velatus,披覆刺蟲囊菌,,Fungi真菌界,Ascomycota子囊菌門,Ascomycetes子囊菌綱,Laboulbeniales蟲囊菌目,Laboulbeniaceae蟲囊菌科,Rhachomyces刺蟲囊菌屬,velatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598861,Zebrasoma velifer,橫帶高鰭刺尾鯛;橫帶高鰭刺尾魚;粗皮魚;高鰭刺尾鯛,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Perciformes鱸形目,Acanthuridae刺尾鯛科,Zebrasoma高鰭刺尾鯛屬,velifer,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598862,Poecilia velifera,帆鰭花_;帆鰭花_(摩利魚);摩利魚;摩麗;立帆摩麗;花_;胎_,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Cyprinodontiformes_形目,Poeciliidae花_科,Poecilia花_屬,velifera,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598863,Muraenichthys velinasalis,鼻瓣蟲鰻,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Anguilliformes鰻形目,Ophichthidae蛇鰻科,Muraenichthys,velinasalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598864,Astropecten velitaris,怒棘槭海星,,Animalia動物界,Echinodermata棘皮動物門,Asteroidea海星綱,Paxillosida柱體目,Astropectinidae槭海星科,Astropecten槭海星屬,velitaris,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598865,Astropectinidae velitaris,怒棘槭海星,,Animalia動物界,Echinodermata棘皮動物門,Asteroidea海星綱,Paxillosida柱體目,Astropectinidae槭海星科,Astropectinidae槭海星屬,velitaris,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598866,Hippotion velox,斜線天蛾;黑翅斜線天蛾;半黑斜線天蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Sphingidae天蛾科,Hippotion斜線天蛾屬,velox,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598867,Balladyna velutina,氈毛刺煤菌,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Dothideales座囊菌目,Parodiopsidaceae,Balladyna刺煤菌屬,velutina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598868,Empis velutina cineraria,灰色舞虻,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Empididae舞虻科,Empis舞虻屬,velutina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598869,Empis velutina,鵝絨舞虻,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Empididae舞虻科,Empis舞虻屬,velutina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598870,Goodyera velutina,鳥嘴蓮,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asparagales天門冬目,Orchidaceae蘭科,Goodyera斑葉蘭屬,velutina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598871,Goodyera velutina albo-nervosa,斑紋鳥嘴_,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asparagales天門冬目,Orchidaceae蘭科,Goodyera斑葉蘭屬,velutina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598872,Hemitrichia velutina,鵝絨半網黏菌,,Protozoa原生生物界,Myxomycota黏菌門,Myxomycetes黏菌綱,Trichiales團毛黏菌目,Trichiaceae團毛黏菌科,Hemitrichia半網黏菌屬,velutina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598873,Psathyrella velutina,絨毛脆柄菇,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Agaricales傘菌目,Psathyrellaceae小脆柄菇科,Psathyrella,velutina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598874,Vespa velutina,黃腳虎頭蜂;黃跗虎頭蜂;赤尾虎頭蜂;黃腳仔(台語);花腳仔(台語);凹紋胡蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Vespidae胡蜂科,Vespa胡蜂屬,velutina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598875,Wrangelia velutina,軟毛藻,,Plantae植物界,Rhodophyta紅藻植物門,Florideophyceae真紅藻綱,Ceramiales仙菜目,Ceramiaceae仙菜科,Wrangelia軟毛藻屬,velutina,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598876,Desmodium velutinum,絨毛葉山螞蝗,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Fabales豆目,Fabaceae豆科,Desmodium山螞蝗屬,velutinum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598877,Helminthosporium velutinum,絨毛長蠕孢黴,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Pleosporales格孢菌目,Pleosporaceae格孢菌科,Helminthosporium長蠕孢黴屬,velutinum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598878,Hexelasma velutinum,絨六壁藤壺,,Animalia動物界,Arthropoda節肢動物門,Maxillopoda顎足綱,Sessilia無柄目,Pachylasmatidae厚板藤壺科,Hexelasma壁藤壺屬,velutinum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598879,Flammulina velutipes,金針菇,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Agaricales傘菌目,Marasmiaceae小皮傘科,Flammulina,velutipes,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598880,Bertula venata,脈擬胸鬚裳蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Erebidae裳蛾科,Bertula擬胸鬚裳蛾屬,venata,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598881,Exocentrus venatoides,梅峰瑣天牛,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Cerambycidae天牛科,Exocentrus,venatoides,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598882,Heteropoda venatoria,白額高腳蛛;白額巨蟹蛛;鱗片巨蟹蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Sparassidae高腳蛛科,Heteropoda高腳蛛屬,venatoria,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598883,Neolucanus vendli,大圓翅鍬形蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Lucanidae鍬形蟲科,Neolucanus圓翅鍬形蟲屬,vendli,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598884,Mactra veneriformis,方形馬珂蛤,,Animalia動物界,Mollusca軟體動物門,Bivalvia雙殼綱,Veneroida簾蛤目,Mactridae馬珂蛤科,Mactra馬珂蛤屬,veneriformis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598885,Alphavirus Venezuela equine encephalitis virus,委內瑞拉馬腦脊髓炎,,Viruses病毒,,,正鏈RNA病毒,Togaviridae披衣病毒科,Alphavirus阿爾發病毒屬,Venezuela equine encephalitis virus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598886,Epilobophora venipicta,繡脈后葉尺蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Geometridae尺蛾科,Epilobophora后葉尺蛾屬,venipicta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598887,Limnophora veniseta,爪哇池蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Muscidae家蠅科,Limnophora池蠅屬,veniseta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598888,Hierodula venosa,亮翅斧螳,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Mantodea螳螂目,Mantidae螳科,Hierodula,venosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598889,Liomera venosa,脈花瓣蟹,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Xanthidae扇蟹科,Liomera花瓣蟹屬,venosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598890,Montipora venosa,脈結表孔珊瑚,,Animalia動物界,Cnidaria刺胞動物門,Anthozoa珊瑚蟲綱,Scleractinia石珊瑚目,Acroporidae軸孔珊瑚科,Montipora表孔珊瑚屬,venosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598891,Pavona venosa,脈結雀屏珊瑚,,Animalia動物界,Cnidaria刺胞動物門,Anthozoa珊瑚蟲綱,Scleractinia石珊瑚目,Agariciidae蓮珊瑚科,Pavona雀屏珊瑚屬,venosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598892,Rapana venosa pechiliennsis,角皺岩螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Neogastropoda新腹足目,Muricidae骨螺科,Rapana,venosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598893,Rapana venosa venosa,紅皺岩螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Neogastropoda新腹足目,Muricidae骨螺科,Rapana,venosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598894,Scorpaenopsis venosa,枕脊擬_;枕_石狗公;石狗公;石頭魚,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Scorpaeniformes_形目,Scorpaenidae_科,Scorpaenopsis擬_屬,venosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598895,Meliola ventilaginis,翼核木黑煤菌,,Fungi真菌界,Ascomycota子囊菌門,Ascomycetes子囊菌綱,Meliolales小煤炭菌目,Meliolaceae小煤炭菌科,Meliola小煤炭菌屬,ventilaginis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598896,Paragiopagurus ventilatus,熱泉淺寄居蟹,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Parapaguridae擬寄居蟹科,Paragiopagurus淺寄居蟹屬,ventilatus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598897,Cybister ventralis,大龍蝨,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Dytiscidae龍蝨科,Cybister大龍蝨屬,ventralis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598898,Mytilina ventralis,腹棘管輪蟲,,Animalia動物界,Rotifera輪蟲動物門,Monogononta單卵巢綱,Ploima游泳目,Lecanidae腔輪科,Mytilina管輪蟲屬,ventralis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598899,Oscinella ventralis,腰帶稈蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Chloropidae稈蠅科,Oscinella,ventralis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598900,Pyramodon ventralis,纖尾錐齒隱魚;纖尾錐齒潛魚;隱魚,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Ophidiiformes鼬魚目,Carapidae隱魚科,Pyramodon錐齒隱魚屬,ventralis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598901,Trigona ventralis hoozana,臺灣無針蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Apidae蜜蜂科,Trigona無針蜂屬,ventralis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598902,Tylorida ventralis,橫帶高腹蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Tetragnathidae長腳蛛科,Tylorida高腹蛛屬,ventralis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598903,Leptocythere ventriclivosa,心室細花介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Leptocytheridae細花介科,Leptocythere細花介屬,ventriclivosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598904,Arca ventricosa,鞋魁蛤,,Animalia動物界,Mollusca軟體動物門,Bivalvia雙殼綱,Arcoida魁蛤目,Arcidae魁蛤科,Arca魁蛤屬,ventricosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598905,Bambusa ventricosa,佛竹;結頭竹;佛肚竹;葫蘆竹,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Poales禾本目,Poaceae禾本科,Bambusa蓬萊竹屬,ventricosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598906,Cymbella ventricosa,偏腫橋彎藻,,Chromista原藻界,Bacillariophyta矽藻門,Bacillariophyceae矽藻綱,Cymbellales橋彎藻目,Cymbellaceae橋彎藻科,Cymbella橋彎藻屬,ventricosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598907,Hippolyte ventricosa,褐藻蝦,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Hippolytidae藻蝦科,Hippolyte藻蝦屬,ventricosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598908,Nitzschia ventricosa,膨脹菱形藻,,Chromista原藻界,Bacillariophyta矽藻門,Bacillariophyceae矽藻綱,Bacillariales矽藻目,Bacillariaceae矽藻科,Nitzschia菱形藻屬,ventricosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598909,Syncephalis ventricosa,腫梗集珠黴,,Fungi真菌界,Zygomycota接合菌門,Zygomycetes接合菌綱,Zoopagales捕蟲黴目,Piptocephalidaceae頭珠黴科,Syncephalis集珠黴屬,ventricosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598910,Ventricaria ventricosa,球法囊藻,,Plantae植物界,Chlorophyta綠藻植物門,Ulvophyceae石蓴綱,Siphonocladales管枝藻目,Siphonocladaceae管枝藻科,Ventricaria,ventricosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598911,Fusarium ventricosum,腫孢鐮孢菌,,Fungi真菌界,Ascomycota子囊菌門,Sordariomycetes糞殼菌綱,Hypocreales肉座菌目,Nectriaceae叢赤殼科,Fusarium鐮孢菌屬,ventricosum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598912,Teloscalpellum ventricosum,大肚遠鎧茗荷,,Animalia動物界,Arthropoda節肢動物門,Maxillopoda顎足綱,Scalpelliiformes鎧茗荷目,Scalpellidae鎧茗荷科,Teloscalpellum遠鎧茗荷屬,ventricosum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598913,Araneus ventricosus,大腹鬼蛛;大腹圓蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Araneidae金蛛科,Araneus鬼蛛屬,ventricosus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598914,Cypraea ventriculus,金棗寶螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Mesogastropoda中腹足目,Cypraeidae寶螺科,Cypraea寶螺屬,ventriculus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598915,Musca (Byomya) ventrosa,翅腹家蠅,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Muscidae家蠅科,Musca (Byomya)家蠅屬,ventrosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598916,Indigofera venulosa,脈葉木藍,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Fabales豆目,Fabaceae豆科,Indigofera木藍屬,venulosa,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598917,Closterium venus,小新月藻,,Plantae植物界,Chlorophyta綠藻植物門,Zygnematophyceae雙星藻綱,Zygnematales雙星藻目,Desmidiaceae鼓藻科,Closterium新月藻屬,venus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598918,Centropyge venusta,仙女刺尻魚;仙女,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Perciformes鱸形目,Pomacanthidae蓋刺魚科,Centropyge刺尻魚屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598919,Chrysso venusta,華麗金姬蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Theridiidae姬蛛科,Chrysso金姬蛛屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598920,Esakiopteryx venusta,雅夷尺蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Geometridae尺蛾科,Esakiopteryx,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598921,Euchirella venusta,麗真胖水蚤,,Animalia動物界,Arthropoda節肢動物門,Maxillopoda顎足綱,Calanoida哲水蚤目,Aetideidae鷹嘴水蚤科,Euchirella真胖水蚤屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598922,Haliotis venusta,優美鮑螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Archaeogastropoda原始腹足目,Haliotidae鮑螺科,Haliotis鮑螺屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598923,Laurencia venusta,維納凹頂藻,,Plantae植物界,Rhodophyta紅藻植物門,Florideophyceae真紅藻綱,Ceramiales仙菜目,Rhodomelaceae松節藻科,Laurencia凹頂藻屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598924,Leucauge venusta,脈斑銀腹蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Tetragnathidae長腳蛛科,Leucauge銀腹蛛屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598925,Lyroda venusta taiwana,臺灣琴完眼泥蜂,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Crabronidae銀口蜂科,Lyroda琴完眼泥蜂屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598926,Metridia venusta,美麗長腹水蚤,,Animalia動物界,Arthropoda節肢動物門,Maxillopoda顎足綱,Calanoida哲水蚤目,Metridinidae長腹水蚤科,Metridia長腹水蚤屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598927,Niotha venusta,狐狸織紋螺,,Animalia動物界,Mollusca軟體動物門,Gastropoda腹足綱,Neogastropoda新腹足目,Nassariidae織紋螺科,Niotha,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598928,Oncaea venusta,麗隆水蚤,,Animalia動物界,Arthropoda節肢動物門,Maxillopoda顎足綱,Cyclopoida劍水蚤目,Oncaeidae隆水蚤科,Oncaea隆水蚤屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598929,Ourapteryx venusta,芝麻尾尺蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Geometridae尺蛾科,Ourapteryx尾尺蛾屬,venusta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
