ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3236623,accarezzevole {It.},愛撫的,,義,,2017-08-08
3236624,accarezzevolmente {It.},愛撫的,,義,,2017-08-08
3236625,accelerando {It.},漸快,,義,,2017-08-08
3236626,accelerato {It.},漸快,,義,,2017-08-08
3236627,accent {Fr.}{Ger.},重音,,英˙法˙德,,2017-08-08
3236628,accentato {It.},加重的,,義,,2017-08-08
3236629,accented auxiliary note,強助音,,英,,2017-08-08
3236630,accented bar,強小節,,英,,2017-08-08
3236631,accented passing note,強經過音,,英,,2017-08-08
3236632,accento {It.},重音,,義,,2017-08-08
3236633,accentuation,加重音,,英,,2017-08-08
3236634,accentus {Lat.},主唱部份,,拉,,2017-08-08
3236635,accessary theme,次要主題,,英,,2017-08-08
3236636,accessory tone,輔助音,,英,,2017-08-08
3236637,accessory voices,伴唱聲部,,英,,2017-08-08
3236638,acciaccato {It.},猛烈的；粗暴的,,義,,2017-08-08
3236639,acciaccatura doppia（意）,複倚音,,義,,2017-08-08
3236640,acciccatura {It.},碎音,,義,,2017-08-08
3236641,accidental,臨時記號；變化記號,,英,,2017-08-08
3236642,accidental chord,偶成和弦（絃）,,英,,2017-08-08
3236643,accidente {It.},臨時記號；變化記號,,義,,2017-08-08
3236644,accident{Fr.},臨時記號；變化記號,,法,,2017-08-08
3236645,acclamation,歡呼歌,,英,,2017-08-08
3236646,acclamazione {It.},歡呼歌,,義,,2017-08-08
3236647,accolade {Fr.},連譜號,,法,,2017-08-08
3236648,accompagnamento {It.},伴奏,,義,,2017-08-08
3236649,accompagnato {It.},伴奏吟誦調,,義,,2017-08-08
3236650,accompagnement {Fr.},伴奏,,法,,2017-08-08
3236651,accompanied canon,有伴奏卡農,,英,,2017-08-08
3236652,accompanied fugue,有伴奏復格,,英,,2017-08-08
3236653,accompaniment,伴奏,,英,,2017-08-08
3236654,accoppiare {It.},連結的；使用連結器的,,義,,2017-08-08
3236655,accorato {It.},悲傷的；痛心的,,義,,2017-08-08
3236656,accord altéré {Fr.},變化和弦（絃）,,法,,2017-08-08
3236657,accord augmenté {Fr.},增和弦（絃）,,法,,2017-08-08
3236658,accord brisé {Fr.},分解和弦（絃）,,法,,2017-08-08
3236659,accord consonant {Fr.},協和和弦（絃）,,法,,2017-08-08
3236660,accord de cinquième et sixième {Fr.},六五和弦（絃）,,法,,2017-08-08
3236661,accord de dominante {Fr.},屬和弦（絃）,,法,,2017-08-08
3236662,accord de neuvième de dominante {Fr.},屬九和弦（絃）,,法,,2017-08-08
3236663,accord de neuvième majeure {Fr.},大九和弦（絃）,,法,,2017-08-08
3236664,accord de neuvième mineure {Fr.},小九和弦（絃）,,法,,2017-08-08
3236665,accord de neuvième {Fr.},九和弦（絃）,,法,,2017-08-08
3236666,accord de onziéme {Fr.},十一和弦（絃）,,法,,2017-08-08
3236667,accord de passage {Fr.},經過和弦（絃）,,法,,2017-08-08
3236668,accord de quarte et sixte {Fr.},六四和弦（絃）,,法,,2017-08-08
3236669,accord de quinte augmentée {Fr.},增三和弦（絃）,,法,,2017-08-08
3236670,accord de quinte et sixte {Fr.},六五和弦（絃）,,法,,2017-08-08
3236671,accord de seconde {Fr.},二和弦（絃）,,法,,2017-08-08
3236672,accord de septième de dominante {Fr.},屬七和弦（絃）,,法,,2017-08-08
3236673,accord de septième majeure {Fr.},大七和弦（絃）,,法,,2017-08-08
3236674,accord de septième mineure {Fr.},小七和弦（絃）,,法,,2017-08-08
3236675,accord de septième {Fr.},七和弦（絃）,,法,,2017-08-08
3236676,accord de sixte augmentée {Fr.},增六和弦（絃）,,法,,2017-08-08
3236677,accord de sixte {Fr.},六和弦（絃）,,法,,2017-08-08
3236678,accord de treizième {Fr.},十三和弦（絃）,,法,,2017-08-08
3236679,accord de tritons {Fr.},減三和弦（絃）,,法,,2017-08-08
3236680,accord de trois sons {Fr.},三和弦（絃）,,法,,2017-08-08
3236681,accord de troisième et quatrième {Fr.},四三和弦（絃）,,法,,2017-08-08
3236682,accord dissonant {Fr.},不協和和弦（絃）,,法,,2017-08-08
3236683,accord d’emprunt {Fr.},借用和弦（絃）,,法,,2017-08-08
3236684,accord imparfait {Fr.},不完全和弦（絃）,,法,,2017-08-08
3236685,accord par quartes {Fr.},四度和弦（絃）,,法,,2017-08-08
3236686,accord parfait majeur {Fr.},大三和弦（絃）,,法,,2017-08-08
3236687,accord parfait mineur {Fr.},小三和弦（絃）,,法,,2017-08-08
3236688,accord parfait {Fr.},完全和弦（絃）,,法,,2017-08-08
3236689,accord pivot {Fr.},共通和弦（絃）；樞紐和弦（絃）；中介和弦（絃）,,法,,2017-08-08
3236690,accord renversé {Fr.},轉位和弦（絃）,,法,,2017-08-08
3236691,accord septième diminuée {Fr.},減七和弦（絃）,,法,,2017-08-08
3236692,accord tonique {Fr.},主和弦（絃）,,法,,2017-08-08
3236693,accord {Fr.},和弦（絃）；調音,,法,,2017-08-08
3236694,accordage {Fr.},調音,,法,,2017-08-08
3236695,accordare {It.},調音,,義,,2017-08-08
3236696,accordatura giusta {It.},純律,,義,,2017-08-08
3236697,accordatura {It.},正確的調弦（絃）,,義,,2017-08-08
3236698,accordéon {Fr.},手風琴,,法,,2017-08-08
3236699,accordi di settima secondari {It.},副七和弦（絃）,,義,,2017-08-08
3236700,accordion,手風琴,,英,,2017-08-08
3236701,accordo alterato {It.},變化和弦（絃）,,義,,2017-08-08
3236702,accordo aumentato {It.},增和弦,,義,,2017-08-08
3236703,accordo comune alle due tonalità {It.},共通和弦（絃）；樞紐和弦（絃）；中介和弦（絃）,,義,,2017-08-08
3236704,accordo consonante {It.},協和和弦（絃）,,義,,2017-08-08
3236705,accordo di dominante {It.},屬和弦（絃）,,義,,2017-08-08
3236706,accordo di nona {It.},九和弦（絃）,,義,,2017-08-08
3236707,accordo di quarta e sesta {It.},六四和弦（絃）,,義,,2017-08-08
3236708,accordo di sesta aumentata {It.},增六和弦（絃）,,義,,2017-08-08
3236709,accordo di sesta {It.},六和弦（絃）,,義,,2017-08-08
3236710,accordo di settima di dominante {It.},屬七和弦（絃）,,義,,2017-08-08
3236711,accordo di settima diminuita {It.},減七和弦（絃）,,義,,2017-08-08
3236712,accordo di settima maggiore {It.},大七和弦（絃）,,義,,2017-08-08
3236713,accordo di settima minore {It.},小七和弦（絃）,,義,,2017-08-08
3236714,accordo di settima {It.},七和弦（絃）,,義,,2017-08-08
3236715,accordo di tonica {It.},主和弦（絃）,,義,,2017-08-08
3236716,accordo di tredicesima {It.},十三和弦（絃）,,義,,2017-08-08
3236717,accordo di undicesima {It.},十一和弦（絃）,,義,,2017-08-08
3236718,accordo imperfetto {It.},不完全和弦（絃）,,義,,2017-08-08
3236719,accordo in dissonanze {It.},不協和和弦（絃）,,義,,2017-08-08
3236720,accordo perfetto maggiore {It.},大三和弦（絃）,,義,,2017-08-08
3236721,accordo perfetto minore {It.},小三和弦（絃）,,義,,2017-08-08
3236722,accordo perfetto {It.},完全和弦（絃）,,義,,2017-08-08
3236723,accordo rivoltato {It.},轉位和弦（絃）,,義,,2017-08-08
3236724,accordo {It.},和弦（絃）,,義,,2017-08-08
3236725,accrescendo {It.},漸強,,義,,2017-08-08
3236726,accuratamente {It.},細緻；精致,,義,,2017-08-08
3236727,accuratezza {It.},精確的,,義,,2017-08-08
3236728,accuratezzacon {It.},精確的,,義,,2017-08-08
3236729,accusé {Fr.},強調的；加重的,,法,,2017-08-08
3236730,acetabule {Lat.},銅鈸｛羅馬｝,,拉,,2017-08-08
3236731,Achtel {Ger.},八分音符,,德,,2017-08-08
3236732,Achtelnote {Ger.},八分音符,,德,,2017-08-08
3236733,Achtelpause {Ger.},八分休止符,,德,,2017-08-08
3236734,Achtelton {Ger.},八分音,,德,,2017-08-08
3236735,achtzähliger Takt {Ger.},八拍子,,德,,2017-08-08
3236736,acoustic,音響的；音響學的,,英,,2017-08-08
3236737,acoustic bass,聲響低音｛管風琴用法｝；低音提琴｛通俗音樂用法｝,,英,,2017-08-08
3236738,acoustic guitar,音響吉他,,英,,2017-08-08
3236739,acoustic physiology,音響生理學,,英,,2017-08-08
3236740,acoustics,音響學；音響效果；聲學,,英,,2017-08-08
3236741,Acoustik {Ger.},音響學,,德,,2017-08-08
3236742,acoustique architecturale {Fr.},建築聲響學,,法,,2017-08-08
3236743,acoustique musicale {Fr.},音樂音響學,,法,,2017-08-08
3236744,acoustique {Fr.},音響學,,法,,2017-08-08
3236745,act tune,間奏曲,,英,,2017-08-08
3236746,action,擊弦（絃）系統｛鍵盤樂器｝；鍵鈕裝置｛管樂器｝；弦高｛吉他｝,,英,,2017-08-08
3236747,active scale-step,動音級,,英,,2017-08-08
3236748,active tone,動音級,,英,,2017-08-08
3236749,acustica musicale {It.},音樂音響學,,義,,2017-08-08
3236750,acustica {It.},音響學,,義,,2017-08-08
3236751,acute,後倚音,,英,,2017-08-08
3236752,ad libitum {= ad lib.} {Lat.},自由的,,拉,,2017-08-08
3236753,adagietto {It.},稍慢板,,義,,2017-08-08
3236754,adagio assai {It.},相當的慢板,,義,,2017-08-08
3236755,adagio {It.},慢板,,義,,2017-08-08
3236756,adagissimo {It.},極慢板,,義,,2017-08-08
3236757,added free part,附加自由聲部,,英,,2017-08-08
3236758,added line,加線,,英,,2017-08-08
3236759,added sixth,加六和弦（絃）,,英,,2017-08-08
3236760,added sixth chord,加六和弦（絃）,,英,,2017-08-08
3236761,added time,合成拍子,,英,,2017-08-08
3236762,additional accompaniment,附加伴奏,,英,,2017-08-08
3236763,additional entry,附加導入,,英,,2017-08-08
3236764,additional voice,附加聲部,,英,,2017-08-08
3236765,additive rhythm,附加節奏,,英,,2017-08-08
3236766,addolcendo {It.},溫柔的,,義,,2017-08-08
3236767,addolorato {It.},悲傷的；痛心的,,義,,2017-08-08
3236768,Adiaphone {Gr.},音叉琴,,希,,2017-08-08
3236769,adiaphonon {Ger.},阿迪亞封農琴｛奧地利｝,,德,,2017-08-08
3236770,adirato {It.},憤怒的；激怒的,,義,,2017-08-08
3236771,adjuster,微調器,,英,,2017-08-08
3236772,aeolian bells,風鈴,,英,,2017-08-08
3236773,Aeolian bow,風鳴弓,,英,,2017-08-08
3236774,aeolian harp,風鳴琴,,英,,2017-08-08
3236775,aeolian mode,伊奧利安調式,,英,,2017-08-08
3236776,aeolian pipe,風鳴笛,,英,,2017-08-08
3236777,aeolian scale,伊奧利安音階,,英,,2017-08-08
3236778,aeoline,音栓（管風琴的一種）,,英,,2017-08-08
3236779,aeolopantalon,風鳴鋼琴,,英,,2017-08-08
3236780,aeroforo {It.},風袋,,義,,2017-08-08
3236781,Aerophon {Ger.},風袋；氣鳴樂器,,德,,2017-08-08
3236782,aerophone,氣鳴樂器,,英,,2017-08-08
3236783,aerophor,風袋,,英,,2017-08-08
3236784,aesthetic accent,美化強音,,英,,2017-08-08
3236785,aesthetic categories,美的範疇,,英,,2017-08-08
3236786,aesthetics of music,音樂美學,,英,,2017-08-08
3236787,affabile {It.},和藹的；溫柔的,,義,,2017-08-08
3236788,affaiblissant {Fr.},漸弱的,,法,,2017-08-08
3236789,affannoso {It.},苦惱的；痛苦的；焦慮的；不安的,,義,,2017-08-08
3236790,Affektenlehre {Ger.},情意說,,德,,2017-08-08
3236791,affetti {It.},動人的；感性的；情意說,,義,,2017-08-08
3236792,affetto{It.},情感；情緒,,義,,2017-08-08
3236793,affettuoso {It.},深情的；富於情感的,,義,,2017-08-08
3236794,affinales {Lat.},終止音,,拉,,2017-08-08
3236795,affinalis {Lat.},終止音,,拉,,2017-08-08
3236796,afflitto {It.},懊惱的；悲痛的,,義,,2017-08-08
3236797,affrettando {It.},加快的；加緊的；急促的,,義,,2017-08-08
3236798,affrettoso {It.},急迫的；匆促的,,義,,2017-08-08
3236799,afinando {Sp.},調律法；音律,,西,,2017-08-08
3236800,Afro-American music,非裔美人音樂,,英,,2017-08-08
3236801,after beat,後拍音,,英,,2017-08-08
3236802,after note,後倚音,,英,,2017-08-08
3236803,after phrase,後句,,英,,2017-08-08
3236804,agenda,儀式；儀式書,,英,,2017-08-08
3236805,Agende {Ger.},儀式；儀式書,,德,,2017-08-08
3236806,agevole {It.},輕快的；愉快的,,義,,2017-08-08
3236807,aggiustamente {It.},嚴守節拍的,,義,,2017-08-08
3236808,agiatamente {It.},輕鬆的；自在的,,義,,2017-08-08
3236809,agiato {It.},輕鬆的；自在的,,義,,2017-08-08
3236810,agilmente {Ger.},敏捷的,,義,,2017-08-08
3236811,agitato {It.},激動的,,義,,2017-08-08
3236812,Agnus Dei {Lat.},羔羊經,,拉,,2017-08-08
3236813,agogic,彈性處理；速度法,,英,,2017-08-08
3236814,agogic accent,長強音,,英,,2017-08-08
3236815,agogica {It.},彈性處理；速度法,,義,,2017-08-08
3236816,agogics,彈性處理；速度法,,英,,2017-08-08
3236817,Agogik {Ger.},彈性處理；速度法,,德,,2017-08-08
3236818,agogique {Fr.},彈性處理；速度法,,法,,2017-08-08
3236819,agogischer Akzent {Ger.},長強音,,德,,2017-08-08
3236820,agrément {Fr.},裝飾音,,法,,2017-08-08
3236821,Ähnlich {Ger.},以下同；同樣的,,德,,2017-08-08
3236822,Aida trumpet,阿依達小號,,英,,2017-08-08
3236823,aigu ( ë ) {Fr.},尖銳的（指聲音）,,法,,2017-08-08
3236824,air and variations,歌調變奏曲,,英,,2017-08-08
3236825,air de caractère {Fr.},特性曲；特性作品,,法,,2017-08-08
3236826,air de cour {Fr.},宮廷歌曲,,法,,2017-08-08
3236827,air reed,氣簧,,英,,2017-08-08
3236828,air varié {Fr.},歌調變奏曲,,法,,2017-08-08
3236829,air with variation,歌調變奏曲,,英,,2017-08-08
3236830,air {Fr.},歌；歌曲；曲調,,法,,2017-08-08
3236831,aire {Sp.},歌；歌曲；曲調,,西,,2017-08-08
3236832,Ais {Ger.},升Ａ,,德,,2017-08-08
3236833,aise {Fr.},舒適的；自在的,,法,,2017-08-08
3236834,Aisis {Ger.},重升A,,德,,2017-08-08
3236835,Akademie {Gr.},學會；學院；音樂會,,德,,2017-08-08
3236836,Akklamation {Ger.},歡呼歌,,德,,2017-08-08
3236837,Akkompagnement {Ger.},伴奏,,德,,2017-08-08
3236838,Akkord {Ger.},和弦（絃）,,德,,2017-08-08
3236839,Akkordbezeichnung {Ger.},和弦記號,,德,,2017-08-08
3236840,Akkordeon {Ger.},手風琴,,德,,2017-08-08
3236841,Akkordfolge {Ger.},和弦（絃）連接,,德,,2017-08-08
3236842,Akkordfortschreitung {Ger.},和聲進行,,德,,2017-08-08
3236843,Akkordgitarre {Ger.},和弦（絃）吉他,,德,,2017-08-08
3236844,Akkordton {Ger.},和聲音,,德,,2017-08-08
3236845,Akkordverbindung {Ger.},和弦（絃）連接,,德,,2017-08-08
3236846,Akustik {Ger.},音響學,,德,,2017-08-08
3236847,Akzent {Ger.},重音,,德,,2017-08-08
3236848,Akzidens {Ger.},臨時記號；變化記號,,德,,2017-08-08
3236849,Akzidentale {Ger.},臨時記號；變化記號,,德,,2017-08-08
3236850,al aire {Sp.},挑弦（絃）法,,西,,2017-08-08
3236851,al fine {It.},奏至結束記號處,,義,,2017-08-08
3236852,al loco {It.},恢復原位（升高八度之後）,,義,,2017-08-08
3236853,al piacere {It.},隨意的,,義,,2017-08-08
3236854,al riverso {It.},逆行的,,義,,2017-08-08
3236855,al roverscio imitation,逆模仿,,英,,2017-08-08
3236856,al rovescio {It.},逆行的,,義,,2017-08-08
3236857,al segno {It.},至記號,,義,,2017-08-08
3236858,àl'écrevisse {Fr.},逆行,,法,,2017-08-08
3236859,Alabado {Sp.},阿拉巴多｛聖歌｝,,西,,2017-08-08
3236860,alalá {Sp.},阿拉拉｛民歌｝,,西,,2017-08-08
3236861,âlâp {In.},阿拉普；散板導奏,,印度,,2017-08-08
3236862,âlâpana {In.},阿拉普；散板導奏,,印度,,2017-08-08
3236863,alba {Fr.},晨歌,,法,,2017-08-08
3236864,Albert system,阿伯特系統｛單簧管｝,,英,,2017-08-08
3236865,alberti bass,阿貝提低音,,英,,2017-08-08
3236866,albisifono {It.},阿爾比西長笛,,義,,2017-08-08
3236867,albisiphon,阿爾比西長笛,,英,,2017-08-08
3236868,albisiphono {It.},阿爾比西長笛,,義,,2017-08-08
3236869,alboka,阿爾波卡管,,英,,2017-08-08
3236870,alborada {Sp.},晨歌,,西,,2017-08-08
3236871,album,專輯；曲輯,,英,,2017-08-08
3236872,album leaf,冊葉,,英,,2017-08-08
3236873,Albumblatt {Ger.},冊葉,,德,,2017-08-08
3236874,albumleaf,冊葉,,英,,2017-08-08
3236875,Aleatorische Musik {Ger.},機遇音樂,,德,,2017-08-08
3236876,aleatory music,機遇音樂,,英,,2017-08-08
3236877,alegrias {Sp.},阿列格利亞舞曲,,西,,2017-08-08
3236878,alexander organ,亞力山大風琴,,英,,2017-08-08
3236879,aliquot scaling,共鳴弦（絃）,,英,,2017-08-08
3236880,Aliquot {Ger.},共鳴弦（絃）；泛音,,德,,2017-08-08
3236881,Aliquotflügel {Ger.},共鳴弦（絃）鋼琴,,德,,2017-08-08
3236882,all'inlterludio {It.},接間奏,,義,,2017-08-08
3236883,all'ottava {It.},高八度,,義,,2017-08-08
3236884,alla breve {It.},二二拍子,,義,,2017-08-08
3236885,alla coda {It.},接尾聲（奏）,,義,,2017-08-08
3236886,alla francese {It.},法國風的,,義,,2017-08-08
3236887,alla gitana {It.},吉普賽風的,,義,,2017-08-08
3236888,alla marcia {It.},進行曲風的,,義,,2017-08-08
3236889,alla mente {It.},即興的,,義,,2017-08-08
3236890,alla militare {It.},軍樂風格,,義,,2017-08-08
3236891,alla polacca {It.},波蘭風的,,義,,2017-08-08
3236892,alla riversa {It.},逆行的,,義,,2017-08-08
3236893,alla russe {It.},俄國風的,,義,,2017-08-08
3236894,alla spagnola {It.},西班牙風,,義,,2017-08-08
3236895,alla tedesca {It.},德國風的,,義,,2017-08-08
3236896,alla truca {It.},土耳其風的,,義,,2017-08-08
3236897,alla zingara {It.},吉普賽風的,,義,,2017-08-08
3236898,alla zingarese {It.},吉普賽風的,,義,,2017-08-08
3236899,alla zoppa {It.},跛行節拍,,義,,2017-08-08
3236900,alla {It.},如…的風格,,義,,2017-08-08
3236901,allant {Fr.},進行中；繼續,,法,,2017-08-08
3236902,allargando {It.},漸寬闊；漸慢,,義,,2017-08-08
3236903,alle {Ger.},全部,,德,,2017-08-08
3236904,allegramente {It.},明朗的；快樂的,,義,,2017-08-08
3236905,allégrement {Fr.},明朗的；快樂的,,法,,2017-08-08
3236906,allegrettissimo {It.},最快板,,義,,2017-08-08
3236907,allegretto {It.},稍快板,,義,,2017-08-08
3236908,allegrezza {It.},歡欣的,,義,,2017-08-08
3236909,allegrissimo {It.},極快的快板,,義,,2017-08-08
3236910,allegro assai {It.},相當快的快板,,義,,2017-08-08
3236911,allegro moderato {It.},中庸的快板,,義,,2017-08-08
3236912,allegro {It.},快板,,義,,2017-08-08
3236913,alleluia {Lat.},阿雷路亞；阿利路亞｛頌讚曲｝,,拉,,2017-08-08
3236914,allemande {Fr.}{It.},阿勒曼德舞曲｛德國舞曲｝,,法．義,,2017-08-08
3236915,allentamento {It.},慢慢的,,義,,2017-08-08
3236916,allentando {It.},漸慢,,義,,2017-08-08
3236917,alliteration,頭韻,,英,,2017-08-08
3236918,allitération {Fr.},頭韻,,法,,2017-08-08
3236919,allmählich {Ger.},逐漸的,,德,,2017-08-08
3236920,allonger {Fr.},延長,,法,,2017-08-08
3236921,alma {Sp.},音柱,,西,,2017-08-08
3236922,almérie {Fr.},阿爾美利琴｛魯特琴｝,,法,,2017-08-08
3236923,alpenhorn,阿爾卑斯號,,英,,2017-08-08
3236924,alphabetic notation,字母譜,,英,,2017-08-08
3236925,alphorn {Ger.},阿爾卑斯號,,德,,2017-08-08
3236926,Alt {Ger.},中音｛音域｝；女低音；中音樂器,,德,,2017-08-08
3236927,alta {It.},阿爾塔舞曲；高的,,義,,2017-08-08
3236928,alteratio {Lat.},變換音值,,拉,,2017-08-08
3236929,alteration,變化音,,英,,2017-08-08
3236930,altération {Fr.},變化音,,法,,2017-08-08
3236931,Alteration {Ger.},變化音,,德,,2017-08-08
3236932,alterazione {It.},變化音,,義,,2017-08-08
3236933,altered chord,變化和弦（絃）,,英,,2017-08-08
3236934,altered tone,變化音,,英,,2017-08-08
3236935,alterierter Akkord,變化和弦（絃）,,英,,2017-08-08
3236936,alternando {It.},輪番的；交替的,,義,,2017-08-08
3236937,alternatim {Lat.},交替,,拉,,2017-08-08
3236938,alternation,交替,,英,,2017-08-08
3236939,alternation of time,拍子交替,,英,,2017-08-08
3236940,alternative,交替,,英,,2017-08-08
3236941,alternative ending,擇一結束,,英,,2017-08-08
3236942,alternative {Fr.},交替,,法,,2017-08-08
3236943,alternativement {Fr.},樂段交替,,法,,2017-08-08
3236944,alternativo {It.},樂段交替,,義,,2017-08-08
3236945,Alterschwerhörigkeit {Ger.},老人性重聽,,德,,2017-08-08
3236946,altezza assoluto {It.},絕對音高,,義,,2017-08-08
3236947,Altflöte {Ger.},中音長笛,,德,,2017-08-08
3236948,Althorn{Ger.},中音號,,德,,2017-08-08
3236949,altissimo {It.},很高,,義,,2017-08-08
3236950,Altklarinette {Ger.},中音單簧管,,德,,2017-08-08
3236951,alto,中音｛音域｝；女低音；中音樂器；中提琴｛法｝,,英,,2017-08-08
3236952,alto chiave {It.},中音譜號,,義,,2017-08-08
3236953,alto clarinet,中音單簧管,,英,,2017-08-08
3236954,alto clé {Fr.},中音譜號,,法,,2017-08-08
3236955,alto clef,中音譜號,,英,,2017-08-08
3236956,alto fagotto {It.},中低音管,,義,,2017-08-08
3236957,alto Flügelhorn {Ger.},中音富魯格號,,德,,2017-08-08
3236958,alto flute,中音長笛,,英,,2017-08-08
3236959,alto guitar,高音吉他,,英,,2017-08-08
3236960,alto horn,中音號,,英,,2017-08-08
3236961,alto moderne,次中音提琴,,英,,2017-08-08
3236962,alto oboe,中音雙簧管,,英,,2017-08-08
3236963,alto sax,中音薩氏管,,英,,2017-08-08
3236964,alto saxhorn,中音薩氏號,,英,,2017-08-08
3236965,alto saxophone,中音薩氏管,,英,,2017-08-08
3236966,alto trombone,中音長號,,英,,2017-08-08
3236967,Altobasso {It.},阿爾多巴索琴,,義,,2017-08-08
3236968,Altposaune {Ger.},中音長號,,德,,2017-08-08
3236969,altra volta {It.},再奏(唱)一次,,義,,2017-08-08
3236970,Altrömischer Choral {Ger.},古羅馬聖歌,,德,,2017-08-08
3236971,Altschlüssel {Ger.},中音譜號,,德,,2017-08-08
3236972,altus {Lat.},聲部名稱,,拉,,2017-08-08
3236973,alzamento di voce {It.},聲音提高,,義,,2017-08-08
3236974,alzata {It.},拿起,,義,,2017-08-08
3236975,alzate {It.},拿起,,義,,2017-08-08
3236976,alzati {It.},拿起,,義,,2017-08-08
3236977,alzato {It.},拿起,,義,,2017-08-08
3236978,am Frosch {Ger.},近弓根奏,,德,,2017-08-08
3236979,am Griffbrett {Ger.},近指板奏,,德,,2017-08-08
3236980,am Steg {Ger.},近琴橋奏；近琴馬奏,,德,,2017-08-08
3236981,Am {Ger.},靠近,,德,,2017-08-08
3236982,amabile {It.},甜美的；可愛的,,義,,2017-08-08
3236983,amarevole {It.},痛苦的；悲痛的,,義,,2017-08-08
3236984,amarezza {It.},悲哀的；哀傷的,,義,,2017-08-08
