ID,英文名稱,中文名稱,圖片,中國大陸譯名,備註,更新日期
2292479,membrane extraction,薄膜萃取,,膜萃取,,2015-05-25
2292480,membrane inlet mass spectrometry {= MIMS},膜導入質譜法,,膜导入质谱法,,2015-05-25
2292481,membrane introduction mass spectrometry,膜進樣質譜法,,膜进样质谱法,,2015-05-25
2292482,membrane potential,膜電位,,膜电势,,2015-05-25
2292483,membrane reactor,膜反應器,,膜反应器,,2015-05-25
2292484,memory effect,記憶效應,,记忆效应,,2015-05-25
2292485,menthane,薄荷烷；【艹孟】烷,,薄荷烷[类],,2015-05-25
2292487,mer {monomeric unit},單體單元,,单体单元,,2015-05-25
2292488,mercaptan,硫醇,,硫醇,,2015-05-25
2292489,mercaptobenzothiazole {= MBT},氫硫苯并噻唑；巰苯并噻唑；苯并噻唑硫醇,,巯基苯并噻唑,,2015-05-25
2292490,mercuration,加汞作用,,汞化,,2015-05-25
2292491,mercurimetry,汞量法,,汞量法,,2015-05-25
2292492,mercury film electrode {= MFE},汞膜電極,,汞膜电极,,2015-05-25
2292493,meridianal isomer,經式異構物,,经式异构体,,2015-05-25
2292494,merry-go-round reactor,旋轉[木馬]式反應器,,旋转木马式反应器,,2015-05-25
2292495,ME-RTP {microemulsion stabilized room temperature phosphirimetry},微乳狀液增穩室溫磷光法,,微乳液增稳室温磷光法,,2015-05-25
2292496,mesh,篩目,,[筛]目,,2015-05-25
2292497,meso analysis,半微量分析,,半微量分析,,2015-05-25
2292498,meso compound,内消旋化合物,,内消旋化合物,,2015-05-25
2292499,mesomerism,共振性；共振現象,,中介[现象] [论],,2015-05-25
2292500,meson chemistry,介子化學,,介子化学,,2015-05-25
2292501,mesonic atom,介子原子,,介子原子,,2015-05-25
2292502,mesonium,介子[偶]；介子素,,介子素,,2015-05-25
2292503,mesoporous catalyst,中孔洞觸媒；中孔洞催化劑,,介孔[分子筛]催化剂,,2015-05-25
2292504,mesoporous molecular sieve catalyst,中孔洞分子篩觸媒；中孔洞分子篩催化劑,,介孔[分子筛]催化剂,,2015-05-25
2292505,meta directing group,間位定向基；間位引位基,,间位定位基,,2015-05-25
2292506,meta position,間位,,间位,,2015-05-25
2292507,metabolic imaging,代謝顯像,,代谢显像,,2015-05-25
2292508,metal,金屬,,金属,,2015-05-25
2292509,metal alkenyl,烯基金屬,,烯基金属,,2015-05-25
2292510,metal alkynyl,炔基金屬,,炔基金属,,2015-05-25
2292511,metal binding protein,金屬結合蛋白質,,金属结合蛋白,,2015-05-25
2292512,metal binding site,金屬結合部位,,金属结合部位,,2015-05-25
2292513,metal carbene,金屬碳烯,,金属卡宾,,2015-05-25
2292515,metal carbonyl,金屬羰基化合物,,金属羰基化合物,,2015-05-25
2292516,metal carbyne,金屬碳炔,,金属卡拜,,2015-05-25
2292517,metal catalyst,金屬觸媒；金屬催化劑,,金属催化剂,,2015-05-25
2292518,metal cluster,金屬簇,,金属簇,,2015-05-25
2292519,metal complex catalyst,金屬錯合物觸媒；金屬錯合物催化劑,,金属络合物催化剂,,2015-05-25
2292520,metal complex ion chromatography {= MCIC},金屬錯合離子層析法,,金属配合物离子色谱法,,2015-05-25
2292521,metal coordination polymer,金屬配位聚合物,,金属配位聚合物,,2015-05-25
2292522,metal electrode,金屬電極,,金属电极,,2015-05-25
2292523,metal fluorescent indicator,金屬螢光指示劑,,金属荧光指示剂,,2015-05-25
2292524,metal hydride,金屬氫化物,,金属氢化物,,2015-05-25
2292525,metal indicator,金屬指示劑,,金属指示剂,,2015-05-25
2292526,metal ion activated enzyme,金屬離子活化酶,,金属离子激活酶,,2015-05-25
2292527,metal nitrosyl complex,金屬亞硝醯錯合物,,金属亚硝酰配合物,,2015-05-25
2292528,metal organic chemical vapor deposition {= MOCVD},金屬有機氣相沈積,,金属有机气相沉积,,2015-05-25
2292529,metal oxide electrode,金屬氧化物電極,,金属氧化物电极,,2015-05-25
2292530,metal phthalocyanine,金屬酞青,,金属酞菁,,2015-05-25
2292531,metal transporter,金屬運輸載體,,金属转运载体,,2015-05-25
2292532,metal-air battery,金屬空氣電池[組],,金属空气电池,,2015-05-25
2292533,metalfluorescent indicator,金屬螢光指示劑,,荧光指示剂,,2015-05-25
2292534,metallation,金屬化[作用],,金属化,,2015-05-25
2292535,metallic bond,金屬鍵,,金属键,,2015-05-25
2292536,metallic electrode,金屬電極,,金属电极,,2015-05-25
2292537,metallic solution,金屬固溶體,,金属固溶体,,2015-05-25
2292538,metallo ligand,金屬錯合物配位基；金屬錯合物配位子,,金属配合物配体,,2015-05-25
2292539,metalloborane,金屬硼烷,,金属硼烷,,2015-05-25
2292540,metallocarbene,金屬碳烯,,金属卡宾,,2015-05-25
2292541,metallocarborane,金屬碳硼烷,,金属碳硼烷,,2015-05-25
2292542,metallocarbyne,金屬碳炔,,金属卡拜,,2015-05-25
2292543,metallocene,二茂金屬；金屬莘,,<p>茂金屬；金屬茂</p>,,2015-05-25
2292545,metallochaperone,金屬伴侶,,金属伴侣,,2015-05-25
2292546,metallocycle,金屬雜環,,金属杂环,,2015-05-25
2292547,metalloenzyme,金屬酶,,金属酶,,2015-05-25
2292548,metallofullerene,金屬富勒烯,,金属富勒烯,,2015-05-25
2292549,metalloid,類金屬[元素],,<p>半金属</p>,,2015-05-25
2292550,metalloporphyrin,金屬紫質；金屬卟啉,,金属卟啉,,2015-05-25
2292551,metalloprotein,金屬蛋白,,金属蛋白,,2015-05-25
2292552,metallothionein,金屬硫蛋白,,金属硫蛋白,,2015-05-25
2292553,metal-metal bond,金屬-金屬鍵,,金属-金属键,,2015-05-25
2292554,metal-metal multiple bond,金屬-金屬多重鍵,,金属-金属多重键,,2015-05-25
2292555,metal-metal quadruple bond,金屬-金屬四重鍵,,金属-金属四重键,,2015-05-25
2292556,metal-organic framework {= MOF},金屬有機骨架,,金属有机骨架,,2015-05-25
2292557,metalphthalein,金屬酞,,金属酞,,2015-05-25
2292558,metal-support interaction,金屬撐體相互作用,,金属载体相互作用,,2015-05-25
2292559,metal-to-ligand charge-transfer transition {= MLCT transition},金屬-配位基電荷轉移躍遷,,金属-配体电荷转移跃迁,,2015-05-25
2292560,metastable ion,介穩離子,,亚稳离子,,2015-05-25
2292561,metastable ion decay {= MID},介穩離子衰變,,亚稳离子衰减,,2015-05-25
2292562,metastable peak,介穩峰,,亚稳峰,,2015-05-25
2292563,metastable state,介穩[狀]態,,亚稳态,,2015-05-25
2292564,metathesis,複分解；歧化[反應]；移位[變化],,①复分解 ②换位反应,,2015-05-25
2292565,metathesis polymerization,移位聚合,,易位聚合,,2015-05-25
2292566,methane dehydroaromatization,甲烷脫氫芳香化反應,,甲烷脱氢芳构化,,2015-05-25
2292567,methane non-oxidative aromatization,甲烷非氧化芳香化反應,,甲烷无氧芳构化,,2015-05-25
2292568,methionine,甲硫胺酸,,甲硫氨酸，蛋氨酸,,2015-05-25
2292569,method of peak area measurement,峰面積測量法,,峰面积测量法,,2015-05-25
2292570,method of peak height measurement,峰高測量法,,峰高测量法,,2015-05-25
2292571,methyl cellulose,甲基纖維素,,甲基纤维素,,2015-05-25
2292572,methyl orange,甲基橙,,甲基橙,,2015-05-25
2292573,methyl red,甲基紅,,甲基红,,2015-05-25
2292574,methyl red test,甲基紅試驗,,甲基红试验,,2015-05-25
2292575,methyl yellow,甲基黃,,甲基黄,,2015-05-25
2292576,methylal resin,縮甲醛樹脂,,缩甲醛树脂,,2015-05-25
2292577,methylaluminoxane {= MAO},甲基鋁氧烷,,甲基铝氧烷,,2015-05-25
2292578,methylenation,亞甲基化反應,,亚甲基化反应,,2015-05-25
2292579,methylene blue,亞甲藍,,亚甲蓝,,2015-05-25
2292580,methylidenation,亞甲基化反應,,亚甲基化反应,,2015-05-25
2292581,methylthymol blue,甲基瑞香草酚藍,,甲基百里酚蓝,,2015-05-25
2292582,methylvinyl silicone rubber,甲基乙烯基矽氧橡膠,,甲基乙烯基硅橡胶,,2015-05-25
2292583,MFE {mercury film electrode},汞膜電極,,汞膜电极,,2015-05-25
2292584,mica,雲母,,云母,,2015-05-25
2292585,micellar catalysis,微胞催化作用,,﹡胶束催化,,2015-05-25
2292586,micellar electrokinetic chromatography {= MEKC},微胞電動層析法,,胶束电动色谱,,2015-05-25
2292587,micellar inclusion complex,微胞包容錯合物,,胶束包合络合物,,2015-05-25
2292588,micellar sensitization,微胞增敏作用,,胶束增敏作用,,2015-05-25
2292589,micellar solubilization,微胞增溶作用,,胶束增溶作用,,2015-05-25
2292590,micellar solubilization spectrophotometry,微胞增溶分光光度法,,胶束增溶分光光度法,,2015-05-25
2292591,micelle,微胞；微膠粒,,胶束,,2015-05-25
2292592,micelle core,微胞內核,,胶束内核,,2015-05-25
2292593,micelle stabilized room temperature phosphorimetry {= MS-RTP},微胞增穩室溫磷光法,,胶束增稳室温磷光法,,2015-05-25
2292594,micelle-sensitized flow injection spectrophotometry,微胞增敏流動注射分光光度法,,胶束增敏流动注射分光光度法,,2015-05-25
2292595,micelle-sensitized kinetic photometry,微胞增敏動力學光度法,,胶束增敏动力学光度法,,2015-05-25
2292596,micelle-sensitized spectrofluorimetry,微胞增敏螢光分光法,,胶束增敏荧光分光法,,2015-05-25
2292597,micellization,微胞化,,﹡胶束化,,2015-05-25
2292598,Michael reaction,麥可反應,,迈克尔加成,,2015-05-25
2292599,micro analysis,微量分析,,微量分析,,2015-05-25
2292600,micro analytical balance,微天平；微量天平,,微量天平,,2015-05-25
2292601,micro balance,微天平；微量天平,,微量天平,,2015-05-25
2292602,micro emulsion polymerization,微乳化聚合,,微乳液聚合,,2015-05-25
2292603,micro morphology analysis,微形態分析,,显微形貌分析,,2015-05-25
2292604,micro photon emission computed tomography,微型光子發射電腦斷層掃描攝影術,,微型单光子发射计算机断层显像,,2015-05-25
2292605,micro positron emission tomography,微型正[電]子發射斷層攝影術,,微型正电子发射断层显像,,2015-05-25
2292606,microanalysis,微量分析,,显微分析,,2015-05-25
2292607,micro-area element analysis,微區元素分析,,微区元素分析,,2015-05-25
2292608,microbe electrode sensor,微生物電極感測器,,微生物电极传感器,,2015-05-25
2292609,microcanonical ensemble,微[觀]正則系集,,微正则系综,,2015-05-25
2292610,microcanonical partition function,微正則分配函數,,微正则配分函数,,2015-05-25
2292611,microcapsule,微膠囊,,﹡微胶囊,,2015-05-25
2292612,microcell,微電池；微液槽,,微电池,,2015-05-25
2292613,microchip electrophoresis,微晶片電泳,,芯片电泳,,2015-05-25
2292614,micro-chromatograph,微[型]層析儀,,微型色谱仪,,2015-05-25
2292615,micro-column liquid chromatography,微管柱液相層析法,,微柱液相色谱法,,2015-05-25
2292616,microcoulometric detector,微庫侖偵檢器,,微库仑检测器,,2015-05-25
2292617,microcrystal,微晶,,微晶,,2015-05-25
2292618,microdensitometer,微光[密]度計；測微光[密]度計,,测微光度计,,2015-05-25
2292619,microelectrode,微電極,,微电极,,2015-05-25
2292620,microelement,微量元素,,微量元素,,2015-05-25
2292621,microemulsion,微乳液,,微乳[状液],,2015-05-25
2292622,microemulsion electrokinetic chromatography {= MEEKC},微乳液電動層析法,,微乳液电动色谱,,2015-05-25
2292623,microemulsion stabilized room temperature phosphirimetry {= ME-RTP},微乳狀液增穩室溫磷光法,,微乳液增稳室温磷光法,,2015-05-25
2292624,microfluidics,微流控[學],,微流控,,2015-05-25
2292625,microfurnace pyrolyzer,微爐熱解器,,微炉裂解器,,2015-05-25
2292626,microgel,微凝膠,,微凝胶,,2015-05-25
2292627,microphase domain,微相區,,微相区,,2015-05-25
2292628,microphotometer,微光度計；測微光度計,,测微光度计,,2015-05-25
2292629,microreactor,微[型]反應器,,微型反应器,,2015-05-25
2292630,microscopic analysis,顯微鏡分析,,显微镜分析,,2015-05-25
2292631,microscopic fluorescence imaging analysis,顯微螢光成像分析,,显微荧光成像分析,,2015-05-25
2292632,microscopic Raman spectroscopy,顯微拉曼光譜術,,显微拉曼光谱,,2015-05-25
2292633,microscopic reversibility,微觀可逆性,,微观可逆性,,2015-05-25
2292634,microspherical catalyst,微球狀觸媒；微球狀催化劑,,微球催化剂,,2015-05-25
2292635,micro-structure analysis,微結構分析,,显微结构分析,,2015-05-25
2292636,micro-total analysis system {= μ-TAS},微全分析系统,,微全分析系统,,2015-05-25
2292637,microwave assisted reaction,微波輔助反應,,微波促进反应,,2015-05-25
2292638,microwave cure,微波硫化,,微波硫化,,2015-05-25
2292639,microwave digestion {= MWD},微波消化[法],,微波消解,,2015-05-25
2292640,microwave excited electrodeless discharge lamp,微波激發無電極放電燈,,微波激发无极放电灯,,2015-05-25
2292641,microwave extraction separation,微波萃取分離,,微波萃取分离,,2015-05-25
2292642,microwave induced plasma {= MIP},微波誘導電漿,,微波诱导等离子体,,2015-05-25
2292643,microwave induced plasma atomic absorption spectrometer {= MIP-AAS},微波誘導電漿原子吸收光譜儀,,微波诱导等离子体原子吸收光谱法,,2015-05-25
2292644,microwave induced plasma atomic emission spectrometry {= MIP-AES},微波誘導電漿原子發射光譜法,,微波诱导等离子体原子发射光谱法,,2015-05-25
2292645,microwave irradiation treatment,微波輻射處理,,微波辐射处理,,2015-05-25
2292646,microwave plasma emission spectroscopic detector,微波電漿發射光譜偵檢器,,微波等离子体发射光谱检测器,,2015-05-25
2292648,middle-phase microemulsion,中間層微乳液,,﹡中相微乳液,,2015-05-25
2292649,middle-pressure liquid chromatography,中壓液相層析法,,中压液相色谱,,2015-05-25
2292650,migration,移動；遷移,,迁移,,2015-05-25
2292651,migration current,移動電流；遷移電流,,迁移电流,,2015-05-25
2292652,migration time,移動時間,,迁移时间,,2015-05-25
2292653,migratory aptitude,遷移傾向,,迁移倾向,,2015-05-25
2292654,migratory insertion,遷移插入[反應],,迁移插入[反应],,2015-05-25
2292655,Miller indices,米勒指數,,米勒指数,,2015-05-25
2292657,mineralization,礦化[作用],,矿化,,2015-05-25
2292658,mineralized tissue,礦化組織,,矿化组织,,2015-05-25
2292659,miniemulsion,微小乳液,,﹡细小乳状液,,2015-05-25
2292660,minimum detectable concentration,最小偵檢濃度,,最低检测浓度,,2015-05-25
2292661,minimum detectable quantity,最小檢出量,,最小检出量,,2015-05-25
2292662,minimum energy path {= MEP},最低能量途徑,,最低能量途径,,2015-05-25
2292663,minimum residual method,最小殘差法,,最小残差法,,2015-05-25
2292664,minimum total potential energy principle,最低總位能原理,,势能最低原理,,2015-05-25
2292665,minor actinide,次要錒系元素,,次[要]锕系元素,,2015-05-25
2292666,MIP {microwave induced plasma},微波誘導電漿,,微波诱导等离子体,,2015-05-25
2292667,MIP-AAS {microwave induced plasma atomic absorption spectrometer},微波誘導電漿原子吸收光譜儀,,微波诱导等离子体原子吸收光谱法,,2015-05-25
2292668,MIP-AES {microwave induced plasma atomic emission spectrometry},微波誘導電漿原子發射光譜法,,微波诱导等离子体原子发射光谱法,,2015-05-25
2292669,MIRD {medical internal radiation dose},醫學內照射劑量,,医学内照射剂量,,2015-05-25
2292670,mirror image,鏡像,,镜像,,2015-05-25
2292671,mirror symmetry,鏡像對稱,,镜面对称,,2015-05-25
2292672,miscibillity,互溶性,,相溶性,,2015-05-25
2292673,misplaced atom,錯位原子,,错位原子,,2015-05-25
2292674,mixed constant,混合常數,,混合常数,,2015-05-25
2292675,mixed crystal,混晶,,混晶,,2015-05-25
2292676,mixed crystal coprecipitation,混晶共沈澱,,混晶共沉淀,,2015-05-25
2292677,mixed ensemble,混合系集,,混合系综,,2015-05-25
2292678,mixed indicator,混合指示劑,,混合指示剂,,2015-05-25
2292679,mixed ligand coordination compound,混合配位基配位化合物,,混合配体配合物,,2015-05-25
2292680,mixed metal oxide catalyst,混合金屬氧化物觸媒；混合金屬氧化物催化劑,,混合金属氧化物催化剂,,2015-05-25
2292681,mixed oxide,混合[鈾、鈽]氧化物,,混合[铀、钚]氧化物,,2015-05-25
2292682,mixed potential,混合電位,,混合电势,,2015-05-25
2292683,mixed sandwich complex,混合夾心錯合物,,混合夹心配合物,,2015-05-25
2292684,mixed valence,混合價,,混合价,,2015-05-25
2292685,mixed valence compound,混價化合物,,混合价[态]化合物,,2015-05-25
2292686,mixed-bed ion exchange stationary phase,混合床離子交換固定相,,混合床离子交换固定相,,2015-05-25
2292687,mixer settler,混合澄清槽,,混合澄清槽,,2015-05-25
2292688,mixing,混合,,混炼,,2015-05-25
2292689,mixing method,混合法,,混合法,,2015-05-25
2292690,mixing period,混合期,,混合期,,2015-05-25
2292691,mixture,混合物,,混合物,,2015-05-25
2292692,MLCT transition {metal-to-ligand charge-transfer transition},金屬-配位基電荷轉移躍遷；MLCT躍遷,,金属-配体电荷转移跃迁,,2015-05-25
2292693,MLR {multivariate linear regression},多變量線性回歸,,多元线性回归,,2015-05-25
2292695,mobile phase,[流]動相,,流动相,,2015-05-25
2292696,mobility,流動性；流動率,,迁移率,,2015-05-25
2292697,mobilization,可移動化,,可移动化,,2015-05-25
2292698,MOCVD {metal organic chemical vapor deposition},金屬有機氣相沈積,,金属有机气相沉积,,2015-05-25
2292699,model catalyst,模型觸媒；模型催化劑,,模型催化剂,,2015-05-25
2292700,model method,模型法,,模型法,,2015-05-25
2292701,mode-locked laser,鎖模雷射,,锁-模激光器,,2015-05-25
2292702,modified electrode,修飾電極,,修饰电极,,2015-05-25
2292703,modified simplex method,修飾單純形法,,改进单纯形法,,2015-05-25
2292704,modified support,修飾載體,,改性载体,,2015-05-25
2292705,modifier,修飾劑；調節劑,,改性剂,,2015-05-25
2292706,modulated structure,調制結構,,调制结构,,2015-05-25
2292707,MOF {metal-organic framework},金屬有機骨架,,金属有机骨架,,2015-05-25
2292708,Mohr method,莫爾法,,莫尔法,,2015-05-25
2292709,Mohr salt,莫爾鹽；鐵銨礬,,莫尔盐,,2015-05-25
2292710,Mohr's salt,莫爾鹽；鐵銨礬,,莫尔盐,,2015-05-25
2292711,moisture content,水分含量；濕分,,含湿量,,2015-05-25
2292712,molality,重量莫耳濃度,,质量摩尔浓度,,2015-05-25
2292713,molar absorptivity,莫耳吸收率,,摩尔吸光系数,,2015-05-25
2292714,molar abundance,莫耳豐度,,摩尔丰度,,2015-05-25
2292715,molar conductivity,莫耳導電度,,摩尔电导率,,2015-05-25
2292716,molar entropy,莫耳熵,,摩尔熵,,2015-05-25
2292717,molar fraction,莫耳分率,,摩尔分数,,2015-05-25
2292718,molar gas constant,莫耳氣體常數,,摩尔气体常数,,2015-05-25
2292719,molar heat capacity,莫耳熱容[量],,摩尔热容,,2015-05-25
2292720,molar heat capacity at constant pressure,定壓莫耳熱容[量],,定压摩尔热容,,2015-05-25
2292721,molar heat capacity at constant volume,定容莫耳熱容[量],,定容摩尔热容,,2015-05-25
2292722,molar internal energy,莫耳內能,,摩尔内能,,2015-05-25
2292723,molar mass,莫耳質量,,摩尔质量,,2015-05-25
2292724,molar mass average,莫耳質量平均,,摩尔质量平均,,2015-05-25
2292725,molar mass exclusion limit,莫耳質量排除極限,,摩尔质量排除极限,,2015-05-25
2292726,molar rotation,莫耳旋光[度],,摩尔旋光,,2015-05-25
2292727,molar solubility,莫耳溶解度,,摩尔溶解度,,2015-05-25
2292728,molar susceptibility,莫耳磁化率,,摩尔磁化率,,2015-05-25
2292729,molar volume,莫耳體積,,摩尔体积,,2015-05-25
2292730,molarity,體積莫耳濃度,,摩尔浓度,,2015-05-25
2292731,molding,模製；成型,,模塑,,2015-05-25
2292732,mole,莫耳,,摩尔,,2015-05-25
2292733,mole fraction,莫耳分率,,摩尔分数,,2015-05-25
2292734,molecular absorption,分子吸收,,分子吸收,,2015-05-25
2292735,molecular absorption band,分子吸收光譜帶,,分子吸收谱带,,2015-05-25
2292736,molecular absorption spectrum,分子吸收光譜,,分子吸收光谱,,2015-05-25
2292737,molecular activation analysis,分子活化分析,,分子活化分析,,2015-05-25
2292738,molecular assembly,分子組裝,,分子组装,,2015-05-25
2292739,molecular beam,分子束,,分子束,,2015-05-25
2292740,molecular clamp,分子鉗,,分子钳,,2015-05-25
2292741,molecular crystal,分子晶體,,分子晶体,,2015-05-25
2292742,molecular design,分子設計,,分子设计,,2015-05-25
2292743,molecular devices and machines,分子元件和機械,,分子器件和机器,,2015-05-25
2292744,molecular distillation,分子蒸餾,,分子蒸馏,,2015-05-25
2292745,molecular docking,分子嵌合,,分子对接,,2015-05-25
2292746,molecular dynamics,分子動力學,,分子动力学,,2015-05-25
2292747,molecular dynamics simulation,分子動力學模擬,,分子动力学模拟,,2015-05-25
2292748,molecular emission spectrum,分子發射光譜,,分子发射光谱,,2015-05-25
2292749,molecular entity,分子實體,,分子实体,,2015-05-25
2292750,molecular fluorescence analysis,分子螢光分析法,,分子荧光分析法,,2015-05-25
2292751,molecular force field,分子力場,,分子力场,,2015-05-25
2292752,molecular formula,分子式,,分子式,,2015-05-25
2292753,molecular fragment,分子碎片,,分子片,,2015-05-25
2292754,molecular geometry,分子幾何結構,,分子几何构型,,2015-05-25
2292755,molecular imaging,分子影像學,,分子影像学,,2015-05-25
2292756,molecular ion,分子離子,,分子离子,,2015-05-25
2292757,molecular knot,分子結,,分子结,,2015-05-25
2292758,molecular machine,分子機器,,分子机器,,2015-05-25
2292759,molecular modeling,分子模擬,,分子建模,,2015-05-25
2292760,molecular motor,分子馬達,,分子马达,,2015-05-25
2292761,molecular nuclear medicine,分子核醫學,,分子核医学,,2015-05-25
2292762,molecular nucleation,分子成核作用,,分子成核作用,,2015-05-25
2292763,molecular orbital {= MO},分子軌域,,分子轨道,,2015-05-25
2292764,molecular orbital energy level,分子軌域能階,,分子轨道能级,,2015-05-25
2292765,molecular orbital method,分子軌域法,,分子轨道法,,2015-05-25
2292766,molecular orbital space,分子軌域空間,,分子轨道空间,,2015-05-25
2292767,molecular orbital theory,分子軌域理論,,分子轨道理论,,2015-05-25
2292768,molecular partition function,分子分配函數,,分子配分函数,,2015-05-25
2292769,molecular plating,分子鍍,,分子镀,,2015-05-25
2292770,molecular probe,分子探針,,分子探针,,2015-05-25
2292771,molecular reaction,分子反應,,分子反应,,2015-05-25
2292772,molecular reaction dynamics,分子反應動力學,,分子反应动力学,,2015-05-25
2292773,molecular rearrangement,分子重排,,分子重排,,2015-05-25
2292774,molecular recognition,分子辨識,,分子识别,,2015-05-25
2292775,molecular replacement technique,分子置換法,,分子置换法,,2015-05-25
2292776,molecular ribbon,分子帶,,分子带,,2015-05-25
2292777,molecular separator,分子分離器,,分子分离器,,2015-05-25
2292778,molecular shuttle,分子梭,,分子梭,,2015-05-25
2292779,molecular sieve,分子篩,,分子筛,,2015-05-25
2292780,molecular simulation,分子模擬,,分子模拟,,2015-05-25
2292781,molecular spectrum,分子光譜,,分子光谱,,2015-05-25
2292782,molecular surface,分子表面積,,分子的表面积,,2015-05-25
2292783,molecular switch,分子開關,,分子开关,,2015-05-25
2292784,molecular thermodynamics,分子熱力學,,分子热力学,,2015-05-25
2292785,molecular weight,分子量,,分子量,,2015-05-25
2292786,molecular weight distribution,分子量分布,,分子量分布,,2015-05-25
2292787,molecular weight exclusion limit,分子量排除極限,,分子量排除极限,,2015-05-25
2292788,molecularity,分子數：分子性,,反应分子数,,2015-05-25
2292789,molecule,分子,,分子,,2015-05-25
2292790,molecule self-assembly,分子自組裝,,分子自组装,,2015-05-25
2292791,molten carbonate fuel cell {= MCFC},熔融碳酸鹽燃料電池,,熔融碳酸盐燃料电池,,2015-05-25
2292792,molting hormone,蛻皮激素,,蜕皮激素,,2015-05-25
2292793,molybdenite,輝鉬礦；鉬鐵礦,,辉钼矿,,2015-05-25
2292794,momentum,動量,,动量,,2015-05-25
2292795,momentum spectrum,動量譜,,动量谱,,2015-05-25
2292796,monazite,獨居石,,独居石,,2015-05-25
2292797,Monel metal,蒙乃爾合金,,蒙乃尔合金,,2015-05-25
2292798,monocentric integral,單中心積分,,单中心积分,,2015-05-25
2292799,monochromatic X-ray absorption analysis,單色X射線吸收分析[法],,单色X射线吸收分析[法],,2015-05-25
2292800,monochromator,單光儀；單光器；單色儀,,单色仪,,2015-05-25
2292801,monoclinic system,單斜晶系,,单斜晶系,,2015-05-25
2292802,monocyclic diterpene,單環二萜,,单环二萜,,2015-05-25
2292803,monocyclic sesquiterpene,單環倍半萜,,单环倍半萜,,2015-05-25
2292804,monocyclic-monoterpene,單環單萜,,单环单萜,,2015-05-25
2292805,monodentate ligand,單牙配位子；單牙配位基,,单齿配体,,2015-05-25
2292806,monodisperse polymer,單分散聚合物,,单分散聚合物,,2015-05-25
2292807,monodispersion,單分散,,单分散体,,2015-05-25
2292808,monodispersity,單分散性,,单分散性,,2015-05-25
2292809,monofil,單絲[纖維],,单丝,,2015-05-25
2292810,monofilament,單絲[纖維],,单丝,,2015-05-25
2292811,monohydride catalyst,單氫觸媒；單氫催化劑,,单氢催化剂,,2015-05-25
2292812,monoisotopic mass,單一同位素質量,,单一同位素质量,,2015-05-25
2292813,monolithic column,整體管柱,,整体柱,,2015-05-25
2292814,monomer,單體,,单体,,2015-05-25
2292815,monomer casting,單體澆鑄,,单体浇铸,,2015-05-25
2292816,monomeric unit {= mer},單體單元,,单体单元,,2015-05-25
2292817,monomolecular adsorption,單分子吸附,,单分子层吸附,,2015-05-25
2292818,monomolecular film,單分子薄膜,,单分子膜,,2015-05-25
2292819,mononuclear complex,單核錯合物,,单核络合物,,2015-05-25
2292820,mononuclear coordination compound,單核配位化合物,,单核配合物,,2015-05-25
2292821,mononucleotide,單核苷酸,,单核苷酸,,2015-05-25
2292822,monooxygenase,單加氧酶；單氧化酶,,单加氧酶,,2015-05-25
2292823,monoprotic acid,單質子酸,,一元酸,,2015-05-25
2292824,monosaccharide,單醣類,,单糖,,2015-05-25
2292825,monoterpene,單萜,,单萜,,2015-05-25
2292826,monothioacetal,單硫縮醛,,单硫缩醛,,2015-05-25
2292827,monothioketal,單硫縮酮,,单硫缩酮,,2015-05-25
2292828,monoxygenase,單加氧酶；單氧化酶,,单加氧酶,,2015-05-25
2292829,Monte Carlo method,蒙地卡羅法,,蒙特卡罗法,,2015-05-25
2292830,Mooney viscosity,孟納黏度,,门尼黏度,,2015-05-25
2292831,morin,"桑色素；2',3,4',5,7-五羥黃酮",,桑色素,,2015-05-25
2292832,morpholine,【口末】啉；嗎福林,,吗啉,,2015-05-25
2292833,morphology,形態[學],,形貌,,2015-05-25
2292834,morphology of polymer,聚合物形態,,聚合物形态,,2015-05-25
2292835,Morse function,摩斯函數,,Morse势能函数,,2015-05-25
2292836,mortar,研缽；灰泥,,研钵,,2015-05-25
2292837,mosaic structure,鑲嵌結構,,镶嵌结构,,2015-05-25
2292838,Mössbauer source,梅斯堡源,,穆斯堡尔源,,2015-05-25
2292839,Mössbauer spectrometer,梅斯堡譜儀,,穆斯堡尔谱仪,,2015-05-25
2292840,Mössbauer spectroscopy,梅斯堡譜[學],,穆斯堡尔谱,,2015-05-25
2292841,most abundant intermediate species,最豐反應中間物,,最丰反应中间物,,2015-05-25
2292842,most probable charge,最概然電荷；最可能電荷,,最概然电荷,,2015-05-25
2292843,most probable distribution,最可能分布,,最可几分布,,2015-05-25
2292844,motif,模體；結構組元,,基元,,2015-05-25
2292845,mould cure,模壓硫化,,模压硫化,,2015-05-25
2292846,moving boundary electrophoresis,移動介面電泳,,移动界面电泳,,2015-05-25
2292847,moving-bed reactor,移動床反應器,,移动床反应器,,2015-05-25
2292848,MPA {multiphoton absorption},多光子吸收,,多光子吸收,,2015-05-25
2292849,MPD {multiphoton dissociation},多光子解離,,多光子解离,,2015-05-25
2292850,MPI {multiphoton ionization},多光子游離,,多光子电离,,2015-05-25
2292851,MQT {multiple quantum transition},多量子躍遷,,多量子跃迁,,2015-05-25
2292852,MRCI {multi-reference configuration interaction},多重參考組態相互作用法,,多参考组态相互作用法,,2015-05-25
2292853,MRI {magnetic resonance imaging},磁共振造影,,磁共振成像,,2015-05-25
