ID,英文名稱,中文名稱,圖片,分類,更新日期
8251585,virus variation,病毒變異,,新冠病毒篩檢相關,2020-05-22
8251588,furlough;unpaid leave,無薪假,,,2020-05-22
8251589,downsizing through attrition,遇缺不補,,,2020-05-22
8251590,antibody screening/testing,篩檢抗體,,,2020-05-22
8251591,community-wide screening/testing (for COVID-19),全面篩檢,,,2020-05-22
8251592,widespread screening/testing (for COVID-19),普篩,,,2020-05-22
8251593,serological test;serological testing,血清檢測,,,2020-05-22
8251594,released from hospital isolation (解除住院隔離);released from home quarantine (解除居家隔離),解除隔離,,,2020-05-22
8251595,released from self-isolation,解除(居家)檢疫,,,2020-05-22
8251596,lift quarantine;lifting quarantine,解除檢疫管制,,,2020-05-22
8251597,retest positive (after release from hospital),(出院)復陽,,,2020-05-22
8251598,inconsistent test results,(狀況) 時陰時陽,,,2020-05-22
8251599,three consecutive negative tests,三次採檢陰性 (三採陰),,,2020-05-22
8251600,inconclusive test result,(採檢) 介於陰陽之間 ,,,2020-05-22
8251601,abnormal sense of smell and taste,味/嗅覺異常 ,,,2020-05-22
8251602,loss of smell and taste,味/嗅覺喪失,,,2020-05-22
8251603,identify potential contacts;identified potential contacts,匡列接觸者 ,,,2020-05-22
8251604,nucleic acid testing (NAT),核酸檢測,,,2020-05-22
8251605,antibody testing,抗體檢測,,,2020-05-22
8251606,antigen testing,抗原免疫檢測,,,2020-05-22
8251607,citizen evacuation flight,撤僑專機,,,2020-05-22
8251608,revitalizing domestic tourism and ensuring worry-free travel,重振國旅、安心旅遊,,,2020-05-22
8251609,pandemic-safe travel,防疫旅遊,,,2020-05-22
8251610,fam trip (familiarization trip),(旅遊) 踩線團,,,2020-05-22
8251611,semi-charter flight,類包機,,,2020-05-22
8251612,new pandemic-safe life,防疫新生活,,,2020-05-22
14350619,backdated cases,校正回歸,,,2021-06-23
14350620,immunobridging,免疫橋接,,,2021-06-23
17902460,crowding and flow control measures;crowding reduction and flow control measures,分流措施,,,2022-07-15
17902461,staggered working times,分流上班,,,2022-07-15
17902462,leftover vaccine doses,殘劑,,,2022-07-15
17902463,triage and isolation,分流措施(醫院專用),,,2022-07-15
17902464,triage,分診 /檢傷分類,,,2022-07-15
17902465,"hospital (patient, staff, and caregiver) segregation and flow control measures",(醫院)分艙分流,,,2022-07-15
17902467,flexible work times; flextime,彈性上班時間,,,2022-07-15
17902468,working from distributed (office) sites,異地辦公,,,2022-07-15
17902469,working from home (WFH),居家上班,,,2022-07-15
17902470,split operation; split working,分組執勤,,,2022-07-15
17902471,video conference; video conferencing,視訊會議,,,2022-07-15
17902472,(SMS) real-name registration system,實聯制,,,2022-07-15
17902473,level three COVID-19 alert; level three pandemic alert,疫情警戒第三級,,,2022-07-15
17902474,cold chain,冷鏈,,,2022-07-15
17902475,snap lockdown,迅速封鎖,,,2022-07-15
17902476,"Our islands, one destiny",同島一命,,,2022-07-15
17902477,virus variant,變異病毒,,,2022-07-15
17902478,viral mutation,病毒變異,,,2022-07-15
17902479,face shield,臉罩(防護面罩),,,2022-07-15
17902480,zero COVID plan;zero Covid plan;zero-COVID strategy (UK); Covid-zero plan (Australia),清零計劃,,,2022-07-15
17902481,cognitive warfare,認知作戰,,,2022-07-15
17902482,news avoidance,新聞規避,,,2022-07-15
17902483,The United States Innovation and Competition Act (USICA),美國創新與競爭法,,,2022-07-15
17902484,annual power plant generator maintenance,機組歲修,,,2022-07-15
17902485,Preferred Resources Pilot (PRP),優先資源先導計畫,,,2022-07-15
17902486,demand response,需量反應,,,2022-07-15
17902487,energy storage,儲能,,,2022-07-15
17902488,distributed renewable energy,分散式再生能源,,,2022-07-15
17902489,easing of the lockdown (restrictions);partial lifting of the lockdown (restrictions),微解封,,,2022-07-15
17902490,heat dome,熱罩,,,2022-07-15
17902491,drug repositioning; drug repurposing,舊藥新用,,,2022-07-15
17902492,COVID health pass,新冠病毒健康通行證,,,2022-07-15
17902493,digital (COVID) vaccine pass,疫苗數位證明,,,2022-07-15
17902494,vaccine passport,疫苗護照,,,2022-07-15
17902495,EU Digital COVID Certificate (DCC),歐盟新冠疫苗接種證明,,,2022-07-15
17902496,gig economy,零工經濟,,,2022-07-15
17902497,informal employment,非正式就業,,,2022-07-15
17902498,strategic ambiguity,戰略模糊,,,2022-07-15
17902499,strategic clarity,戰略清晰,,,2022-07-15
17902500,positron emission tomography (PET),正子斷層造影,,,2022-07-15
