ID,英文名稱,中文名稱,圖片,機關名稱中文,機關名稱英譯,一級單位名稱中文,一級單位名稱英譯,備註,更新日期
1499089,Disease Prevention Section,防疫股,,花蓮縣動物防疫所,"Animal Disease Control Center, Hualien County",,,,2012-11-26
1499090,Planning Section,綜合規劃組,,家庭暴力暨性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,南市,,,2012-11-26
1499091,Protection and Support Section,保護扶助組,,家庭暴力暨性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,南市,,,2012-11-26
1499092,Violence Prevention Section,暴力防治組,,家庭暴力暨性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,南市,,,2012-11-26
1499093,Medical Services Section,醫療服務組,,家庭暴力暨性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,南市,,,2012-11-26
1499094,Education and Counseling Section,教育輔導組,,家庭暴力暨性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,南市,,,2012-11-26
1499095,Business Section,業務組,,台南市松柏育樂中心,Tainan Senior Citizens' Recreation Center,南市,,,2012-11-26
1499096,Cleaning Section,環保組,,台南市松柏育樂中心,Tainan Senior Citizens' Recreation Center,南市,,,2012-11-26
1499097,General Affairs Section,總務組,,台南市松柏育樂中心,Tainan Senior Citizens' Recreation Center,南市,,,2012-11-26
1499098,Social Services Section,社會服務組,,台南市松柏育樂中心,Tainan Senior Citizens' Recreation Center,南市,,,2012-11-26
1499099,Protection and Care Section,老人保護組,,台南市松柏育樂中心,Tainan Senior Citizens' Recreation Center,南市,,,2012-11-26
1499100,Business Section,業務組,,勞工育樂中心,Labor Recreation Center,南,,,2012-11-26
1499101,General Affairs Section,總務組,,勞工育樂中心,Labor Recreation Center,南,,,2012-11-26
1499102,Activity Section,活動組,,勞工育樂中心,Labor Recreation Center,南,,,2012-11-26
1499103,Custodial Section,清潔組,,勞工育樂中心,Labor Recreation Center,南,,,2012-11-26
1499104,General Affairs Section,行政課,,___縣(市)立藝術中心,Tainan Municipal Cultural Center,南市,,,2012-11-26
1499105,Performing Arts Section,表演藝術課,,___縣(市)立藝術中心,Tainan Municipal Cultural Center,南市,,,2012-11-26
1499106,Arts and Literature Promotion Sectiom,藝文推廣課,,___縣(市)立藝術中心,Tainan Municipal Cultural Center,南市,,,2012-11-26
1499107,Visual Arts Section,視覺藝術課,,___縣(市)立藝術中心,Tainan Municipal Cultural Center,南市,,,2012-11-26
1499108,Information Management Office,資訊室,,臺中市立港區藝術中心,Taichung City Harbor Art Center,,,,2012-11-26
1499109,General Affairs Section,總務組,,___縣(市)立圖書館,__ County (Municipal) Library,南市,,,2012-11-26
1499110,Circulation Section,閱覽組,,___縣(市)立圖書館,__ County (Municipal) Library,南市,,,2012-11-26
1499111,Acquisition and Cataloging Section,採編組,,___縣(市)立圖書館,__ County (Municipal) Library,南市,,,2012-11-26
1499112,Extension Section,推廣組,,___縣(市)立圖書館,__ County (Municipal) Library,南市,,,2012-11-26
1499113,Eastern District Branch Library,東區分館,,台南市立圖書館,Tainan Municipal Library,南市,,,2012-11-26
1499114,Southern District Branch Library,南區分館,,台南市立圖書館,Tainan Municipal Library,南市,,,2012-11-26
1499115,Central District Branch Library,中區分館,,台南市立圖書館,Tainan Municipal Library,南市,,,2012-11-26
1499116,Annan District Branch Library,安南分館,,台南市立圖書館,Tainan Municipal Library,南市,,,2012-11-26
1499117,Land Survey Section,測量課,,___縣(市) ___地政事務所,"___ Land Office, ___ County (City)",南市東,,,2012-11-26
1499118,Land Registration Section,登記課,,___縣(市) ___地政事務所,"___ Land Office, ___ County (City)",南市,,,2012-11-26
1499119,Information Management Section,資訊課,,___縣(市) ___地政事務所,"___ Land Office, ___ County (City)",南市,,,2012-11-26
1499120,General Affairs Section,總務課,,___縣(市) ___地政事務所,"___ Land Office, ___ County (City)",南市,,,2012-11-26
1499121,Educational Affairs Section,教務處,,___縣(市)立___國民中學,___ Municipal Junior High School,南市,,,2012-11-26
1499122,Student Affairs Section,訓導處,,___縣(市)立___國民中學,___ Municipal Junior High School,南市,,,2012-11-26
1499123,General Affairs Section,總務處,,___縣(市)立___國民中學,___ Municipal Junior High School,南市,,,2012-11-26
1499124,Counseling Office,輔導室,,___縣(市)立___國民中學,___ Municipal Junior High School,南市,,,2012-11-26
1499125,Personnel,人事室,,___縣(市)立___國民中學,___ Municipal Junior High School,南市,,,2012-11-26
1499126,Accounting  Office,會計室,,___縣(市)立___國民中學,___ Municipal Junior High School,南市,,,2012-11-26
1499127,Educational Affairs Section,教務處,,___縣(市)立___國民小學,___ Municipal Elementary School,南市,,,2012-11-26
1499128,Student Affairs Section,訓導處,,___縣(市)立___國民小學,___ Municipal Elementary School,南市,,,2012-11-26
1499129,General Affairs Section,總務處,,___縣(市)立___國民小學,___ Municipal Elementary School,南市,,,2012-11-26
1499130,Counseling Office,輔導室,,___縣(市)立___國民小學,___ Municipal Elementary School,南市,,,2012-11-26
1499131,Counseling Section,輔導處,,___縣(市)立___國民小學,___ Municipal Elementary School,南市,,,2012-11-26
1499132,Educational Affairs Section,學務處,,___縣(市)立___國民小學,___ Municipal Elementary School,南市,,,2012-11-26
1499133,Personnel,人事室,,___縣(市)立___國民小學,___ Municipal Elementary School,南市,,,2012-11-26
1499134,Accounting  Office,會計室,,___縣(市)立___國民小學,___ Municipal Elementary School,南市,,,2012-11-26
1499135,Educational Affairs Section,教務組,,___縣(市)立幼稚園,___ Municipal Kindergarten,南市,,,2012-11-26
1499136,General Affairs Section,總務組,,___縣(市)立幼稚園,___ Municipal Kindergarten,南市,,,2012-11-26
1499137,Childcare Section,保育組,,___縣(市)立幼稚園,___ Municipal Kindergarten,南市,,,2012-11-26
1499138,General Affairs Section,行政組,,___縣(市)立托兒所,___ Municipal Nursery,南市,,,2012-11-26
1499139,Childcare Section,保育組,,___縣(市)立托兒所,___ Municipal Nursery,南市,,,2012-11-26
1499140,Childcare Section,保育組,,___縣(市)立托兒所,___ County Nursery,東,,,2012-11-26
1499141,General Affairs Section,行政組,,___縣(市)立托兒所,___ County Nursery,東,,,2012-11-26
1499142,Civil Affairs Section,民政課,,___市___區公所,"___ District Office, ___ City",南市,,,2012-11-26
1499143,Military Service Section,役政課,,___市___區公所,"___ District Office, ___ City",南市,,,2012-11-26
1499144,Economic Development Section,經建課,,___市___區公所,"___ District Office, ___ City",南市,,,2012-11-26
1499145,Social Affairs Section,社政課,,___市___區公所,"___ District Office, ___ City",南市,,,2012-11-26
1499146,Accounting Office,會計室,,___市___區公所,"___ District Office, ___ City",南市,,,2012-11-26
1499147,Personnel Office,人事室,,___市___區公所,"___ District Office, ___ City",南市,,,2012-11-26
1499148,Social Development Section,社建課,,嘉義市西區區公所,"West District Office, Chiayi City",,,,2012-11-26
1499149,Social Development Section,社建課,,嘉義市東區區公所,"East District Office, Chiayi City",,,,2012-11-26
1499150,Personnel Office,人事室,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499151,Personnel Officer,人事管理員,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499152,Public Works Section,工務課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499153,Culture and Education Section,文教課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499154,Accounting and Statistics Office,主計室,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499155,Accounting and Statistics Officer,主計員,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499156,Civil Affairs Section,民政課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499157,General Affairs Office,行政室,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499158,Line Units,業務單位,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",沙鹿,,,2012-11-26
1499159,Staff Units,輔助單位,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",沙鹿,,,2012-11-26
1499160,Affiliated Units,附屬單位,,"___縣___鄉(鎮,市)公所","___ Township(Town,Borough)Office, ___ County",沙鹿,,,2012-11-26
1499161,Farmland Rental Committee,租佃委員會,,"___縣___鄉(鎮,市)公所","___ Township(Town,Borough)Office, ___ County",沙鹿,,,2012-11-26
1499162,Community Development Committee,社區發展委員會,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",沙鹿,,,2012-11-26
1499163,Social Services Section,社會服務課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499164,Social and Military Services Section,社會暨兵役課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499165,Social and Indigenous Affairs Section,社會暨原住民行政課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499166,Social and Indigenous Affairs Section,社會暨原住民事務課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499167,Social Affairs Section,社會課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499168,Construction Section,建設課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499169,Civil Service Ethics Office,政風室,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499170,Indigenous Affairs Section,原住民行政課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499171,Finance Section,財政課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499172,Finance and Economics Section,財經課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499173,Economic Development Section,經建課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499174,Agriculture and Economic Development Section,農經課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",,,,2012-11-26
1499175,Agriculture and Tourism Section,農業暨觀光課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499176,Agriculture Section,農業課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499177,Agricultural Tourism Section,農業觀光課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499178,Tourism and Recreation Section,觀光旅遊課,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",沙鹿,,,2012-11-26
1499179,"___ Township(Town,Borough) Nursery","___鄉(鎮,市)立托兒所",,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499180,"___ Township  (Town,Borough)  Library","___鄉(鎮,市)立圖書館",,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499181,First Public Market,第一公有零售市場,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499182,Public Market,公有零售市場,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499183,Public Market Management Office,公有零售市場管理所,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",,,,2012-11-26
1499184,Park Management Office,公園管理所,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499185,Tourism Service Center,觀光服務所,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",,,,2012-11-26
1499186,Cleaning Unit,清潔隊,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",東,,,2012-11-26
1499187,Mediation Committee,調解委員會,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",沙鹿,,,2012-11-26
1499188,Village Office,村聯合辦公處,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",,,,2012-11-26
1499189,Village,村,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",,,,2012-11-26
1499190,Village,里,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",,,,2012-11-26
1499191,Haiduan Township Bunun Cultural Exhibition Hall,海端鄉立布農文物館,,臺東縣海端鄉公所,"Haiduan Township Office, Taitung County",,,,2012-11-26
1499192,Xiulin Township ___ Village Office,秀林鄉___村辦公處,,花蓮縣秀林鄉公所,"Sioulin Township Office, Hualien County",,,,2012-11-26
1499193,Xiulin Township Heping Nursery,秀林鄉立和平村托兒所,,花蓮縣秀林鄉公所,"Xiulin Township Office, Hualien County",,,,2012-11-26
1499194,Xiulin Township Heping Community Activity Center,秀林鄉和平村社區活動中心,,花蓮縣秀林鄉公所,"Xiulin Township Office, Hualien County",,,,2012-11-26
1499195,Jingmei Recreation Center,景美村多功能集會所,,花蓮縣秀林鄉公所,"Xiulin Township Office, Hualien County",,,,2012-11-26
1499196,Jiamin (Indigenous Peoples) Activity Center,佳民村原住民多功能活動中心,,花蓮縣秀林鄉公所,"Xiulin Township Office, Hualien County",,,,2012-11-26
1499197,___ (Indigenous Peoples) Activity Center,米亞丸原住民多功能活動中心,,花蓮縣秀林鄉公所,"Xiulin Township Office, Hualien County",,,,2012-11-26
1499198,1.Lounge 2.Service Center 3.Reception Room,民眾接待室,,花蓮縣秀林鄉公所,"Xiulin Township Office, Hualien County",,,,2012-11-26
1499199,Senior Citizens Activity Center ,崇德老人館,,花蓮縣秀林鄉公所,"Xiulin Township Office, Hualien County",,,,2012-11-26
1499200,Council Room,議事廳,,"___縣___鄉(鎮,市)代表會"," ___ Township (Town,Borough) Council, ___ County",,,,2012-11-26
1499201,Review Room,審查室,,"___縣___鄉(鎮,市)代表會"," ___ Township (Town,Borough) Council, ___ County",東,,,2012-11-26
1499202,"Public Utilities Office, ___ Township (Town,Borough)",___鄉、鎮、市公用事業管理所,,鄉、鎮、市公所,"Township (Town,Borough) Office",,,,2012-11-26
1499203,Taoyuan County Eastern Region Family Social Welfare Center,桃園縣東區社會福利家庭服務中心,,桃園縣東區社會福利家庭服務中心,Taoyuan County Eastern Region Family Social Welfare Center,,,,2012-12-14
1499204,Taoyuan County Western Region Family Social Welfare Center,桃園縣西區社會福利家庭服務中心,,桃園縣西區社會福利家庭服務中心,Taoyuan County Western Region Family Social Welfare Center,,,,2012-12-14
1499205,Taoyuan County Southern Region Family Social Welfare Center,桃園縣南區社會福利家庭服務中心,,桃園縣南區社會福利家庭服務中心,Taoyuan County Southern Region Family Social Welfare Center,,,,2012-12-14
1499206,Taoyuan County Northern Region Family Social Welfare Center,桃園縣北區社會福利家庭服務中心,,桃園縣北區社會福利家庭服務中心,Taoyuan County Northern Region Family Social Welfare Center,,,,2012-12-14
1499207,Taoyuan County Mountain Region Family Social Welfare Center,桃園縣山區社會福利家庭服務中心,,桃園縣山區社會福利家庭服務中心,Taoyuan County Mountain Region Family Social Welfare Center,,,,2012-12-14
1499208,Taoyuan County Coastal Region Family Social Welfare Center,桃園縣海區社會福利家庭服務中心,,桃園縣海區社會福利家庭服務中心,Taoyuan County Coastal Region Family Social Welfare Center,,,,2012-12-14
1499209,Food and Drug Administration Section,食品藥物管理課,,食品藥物管理課,Food and Drug Administration Section,,,,2012-12-14
1499210,Artists' Library ,美術家資料館,,臺中市立港區藝術中心,Taichung City Harbor Art Center,,,,2012-11-26
1499211,Inspectors’ Office,督察室,,警察局,Police Bureau,,,,2012-11-26
1499212,1 Technical Superintendent’s 具工程專業技術,技監室,,直轄市政府,____ City Government,,,,2012-11-26
1499213,Inspector’s Office,督學室,,教育局,Education Bureau,,,,2012-11-26
