ID,英文名稱,中文名稱,圖片,作曲家,更新日期
3193187,Guglielmo Tell(Guillaume Tell),威廉泰爾,,"Rossini, Gioacchino",2017-07-28
3193188,Il Barbiere di Siviglia,塞維里亞的理髮師,,"Rossini, Gioacchino",2017-07-28
3193189,Il Turco in Italia,義大利的土耳其人,,"Rossini, Gioacchino",2017-07-28
3193190,La Cenerentola,灰姑娘,,"Rossini, Gioacchino",2017-07-28
3193191,L'Italiana in Algeri,阿爾及利亞的義大利女郎,,"Rossini, Gioacchino",2017-07-28
3193192,Semiramide,賽米拉米德,,"Rossini, Gioacchino",2017-07-28
3193193,Demetrio e Polibio,德美特利歐和波利畢歐,,"Rossini, Gioacchino",2017-07-28
3193194,La cambiale di matrimonio,交換的婚姻,,"Rossini, Gioacchino",2017-07-28
3193195,L'equivoco stravagante,奇異的誤解,,"Rossini, Gioacchino",2017-07-28
3193196,L'inganno felice,幸福的欺騙,,"Rossini, Gioacchino",2017-07-28
3193197,"Ciro in Babilonia, ossia La caduta di Baldassare",在巴比倫的奇羅，或巴德薩雷的毀滅,,"Rossini, Gioacchino",2017-07-28
3193198,La scala di seta,絹絲樓梯,,"Rossini, Gioacchino",2017-07-28
3193199,La pietra del paragone,試金石,,"Rossini, Gioacchino",2017-07-28
3193200,"L'occasione fa il ladro, ossia Il cambio della valigia",偷天換日,,"Rossini, Gioacchino",2017-07-28
3193201,"Il signor Bruschino, ossia Il figlio per azzardo",布魯斯奇諾先生，或冒充之子,,"Rossini, Gioacchino",2017-07-28
3193202,Tancredi,唐克雷第,,"Rossini, Gioacchino",2017-07-28
3193203,Aureliano in Palmira,在帕米拉的奧雷里亞諾,,"Rossini, Gioacchino",2017-07-28
3193204,Torvaldo e Dorliska,托瓦多和多莉絲卡,,"Rossini, Gioacchino",2017-07-28
3193205,"La gazzetta, ossia Il matrimonio per concorso",徵婚啟事，或競爭的婚姻,,"Rossini, Gioacchino",2017-07-28
3193206,"Otello, ossia Il Moro di Venezia",奧泰羅,,"Rossini, Gioacchino",2017-07-28
3193207,La gazza ladra,鵲賊,,"Rossini, Gioacchino",2017-07-28
3193208,Armida,阿米達,,"Rossini, Gioacchino",2017-07-28
3193209,"Adelaide di Borgogna, ossia Ottone, re d'Italia",波哥尼亞的阿德萊德，或義大利國王歐托內,,"Rossini, Gioacchino",2017-07-28
3193210,Mosè in Egitto,在埃及的摩西,,"Rossini, Gioacchino",2017-07-28
3193211,"Adina, ossia Il califfo di Bagdad",阿蒂娜，或巴格達的王,,"Rossini, Gioacchino",2017-07-28
3193212,Ricciardo e Zoraide,李奇阿多和佐萊伊德,,"Rossini, Gioacchino",2017-07-28
3193213,Ermione,艾繆內,,"Rossini, Gioacchino",2017-07-28
3193214,Eduardo e Cristina,愛德華和克莉絲提娜,,"Rossini, Gioacchino",2017-07-28
3193215,La donna del lago,湖上女郎,,"Rossini, Gioacchino",2017-07-28
3193216,"Bianca e Falliero, ossia Il consiglio dei tre",比安卡和法里耶羅，或三個忠告,,"Rossini, Gioacchino",2017-07-28
3193217,Maometto II,毛梅多二世,,"Rossini, Gioacchino",2017-07-28
3193218,Zelmira,柴米拉,,"Rossini, Gioacchino",2017-07-28
3193219,"Il viaggio a Reims, ossia L'albergo del Giglio d'Oro",萊姆斯之旅，或吉里歐的客棧,,"Rossini, Gioacchino",2017-07-28
3193220,L'assedio di Corinto (Le siège de Corinthe),哥林多被圍,,"Rossini, Gioacchino",2017-07-28
3193221,"Moïse et Pharaon, ou Le passage de la mer rouge",摩西和法老，或摩西過紅海,,"Rossini, Gioacchino",2017-07-28
3193222,Le comte Ory,奧里伯爵,,"Rossini, Gioacchino",2017-07-28
3193223,Samson et Dalila,參孫和達莉拉,,"Saint-Saëns, Camille",2017-07-28
3193224,Erwartung,期待,,"Schönberg, Arnold",2017-07-28
3193225,Moses und Aron,摩西與亞倫,,"Schönberg, Arnold",2017-07-28
3193226,Lady Macbeth Mtsenskogo Uyezda,慕真斯克郡的馬克白夫人,,"Shostakovitch, Dmitri",2017-07-28
3193227,Nose,鼻子,,"Shostakovitch, Dmitri",2017-07-28
3193228,Prodaná nevěsta,被出賣的新娘,,"Smetana, Bedrich",2017-07-28
3193229,Der Zigeunerbaron,吉普賽男爵,,"Strauss, Johann",2017-07-28
3193230,Die Fledermaus,蝙蝠,,"Strauss, Johann",2017-07-28
3193231,Wiener Blut,維也納氣質,,"Strauss, Johann",2017-07-28
3193232,Oedipus Rex,伊底帕斯王,,"Stravinsky, Igor",2017-07-28
3193233,The Rake's Progress,浪子的歷程,,"Stravinsky, Igor",2017-07-28
3193234,Boccaccio,薄伽丘,,"Suppe, Franz von",2017-07-28
3193235,Die schöne Galatea,美麗的嘉拉蒂雅,,"Suppe, Franz von",2017-07-28
3193236,Evgeny Onegin,尤金˙奧涅金,,"Tchaikovsky, Piotr Ilytch",2017-07-28
3193237,Jeanne d'Arc,聖女貞德,,"Tchaikovsky, Piotr Ilytch",2017-07-28
3193238,Pikovaya Dama,黑桃皇后,,"Tchaikovsky, Piotr Ilytch",2017-07-28
3193239,Pimpinone,平皮諾內,,"Telemann, Georg Philipp",2017-07-28
3193240,Mignon,迷孃,,"Thomas, Ambroise",2017-07-28
3193241,Attila,阿提拉,,"Verdi, Giuseppe",2017-07-28
3193242,Ernani,艾納尼,,"Verdi, Giuseppe",2017-07-28
3193243,I Lombardi alla prima Crociata,第一次十字軍東征的隆巴第人,,"Verdi, Giuseppe",2017-07-28
3193244,I Masnadieri,強盜,,"Verdi, Giuseppe",2017-07-28
3193245,Macbeth,馬克白,,"Verdi, Giuseppe",2017-07-28
3193246,Nabucco,納布果,,"Verdi, Giuseppe",2017-07-28
3193247,Un Giorno di Regno,一日國王,,"Verdi, Giuseppe",2017-07-28
3193248,Aida,阿伊達,,"Verdi, Giuseppe",2017-07-28
3193249,Don Carlo,唐˙卡羅,,"Verdi, Giuseppe",2017-07-28
3193250,Falstaff,法斯塔夫,,"Verdi, Giuseppe",2017-07-28
3193251,I Vespri Siciliani,西西里晚禱,,"Verdi, Giuseppe",2017-07-28
3193252,Il Trovatore,遊唱詩人,,"Verdi, Giuseppe",2017-07-28
3193253,La Forza del Destino,命運之力,,"Verdi, Giuseppe",2017-07-28
3193254,La Traviata,茶花女,,"Verdi, Giuseppe",2017-07-28
3193255,Luisa Miller,露易莎˙米勒,,"Verdi, Giuseppe",2017-07-28
3193256,Otello,奧泰羅,,"Verdi, Giuseppe",2017-07-28
3193257,Rigoletto,弄臣,,"Verdi, Giuseppe",2017-07-28
3193258,Simon Boccanegra,西蒙˙玻卡內格拉,,"Verdi, Giuseppe",2017-07-28
3193259,Stiffelio,斯第費里歐,,"Verdi, Giuseppe",2017-07-28
3193260,Un Ballo in Maschera,假面舞會,,"Verdi, Giuseppe",2017-07-28
3193261,Oberto,奧伯多,,"Verdi, Giuseppe",2017-07-28
3193262,I due Foscari,父子情深,,"Verdi, Giuseppe",2017-07-28
3193263,Giovanna d'Arco,聖女貞德,,"Verdi, Giuseppe",2017-07-28
3193264,Alzira,阿奇拉,,"Verdi, Giuseppe",2017-07-28
3193265,Jérusalem,耶路薩冷,,"Verdi, Giuseppe",2017-07-28
3193266,Il corsaro,海盜,,"Verdi, Giuseppe",2017-07-28
3193267,La battaglia di Legnano,雷尼亞諾戰役,,"Verdi, Giuseppe",2017-07-28
3193268,Les vêpres siciliennes,西西里晚禱,,"Verdi, Giuseppe",2017-07-28
3193269,Aroldo (A major revision of Stiffelio),阿洛多,,"Verdi, Giuseppe",2017-07-28
3193270,Das Rheingold,萊茵的黃金,,"Wagner, Richard",2017-07-28
3193271,Der fliegende Holländer,漂泊的荷蘭人,,"Wagner, Richard",2017-07-28
3193272,Der Ring des Niebelungen,尼貝龍指環,,"Wagner, Richard",2017-07-28
3193273,Die Feen,仙女,,"Wagner, Richard",2017-07-28
3193274,Die Meistersinger von Nürnberg,紐倫堡的名歌手,,"Wagner, Richard",2017-07-28
3193275,Die Walküre,女武神,,"Wagner, Richard",2017-07-28
3193276,Götterdämmerung,諸神的黃昏,,"Wagner, Richard",2017-07-28
3193277,Lohengrin,羅恩格林,,"Wagner, Richard",2017-07-28
3193278,Parsifal,帕西法爾,,"Wagner, Richard",2017-07-28
3193279,Rienzi,黎恩濟,,"Wagner, Richard",2017-07-28
3193280,Siegfried,齊格菲,,"Wagner, Richard",2017-07-28
3193281,Tannhäuser,唐懷瑟,,"Wagner, Richard",2017-07-28
3193282,Tristan und Isolde,崔斯坦與伊索德,,"Wagner, Richard",2017-07-28
3193283,Der Freischütz,魔彈射手,,"Weber, Carl Maria von",2017-07-28
3193284,Euryanthe,歐麗安特,,"Weber, Carl Maria von",2017-07-28
3193285,Oberon,歐伯龍,,"Weber, Carl Maria von",2017-07-28
3193286,Die Macht der Liebe und des Weins,愛情與美酒,,"Weber, Carl Maria von",2017-07-28
3193287,Das (stumme) Waldmädchen,森林少女,,"Weber, Carl Maria von",2017-07-28
3193288,Rübezahl,森林精靈,,"Weber, Carl Maria von",2017-07-28
3193289,Peter Schmoll und seine Nachbarn,彼得舒摩和他的鄰居,,"Weber, Carl Maria von",2017-07-28
3193290,Silvana,席瓦娜,,"Weber, Carl Maria von",2017-07-28
3193291,Indigo und die vierzig Räuber,因第戈與四十大盜,,"Strauss, Johann",2017-07-28
3193292,Der Karneval in Rom,羅馬狂歡節,,"Strauss, Johann",2017-07-28
3193293,Cagliostro in Wien,卡里歐斯特在維也納,,"Strauss, Johann",2017-07-28
3193294,Prinz Methusalem,梅杜撒冷王子,,"Strauss, Johann",2017-07-28
3193295,Blindekuh,捉迷藏,,"Strauss, Johann",2017-07-28
3193296,Das Spitzentuch der Königin,皇后的蕾絲披肩,,"Strauss, Johann",2017-07-28
3193297,Der lustige Krieg,歡樂戰爭,,"Strauss, Johann",2017-07-28
3193298,Lo frate 'nnamorato (The brother in love）,兄弟之愛,,"Pergolesi,  Giovanni Battista",2017-07-28
3193299,The Fairy-Queen,仙后,,"Purcell,  Henry",2017-07-28
3193300,The Indian Queen,印度皇后,,"Purcell,  Henry",2017-07-28
3193301,King Arthur,亞瑟王,,"Purcell,  Henry",2017-07-28
3193302,Hamlet,哈姆雷特,,"Thomas,  Ambroise",2017-07-28
3193303,Hippolyte et Aricie,伊伯利特與阿莉西,,"Rameau,  Jean-Philippe",2017-07-28
3193304,Castor et Pollux,卡斯托與波路克斯,,"Rameau,  Jean-Philippe",2017-07-28
3193305,Dardanus,達爾達奴斯,,"Rameau,  Jean-Philippe",2017-07-28
3193306,Zoroastre,索羅阿斯特,,"Rameau,  Jean-Philippe",2017-07-28
3193307,Les Boréades,波雷亞的子民,,"Rameau,  Jean-Philippe",2017-07-28
3193308,Platée,普拉蒂耶（天賜良緣）,,"Rameau,  Jean-Philippe",2017-07-28
3193309,Les Paladins,遊俠騎士,,"Rameau,  Jean-Philippe",2017-07-28
