ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
19462030,substitute sensor model,替代式感測器模式,,測量組,,2022-07-15
19462031,substitution,替代；替選,,營管組,,2022-07-15
19462032,substrate,基材,,,,2022-07-15
19462033,substructure,下部結構,,,,2022-07-15
19462034,sub-structure,子結構；次結構,,,,2022-07-15
19462035,sub-subcontractor,分包商之下包商,,營管組,,2022-07-15
19462036,subsurface drainage,地表下排水,,,,2022-07-15
19462037,subsurface erosion,地表下沖蝕,,,,2022-07-15
19462038,subsurface filter,地表下濾水場,,,,2022-07-15
19462039,subsurface filtration,地表下過濾,,,,2022-07-15
19462040,subsurface flow,地表下水流,,,,2022-07-15
19462041,subsurface ice,地表下冰,,,,2022-07-15
19462042,subsurface investigation,地下調查,,營管組,,2022-07-15
19462043,sub-surface investigation,地下調查；地質調查,,營管組,,2022-07-15
19462044,subsurface storm flow,地表下暴雨水流,,,,2022-07-15
19462046,subsurface wastewater disposal,地下廢水處置,,,,2022-07-15
19462047,subterranean stream,伏流,,,,2022-07-15
19462048,subterranean water,地下水；底土水,,,,2022-07-15
19462049,suburb,市郊；郊區,,都計組,,2022-07-15
19462050,suburban area,郊區,,,,2022-07-15
19462051,suburban park,郊外公園,,,,2022-07-15
19462052,suburban railway,郊區鐵路,,,,2022-07-15
19462053,subway control instrumentation,地鐵控制設施,,營管組,,2022-07-15
19462054,successive failure,繼續性破壞,,,,2022-07-15
19462055,successor activity,後續作業,,營管組,,2022-07-15
19462056,suction dredger,吸式挖泥船,,,,2022-07-15
19462057,suction height,吸水高度,,,,2022-07-15
19462058,suction pit,吸水坑,,,,2022-07-15
19462059,suction zone,吸氣區,,建築_環控,,2022-07-15
19462060,sudden drawdown,急洩降,,,,2022-07-15
19462061,sufferance wharf,保稅碼頭,,,,2022-07-15
19462062,sulfate attack,硫酸鹽侵蝕,,,,2022-07-15
19462063,sulfate ion,硫酸根離子,,,,2022-07-15
19462064,sulfate reducing bacteria,硫酸鹽還原菌,,,,2022-07-15
19462065,sulfate resistance,抗硫酸鹽能力,,,,2022-07-15
19462066,sulfate-reducing bacteria,硫酸鹽還原菌,,環工組,,2022-07-15
19462067,sulfate-resistant cement,抗硫酸鹽水泥,,,,2022-07-15
19462068,sulfoaluminate cement,硫鋁酸鹽水泥{膨脹型水泥},,,,2022-07-15
19462069,sulfur bacteria,硫細菌；硫菌,,,,2022-07-15
19462070,sulfur cycle,硫循環,,,,2022-07-15
19462071,sulfur spring,含硫泉水；硫泉,,,,2022-07-15
19462072,sulfur-reducing bacteria,脫硫菌,,環工組,,2022-07-15
19462073,sulphate ion,硫酸根離子,,,,2022-07-15
19462074,sulphate reducing bacteria,硫酸鹽還原菌,,,,2022-07-15
19462075,sulphur spring,硫泉,,,,2022-07-15
19462076,sulphurous spring,硫磺泉,,,,2022-07-15
19462077,summary activity,綱要作業,,營管組,,2022-07-15
19462078,summary of specification,規範概要,,營管組,,2022-07-15
19462079,summary of work,工作概要,,營管組,,2022-07-15
19462080,summation graph,總合圖,,,,2022-07-15
19462081,summer momsoon,夏季季候風,,,,2022-07-15
19462082,summer solstice,夏至,,測量組,,2022-07-15
19462083,sun brick,日曬磚,,營管組,,2022-07-15
19462084,sun shielding sheet,遮陽板,,營管組,,2022-07-15
19462085,sun-dried brick,曬乾磚,,,,2022-07-15
19462086,sunken pan,地皿,,,,2022-07-15
19462087,sunken rock,暗礁,,,,2022-07-15
19462088,sunken ship breakwater,沉船防波堤,,,,2022-07-15
19462089,sunporch,陽光門廊,,建築_環控,,2022-07-15
19462090,sunspace,暖房,,建築_環控,,2022-07-15
19462091,sunspot,太陽黑子,,測量組,,2022-07-15
19462092,sun-synchronous orbit,太陽同步軌道,,測量組,,2022-07-15
19462093,sun-synchronous satellite,太陽同步衛星,,測量組,,2022-07-15
19462094,super conducting wire,超導線,,材料_FRP,,2022-07-15
19462095,super insulating glass,高性能隔熱玻璃,,建築_環控,,2022-07-15
19462096,superannuated ship,逾齡船,,,,2022-07-15
19462097,superblock,超大街廓,,都計組,,2022-07-15
19462098,super-block plan,超大街廓計畫,,,,2022-07-15
19462099,supercritical flow,超臨界流,,,,2022-07-15
19462100,superelevation,超高{鐵路}；超高度{公路},,,,2022-07-15
19462101,superelevation rate,超高率｛公路｝,,,,2022-07-15
19462102,superficial charring,表面炭化法,,,,2022-07-15
19462103,superimposed load,自重外載重,,,,2022-07-15
19462104,super-insulated building,高性能隔熱建築,,建築_環控,,2022-07-15
19462105,superintendent,領班；工頭,,營管組,,2022-07-15
19462106,supernatant,上澄液,,,,2022-07-15
19462107,supernatant liquor,上澄液,,,,2022-07-15
19462108,superpave,超級鋪面,,,,2022-07-15
19462109,superpave gyratory compactor (SGC),超級鋪面旋轉式壓實機,,,,2022-07-15
19462110,superpave mix design,超級鋪面配合設計,,,,2022-07-15
19462111,superpermafrost water,凍土表水；永凍上水,,,,2022-07-15
19462112,superplasticizer,高性能減水劑；強塑劑,,,,2022-07-15
19462113,supersonic speed,超音速,,,,2022-07-15
19462114,supersonic transport,超音速運輸,,,,2022-07-15
19462115,superstructure,上部結構,,,,2022-07-15
19462116,supersulfated cement,高硫[酸鹽]水泥,,,,2022-07-15
19462117,supersulphated cement,高硫水泥,,,,2022-07-15
19462118,supervised classification,監督式分類,,測量組,,2022-07-15
19462119,supervision,監造；監工,,營管組,,2022-07-15
19462120,supervision by a field CM,現場營建管理監督,,營管組,,2022-07-15
19462121,supervision plan,監造計畫,,營管組,,2022-07-15
19462122,superwave flow,超波速水流,,,,2022-07-15
19462123,superwide angle camera,超廣角相機；超廣角攝影機,,測量組,,2022-07-15
19462124,supplement structures rebuilt,附屬構造物重建,,營管組,,2022-07-15
19462125,supplemental description and information,補充說明資料{投標用},,營管組,,2022-07-15
19462126,supplemental watersupply source,輔助水源,,,,2022-07-15
19462128,supplementary cementitious material (SCM),輔助性膠結材料,,,,2022-07-15
19462129,supplementary conditions,補充條款,,營管組,,2022-07-15
19462130,supplementary contour,助曲線,,,,2022-07-15
19462131,supplementary control,圖根控制　,,,,2022-07-15
19462132,supplementary control point,圖根點,,測量組,,2022-07-15
19462133,supplementary half interval contour,間曲線,,,,2022-07-15
19462134,supplementary instructions to bidders,投標補充說明書,,營管組,,2022-07-15
19462135,supplementary power,輔助電力,,,,2022-07-15
19462136,supplementary reinforcement,輔助鋼筋,,,,2022-07-15
19462137,supplier,供應商,,營管組,,2022-07-15
19462138,supply cost,供給成本,,都計組,,2022-07-15
19462139,supply line,給水管線；供水管,,,,2022-07-15
19462140,supply structure,供給結構,,都計組,,2022-07-15
19462141,support,支承,,,,2022-07-15
19462142,support condition,支承條件,,,,2022-07-15
19462143,support movement,支承移動,,,,2022-07-15
19462144,support reaction,支承反力,,,,2022-07-15
19462145,support settlement,支承沉陷,,,,2022-07-15
19462146,support taxiway,支援滑行道,,,,2022-07-15
19462147,supported frame,被支承構架,,,,2022-07-15
19462148,supported joint,托接式接頭,,,,2022-07-15
19462149,supporting area,支承面；支承面積,,,,2022-07-15
19462150,suppressed rectangular weir,束縮矩形堰,,,,2022-07-15
19462151,suprematism,至上主義,,,,2022-07-15
19462152,surcharge load,超載荷重,,,,2022-07-15
19462153,surcharge method,加重法,,,,2022-07-15
19462154,surety,擔保人,,營管組,,2022-07-15
19462155,surf beat,浪擊,,,,2022-07-15
19462156,surface active,表面活性,,,,2022-07-15
19462157,surface activity,表面活性,,,,2022-07-15
19462158,surface air voids,表面空隙,,,,2022-07-15
19462159,surface alignment,地面定線,,,,2022-07-15
19462160,surface area,表面積,,,,2022-07-15
19462161,surface bearing,平面支承,,,,2022-07-15
19462162,surface conductance,表面導熱係數,,建築_環控,,2022-07-15
19462163,surface course,面層,,,,2022-07-15
19462164,surface drag,表面阻力,,,,2022-07-15
19462165,surface eddy,表面渦流,,,,2022-07-15
19462166,surface flow,地面水流,,,,2022-07-15
19462167,surface geologic map,地表地質圖,,,,2022-07-15
19462168,surface grinder,磨面機,,,,2022-07-15
19462169,surface levelling,地面水準測量,,,,2022-07-15
19462170,surface load,表面載重,,,,2022-07-15
19462171,surface moisture,表面水分；表面水氣,,,,2022-07-15
19462172,surface moisture of aggregate,粒料表面含水量,,,,2022-07-15
19462173,surface normal,曲面法線,,測量組,,2022-07-15
19462174,surface of equal parallax,等視差面,,,,2022-07-15
19462175,surface railway,地面鐵路,,,,2022-07-15
19462176,surface resistance,表面阻力,,,,2022-07-15
19462177,surface resistivity,表面電阻率,,材料_FRP,,2022-07-15
19462178,surface retarder,表面緩凝劑,,,,2022-07-15
19462179,surface retention,地面保水,,,,2022-07-15
19462180,surface roughness,表面粗糙度,,,,2022-07-15
19462181,surface soil reservation,表土保存,,營管組,,2022-07-15
19462182,surface spalling,表面剝落,,,,2022-07-15
19462183,surface storage,地面儲水,,,,2022-07-15
19462184,surface temperature,表面溫度,,建築組,,2022-07-15
19462185,surface tension,表面張力,,,,2022-07-15
19462186,surface texture,表面紋理；表面質感,,,,2022-07-15
19462187,surface value,表層價值,,,,2022-07-15
19462188,surface vibration,表面振動,,,,2022-07-15
19462189,surface vibrator,表面振動器,,,,2022-07-15
19462190,surface void,表面空隙,,,,2022-07-15
19462192,surface water,地表水；地面水；表面水,,,,2022-07-15
19462193,surface water hydrology,地表水水文學,,,,2022-07-15
19462194,surface-active agent,表面活性劑,,,,2022-07-15
19462195,surface-dry condition,面乾狀態,,,,2022-07-15
19462196,surfacer,中塗漆；二度底漆,,材料_FRP,,2022-07-15
19462197,surface-to-volume ratio,表面積-體積比,,建築組,,2022-07-15
19462198,surfacing mat,表面氈,,材料_FRP,,2022-07-15
19462199,surfacing of track,軌道整平,,,,2022-07-15
19462200,surfactant,表面活性劑；界面活性劑,,,,2022-07-15
19462201,surfactant agent,表面活性劑,,,,2022-07-15
19462202,surfel,面元,,測量組,,2022-07-15
19462203,surge bin,儲料斗,,,,2022-07-15
19462204,surge pipe,平壓管,,,,2022-07-15
19462205,surge protection device (SPD),突波保護裝置；電湧保護裝置,,營管組,,2022-07-15
19462206,surge relief valve,平壓閥,,,,2022-07-15
19462207,surge suppressor,減壓器,,,,2022-07-15
19462208,surging breaker,洶湧碎破,,,,2022-07-15
19462209,surkhi,煅燒黏土粉{可作為卜作嵐材料},,,,2022-07-15
19462210,surveillance,監視,,營管組,,2022-07-15
19462211,surveillance camera system,監視系統,,,,2022-07-15
19462212,surveillant instrument,監視儀器,,營管組,,2022-07-15
19462213,survey,測量,,測量組,,2022-07-15
19462214,survey control coordinates,測量控制點坐標,,測量組,,2022-07-15
19462215,survey marker,測量標誌,,測量組,,2022-07-15
19462216,survey of damage,損害調查,,,,2022-07-15
19462217,survey point,測點,,,,2022-07-15
19462218,survey ship,測量船,,,,2022-07-15
19462219,survey station,測點；測站,,,,2022-07-15
19462220,survey station marker,測站標記,,,,2022-07-15
19462221,surveyed map,實測圖,,,,2022-07-15
19462222,surveying,測量學,,測量組,,2022-07-15
19462223,surveying marker,測量標誌,,,,2022-07-15
19462224,surveying party,測量隊,,,,2022-07-15
19462225,surveying point description,點之記,,測量組,,2022-07-15
19462226,surveyor,測量員,,測量組,,2022-07-15
19462227,suspended decorative grid,裝飾用懸掛型框格[天花板],,營管組,,2022-07-15
19462228,suspended fender,懸掛式防舷材,,,,2022-07-15
19462229,suspended joint,懸接式接頭,,,,2022-07-15
19462230,suspended line,中斷路線,,,,2022-07-15
19462231,suspended load sampler　,懸浮載採樣器,,環工組,,2022-07-15
19462232,suspended railway,懸吊鐵路,,,,2022-07-15
19462233,suspended scaffolding,懸吊式施工架；懸吊式鷹架,,,,2022-07-15
19462234,suspended sediment,懸浮泥沙；懸浮滓,,,,2022-07-15
19462235,suspended sediment sampler,懸浮滓採樣器；浮淤泥採樣器,,,,2022-07-15
19462237,suspended solid contact reactor,懸浮固體接觸反應槽,,環工組,,2022-07-15
19462238,suspended-load sampler,懸浮載採樣器,,,,2022-07-15
19462239,suspended-solid contact reactor,懸浮固體接觸反應槽,,,,2022-07-15
19462240,suspending wire,懸索；吊索,,,,2022-07-15
19462241,suspension,停工；懸浮液,,,,2022-07-15
19462242,suspension bridge,吊橋,,,,2022-07-15
19462243,suspension dredger,懸式挖泥船；懸式挖泥機,,,,2022-07-15
19462244,suspension mounting,懸吊架設,,,,2022-07-15
19462245,suspension of license,吊扣執照,,,,2022-07-15
19462246,suspension period,吊扣期間,,,,2022-07-15
19462247,suspension rod,懸吊桿,,,,2022-07-15
19462248,suspension system,懸吊系統,,,,2022-07-15
19462249,suspension-truss bridge,桁架吊橋,,,,2022-07-15
19462250,suspensoid,懸膠體,,,,2022-07-15
19462252,sustainability,永續性,,建築組,,2022-07-15
19462253,sustainable community,永續社區,,建築組,,2022-07-15
19462254,sustainable design,永續設計,,建築組,,2022-07-15
19462255,sustainable development,永續發展,,,,2022-07-15
19462256,sustainable practice,永續實踐,,建築組,,2022-07-15
19462257,sustainable site,永續基地,,營管組,,2022-07-15
19462258,sustainable transportation,永續運輸,,,,2022-07-15
19462259,sustained load,持續載重,,,,2022-07-15
19462260,sustained modulus of elasticity,持續載重彈性模數,,,,2022-07-15
19462261,swath width,刈幅；掃描寬度,,測量組,,2022-07-15
19462262,sway,側移,,,,2022-07-15
19462263,sway brace,側向支撐,,,,2022-07-15
19462264,sway bracing,抗搖撐{水平位移支撐},,,,2022-07-15
19462265,sway rod,斜桿,,,,2022-07-15
19462266,sweat rate,出汗率,,建築組,,2022-07-15
19462267,swelling,膨脹,,,,2022-07-15
19462268,swelling ground,回脹地盤,,,,2022-07-15
19462269,swelling pressure,回脹壓力,,,,2022-07-15
19462270,swift,預力鋼線捲,,,,2022-07-15
19462271,swing angle,擺動角度；旋角,,,,2022-07-15
19462272,swing area,調船場,,,,2022-07-15
19462273,swing bolster,搖承材,,,,2022-07-15
19462274,swing bridge,旋開橋,,,,2022-07-15
19462275,swing caisson gate,旋轉沉箱門,,,,2022-07-15
19462276,swing crane,旋轉吊車,,,,2022-07-15
19462277,swing gate,旋轉門,,,,2022-07-15
19462278,swing head,廻旋頭,,,,2022-07-15
19462279,swing nose frog,可動式岔心,,,,2022-07-15
19462280,swing wire,移船索,,,,2022-07-15
19462281,swinging detention dooor,壓力式緩衝門,,營管組,,2022-07-15
19462282,swing-jib crane,全迴轉吊車,,,,2022-07-15
19462283,swirl,渦流,,,,2022-07-15
19462284,swirl finish,漩渦狀鏝飾[面],,,,2022-07-15
19462285,Swiss hammer,瑞士槌；反彈錘,,,,2022-07-15
19462286,switch and lock movement,轉轍鎖定,,,,2022-07-15
19462287,switch angle,岔心角；轍叉角,,,,2022-07-15
19462288,switch indicator,轉轍器標誌,,,,2022-07-15
19462289,switch lever,轉轍器扳手,,,,2022-07-15
19462290,switch locomotive,調車機車,,,,2022-07-15
19462291,switch machine,電動轉轍器,,,,2022-07-15
19462292,switch number,道岔號數,,,,2022-07-15
19462293,switch point rail,轍尖鋼軌,,,,2022-07-15
19462294,switch rail,轉轍軌；道岔尖軌,,,,2022-07-15
19462295,switch rod,轉轍拉桿,,,,2022-07-15
19462296,switch sleeper,岔枕,,,,2022-07-15
19462297,switch stand,轉轍器底座,,,,2022-07-15
19462298,switch-adjuster,轉轍調整桿,,,,2022-07-15
19462299,switch-back station,之字線車站,,,,2022-07-15
19462300,switchboard,開關箱；交換機；轉換器,,營管組,,2022-07-15
19462301,switchgear,開關裝置,,營管組,,2022-07-15
19462302,switching,轉轍,,,,2022-07-15
19462303,switching shunting,溜放調車,,,,2022-07-15
19462304,symbiosis,共生,,,,2022-07-15
19462305,symbolism,象徵主義；象徵性,,,,2022-07-15
19462306,symmetric matrix,對稱矩陣,,,,2022-07-15
19462307,symmetric span,對稱跨,,,,2022-07-15
19462308,synchronous system,同亮式,,,,2022-07-15
19462309,synclinal stratum,向斜層,,,,2022-07-15
19462310,syncline,向斜,,,,2022-07-15
19462311,syneresis,脫水收縮,,,,2022-07-15
19462312,synergism,加乘作用；增效作用；協同作業{營管},,,,2022-07-15
19462313,syngenite,鉀石膏,,,,2022-07-15
19462314,synodic month,朔望月；陰曆月份,,環工組,,2022-07-15
19462315,synoptic meteorology,[綜觀]天氣學,,,,2022-07-15
19462316,synoptic weather chart,[綜觀]天氣圖,,,,2022-07-15
19462317,synoptic weather map,[綜觀]天氣圖,,,,2022-07-15
19462318,syntactic foam,複合微球泡材,,材料_FRP,,2022-07-15
19462319,syntactics,句法學,,,,2022-07-15
19462320,syntheses,綜合,,,,2022-07-15
19462321,synthesis rubber expansion joint,合成橡膠伸縮縫,,營管組,,2022-07-15
19462322,synthetic adhesive,合成黏著劑,,,,2022-07-15
19462323,synthetic aperture radar (SAR),合成孔徑雷達,,測量組,,2022-07-15
19462324,synthetic detergent,合成清潔劑,,,,2022-07-15
19462325,synthetic hydrology,合成水文學,,,,2022-07-15
19462326,synthetic reinforcement,合成加勁材{地工},,營管組,,2022-07-15
19462327,synthetic resin,合成樹脂,,材料_FRP,,2022-07-15
19462328,synthetic resin glue,合成樹脂膠,,,,2022-07-15
19462329,synthetic rubber bearing pad,人造橡膠支承墊,,營管組,,2022-07-15
19462330,synthetic rubber cement,合成橡膠黏劑,,,,2022-07-15
19462331,synthetic sludge,合成污泥,,,,2022-07-15
19462332,synthetic unit hydrograph,合成單位歷線,,,,2022-07-15
19462333,system,系統；體系,,,,2022-07-15
19462334,system approach,系統方法,,,,2022-07-15
19462335,system assurance,系統保證,,,,2022-07-15
19462336,system availability,系統妥善率；系統可用率,,,,2022-07-15
19462337,system hazard analysis,系統危害分析,,,,2022-07-15
19462338,system integration,系統整合,,營管組,,2022-07-15
19462339,system integration test,系統整合測試,,,,2022-07-15
19462340,system maintainability,系統維護度,,,,2022-07-15
19462341,system of periodical maintenance,定期維護制度；定期保養制度,,,,2022-07-15
19462342,system reliability,系統可靠度,,,,2022-07-15
19462343,system safety,系統安全,,,,2022-07-15
19462344,system safety program plan (SSPP),系統安全計畫書,,,,2022-07-15
19462345,systematic error,系統誤差,,測量組,,2022-07-15
19462346,systematic sampling,系統性抽樣,,,,2022-07-15
19462347,Système International,國際單位制；SI制,,,,2022-07-15
19462348,T beam,T形梁,,,,2022-07-15
19462349,t distribution,t分布；t分配,,測量組,,2022-07-15
19462350,T intersection,丁字路口；T形路口,,,,2022-07-15
19462351,tab,調整片,,材料_FRP,,2022-07-15
19462352,taberna,店鋪單元{古羅馬},,,,2022-07-15
19462353,table feeder,加料台,,,,2022-07-15
