ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539420,"Frau ohne Schatten, Die (The Woman without a Shadow)",沒有影子的女人,,没有影子的女人,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539421,Frauenliebe und-Leben（Women’s Love and Life),女人的愛情與生活,,妇女的爱情与生活,"Schumann, Robert",舒曼,舒曼,聲樂曲,声乐曲,2018-05-30
3539422,Fredigundis,弗雷迪共迪斯,,弗雷迪贡迪斯,"Schmidt, Franz","施密特,弗朗茲",施米特,歌劇,歌剧,2018-05-30
3539423,Frei aber Froh,自由而幸福,,自由而幸福,"Brahms, Johannes",布拉姆斯,布拉姆斯,交響曲,交响曲,2018-05-30
3539424,"Freischütz, Der",魔彈射手,,自由射手,"Weber, Carl Maria von","韋伯,卡爾",韦伯,歌劇,歌剧,2018-05-30
3539425,French Suites,法國組曲,,法国组曲,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),鍵盤樂曲,键盘乐曲,2018-05-30
3539426,Friedenstag,和平的日子,,和平的日子,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539427,fünf Orchesterstücke,五首管絃樂曲,,五首管弦乐曲,"Schönberg(Schoenberg), Arnold",荀貝格,勋伯格,管絃樂曲,管弦乐曲,2018-05-30
3539428,"Funiculì, funiculà",富尼庫利富尼庫拉(纜車山歌),,缆车,"Denza, Luigi",鄧扎,登扎,聲樂曲,声乐曲,2018-05-30
3539429,Für Elise,給愛麗絲,,献给爱丽丝,"Beethoven, Ludwig van",貝多芬,贝多芬,鍵盤樂曲,键盘乐曲,2018-05-30
3539430,Gaîeté parisienne,巴黎人的歡樂,,巴黎人的欢乐,"Rosenthal,Manuel",羅森塔爾,罗森塔尔,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539431,"Gambler, The",賭徒,,赌徒,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,歌劇,歌剧,2018-05-30
3539432,Gaspard de la nuit,夜之幽靈,,夜之幽灵,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,鍵盤樂曲,键盘乐曲,2018-05-30
3539433,Gayane,加雅涅,,嘎雅涅,"Khachaturian, Aram",哈察圖量,哈恰图良,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539434,"Gazza Ladra, La",鵲賊,,贼鹊,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539435,General William Booth Enters into Heaven,布斯將軍進入天國,,布思将军进入天国,"Ives, Charles",艾夫士,艾夫斯/菲利普·詹姆斯,聲樂曲,声乐曲,2018-05-30
3539436,Genoveva,格諾費法,,格诺费娃,"Schumann, Robert",舒曼,舒曼,歌劇,歌剧,2018-05-30
3539437,"Gentle Shepherd, The",高貴的牧羊人,,温和的牧羊人,"Ramsay,Allan",拉姆齊,阿伦·拉姆齐,歌劇,歌剧,2018-05-30
3539438,Gesang der Jünglinge,少年之歌,,少年之歌,"Stockhausen, Karlheinz","史托克豪森,卡爾海因茲",斯托克豪森,器樂曲,器乐曲,2018-05-30
3539439,Gesang der Parzen,命運之歌,,命运之歌,"Brahms, Johannes",布拉姆斯,勃拉姆斯,聲樂曲,声乐曲,2018-05-30
3539440,Gianni Schicchi,強尼˙史基基,,贾尼·斯基基,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3539441,"Gibet, Le",絞刑台,,绞刑架,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,鍵盤樂曲,键盘乐曲,2018-05-30
3539442,Giovanna d'Arco,聖女貞德,,圣女贞德,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539443,Giselle (Les Wilis),吉賽爾,,吉赛尔,"Adam, Adolphe-Charles","阿當,阿朵夫－夏勒",亚当,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539444,Giulio Cesare in Egitto,在埃及的凱撒大帝,,尤利乌斯·凯撒在埃及,Handel George Friedrich,韓德爾,亨德尔/马利皮耶罗,歌劇,歌剧,2018-05-30
3539445,Gli Uccelli,群鳥組曲,,鸟,"Respighi, Ottorino",雷斯匹基,雷斯皮基,管絃樂曲,管弦乐曲,2018-05-30
3539446,Gloriana,葛羅里亞娜,,格洛里阿纳,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3539447,"Gods go a–begging, The",眾神去乞討,,众神去乞讨,"Beecham, Thomas",畢勤,比彻姆,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539448,Gold and Silver,金與銀,,金与银,"Lehár, Franz",雷哈爾,列哈尔,管絃樂曲,管弦乐曲,2018-05-30
3539449,"Golden Age, The",黃金時代,,黄金时代,"Shostakovich, Dmitri(Dmitry)","蕭斯塔科維契,德米特里",肖斯塔科维奇,管絃樂曲,管弦乐曲,2018-05-30
3539450,"Golden Cockerel, The",金雞,,金鸡,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3539451,"Golden Legend, The",金色的傳奇,,金色的传奇,"Sullivan, Arthur",薩利文,萨利文,聲樂曲,声乐曲,2018-05-30
3539452,Golliwogg's Cakewalk,黑娃娃的步態舞,,木偶的步态舞,"Debussy, Claude",德布西,德彪西,鍵盤樂曲,键盘乐曲,2018-05-30
3539453,Gothic Symphony,哥德交響曲,,哥特交响乐,Havergal Brian,布瑞安,哈弗格尔·布赖恩,交響曲,交响曲,2018-05-30
3539454,Götterdämmerung,諸神的黃昏,,众神的黄昏,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539455,Goyescas,戈雅,,戈雅之画,"Granados, Enrique",葛拉納多斯,格拉纳多斯,鍵盤樂曲；歌劇,键盘乐曲/歌剧,2018-05-30
3539456,"grand Duchesse de Gérolstein, La",熱羅爾斯坦公爵夫人,,热罗尔斯坦公爵夫人,"Offenbach, Jacques",歐芬巴赫,奥芬巴赫,歌劇,歌剧,2018-05-30
3539457,"Grand Macabre, Le",偉大的死亡,,伟大的死亡,"Ligeti, György",李蓋悌,利盖蒂,歌劇,歌剧,2018-05-30
3539458,"Greek Passion, The",希臘受難曲,,希腊受难曲,"Martinů, Bohuslav",馬悌努,马尔蒂努,聲樂曲,声乐曲,2018-05-30
3539459,Grisélidis,格里賽莉蒂,,格丽赛利迪斯,"Massenet, Jules",馬斯內,马斯内,歌劇,歌剧,2018-05-30
3539460,Grosse Orgelmesse,管風琴大彌撒,,管风琴大弥撒,"Haydn, Franz Joseph",海頓,海顿,聲樂曲,声乐曲,2018-05-30
3539461,Guillaume Tell,威廉泰爾,,威廉·退尔,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539462,Guntram,貢特拉姆,,贡特拉姆,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539463,Gurrelieder,古勒之歌,,古列之歌,"Schönberg(Schoenberg), Arnold",荀貝格,勋伯格,聲樂曲,声乐曲,2018-05-30
3539464,Gwendoline,格溫多琳,,格温多林,"Chabrier, Emmanuel Alexis",夏布里耶,夏布里埃,歌劇,歌剧,2018-05-30
3539465,Gymnopédies,裸體戰士舞,,裸体歌舞,"Satie, Erik",薩悌,萨蒂,鍵盤樂曲,键盘乐曲,2018-05-30
3539466,"H.M.S.Pinafore, or The Lass that loved a Sailor",愛水手的少女,,爱水手的少女,"Sullivan, Arthur",薩利文,萨利文,歌劇,歌剧,2018-05-30
3539467,Hamlet,哈姆雷特,,哈姆雷特,"Thomas, Ambroise/Liszt. F",托瑪/李斯特,,歌劇/交響詩,歌剧/交响诗/,2018-05-30
3539468,Hänsel und Gretel,韓賽兒與葛麗特,,汉塞尔和格雷泰尔,"Humperdinck, Engelbert",胡伯定克,弘佩尔丁克,歌劇,歌剧,2018-05-30
3539469,"Harawi, Chant d’Amour et de Mort",阿拉維，愛情與死亡之歌,,阿拉维，爱情与死亡之歌,"Messiaen, Olivier",梅湘,梅西安,聲樂曲,声乐曲,2018-05-30
3539470,"Harmonie der Welt, Die",世界的和諧,,世界的和谐,"Hindemith, Paul",辛德密特,欣德米特,歌劇,歌剧,2018-05-30
3539471,Harmoniemesse,管樂彌撒,,管乐队弥撒,"Haydn, Franz Joseph",海頓,海顿,聲樂曲,声乐曲,2018-05-30
3539472,Harold en Italie,哈羅德在義大利,,哈罗德在意大利,"Berlioz, Hector",白遼士,柏辽兹,協奏曲,协奏曲,2018-05-30
3539473,Harp  Quartet (string quartet op.74),"豎琴四重奏 ""豎琴"" (op.74絃樂四重奏別名)",,竖琴四重奏,"Beethoven, Ludwig van",貝多芬,贝多芬,室內樂曲,室内乐曲,2018-05-30
3539474,Háry János,哈利˙雅諾斯,,哈里·亚诺什,"Kodály, Zoltán",柯大宜,柯达依,歌劇,歌剧,2018-05-30
3539475,"Heldenleben, Ein",英雄生涯,,英雄生涯,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539476,HenryⅧ,亨利八世,,亨利八世,"Saint-Saëns, Camille",聖桑斯,圣-桑斯,歌劇,歌剧,2018-05-30
3539477,Hérodiade; rev. as: Erodiade,艾羅迪雅德,,埃罗迪亚德,"Massenet, Jules",馬斯內,马斯内,歌劇,歌剧,2018-05-30
3539478,Hexaméron,創世紀六日,,六天,"Liszt, Franz(Ferenc)、Thalberg, Sigismond",李斯特、塔爾貝爾格等,贝利尼/李斯特,鍵盤樂曲,键盘乐曲,2018-05-30
3539479,Hippolyte et Aricie,伊伯利特與阿莉西,,希波吕特与阿里奇,"Rameau, Jean-Philippe",拉摩,拉莫,歌劇,歌剧,2018-05-30
3539480,"Histoire du Soldat, L'",士兵的故事,,士兵的故事,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,管弦樂曲,管弦乐曲,2018-05-30
3539481,"Hochzeit des Camacho, Die",卡馬喬的婚禮,,卡马乔的婚礼,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,歌劇,歌剧,2018-05-30
3539482,Hochzeitsmarsch,婚禮進行曲,,婚礼进行曲,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539483,Holberg Suite,霍爾貝格組曲,,霍尔贝格组曲,"Grieg, Edvard",葛利格,格里格,鍵盤樂曲；管絃樂曲,键盘乐曲/管弦乐曲,2018-05-30
3539484,"Holy Boy, The",聖嬰,,圣孩,"Ireland, John",艾爾蘭,艾尔兰,鍵盤樂曲,键盘乐曲,2018-05-30
3539485,Holy Sonnets of John Donne,约翰·多恩的聖十四行詩,,约翰·多恩的圣十四行,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539486,"Home, Sweet Home",甜蜜的家庭,,甜蜜的家,"Bishop, Henry R.","畢夏普,亨利",亨利·毕肖普,聲樂曲,声乐曲,2018-05-30
3539487,Horizon Chimérique L',幻想的天際,,虚幻的地平线,"Fauré, Gabriel",佛瑞,福雷,聲樂曲,声乐曲,2018-05-30
3539488,Horn Signal,號角交響曲,,号角交响曲,"Haydn, Franz Joseph",海頓,海顿,交響曲,交响曲,2018-05-30
3539489,"House of the Dead, From The",死屋,,死屋手记,"Janáček, Leoš",雅納捷克,亚纳切克,歌劇,歌剧,2018-05-30
3539490,"Huguenots, Les",胡格諾教徒,,胡格诺教徒,"Meyerbeer, Giacomo",梅耶貝爾,梅耶贝尔,歌劇,歌剧,2018-05-30
3539491,Huldigungsmarsch,致敬進行曲,,致敬进行曲,"Wagner, Richard","華格納,理查/李斯特",瓦格纳/李斯特/格里格,管弦樂曲/鍵盤樂曲,管弦樂曲/鍵盤樂曲,2018-05-30
3539492,Hungarian Dances,匈牙利舞曲,,匈牙利舞曲,"Brahms, Johannes",布拉姆斯,布拉姆斯,鍵盤樂曲,键盘乐曲,2018-05-30
3539493,Hungarian Rhapsodies,匈牙利狂想曲,,匈牙利狂想曲,"Liszt, Franz(Ferenc)",李斯特,李斯特,鍵盤樂曲,键盘乐曲,2018-05-30
3539494,Hunnenschlacht,匈奴之戰,,匈奴之战,"Liszt, Franz(Ferenc)",李斯特,李斯特,管絃樂曲,管弦乐曲,2018-05-30
3539495,Hymn to St Cecilia,聖．切契里亞讚美詩,,圣切契利亚赞美诗,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539496,Hymnen,讚美歌,,赞美歌,"Stockhausen, Karlheinz","史托克豪森,卡爾海因茲",斯托克豪森,聲樂曲,声乐曲,2018-05-30
3539497,I Lombardi alla prima Crociata,第一次十字軍東征的隆巴第人,,十字军东征的伦巴尔第,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539498,I Vespri Siciliani,西西里晚禱,,西西里晚祷,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539499,Ibéria,伊貝利亞,,伊贝利亚,"Albéniz, Isaac",阿爾貝尼士,阿尔贝尼斯,鍵盤樂曲,键盘乐曲,2018-05-30
3539500,Ibéria,伊貝利亞,,伊贝利亚,"Debussy, Claude",德布西,德彪西,管絃樂曲,管弦乐曲,2018-05-30
3539501,Idomeneo,伊多梅尼歐,,伊多梅纽,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539502,Il Barbiere di Siviglia,塞維里亞的理髮師,,,"Rossini, Gioacchino",羅西尼,,歌劇,歌剧,2018-05-30
3539503,Il matrimonio segreto,秘密婚姻,,秘婚记,"Cimarosa, Domenico",齊馬洛沙,奇马罗萨,歌劇,歌剧,2018-05-30
3539504,Il Mondo della Luna,月的世界,,月亮世界,"Haydn, Franz Joseph",海頓,海顿,歌劇,歌剧,2018-05-30
3539505,Il pirata,海盜,,海盗,"Bellini, Vincenzo",貝利尼,贝里尼,歌劇,歌剧,2018-05-30
3539506,"Il ritorno d'Ulisse in patria,",烏利賽返鄉,,乌利塞重返故园,"Monteverdi, Claudio",蒙特威爾第,蒙特威尔第,歌劇,歌剧,2018-05-30
3539507,Il trovatore,遊唱詩人,,游吟诗人,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539508,"Il viaggio a Reims, ossia L'albergo del Giglio d'Oro",蘭斯之旅，或吉里歐的客棧,,,"Rossini, Gioacchino",羅西尼,,歌劇,歌剧,2018-05-30
3539509,Improvisation on an Impromptu of Benjamin，Britten,布里頓即興曲的即興,,本杰明·布里顿即兴曲的即兴,"Walton, William",華爾頓,沃尔顿,管弦樂曲,管弦乐曲,2018-05-30
3539510,In a Summer Garden,夏日花園,,夏日花园,"Delius, Frederick",戴里厄斯,德留斯,管絃樂曲,管弦乐曲,2018-05-30
3539511,In the South,在南方,,在南方,"Elgar, Edward",艾爾加,埃尔加,管絃樂曲,管弦乐曲,2018-05-30
3539512,In the Steppes of Central Asia,中亞細亞草原,,在中亚细亚草原上,"Borodin, Alexander (Porfir'yevich)",玻羅定,鲍罗丁,管絃樂曲,管弦乐曲,2018-05-30
3539513,In Winds or Forest,在溫莎的森林,,在温莎的森林,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,聲樂曲,声乐曲,2018-05-30
3539514,"Incoronazione di Poppea, L'",波佩亞的加冕,,波佩阿的加冕,"Monteverdi, Claudio",蒙特威爾第,蒙特威尔第,歌劇,歌剧,2018-05-30
3539515,"Incredible Flutist, The",神奇的長笛手,,神奇的长笛手,"Walton, William",華爾頓,沃尔特·辟斯顿,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539516,"Indian Queen, The",印度皇后,,印第安王后,"Purcell, Henry",珀瑟爾,珀塞尔,歌劇,歌剧,2018-05-30
3539517,Indianische Fantasie,印地安幻想曲,,印第安幻想曲,"Busoni, Ferruccio",布索尼,布索尼,管弦樂曲,管弦乐曲,2018-05-30
3539518,Intolleranza 1960,偏狹的1960年,,偏狭的1960年,"Nono, Luigi",諾諾,诺诺,歌劇,歌剧,2018-05-30
3539519,Introduction and Allegro,導奏與快板,,引子与快板,"Elgar, Edward",艾爾加,埃尔加,管絃樂曲,管弦乐曲,2018-05-30
3539520,Invention,創意曲,,二声部创意曲,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),鍵盤樂曲,键盘乐曲,2018-05-30
3539521,"Invisible City of Kitezh, The Legend of the",隱形之城基德日的傳說,,隐城基德日的故事,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3539522,Ionisation,電離,,电离,"Varése, Edgard",瓦列茲,瓦雷兹,器樂曲,器乐曲,2018-05-30
3539523,Iphigénie en Aulide,伊菲傑妮在歐利德,,伊菲姬尼在奥利德,"Gluck, Christoph Willibald von",葛路克,格鲁克,歌劇,歌剧,2018-05-30
3539524,Iphigénie en Tauride,伊菲傑妮在托里德,,伊菲姬尼在陶里德,"Gluck, Christoph Willibald von",葛路克,格鲁克,歌劇,歌剧,2018-05-30
3539525,Iris,伊莉絲,,伊莉丝,"Mascagni, Pietro",馬斯卡尼,马斯卡尼,歌劇,歌剧,2018-05-30
3539526,Irmelin,伊爾梅林,,伊尔美林,"Delius, Frederick",戴里厄斯,德留斯,歌劇,歌剧,2018-05-30
3539527,Islamey,伊斯拉美,,伊斯拉美,"Balakirev, Mily Alexeyevich",巴拉基列夫,巴拉基列夫,鍵盤樂曲,键盘乐曲,2018-05-30
3539528,"Isle joyeuse, L'",快樂島,,欢乐岛,"Debussy, Claude",德布西,德彪西,鍵盤樂曲,键盘乐曲,2018-05-30
3539529,"Isle of the Dead, The",死之島,,死之岛,"Rachmaninoff, Sergey",拉赫瑪尼諾夫,拉赫玛尼诺夫,管絃樂曲,管弦乐曲,2018-05-30
3539530,"Isola disabitata, L'",無人島,,无人岛,"Haydn, Franz Joseph",海頓,海顿,歌劇,歌剧,2018-05-30
3539531,Italian Capriccio,義大利隨想曲,,意大利随想曲,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴可夫斯基,管弦樂曲,管弦乐曲,2018-05-30
3539532,Italian Concerto,義大利協奏曲,,意大利协奏曲,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),鍵盤樂曲,键盘乐曲,2018-05-30
3539533,Italian Serenade,義大利小夜曲,,意大利小夜曲,"Wolf, Hugo","沃爾夫,胡果",沃尔夫,室內樂曲,室内乐曲,2018-05-30
3539534,Italian Symphony,義大利交響曲,,意大利交响曲,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,交響曲,交响曲,2018-05-30
3539535,"Italiana in Algeri, L'",阿爾及利亞的義大利女郎,,意大利女郎在阿尔及利亚,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539536,Italienisches Liederbuch,義大利歌曲集,,意大利歌曲集,"Wolf, Hugo","沃爾夫,胡果",沃尔夫,聲樂曲,声乐曲,2018-05-30
3539537,Ivan IV,伊凡四世,,伊凡四世,"Bizet, Georges",比才,比才,歌劇,歌剧,2018-05-30
3539538,Ivan Susanin,伊凡˙蘇沙寧,,伊凡·苏萨宁,"Glinka, Mikhail (Ivanovich)",葛令卡,格林卡,歌劇,歌剧,2018-05-30
3539539,"Jacobin, The",雅各賓黨,,雅各宾党人,"Dvořák, Antonín",德沃札克,德沃夏克,歌劇,歌剧,2018-05-30
3539540,Jamaican Rumba,牙買加倫巴,,牙买加伦巴,"Benjamin, Arthur","班傑明,阿瑟",阿瑟·本杰明,鍵盤樂曲,键盘乐曲,2018-05-30
3539541,"Jardin clos, Le",封閉的庭院,,封闭的庭院,"Fauré, Gabriel",佛瑞,福雷,聲樂曲,声乐曲,2018-05-30
3539542,Jeanne d'Arc  au bcûher,火刑場上的貞德,,火刑场上的贞德,"Honegger, Arthur",歐內格,奥涅格,聲樂曲,声乐曲,2018-05-30
3539543,Jenůfa,顏如花,,耶奴发,"Janáček, Leoš",雅納捷克,亚纳切克,歌劇,歌剧,2018-05-30
3539544,Jeremiah,傑瑞麥亞,,耶利米亚,"Bernstein, Leonard","伯恩斯坦,雷歐納德",伦纳德·伯恩斯坦,交響曲,交响曲,2018-05-30
3539545,Jérusalem,耶路薩冷,,耶路撒冷,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539546,Jeu de cartes,紙牌遊戲,,纸牌游戏,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539547,"Jeunesse d'Hercule, La",青年的海格利斯,,海格立斯的青春,"Saint-Saëns, Camille",聖桑斯,圣-桑,管絃樂曲,管弦乐曲,2018-05-30
3539548,Jeux d'eau,水之嬉戲,,水的嬉戏,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,鍵盤樂曲,键盘乐曲,2018-05-30
3539549,Jeux d'enfants,兒童遊戲,,儿童游戏,"Bizet, Georges",比才,比才,鍵盤樂曲,键盘乐曲,2018-05-30
3539550,Job,約伯,,约伯,"Dallapiccola, Luigi",達拉匹可拉,达拉皮科拉,歌劇,歌剧,2018-05-30
3539551,Johannesburg Festival Overture,約翰內斯堡節慶序曲,,约翰内斯堡节日序曲,"Walton, William",華爾頓,沃尔顿,管弦樂曲,管弦乐曲,2018-05-30
3539552,Johannespassion,約翰受難曲,,约翰受难曲,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),聲樂曲,声乐曲,2018-05-30
3539553,"Jongleur de Notre Dame, Le",聖母院雜耍人,,圣母院艺人,"Massenet, Jules",馬斯內,马斯内,歌劇,歌剧,2018-05-30
3539554,Josephslegende,約瑟夫的故事,,约瑟夫的故事,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539555,Judas Maccabaeus,猶大馬加伯,,犹大·马加比,Handel George Friedrich,韓德爾,亨德尔,聲樂曲,声乐曲,2018-05-30
3539556,Juditha Triumphans,猶迪塔的凱旋,,犹迪塔的凯旋,"Vivaldi, Antonio",韋瓦第,维瓦尔第,聲樂曲,声乐曲,2018-05-30
3539557,"Juive, La",猶太女,,犹太女,Fromental Halévy,阿萊威,阿莱维,歌劇,歌剧,2018-05-30
3539558,Julien,朱利安,,朱利安,"Charpentier, Marc-Antoine",夏邦提耶,夏庞蒂埃,歌劇,歌剧,2018-05-30
3539559,Julius Caesar,凱撒大帝,,凯撒大帝,"Händel, Georg Friedrich",韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539560,"Junge Lord, Der",年輕的貴族,,年轻的贵族,"Henze, Hans Werner",亨采,亨策,歌劇,歌剧,2018-05-30
3539561,Kaiser von Atlantis,亞特蘭蒂斯皇帝,,亚特兰蒂斯皇帝,"Ullmann,Viktor",烏爾曼,乌尔曼,歌劇,歌剧,2018-05-30
3539562,Kaiser-Walzer,皇帝圓舞曲,,皇帝圆舞曲,"Strauss Jr., Johann(II)","史特勞斯二世,約翰",小约翰·施特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539563,Kalevala,卡雷瓦拉,,卡莱瓦拉,"Sibelius, Jean",西貝流士,西贝柳斯,聲樂曲,声乐曲,2018-05-30
3539564,Kamarinskaya,卡瑪林斯卡亞,,卡玛林斯卡亚,"Glinka, Mikhail (Ivanovich)",葛令卡,格林卡,管絃樂曲,管弦乐曲,2018-05-30
3539565,Kammersinfonie,室內交響曲,,室内交响曲,"Schönberg(Schoenberg), Arnold",荀貝格,勋伯格,管絃樂曲,管弦乐曲,2018-05-30
3539566,Karelia,卡雷利亞,,卡雷利亚,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539567,Katya Kabanová（Kat'a Kabanová）,卡嘉˙卡芭諾娃,,卡佳·卡巴诺娃,"Janáček, Leoš",雅納捷克,亚纳切克,歌劇,歌剧,2018-05-30
3539568,Keel Row,划船,,划船,"Debussy, Claude",德布西,德彪西,管弦樂曲,管弦乐曲,2018-05-30
3539569,Khamma,卡馬,,卡马,"Debussy, Claude",德布西,德彪西,芭蕾舞劇,芭蕾哑剧,2018-05-30
3539570,Khovanshchina,霍萬辛納,,霍万希那,"Mussorgsky, Modest",穆梭斯基,穆索尔斯基,歌劇,歌剧,2018-05-30
3539571,Kinderszenen,兒時情景,,童年情景,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-05-30
3539572,Kindertotenlieder,亡兒之歌,,亡儿之歌,"Mahler, Gustav","馬勒,古斯塔夫",马勒,聲樂曲,声乐曲,2018-05-30
3539573,"King Arthur, or The British Worthy",亞瑟王，或不列顛英豪,,亚瑟王，或不列颠英豪,"Purcell, Henry",珀瑟爾,珀塞尔,歌劇,歌剧,2018-05-30
3539574,King Lear,李爾王,,李尔王,"Berlioz, Hector1、Balakirev, Mily Alexeyevich、Debussy, Claude",白遼士、巴拉基列夫、德布希,柏辽兹/巴拉基列夫/德彪西/雷曼,管絃樂曲,管弦乐曲,2018-05-30
3539575,King Lear,李爾王,,李尔王,"Verdi, Giuseppe、Reimann, Aribert",威爾第、萊曼,威尔第,歌劇,歌剧,2018-05-30
3539576,King of Prussia Quartets,普魯士王四重奏,,普鲁士王四重奏,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,室內樂曲,室内乐曲,2018-05-30
3539577,Klavierübung,鍵盤練習曲,,键盘练习曲,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),鍵盤樂曲,键盘乐曲,2018-05-30
3539578,Kleine Orgelmesse,管風琴小彌撒,,管风琴小弥撒,"Haydn, Franz Joseph",海頓,海顿,聲樂曲,声乐曲,2018-05-30
3539579,"Knot Garden, The",煩惱園,,烦恼园,"Tippet, Michael",提佩特,蒂皮特,歌劇,歌剧,2018-05-30
3539580,Kol Nidrei,晚禱,,科尔尼德莱,"Bruch, Max",布魯赫,布鲁赫,器樂曲,器乐曲,2018-05-30
3539581,Kossuth,柯素特,,科树特,"Bartók, Béla",巴爾托克,巴托克,管絃樂曲,管弦乐曲,2018-05-30
3539582,Krämerspiegel,老闆模樣,,老板模样,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,聲樂曲,声乐曲,2018-05-30
3539583,Kreutzer Sonata,克羅采奏鳴曲,,克鲁采奏鸣曲,"Beethoven, Ludwig van",貝多芬,贝多芬,室內樂曲,室内乐曲,2018-05-30
3539584,"Kunst der Fuge, Die",復格的藝術,,赋格艺术,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),器樂曲,器乐曲,2018-05-30
3539585,Kuolema,死亡,,死亡,"Sibelius, Jean",西貝流士,耶尔内费尔特/西贝柳斯,管弦樂曲,管弦乐曲,2018-05-30
3539586,La boÎte à joujoux,玩具盒,,玩具盒子,"Debussy, Claude",德布西,德彪西,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539587,La cambiale di matrimonio,交換的婚姻,,结婚契约,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539588,La Campanella,鐘,,钟,"Liszt, Franz(Ferenc)",李斯特,李斯特,鍵盤樂曲,键盘乐曲,2018-05-30
3539589,La Damnation de Faust,浮士德的天譴,,浮士德的沉沦,"Berlioz, Hector",白遼士,柏辽兹,歌劇,歌剧,2018-05-30
3539590,La Damoiselle élue,蒙福的少女,,幸福的少女,"Debussy, Claude",德布西,德彪西,聲樂曲,声乐曲,2018-05-30
3539591,La donna del lago,湖上女郎,,湖上少女,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
